Date,KOKUSAI INDEX (WORLD ex JP) LARGE GROWTH Large Cap
1994-05-31,295.925
1994-06-30,288.384
1994-07-29,299.562
1994-08-31,312.174
1994-09-30,305.183
1994-10-31,313.259
1994-11-30,301.83
1994-12-30,304.894
1995-01-31,306.11
1995-02-28,316.463
1995-03-31,327.823
1995-04-28,336.738
1995-05-31,347.49
1995-06-30,358.277
1995-07-31,374.046
1995-08-31,370.187
1995-09-29,384.851
1995-10-31,384.98
1995-11-30,394.815
1995-12-29,399.441
1996-01-31,410.09
1996-02-29,417.873
1996-03-29,421.293
1996-04-30,429.952
1996-05-31,440.988
1996-06-28,443.694
1996-07-31,423.64
1996-08-30,437.585
1996-09-30,459.337
1996-10-31,465.611
1996-11-29,496.459
1996-12-31,490.193
1997-01-31,512.389
1997-02-28,511.2
1997-03-31,502.434
1997-04-30,525.089
1997-05-30,555.842
1997-06-30,585.353
1997-07-31,626.48
1997-08-29,584.187
1997-09-30,623.399
1997-10-31,591.484
1997-11-28,611.166
1997-12-31,623.059
1998-01-30,646.197
1998-02-27,699.622
1998-03-31,734.616
1998-04-30,745.93
1998-05-29,741.548
1998-06-30,778.029
1998-07-31,784.392
1998-08-31,676.541
1998-09-30,696.446
1998-10-30,756.498
1998-11-30,811.304
1998-12-31,880.381
1999-01-29,925.245
1999-02-26,888.735
1999-03-31,924.05
1999-04-30,927.491
1999-05-31,892.327
1999-06-30,943.243
1999-07-30,925.427
1999-08-31,940.815
1999-09-30,932.717
1999-10-29,995.178
1999-11-30,1049.752
1999-12-31,1192.333
2000-01-31,1133.937
2000-02-29,1202.195
2000-03-31,1244.546
2000-04-28,1157.689
2000-05-31,1092.038
2000-06-30,1179.086
2000-07-31,1141.341
2000-08-31,1196.07
2000-09-29,1080.197
2000-10-31,1029.17
2000-11-30,902.111
2000-12-29,901.627
2001-01-31,935.817
2001-02-28,794.332
2001-03-30,712.408
2001-04-30,790.101
2001-05-31,762.137
2001-06-29,737.599
2001-07-31,724.199
2001-08-31,670.443
2001-09-28,605.321
2001-10-31,633.626
2001-11-30,687.255
2001-12-31,691.983
2002-01-31,663.827
2002-02-28,642.61
2002-03-29,664.19
2002-04-30,619.77
2002-05-31,607.224
2002-06-28,569.563
2002-07-31,525.314
2002-08-30,526.579
2002-09-30,469.29
2002-10-31,515.82
2002-11-29,541.051
2002-12-31,509.274
2003-01-31,493.362
2003-02-28,487.598
2003-03-31,492.625
2003-04-30,536.701
2003-05-30,561.033
2003-06-30,567.372
2003-07-31,579.243
2003-08-29,585.69
2003-09-30,587.035
2003-10-31,621.367
2003-11-28,633.17
2003-12-31,662.445
2004-01-30,675.684
2004-02-27,686.818
2004-03-31,669.493
2004-04-30,659.181
