Date,AUSTRIA GROWTH Standard (Large+Mid Cap)
2002-02-07,435.82
2002-02-08,441.89
2002-02-11,446.949
2002-02-12,447.133
2002-02-13,448.664
2002-02-14,450.879
2002-02-15,448.733
2002-02-18,444.749
2002-02-19,450.786
2002-02-20,451.065
2002-02-21,450.84
2002-02-22,457.275
2002-02-25,452.284
2002-02-26,446.52
2002-02-27,440.847
2002-02-28,430.632
2002-03-01,432.851
2002-03-04,447.622
2002-03-05,448.351
2002-03-06,447.162
2002-03-07,446.168
2002-03-08,449.832
2002-03-11,451.887
2002-03-12,452.64
2002-03-13,449.359
2002-03-14,449.97
2002-03-15,453.774
2002-03-18,453.476
2002-03-19,454.519
2002-03-20,457.088
2002-03-21,455.914
2002-03-22,464.64
2002-03-25,468.397
2002-03-26,467.492
2002-03-27,471.97
2002-03-28,475.643
2002-03-29,475.643
2002-04-01,479.541
2002-04-02,485.608
2002-04-03,483.971
2002-04-04,474.913
2002-04-05,483.203
2002-04-08,482.495
2002-04-09,480.171
2002-04-10,486.231
2002-04-11,490.303
2002-04-12,489.02
2002-04-15,491.143
2002-04-16,490.456
2002-04-17,498.693
2002-04-18,496.819
2002-04-19,494.401
2002-04-22,490.95
2002-04-23,494.333
2002-04-24,491.028
2002-04-25,494.229
2002-04-26,492.251
2002-04-29,510.02
2002-04-30,515.655
2002-05-01,518.573
2002-05-02,523.118
2002-05-03,526.937
2002-05-06,530.494
2002-05-07,521.076
2002-05-08,516.742
2002-05-09,516.628
2002-05-10,515.245
2002-05-13,513.062
2002-05-14,503.736
2002-05-15,505.334
2002-05-16,506.235
2002-05-17,510.618
2002-05-20,510.784
2002-05-21,500.47
2002-05-22,503.88
2002-05-23,502.659
2002-05-24,497.668
2002-05-27,498.473
2002-05-28,509.91
2002-05-29,511.661
2002-05-30,514.708
2002-05-31,502.285
2002-06-03,506.662
2002-06-04,503.966
2002-06-05,493.431
2002-06-06,499.391
2002-06-07,489.381
2002-06-10,490.164
2002-06-11,484.149
2002-06-12,482.29
2002-06-13,480.299
2002-06-14,478.07
2002-06-17,471.109
2002-06-18,468.892
2002-06-19,472.02
2002-06-20,478.385
2002-06-21,482.178
2002-06-24,486.912
2002-06-25,485.553
2002-06-26,490.296
2002-06-27,493.454
2002-06-28,494.402
2002-07-01,503.175
2002-07-02,491.56
2002-07-03,481.406
2002-07-04,484.614
2002-07-05,487.034
2002-07-08,489.986
2002-07-09,493.005
2002-07-10,489.201
2002-07-11,490.029
2002-07-12,491.128
2002-07-15,500.544
2002-07-16,508.845
2002-07-17,514.248
2002-07-18,518.233
2002-07-19,512.009
2002-07-22,507.888
2002-07-23,480.956
2002-07-24,457.237
2002-07-25,476.531
2002-07-26,474.073
2002-07-29,479.369
2002-07-30,483.351
2002-07-31,473.435
2002-08-01,473.552
2002-08-02,457.913
2002-08-05,456.582
2002-08-06,448.349
2002-08-07,458.579
2002-08-08,459.584
2002-08-09,461.736
2002-08-12,455.069
2002-08-13,455.345
2002-08-14,463.775
2002-08-15,460.32
2002-08-16,461.588
2002-08-19,441.208
2002-08-20,431.045
2002-08-21,439.857
2002-08-22,443.077
2002-08-23,439.555
2002-08-26,439.638
2002-08-27,458.967
2002-08-28,448.34
2002-08-29,445.066
2002-08-30,456.643
2002-09-02,455.807
2002-09-03,451.412
2002-09-04,458.077
2002-09-05,453.968
2002-09-06,451.555
2002-09-09,457.91
2002-09-10,456.599
2002-09-11,462.663
2002-09-12,454.413
2002-09-13,451.856
2002-09-16,446.052
2002-09-17,446.462
2002-09-18,444.928
2002-09-19,440.117
2002-09-20,430.272
2002-09-23,427.352
2002-09-24,419.323
2002-09-25,427.215
2002-09-26,425.519
2002-09-27,424.047
2002-09-30,425.592
2002-10-01,425.306
2002-10-02,436.055
2002-10-03,427.269
2002-10-04,409.591
2002-10-07,389.634
2002-10-08,392.265
2002-10-09,393.297
2002-10-10,388.827
2002-10-11,389.442
2002-10-14,386.811
2002-10-15,390.402
2002-10-16,393.726
2002-10-17,408.219
2002-10-18,403.046
2002-10-21,408.314
2002-10-22,413.837
2002-10-23,409.153
2002-10-24,406.507
2002-10-25,401.983
2002-10-28,407.284
2002-10-29,402.267
2002-10-30,395.377
2002-10-31,407.957
2002-11-01,410.49
2002-11-04,410.355
2002-11-05,419.687
2002-11-06,423.192
2002-11-07,423.065
2002-11-08,425.868
2002-11-11,425.671
2002-11-12,424.47
2002-11-13,428.812
2002-11-14,425.417
2002-11-15,426.314
2002-11-18,424.435
2002-11-19,422.943
2002-11-20,426.984
2002-11-21,419.762
2002-11-22,419.253
2002-11-25,418.144
2002-11-26,418.945
2002-11-27,418.971
2002-11-28,420.4
2002-11-29,416.706
2002-12-02,427.912
2002-12-03,431.155
2002-12-04,437.809
2002-12-05,442.536
2002-12-06,442.393
2002-12-09,439.011
2002-12-10,445.525
2002-12-11,446.637
2002-12-12,450.313
2002-12-13,454.263
2002-12-16,454.156
2002-12-17,459.847
2002-12-18,457.836
2002-12-19,458.074
2002-12-20,476.323
2002-12-23,472.783
2002-12-24,474.74
2002-12-25,474.74
2002-12-26,475.937
2002-12-27,472.959
2002-12-30,480.939
2002-12-31,482.826
2003-01-01,482.826
2003-01-02,474.736
2003-01-03,479.917
2003-01-06,482.865
2003-01-07,481.328
2003-01-08,472.976
2003-01-09,486.974
2003-01-10,485.372
2003-01-13,486.522
2003-01-14,500.139
2003-01-15,500.668
2003-01-16,500.738
2003-01-17,494.679
2003-01-20,492.423
2003-01-21,496.202
2003-01-22,488.744
2003-01-23,497.361
2003-01-24,508.376
2003-01-27,503.463
2003-01-28,507.055
2003-01-29,499.828
