Date,AUSTRIA GROWTH Standard (Large+Mid Cap)
2001-01-01,425.029
2001-01-02,424.846
2001-01-03,414.299
2001-01-04,411.446
2001-01-05,424.393
2001-01-08,426.465
2001-01-09,426.594
2001-01-10,431.163
2001-01-11,437.736
2001-01-12,437.603
2001-01-15,434.213
2001-01-16,426.559
2001-01-17,420.412
2001-01-18,430.781
2001-01-19,427.094
2001-01-22,426.304
2001-01-23,426.719
2001-01-24,416.556
2001-01-25,416.124
2001-01-26,420.474
2001-01-29,414.236
2001-01-30,416.992
2001-01-31,425.241
2001-02-01,457.22
2001-02-02,441.772
2001-02-05,448.369
2001-02-06,441.966
2001-02-07,460.574
2001-02-08,461.214
2001-02-09,456.166
2001-02-12,467.572
2001-02-13,466.203
2001-02-14,460.686
2001-02-15,458.168
2001-02-16,470.904
2001-02-19,483.281
2001-02-20,482.834
2001-02-21,485.743
2001-02-22,484.751
2001-02-23,477.656
2001-02-26,477.244
2001-02-27,490.571
2001-02-28,479.732
2001-03-01,483.516
2001-03-02,487.245
2001-03-05,483.816
2001-03-06,484.28
2001-03-07,501.471
2001-03-08,501.671
2001-03-09,496.942
2001-03-12,495.927
2001-03-13,490.628
2001-03-14,484.37
2001-03-15,480.836
2001-03-16,462.287
2001-03-19,456.35
2001-03-20,461.632
2001-03-21,458.106
2001-03-22,444.198
2001-03-23,455.933
2001-03-26,460.744
2001-03-27,467.983
2001-03-28,462.348
2001-03-29,459.732
2001-03-30,463.306
2001-04-02,452.228
2001-04-03,455.85
2001-04-04,466.435
2001-04-05,478.527
2001-04-06,469.716
2001-04-09,478.112
2001-04-10,473.957
2001-04-11,460.418
2001-04-12,465.86
2001-04-13,465.86
2001-04-16,461.089
2001-04-17,462.93
2001-04-18,460.506
2001-04-19,464.34
2001-04-20,474.538
2001-04-23,467.593
2001-04-24,472.868
2001-04-25,470.019
2001-04-26,473.149
2001-04-27,471.393
2001-04-30,468.792
2001-05-01,471.278
2001-05-02,476.183
2001-05-03,475.087
2001-05-04,469.813
2001-05-07,467.071
2001-05-08,464.59
2001-05-09,460.409
2001-05-10,462.606
2001-05-11,457.822
2001-05-14,457.255
2001-05-15,451.785
2001-05-16,451.789
2001-05-17,451.788
2001-05-18,446.987
2001-05-21,441.827
2001-05-22,435.537
2001-05-23,424.422
2001-05-24,422.82
2001-05-25,417.699
2001-05-28,420.9
2001-05-29,408.688
2001-05-30,412.179
2001-05-31,405.28
2001-06-01,409.88
2001-06-04,410.436
2001-06-05,421.428
2001-06-06,417.961
2001-06-07,418.45
2001-06-08,418.694
2001-06-11,414.172
2001-06-12,419.61
2001-06-13,423.079
2001-06-14,426.706
2001-06-15,423.073
2001-06-18,425.429
2001-06-19,424.672
2001-06-20,421.214
2001-06-21,420.507
2001-06-22,425.486
2001-06-25,424.271
2001-06-26,428.084
2001-06-27,420.322
2001-06-28,410.588
2001-06-29,399.344
2001-07-02,396.025
2001-07-03,395.571
2001-07-04,397.799
2001-07-05,397.822
2001-07-06,403.251
2001-07-09,407.87
2001-07-10,416.798
2001-07-11,416.374
2001-07-12,409.152
2001-07-13,417.898
2001-07-16,420.174
