Date,AUSTRIA GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,102.881
1975-02-28,106.003
1975-03-31,104.974
1975-04-30,104.196
1975-05-30,104.212
1975-06-30,104.074
1975-07-31,95.684
1975-08-29,95.109
1975-09-30,92.533
1975-10-31,96.325
1975-11-28,94.168
1975-12-31,95.949
1976-01-30,97.631
1976-02-27,97.276
1976-03-31,99.472
1976-04-30,99.838
1976-05-31,99.222
1976-06-30,97.932
1976-07-30,100.908
1976-08-31,103.482
1976-09-30,105.358
1976-10-29,106.011
1976-11-30,102.731
1976-12-31,104.64
1977-01-31,103.854
1977-02-28,102.558
1977-03-31,102.686
1977-04-29,101.899
1977-05-31,102.438
1977-06-30,100.143
1977-07-29,103.52
1977-08-31,100.571
1977-09-30,92.746
1977-10-31,94.434
1977-11-30,94.924
1977-12-30,101.589
1978-01-31,101.34
1978-02-28,105.031
1978-03-31,105.942
1978-04-28,103.747
1978-05-31,103.056
1978-06-30,103.93
1978-07-31,108.177
1978-08-31,110.536
1978-09-29,112.259
1978-10-31,125.55
1978-11-30,109.93
1978-12-29,118.102
1979-01-31,114.087
1979-02-28,114.246
1979-03-30,115.256
1979-04-30,114.068
1979-05-31,112.103
1979-06-29,116.227
1979-07-31,116.373
1979-08-31,117.549
1979-09-28,122.893
1979-10-31,126.181
1979-11-30,130.421
1979-12-31,132.6
1980-01-31,131.288
1980-02-29,129.76
1980-03-31,114.852
1980-04-30,123.102
1980-05-30,126.18
1980-06-30,128.903
1980-07-31,126.977
1980-08-29,124.504
1980-09-30,121.783
1980-10-31,114.416
1980-11-28,114.069
1980-12-31,113.211
1981-01-30,101.969
1981-02-27,100.832
1981-03-31,102.595
1981-04-30,98.525
1981-05-29,93.858
1981-06-30,88.326
1981-07-31,85.279
1981-08-31,84.915
1981-09-30,87.548
1981-10-30,91.387
1981-11-30,94.848
1981-12-31,96.546
1982-01-29,90.799
1982-02-26,86.684
1982-03-31,84.391
1982-04-30,84.653
1982-05-31,82.256
1982-06-30,76.303
1982-07-30,76.201
1982-08-31,75.114
1982-09-30,73.749
1982-10-29,72.097
1982-11-30,75.272
1982-12-31,80.438
1983-01-31,77.092
1983-02-28,78.913
1983-03-31,85.215
1983-04-29,87.682
1983-05-31,88.615
1983-06-30,85.934
1983-07-29,81.147
1983-08-31,78.915
1983-09-30,81.203
1983-10-31,79.274
1983-11-30,77.717
1983-12-30,78.976
1984-01-31,78.191
1984-02-29,82.828
1984-03-30,82.854
1984-04-30,79.856
1984-05-31,80.027
1984-06-29,77.455
1984-07-31,74.34
1984-08-31,73.668
1984-09-28,74.255
1984-10-31,75.535
1984-11-30,74.686
1984-12-31,74.879
1985-01-31,74.626
1985-02-28,90.739
1985-03-29,105.889
1985-04-30,155.254
1985-05-31,190.056
1985-06-28,204.742
1985-07-31,198.178
1985-08-30,213.213
1985-09-30,230.148
1985-10-31,229.288
1985-11-29,289.072
1985-12-31,296.37
1986-01-31,275.488
1986-02-28,306.414
1986-03-31,281.259
1986-04-30,348.556
1986-05-30,317.657
