Date,NETHERLANDS IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,166.712
1994-06-30,166.497
1994-07-29,175.688
1994-08-31,179.575
1994-09-30,174.78
1994-10-31,186.352
1994-11-30,176.897
1994-12-30,180.47
1995-01-31,182.319
1995-02-28,187.24
1995-03-31,194.24
1995-04-28,200.792
1995-05-31,207.829
1995-06-30,207.596
1995-07-31,216.948
1995-08-31,204.82
1995-09-29,214.746
1995-10-31,215.163
1995-11-30,223.684
1995-12-29,233.358
1996-01-31,232.45
1996-02-29,237.635
1996-03-29,242.767
1996-04-30,244.849
1996-05-31,259.837
1996-06-28,258.348
1996-07-31,253.202
1996-08-30,256.46
1996-09-30,266.496
1996-10-31,273.512
1996-11-29,291.131
1996-12-31,299.038
1997-01-31,300.568
1997-02-28,308.552
1997-03-31,317.31
1997-04-30,314.509
1997-05-30,339.057
1997-06-30,359.958
1997-07-31,390.996
1997-08-29,353.089
1997-09-30,383.959
1997-10-31,365.18
1997-11-28,360.76
1997-12-31,373.652
1998-01-30,375.714
1998-02-27,410.105
1998-03-31,426.807
1998-04-30,437.797
1998-05-29,458.221
1998-06-30,450.731
1998-07-31,463.456
1998-08-31,395.376
1998-09-30,364.492
1998-10-30,380.361
1998-11-30,400.97
1998-12-31,423.079
1999-01-29,389.998
1999-02-26,394.095
1999-03-31,418.976
1999-04-30,457.718
1999-05-31,438.486
1999-06-30,447.836
1999-07-30,460.536
1999-08-31,469.109
1999-09-30,447.42
1999-10-29,466.86
1999-11-30,460.656
1999-12-31,512.227
2000-01-31,448.173
2000-02-29,476.344
2000-03-31,488.341
2000-04-28,467.715
2000-05-31,485.945
2000-06-30,516.125
2000-07-31,495.049
2000-08-31,495.952
2000-09-29,480.615
2000-10-31,481.25
2000-11-30,478.828
2000-12-29,500.782
2001-01-31,506.867
2001-02-28,476.048
2001-03-30,435.825
2001-04-30,463.551
2001-05-31,458.12
2001-06-29,440.554
2001-07-31,438.1
2001-08-31,433.974
2001-09-28,381.828
2001-10-31,377.63
2001-11-30,382.624
2001-12-31,392.211
2002-01-31,385.93
2002-02-28,393.093
2002-03-29,421.08
2002-04-30,422.93
2002-05-31,436.722
2002-06-28,428.348
2002-07-31,352.206
2002-08-30,363.281
2002-09-30,303.045
2002-10-31,341.914
2002-11-29,358.289
2002-12-31,342.82
2003-01-31,323.273
2003-02-28,296.934
2003-03-31,286.646
2003-04-30,322.845
2003-05-30,351.506
2003-06-30,359.558
2003-07-31,369.688
2003-08-29,374.63
2003-09-30,371.096
2003-10-31,392.14
2003-11-28,404.175
2003-12-31,451.041
2004-01-30,441.343
2004-02-27,445.521
2004-03-31,423.16
2004-04-30,430.345
2004-05-31,438.632
2004-06-30,447.225
2004-07-30,433.354
2004-08-31,438.232
2004-09-30,451.117
2004-10-29,470.62
2004-11-30,502.585
2004-12-31,526.381
2005-01-31,524.133
2005-02-28,563.41
2005-03-31,538.399
2005-04-29,515.258
2005-05-31,518.396
2005-06-30,549.904
2005-07-29,560.521
2005-08-31,557.507
2005-09-30,567.168
2005-10-31,553.698
2005-11-30,585.046
2005-12-30,609.859
2006-01-31,634.97
2006-02-28,661.412
2006-03-31,695.223
2006-04-28,722.648
2006-05-31,693.221
2006-06-30,691.994
2006-07-31,707.67
2006-08-31,745.068
2006-09-29,768.699
2006-10-31,774.598
2006-11-30,786.363
2006-12-29,827.795
2007-01-31,828.384
2007-02-28,846.047
2007-03-30,907.801
2007-04-30,1009.306
2007-05-31,1000.0
2007-06-29,984.325
2007-07-31,976.781
2007-08-31,948.854
2007-09-28,1034.412
2007-10-31,1055.696
2007-11-30,998.202
2007-12-31,1002.424
2008-01-31,885.142
2008-02-29,921.752
2008-03-31,953.705
2008-04-30,1001.575
2008-05-30,1001.782
2008-06-30,868.345
2008-07-31,852.294
2008-08-29,848.576
2008-09-30,665.97
2008-10-31,420.584
2008-11-28,389.828
2008-12-31,445.842
2009-01-30,396.735
2009-02-27,327.595
2009-03-31,343.648
2009-04-30,425.979
2009-05-29,484.627
2009-06-30,470.386
2009-07-31,555.995
2009-08-31,604.453
2009-09-30,668.981
2009-10-30,618.127
2009-11-30,633.575
2009-12-31,664.442
2010-01-29,643.293
2010-02-26,601.473
2010-03-31,664.778
2010-04-30,661.39
2010-05-31,578.623
2010-06-30,572.828
2010-07-30,668.36
2010-08-31,628.84
2010-09-30,722.876
2010-10-29,749.275
2010-11-30,654.495
2010-12-31,731.214
2011-01-31,791.784
2011-02-28,830.744
2011-03-31,846.92
2011-04-29,891.631
2011-05-31,834.689
2011-06-30,804.234
2011-07-29,735.082
2011-08-31,629.512
2011-09-30,540.913
2011-10-31,621.811
2011-11-30,561.311
2011-12-30,550.491
2012-01-31,591.053
2012-02-29,611.441
2012-03-30,607.927
2012-04-30,555.152
2012-05-31,493.935
2012-06-29,536.82
2012-07-31,543.534
2012-08-31,585.145
2012-09-28,594.089
2012-10-31,620.25
2012-11-30,632.204
2012-12-31,657.007
2013-01-31,718.019
2013-02-28,637.601
2013-03-29,635.531
2013-04-30,668.078
2013-05-31,706.144
2013-06-28,674.905
2013-07-31,764.185
2013-08-30,758.588
2013-09-30,811.531
2013-10-31,876.281
2013-11-29,892.085
