Date,NETHERLANDS IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,184.774
1994-06-30,184.503
1994-07-29,194.689
1994-08-31,198.855
1994-09-30,193.105
1994-10-31,205.885
1994-11-30,195.412
1994-12-30,199.36
1995-01-31,201.402
1995-02-28,206.839
1995-03-31,214.571
1995-04-28,221.663
1995-05-31,228.442
1995-06-30,228.186
1995-07-31,238.465
1995-08-31,224.853
1995-09-29,235.204
1995-10-31,235.656
1995-11-30,244.976
1995-12-29,255.571
1996-01-31,254.577
1996-02-29,260.255
1996-03-29,265.801
1996-04-30,267.901
1996-05-31,283.138
1996-06-28,281.515
1996-07-31,275.908
1996-08-30,279.154
1996-09-30,289.469
1996-10-31,297.088
1996-11-29,316.164
1996-12-31,324.751
1997-01-31,326.412
1997-02-28,335.082
1997-03-31,344.337
1997-04-30,341.159
1997-05-30,366.644
1997-06-30,389.244
1997-07-31,422.791
1997-08-29,381.648
1997-09-30,414.134
1997-10-31,393.843
1997-11-28,389.04
1997-12-31,402.941
1998-01-30,405.166
1998-02-27,442.253
1998-03-31,460.251
1998-04-30,471.684
1998-05-29,492.367
1998-06-30,484.319
1998-07-31,497.968
1998-08-31,424.775
1998-09-30,391.593
1998-10-30,408.642
1998-11-30,430.782
1998-12-31,454.536
1999-01-29,418.994
1999-02-26,423.397
1999-03-31,449.973
1999-04-30,491.347
1999-05-31,469.527
1999-06-30,479.523
1999-07-30,493.122
1999-08-31,501.097
1999-09-30,477.924
1999-10-29,498.65
1999-11-30,492.024
1999-12-31,547.107
2000-01-31,478.691
2000-02-29,508.78
2000-03-31,521.576
2000-04-28,499.364
2000-05-31,517.344
2000-06-30,549.472
2000-07-31,527.035
2000-08-31,527.04
2000-09-29,510.678
2000-10-31,511.322
2000-11-30,508.749
2000-12-29,532.075
2001-01-31,538.54
2001-02-28,505.785
2001-03-30,462.997
2001-04-30,491.845
2001-05-31,484.716
2001-06-29,465.996
2001-07-31,463.372
2001-08-31,457.953
2001-09-28,402.915
2001-10-31,398.48
2001-11-30,403.656
2001-12-31,413.773
2002-01-31,407.138
2002-02-28,414.694
2002-03-29,444.177
2002-04-30,445.53
2002-05-31,458.776
2002-06-28,449.966
2002-07-31,369.959
2002-08-30,380.172
2002-09-30,317.127
2002-10-31,357.671
2002-11-29,374.8
2002-12-31,358.618
2003-01-31,338.171
2003-02-28,310.618
2003-03-31,299.706
2003-04-30,336.083
2003-05-30,365.438
2003-06-30,373.794
2003-07-31,383.5
2003-08-29,387.868
2003-09-30,384.202
2003-10-31,405.914
2003-11-28,418.373
2003-12-31,466.885
2004-01-30,456.846
2004-02-27,461.171
2004-03-31,437.929
2004-04-30,443.067
2004-05-31,451.103
2004-06-30,459.925
2004-07-30,444.887
2004-08-31,448.876
2004-09-30,462.067
2004-10-29,481.969
2004-11-30,514.691
2004-12-31,539.06
2005-01-31,536.758
2005-02-28,575.825
2005-03-31,550.251
2005-04-29,524.409
2005-05-31,527.069
2005-06-30,559.091
