Date,NETHERLANDS IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,532.075
2001-01-02,539.279
2001-01-03,541.64
2001-01-04,544.332
2001-01-05,543.286
2001-01-08,539.259
2001-01-09,531.605
2001-01-10,526.962
2001-01-11,539.326
2001-01-12,540.639
2001-01-15,542.696
2001-01-16,535.078
2001-01-17,533.946
2001-01-18,534.043
2001-01-19,523.926
2001-01-22,527.079
2001-01-23,527.853
2001-01-24,524.755
2001-01-25,527.939
2001-01-26,527.429
2001-01-29,528.713
2001-01-30,529.432
2001-01-31,538.54
2001-02-01,538.117
2001-02-02,536.509
2001-02-05,540.667
2001-02-06,537.771
2001-02-07,533.549
2001-02-08,528.367
2001-02-09,533.341
2001-02-12,534.192
2001-02-13,530.449
2001-02-14,527.028
2001-02-15,516.088
2001-02-16,520.697
2001-02-19,521.968
2001-02-20,515.438
2001-02-21,509.816
2001-02-22,498.065
2001-02-23,495.129
2001-02-26,500.656
2001-02-27,508.138
2001-02-28,505.785
2001-03-01,505.433
2001-03-02,508.436
2001-03-05,505.328
2001-03-06,510.869
2001-03-07,509.988
2001-03-08,511.729
2001-03-09,513.668
2001-03-12,503.696
2001-03-13,490.1
2001-03-14,481.984
2001-03-15,481.337
2001-03-16,466.288
2001-03-19,461.696
2001-03-20,469.411
2001-03-21,460.054
2001-03-22,435.412
2001-03-23,444.137
2001-03-26,460.642
2001-03-27,469.169
2001-03-28,457.977
2001-03-29,457.717
2001-03-30,462.997
2001-04-02,461.806
2001-04-03,453.832
2001-04-04,459.759
2001-04-05,465.313
2001-04-06,468.651
2001-04-09,477.55
2001-04-10,480.598
2001-04-11,475.662
2001-04-12,482.993
2001-04-13,482.993
2001-04-16,478.047
2001-04-17,476.878
2001-04-18,478.715
2001-04-19,478.739
2001-04-20,482.018
2001-04-23,477.031
2001-04-24,482.566
2001-04-25,485.269
2001-04-26,494.245
2001-04-27,495.185
2001-04-30,491.845
2001-05-01,494.72
2001-05-02,491.509
2001-05-03,483.723
2001-05-04,482.076
2001-05-07,484.078
2001-05-08,481.383
2001-05-09,480.332
2001-05-10,491.314
2001-05-11,484.4
2001-05-14,482.074
2001-05-15,488.648
2001-05-16,488.993
2001-05-17,491.877
2001-05-18,495.685
2001-05-21,496.13
2001-05-22,496.252
2001-05-23,492.076
2001-05-24,491.614
2001-05-25,488.011
2001-05-28,492.313
2001-05-29,490.313
2001-05-30,489.261
2001-05-31,484.716
2001-06-01,480.423
2001-06-04,481.075
2001-06-05,485.495
2001-06-06,482.215
2001-06-07,481.844
2001-06-08,479.706
2001-06-11,474.177
2001-06-12,473.163
2001-06-13,477.085
2001-06-14,477.218
2001-06-15,474.887
2001-06-18,472.545
2001-06-19,468.237
2001-06-20,465.271
2001-06-21,468.805
2001-06-22,470.22
2001-06-25,477.133
2001-06-26,473.097
2001-06-27,467.461
2001-06-28,459.992
2001-06-29,465.996
2001-07-02,471.623
2001-07-03,466.383
2001-07-04,465.365
2001-07-05,463.341
2001-07-06,459.854
2001-07-09,460.73
2001-07-10,460.817
2001-07-11,457.096
2001-07-12,453.553
2001-07-13,454.529
2001-07-16,451.398
2001-07-17,451.252
2001-07-18,451.42
2001-07-19,452.613
2001-07-20,452.472
2001-07-23,452.107
2001-07-24,451.934
2001-07-25,447.65
2001-07-26,449.864
2001-07-27,454.099
2001-07-30,460.745
2001-07-31,463.372
2001-08-01,467.435
2001-08-02,462.791
2001-08-03,457.572
2001-08-06,458.745
2001-08-07,458.109
2001-08-08,453.42
2001-08-09,452.23
2001-08-10,450.133
2001-08-13,455.188
2001-08-14,458.723
2001-08-15,462.217
2001-08-16,465.561
2001-08-17,460.985
2001-08-20,458.602
2001-08-21,463.141
2001-08-22,467.364
2001-08-23,467.726
2001-08-24,472.314
2001-08-27,472.783
2001-08-28,466.762
2001-08-29,468.986
2001-08-30,462.107
2001-08-31,457.953
2001-09-03,451.236
2001-09-04,448.041
2001-09-05,442.481
2001-09-06,436.274
2001-09-07,427.696
2001-09-10,421.771
2001-09-11,406.32
2001-09-12,405.784
2001-09-13,410.521
2001-09-14,391.368
2001-09-17,402.241
2001-09-18,404.788
2001-09-19,393.624
2001-09-20,369.886
2001-09-21,346.14
2001-09-24,369.315
2001-09-25,378.914
2001-09-26,384.119
2001-09-27,390.879
2001-09-28,402.915
2001-10-01,390.948
2001-10-02,400.667
2001-10-03,398.619
2001-10-04,411.409
2001-10-05,409.077
2001-10-08,407.799
2001-10-09,407.505
2001-10-10,418.219
2001-10-11,417.691
2001-10-12,418.153
2001-10-15,398.623
2001-10-16,399.352
2001-10-17,409.668
2001-10-18,397.545
2001-10-19,386.292
2001-10-22,391.656
2001-10-23,402.888
2001-10-24,401.421
2001-10-25,395.841
2001-10-26,406.761
2001-10-29,406.704
2001-10-30,397.906
2001-10-31,398.48
2001-11-01,405.948
2001-11-02,405.937
2001-11-05,410.886
2001-11-06,406.58
2001-11-07,411.863
2001-11-08,418.239
2001-11-09,414.162
2001-11-12,404.483
2001-11-13,414.517
2001-11-14,406.536
2001-11-15,396.488
2001-11-16,406.552
2001-11-19,406.719
2001-11-20,410.537
2001-11-21,404.744
2001-11-22,410.865
2001-11-23,410.651
2001-11-26,408.177
2001-11-27,403.137
2001-11-28,398.969
2001-11-29,400.294
2001-11-30,403.656
2001-12-03,399.85
2001-12-04,402.256
2001-12-05,408.466
2001-12-06,408.81
2001-12-07,405.011
2001-12-10,397.68
2001-12-11,399.483
2001-12-12,395.036
2001-12-13,390.492
2001-12-14,391.701
2001-12-17,403.573
2001-12-18,400.722
2001-12-19,397.247
2001-12-20,394.317
2001-12-21,401.69
2001-12-24,397.737
2001-12-25,397.737
2001-12-26,398.077
2001-12-27,409.063
2001-12-28,409.777
2001-12-31,413.773
2002-01-01,413.773
2002-01-02,409.108
2002-01-03,412.197
2002-01-04,409.038
2002-01-07,407.754
2002-01-08,405.051
2002-01-09,408.107
2002-01-10,405.938
2002-01-11,410.01
2002-01-14,402.665
2002-01-15,406.562
2002-01-16,400.872
2002-01-17,404.908
2002-01-18,405.305
2002-01-21,405.334
2002-01-22,406.166
2002-01-23,409.272
2002-01-24,414.069
2002-01-25,410.015
2002-01-28,411.545
2002-01-29,405.754
2002-01-30,401.6
2002-01-31,407.138
2002-02-01,409.977
2002-02-04,409.022
2002-02-05,401.796
2002-02-06,400.522
2002-02-07,401.651
2002-02-08,400.715
2002-02-11,407.402
2002-02-12,408.096
2002-02-13,407.531
2002-02-14,410.665
2002-02-15,412.201
2002-02-18,408.487
2002-02-19,402.882
2002-02-20,399.607
2002-02-21,406.12
2002-02-22,406.175
2002-02-25,408.006
2002-02-26,408.66
2002-02-27,411.742
2002-02-28,414.694
2002-03-01,417.899
2002-03-04,427.192
2002-03-05,425.527
2002-03-06,428.938
2002-03-07,436.182
2002-03-08,434.013
2002-03-11,436.059
2002-03-12,435.493
2002-03-13,434.095
2002-03-14,435.469
2002-03-15,440.936
2002-03-18,441.83
2002-03-19,445.889
2002-03-20,446.411
2002-03-21,442.221
2002-03-22,442.782
2002-03-25,438.014
2002-03-26,438.745
2002-03-27,438.642
2002-03-28,444.177
2002-03-29,444.177
2002-04-01,447.817
2002-04-02,447.504
2002-04-03,444.445
2002-04-04,439.411
2002-04-05,437.014
2002-04-08,429.906
2002-04-09,432.46
2002-04-10,438.01
2002-04-11,436.053
2002-04-12,433.899
2002-04-15,435.734
2002-04-16,445.074
2002-04-17,447.757
2002-04-18,450.832
2002-04-19,450.802
2002-04-22,449.421
2002-04-23,446.782
2002-04-24,441.911
2002-04-25,441.372
2002-04-26,441.132
2002-04-29,438.842
2002-04-30,445.53
2002-05-01,448.052
2002-05-02,442.722
2002-05-03,448.865
2002-05-06,443.865
2002-05-07,440.512
2002-05-08,443.57
2002-05-09,445.301
2002-05-10,444.15
2002-05-13,446.588
2002-05-14,448.35
2002-05-15,452.501
2002-05-16,452.889
2002-05-17,455.113
2002-05-20,452.818
2002-05-21,450.392
2002-05-22,449.704
2002-05-23,452.81
2002-05-24,456.652
2002-05-27,455.614
2002-05-28,456.26
2002-05-29,455.748
2002-05-30,452.758
2002-05-31,458.776
2002-06-03,454.711
2002-06-04,443.495
2002-06-05,442.753
2002-06-06,448.77
2002-06-07,439.509
2002-06-10,435.645
2002-06-11,441.471
2002-06-12,430.852
2002-06-13,428.546
2002-06-14,417.714
2002-06-17,430.264
2002-06-18,433.871
2002-06-19,430.98
2002-06-20,425.361
2002-06-21,423.648
2002-06-24,417.336
2002-06-25,427.785
2002-06-26,426.12
2002-06-27,428.659
2002-06-28,449.966
2002-07-01,451.268
2002-07-02,437.617
2002-07-03,427.306
2002-07-04,440.143
2002-07-05,451.894
2002-07-08,454.938
2002-07-09,453.748
2002-07-10,423.497
2002-07-11,407.263
2002-07-12,403.424
2002-07-15,381.017
2002-07-16,377.307
2002-07-17,390.805
2002-07-18,394.716
2002-07-19,383.471
2002-07-22,347.196
2002-07-23,337.812
2002-07-24,329.784
2002-07-25,350.869
2002-07-26,346.925
2002-07-29,364.712
2002-07-30,362.659
2002-07-31,369.959
2002-08-01,348.749
2002-08-02,349.88
2002-08-05,340.603
2002-08-06,347.236
2002-08-07,349.215
2002-08-08,366.087
2002-08-09,375.138
2002-08-12,366.879
