Date,NETHERLANDS IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,500.782
2001-01-02,507.562
2001-01-03,509.785
2001-01-04,512.318
2001-01-05,511.334
2001-01-08,507.544
2001-01-09,500.34
2001-01-10,495.97
2001-01-11,507.606
2001-01-12,508.843
2001-01-15,510.778
2001-01-16,503.609
2001-01-17,502.543
2001-01-18,502.634
2001-01-19,493.112
2001-01-22,496.08
2001-01-23,496.809
2001-01-24,493.892
2001-01-25,496.889
2001-01-26,496.409
2001-01-29,497.617
2001-01-30,498.294
2001-01-31,506.867
2001-02-01,506.48
2001-02-02,504.966
2001-02-05,508.879
2001-02-06,506.153
2001-02-07,502.18
2001-02-08,497.302
2001-02-09,501.984
2001-02-12,502.785
2001-02-13,499.262
2001-02-14,496.043
2001-02-15,485.746
2001-02-16,490.084
2001-02-19,491.28
2001-02-20,485.134
2001-02-21,479.842
2001-02-22,468.782
2001-02-23,466.019
2001-02-26,471.221
2001-02-27,478.262
2001-02-28,476.048
2001-03-01,475.717
2001-03-02,478.543
2001-03-05,475.618
2001-03-06,480.834
2001-03-07,480.004
2001-03-08,481.642
2001-03-09,483.48
2001-03-12,474.094
2001-03-13,461.297
2001-03-14,453.657
2001-03-15,453.049
2001-03-16,438.885
2001-03-19,434.562
2001-03-20,441.824
2001-03-21,433.016
2001-03-22,409.823
2001-03-23,418.035
2001-03-26,433.57
2001-03-27,441.596
2001-03-28,431.062
2001-03-29,430.817
2001-03-30,435.825
2001-04-02,434.704
2001-04-03,427.197
2001-04-04,432.777
2001-04-05,438.016
2001-04-06,441.158
2001-04-09,449.54
2001-04-10,452.409
2001-04-11,447.763
2001-04-12,454.668
2001-04-13,454.668
2001-04-16,450.011
2001-04-17,448.927
2001-04-18,450.684
2001-04-19,451.139
2001-04-20,454.253
2001-04-23,449.553
2001-04-24,454.769
2001-04-25,457.337
2001-04-26,465.803
2001-04-27,466.698
2001-04-30,463.551
2001-05-01,466.285
2001-05-02,463.262
2001-05-03,455.923
2001-05-04,454.569
2001-05-07,456.471
2001-05-08,453.96
2001-05-09,452.969
2001-05-10,463.326
2001-05-11,456.941
2001-05-14,454.983
2001-05-15,461.188
2001-05-16,461.513
2001-05-17,464.249
2001-05-18,468.462
2001-05-21,468.885
