Date,FINLAND VALUE Standard (Large+Mid Cap)
2001-01-01,267.518
2001-01-02,264.71
2001-01-03,259.682
2001-01-04,273.492
2001-01-05,280.886
2001-01-08,279.882
2001-01-09,272.345
2001-01-10,272.896
2001-01-11,277.289
2001-01-12,282.296
2001-01-15,282.549
2001-01-16,271.259
2001-01-17,275.081
2001-01-18,272.125
2001-01-19,276.171
2001-01-22,274.033
2001-01-23,274.862
2001-01-24,270.521
2001-01-25,265.454
2001-01-26,264.963
2001-01-29,258.743
2001-01-30,268.172
2001-01-31,274.92
2001-02-01,275.362
2001-02-02,270.677
2001-02-05,271.529
2001-02-06,269.659
2001-02-07,259.198
2001-02-08,257.04
2001-02-09,251.556
2001-02-12,254.988
2001-02-13,246.878
2001-02-14,237.603
2001-02-15,242.753
2001-02-16,239.448
2001-02-19,238.123
2001-02-20,235.93
2001-02-21,230.191
2001-02-22,222.998
2001-02-23,220.854
2001-02-26,224.912
2001-02-27,230.723
2001-02-28,228.002
2001-03-01,226.558
2001-03-02,230.472
2001-03-05,233.37
2001-03-06,239.121
2001-03-07,238.616
2001-03-08,236.374
2001-03-09,235.29
2001-03-12,232.9
2001-03-13,228.065
2001-03-14,223.689
2001-03-15,224.977
2001-03-16,217.752
2001-03-19,215.668
2001-03-20,216.262
2001-03-21,208.443
2001-03-22,197.48
2001-03-23,200.539
2001-03-26,209.052
2001-03-27,212.738
2001-03-28,210.727
2001-03-29,202.382
2001-03-30,202.39
2001-04-02,199.056
2001-04-03,199.047
2001-04-04,202.357
2001-04-05,204.806
2001-04-06,204.495
2001-04-09,208.216
2001-04-10,210.872
2001-04-11,213.931
2001-04-12,216.059
2001-04-13,216.059
2001-04-16,213.846
2001-04-17,210.507
2001-04-18,213.685
2001-04-19,221.899
2001-04-20,222.069
2001-04-23,220.176
2001-04-24,218.34
2001-04-25,222.534
2001-04-26,226.295
2001-04-27,230.447
2001-04-30,238.699
2001-05-01,239.965
2001-05-02,238.677
2001-05-03,236.15
2001-05-04,232.622
2001-05-07,234.477
2001-05-08,228.909
2001-05-09,228.684
2001-05-10,232.688
2001-05-11,229.027
2001-05-14,226.246
2001-05-15,231.44
2001-05-16,230.556
2001-05-17,235.922
2001-05-18,233.772
2001-05-21,232.736
2001-05-22,232.748
2001-05-23,230.744
2001-05-24,229.873
2001-05-25,228.599
2001-05-28,233.53
2001-05-29,229.632
2001-05-30,227.329
2001-05-31,222.479
2001-06-01,218.543
2001-06-04,221.6
2001-06-05,222.695
2001-06-06,221.847
2001-06-07,221.273
2001-06-08,226.017
2001-06-11,218.824
2001-06-12,215.145
2001-06-13,215.245
2001-06-14,209.758
2001-06-15,207.239
2001-06-18,206.361
2001-06-19,208.601
2001-06-20,205.473
2001-06-21,209.504
2001-06-22,209.713
2001-06-25,212.296
2001-06-26,210.027
2001-06-27,206.954
2001-06-28,204.596
2001-06-29,204.429
2001-07-02,207.144
2001-07-03,208.684
2001-07-04,209.567
2001-07-05,208.256
2001-07-06,205.901
2001-07-09,206.319
2001-07-10,209.839
2001-07-11,206.301
2001-07-12,201.561
2001-07-13,203.124
2001-07-16,204.021
2001-07-17,196.092
2001-07-18,201.593
2001-07-19,202.901
2001-07-20,201.481
2001-07-23,200.029
2001-07-24,202.486
2001-07-25,198.059
2001-07-26,199.019
2001-07-27,201.077
2001-07-30,202.725
2001-07-31,204.631
2001-08-01,207.273
