Date,FINLAND VALUE Standard (Large+Mid Cap)
2001-01-01,245.849
2001-01-02,243.269
2001-01-03,238.648
2001-01-04,251.339
2001-01-05,258.135
2001-01-08,257.212
2001-01-09,250.285
2001-01-10,250.792
2001-01-11,254.829
2001-01-12,259.43
2001-01-15,259.663
2001-01-16,249.287
2001-01-17,252.799
2001-01-18,250.083
2001-01-19,253.801
2001-01-22,251.837
2001-01-23,252.599
2001-01-24,248.609
2001-01-25,243.952
2001-01-26,243.501
2001-01-29,237.785
2001-01-30,246.45
2001-01-31,252.652
2001-02-01,253.058
2001-02-02,248.753
2001-02-05,249.536
2001-02-06,247.816
2001-02-07,238.203
2001-02-08,236.22
2001-02-09,231.18
2001-02-12,234.334
2001-02-13,226.881
2001-02-14,218.357
2001-02-15,223.09
2001-02-16,220.053
2001-02-19,218.835
2001-02-20,216.82
2001-02-21,211.546
2001-02-22,204.935
2001-02-23,202.965
2001-02-26,206.649
2001-02-27,211.988
2001-02-28,209.488
2001-03-01,208.162
2001-03-02,211.758
2001-03-05,214.421
2001-03-06,219.705
2001-03-07,219.241
2001-03-08,217.144
2001-03-09,216.147
2001-03-12,213.952
2001-03-13,209.511
2001-03-14,205.444
2001-03-15,206.628
2001-03-16,199.992
2001-03-19,198.043
2001-03-20,198.589
2001-03-21,191.357
2001-03-22,181.053
2001-03-23,183.227
2001-03-26,191.005
2001-03-27,194.337
2001-03-28,192.501
2001-03-29,184.758
2001-03-30,184.596
2001-04-02,181.555
2001-04-03,181.527
2001-04-04,184.438
2001-04-05,186.582
2001-04-06,185.895
2001-04-09,189.278
2001-04-10,191.555
2001-04-11,193.35
2001-04-12,195.273
2001-04-13,195.273
2001-04-16,193.273
2001-04-17,190.255
2001-04-18,193.127
2001-04-19,200.551
2001-04-20,200.705
2001-04-23,198.994
2001-04-24,197.334
2001-04-25,201.125
2001-04-26,204.524
2001-04-27,208.277
2001-04-30,215.735
2001-05-01,216.879
2001-05-02,215.715
2001-05-03,213.431
2001-05-04,210.243
2001-05-07,211.919
2001-05-08,206.887
2001-05-09,206.684
2001-05-10,210.302
2001-05-11,206.993
2001-05-14,204.48
2001-05-15,209.175
2001-05-16,208.375
2001-05-17,213.225
2001-05-18,211.282
2001-05-21,210.346
2001-05-22,210.356
2001-05-23,208.545
2001-05-24,207.758
2001-05-25,206.606
2001-05-28,211.063
2001-05-29,207.54
2001-05-30,205.459
2001-05-31,201.075
2001-06-01,197.518
2001-06-04,200.281
2001-06-05,201.27
2001-06-06,200.504
2001-06-07,199.985
2001-06-08,204.273
2001-06-11,197.772
2001-06-12,194.447
2001-06-13,194.537
2001-06-14,189.579
2001-06-15,187.301
2001-06-18,186.508
2001-06-19,188.532
2001-06-20,185.705
2001-06-21,189.349
2001-06-22,189.537
2001-06-25,191.872
2001-06-26,189.822
2001-06-27,187.044
2001-06-28,184.913
2001-06-29,184.762
2001-07-02,187.216
2001-07-03,188.607
2001-07-04,189.405
2001-07-05,188.221
2001-07-06,186.092
2001-07-09,186.47
2001-07-10,189.652
2001-07-11,186.454
2001-07-12,182.17
2001-07-13,183.583
2001-07-16,184.393
2001-07-17,177.227
2001-07-18,182.199
2001-07-19,183.381
2001-07-20,182.098
2001-07-23,180.786
2001-07-24,183.005
2001-07-25,179.005
2001-07-26,179.873
2001-07-27,181.732
2001-07-30,183.222
2001-07-31,184.944
2001-08-01,187.332
2001-08-02,189.703
2001-08-03,188.44
2001-08-06,187.612
2001-08-07,185.964
2001-08-08,183.279
2001-08-09,183.902
2001-08-10,183.446
2001-08-13,186.951
2001-08-14,187.946
2001-08-15,189.93
2001-08-16,188.793
2001-08-17,187.373
2001-08-20,183.527
2001-08-21,185.432
2001-08-22,186.755
2001-08-23,185.782
2001-08-24,186.53
2001-08-27,186.556
2001-08-28,184.307
2001-08-29,183.303
2001-08-30,181.11
2001-08-31,182.162
2001-09-03,180.059
2001-09-04,177.174
2001-09-05,178.255
2001-09-06,177.136
2001-09-07,177.617
2001-09-10,172.241
2001-09-11,168.351
2001-09-12,166.92
2001-09-13,167.835
2001-09-14,164.933
2001-09-17,160.672
2001-09-18,161.836
2001-09-19,164.081
2001-09-20,158.711
2001-09-21,153.804
2001-09-24,155.292
2001-09-25,157.227
2001-09-26,157.799
2001-09-27,157.714
2001-09-28,158.729
2001-10-01,160.575
2001-10-02,163.601
2001-10-03,164.499
2001-10-04,167.895
2001-10-05,169.371
2001-10-08,171.165
2001-10-09,172.029
2001-10-10,171.004
2001-10-11,174.56
2001-10-12,175.422
2001-10-15,172.458
2001-10-16,173.235
2001-10-17,175.299
2001-10-18,172.568
2001-10-19,170.467
2001-10-22,170.294
2001-10-23,175.68
2001-10-24,181.581
2001-10-25,180.785
