Date,FINLAND VALUE Standard (Large+Mid Cap)
1998-09-30,191.817
1998-10-30,209.627
1998-11-30,221.594
1998-12-31,248.919
1999-01-29,252.431
1999-02-26,239.734
1999-03-31,258.933
1999-04-30,282.741
1999-05-31,276.254
1999-06-30,284.243
1999-07-30,308.083
1999-08-31,298.84
1999-09-30,306.272
1999-10-29,309.526
1999-11-30,348.096
1999-12-31,484.535
2000-01-31,478.696
2000-02-29,502.529
2000-03-31,467.756
2000-04-28,393.021
2000-05-31,371.5
2000-06-30,350.032
2000-07-31,323.24
2000-08-31,294.759
2000-09-29,256.045
2000-10-31,232.413
2000-11-30,227.475
2000-12-29,245.849
2001-01-31,252.652
2001-02-28,209.488
2001-03-30,184.596
2001-04-30,215.735
2001-05-31,201.075
2001-06-29,184.762
2001-07-31,184.944
2001-08-31,182.162
2001-09-28,158.729
2001-10-31,186.432
2001-11-30,195.184
2001-12-31,195.869
2002-01-31,196.36
2002-02-28,205.12
2002-03-29,210.231
2002-04-30,212.847
2002-05-31,221.332
2002-06-28,219.94
2002-07-31,190.481
2002-08-30,186.963
2002-09-30,166.128
2002-10-31,181.467
2002-11-29,202.437
2002-12-31,195.207
2003-01-31,183.945
2003-02-28,182.096
2003-03-31,177.285
2003-04-30,199.595
2003-05-30,201.249
2003-06-30,195.707
2003-07-31,197.197
2003-08-29,208.702
2003-09-30,203.604
2003-10-31,225.813
2003-11-28,237.314
2003-12-31,235.891
2004-01-30,255.509
2004-02-27,270.847
2004-03-31,261.803
2004-04-30,223.696
2004-05-31,221.032
2004-06-30,231.605
2004-07-30,214.492
2004-08-31,215.476
2004-09-30,231.839
2004-10-29,249.773
2004-11-30,274.64
2004-12-31,271.889
2005-01-31,262.066
2005-02-28,280.283
2005-03-31,274.746
2005-04-29,273.142
2005-05-31,279.653
2005-06-30,283.535
2005-07-29,287.279
2005-08-31,290.096
2005-09-30,302.846
2005-10-31,290.006
2005-11-30,293.167
2005-12-30,310.289
2006-01-31,331.419
2006-02-28,344.644
2006-03-31,380.242
2006-04-28,397.966
2006-05-31,374.582
2006-06-30,374.295
2006-07-31,379.653
2006-08-31,393.557
2006-09-29,393.946
2006-10-31,422.509
2006-11-30,443.436
2006-12-29,457.794
2007-01-31,462.963
2007-02-28,470.696
2007-03-30,497.713
2007-04-30,530.919
2007-05-31,548.423
2007-06-29,535.297
2007-07-31,524.355
2007-08-31,513.039
2007-09-28,551.35
2007-10-31,557.358
2007-11-30,524.034
2007-12-31,502.741
2008-01-31,464.656
2008-02-29,474.06
2008-03-31,493.056
2008-04-30,508.157
2008-05-30,527.55
2008-06-30,462.105
2008-07-31,419.529
2008-08-29,425.613
2008-09-30,351.794
2008-10-31,294.26
2008-11-28,277.184
2008-12-31,279.383
2009-01-30,244.471
2009-02-27,200.89
2009-03-31,206.348
2009-04-30,272.042
2009-05-29,295.207
2009-06-30,278.594
2009-07-31,288.366
2009-08-31,317.487
2009-09-30,328.05
2009-10-30,307.124
2009-11-30,320.409
2009-12-31,321.704
2010-01-29,332.071
