Date,FINLAND VALUE Standard (Large+Mid Cap)
1987-12-31,100.0
1988-01-29,95.914
1988-02-29,101.505
1988-03-31,108.119
1988-04-29,112.644
1988-05-31,120.253
1988-06-30,123.304
1988-07-29,122.201
1988-08-31,116.844
1988-09-30,111.488
1988-10-31,118.173
1988-11-30,125.473
1988-12-30,121.169
1989-01-31,117.419
1989-02-28,118.853
1989-03-31,121.142
1989-04-28,128.544
1989-05-31,123.813
1989-06-30,117.565
1989-07-31,123.809
1989-08-31,117.067
1989-09-29,111.913
1989-10-31,108.662
1989-11-30,103.041
1989-12-29,116.539
1990-01-31,126.18
1990-02-28,125.495
1990-03-30,119.658
1990-04-30,111.828
1990-05-31,113.399
1990-06-29,114.957
1990-07-31,119.551
1990-08-31,110.957
1990-09-28,86.559
1990-10-31,86.994
1990-11-30,93.862
1990-12-31,86.973
1991-01-31,84.334
1991-02-28,95.208
1991-03-29,104.178
1991-04-30,95.779
1991-05-31,95.634
1991-06-28,85.229
1991-07-31,89.652
1991-08-30,85.035
1991-09-30,76.413
1991-10-31,78.439
1991-11-29,76.484
1991-12-31,76.471
1992-01-31,83.058
1992-02-28,80.463
1992-03-31,72.476
1992-04-30,72.523
1992-05-29,78.018
1992-06-30,70.811
1992-07-31,65.81
1992-08-31,54.826
1992-09-30,51.128
1992-10-30,65.955
1992-11-30,73.893
1992-12-31,70.318
1993-01-29,69.914
1993-02-26,72.733
1993-03-31,77.621
1993-04-30,99.79
1993-05-31,102.295
1993-06-30,98.34
1993-07-30,106.319
1993-08-31,119.404
1993-09-30,114.366
1993-10-29,127.644
1993-11-30,123.865
1993-12-31,132.035
1994-01-31,160.867
1994-02-28,159.09
1994-03-31,141.535
1994-04-29,148.818
1994-05-31,144.667
1994-06-30,136.495
1994-07-29,149.204
1994-08-31,156.064
1994-09-30,154.762
1994-10-31,159.527
1994-11-30,143.428
1994-12-30,142.968
1995-01-31,140.287
1995-02-28,147.304
1995-03-31,139.513
1995-04-28,159.046
1995-05-31,157.79
1995-06-30,162.69
1995-07-31,172.015
1995-08-31,158.743
1995-09-29,170.752
1995-10-31,153.458
1995-11-30,155.262
1995-12-29,151.65
1996-01-31,148.937
1996-02-29,157.123
1996-03-29,157.508
1996-04-30,154.834
1996-05-31,158.779
1996-06-28,164.756
1996-07-31,173.584
1996-08-30,184.209
1996-09-30,178.966
1996-10-31,181.601
1996-11-29,180.799
1996-12-31,185.998
1997-01-31,183.003
1997-02-28,194.0
1997-03-31,197.619
1997-04-30,191.799
1997-05-30,196.596
1997-06-30,198.018
1997-07-31,210.111
1997-08-29,196.299
1997-09-30,224.322
1997-10-31,209.674
1997-11-28,207.251
1997-12-31,207.244
1998-01-30,220.322
1998-02-27,243.533
1998-03-31,245.492
1998-04-30,271.748
1998-05-29,269.142
1998-06-30,263.889
