Date,NORWAY MID CAP Mid Cap
1994-05-31,125.481
1994-06-30,124.847
1994-07-29,131.524
1994-08-31,129.484
1994-09-30,119.747
1994-10-31,126.359
1994-11-30,128.006
1994-12-30,141.86
1995-01-31,143.488
1995-02-28,138.363
1995-03-31,142.16
1995-04-28,152.12
1995-05-31,151.2
1995-06-30,162.226
1995-07-31,165.377
1995-08-31,162.214
1995-09-29,165.729
1995-10-31,162.264
1995-11-30,166.433
1995-12-29,167.401
1996-01-31,165.193
1996-02-29,172.239
1996-03-29,167.915
1996-04-30,176.378
1996-05-31,179.222
1996-06-28,174.733
1996-07-31,177.807
1996-08-30,178.538
1996-09-30,179.333
1996-10-31,191.654
1996-11-29,203.755
1996-12-31,211.823
1997-01-31,225.327
1997-02-28,226.413
1997-03-31,230.505
1997-04-30,215.124
1997-05-30,230.873
1997-06-30,225.86
1997-07-31,234.778
1997-08-29,229.182
1997-09-30,253.389
1997-10-31,261.015
1997-11-28,244.526
1997-12-31,245.898
1998-01-30,227.634
1998-02-27,247.006
1998-03-31,259.034
1998-04-30,278.521
1998-05-29,254.225
1998-06-30,246.163
1998-07-31,243.966
1998-08-31,167.135
1998-09-30,164.549
1998-10-30,184.474
1998-11-30,176.562
1998-12-31,164.048
1999-01-29,182.318
1999-02-26,162.053
1999-03-31,178.51
1999-04-30,186.883
1999-05-31,189.558
1999-06-30,188.018
1999-07-30,196.475
1999-08-31,199.93
1999-09-30,202.092
1999-10-29,196.162
1999-11-30,206.49
1999-12-31,226.088
2000-01-31,204.61
2000-02-29,216.167
2000-03-31,212.952
2000-04-28,192.985
2000-05-31,201.523
2000-06-30,225.493
2000-07-31,224.07
2000-08-31,246.238
2000-09-29,236.519
2000-10-31,237.232
2000-11-30,217.214
2000-12-29,232.866
2001-01-31,222.543
2001-02-28,222.412
2001-03-30,198.63
2001-04-30,213.158
2001-05-31,216.792
2001-06-29,206.877
2001-07-31,203.185
2001-08-31,200.554
2001-09-28,164.435
2001-10-31,161.324
2001-11-30,172.631
2001-12-31,178.761
2002-01-31,168.116
2002-02-28,180.488
2002-03-29,189.948
2002-04-30,190.295
2002-05-31,197.904
2002-06-28,198.394
2002-07-31,180.496
2002-08-30,182.307
2002-09-30,162.381
2002-10-31,164.699
2002-11-29,177.744
2002-12-31,171.911
2003-01-31,163.982
2003-02-28,143.044
2003-03-31,147.194
2003-04-30,180.02
2003-05-30,199.952
2003-06-30,186.154
2003-07-31,194.506
2003-08-29,194.011
2003-09-30,200.468
2003-10-31,231.243
2003-11-28,247.766
2003-12-31,263.996
2004-01-30,259.674
2004-02-27,285.756
2004-03-31,290.972
2004-04-30,286.395
2004-05-31,302.181
2004-06-30,310.684
2004-07-30,305.165
2004-08-31,328.683
2004-09-30,351.189
2004-10-29,367.92
2004-11-30,405.552
2004-12-31,402.278
2005-01-31,399.078
2005-02-28,468.372
2005-03-31,469.47
2005-04-29,434.0
2005-05-31,455.027
2005-06-30,481.553
2005-07-29,516.888
2005-08-31,523.923
2005-09-30,521.43
2005-10-31,476.266
2005-11-30,489.057
2005-12-30,505.754
2006-01-31,500.381
2006-02-28,529.826
2006-03-31,574.2
2006-04-28,605.642
2006-05-31,581.844
2006-06-30,541.621
2006-07-31,547.458
2006-08-31,564.222
2006-09-29,559.78
2006-10-31,615.918
2006-11-30,692.718
2006-12-29,718.115
2007-01-31,760.306
2007-02-28,783.325
2007-03-30,829.905
2007-04-30,929.23
2007-05-31,1000.0
2007-06-29,1059.907
2007-07-31,1070.044
2007-08-31,1024.058
2007-09-28,1180.553
2007-10-31,1230.955
2007-11-30,1101.656
2007-12-31,1162.897
2008-01-31,959.087
2008-02-29,1152.615
2008-03-31,1156.553
2008-04-30,1359.097
2008-05-30,1438.823
2008-06-30,1253.692
2008-07-31,1172.267
2008-08-29,1133.918
2008-09-30,793.962
2008-10-31,381.858
2008-11-28,325.418
2008-12-31,338.678
2009-01-30,329.126
2009-02-27,281.946
2009-03-31,328.491
2009-04-30,367.959
2009-05-29,464.374
2009-06-30,431.724
2009-07-31,475.717
2009-08-31,486.13
2009-09-30,567.83
2009-10-30,531.803
2009-11-30,579.385
2009-12-31,671.117
2010-01-29,583.204
2010-02-26,528.647
2010-03-31,582.631
2010-04-30,604.414
2010-05-31,465.442
2010-06-30,421.131
2010-07-30,506.833
2010-08-31,475.886
2010-09-30,609.899
2010-10-29,625.862
2010-11-30,605.485
2010-12-31,712.078
2011-01-31,707.069
2011-02-28,787.726
2011-03-31,784.087
2011-04-29,808.44
2011-05-31,774.203
2011-06-30,725.709
2011-07-29,733.409
2011-08-31,647.8
2011-09-30,514.882
2011-10-31,583.093
2011-11-30,543.917
2011-12-30,517.529
2012-01-31,559.419
2012-02-29,672.659
2012-03-30,700.474
2012-04-30,701.937
2012-05-31,560.246
2012-06-29,593.799
2012-07-31,615.219
2012-08-31,667.815
2012-09-28,686.918
2012-10-31,692.562
2012-11-30,701.046
2012-12-31,737.28
2013-01-31,764.504
2013-02-28,732.58
2013-03-29,719.852
2013-04-30,723.162
2013-05-31,708.966
2013-06-28,638.86
2013-07-31,663.631
2013-08-30,655.542
2013-09-30,661.161
2013-10-31,718.406
2013-11-29,710.412
2013-12-31,721.627
2014-01-31,694.381
2014-02-28,750.953
2014-03-31,751.799
2014-04-30,788.134
2014-05-30,821.695
2014-06-30,808.023
2014-07-31,816.593
2014-08-29,825.762
2014-09-30,787.934
2014-10-31,686.946
2014-11-28,679.269
2014-12-31,649.004
2015-01-30,661.673
2015-02-27,687.827
2015-03-31,627.067
2015-04-30,680.123
2015-05-29,659.003
2015-06-30,622.537
2015-07-31,588.539
2015-08-31,528.821
2015-09-30,497.592
2015-10-30,552.874
2015-11-30,556.178
2015-12-31,532.613
2016-01-29,500.039
2016-02-29,521.502
2016-03-31,558.694
2016-04-29,574.455
2016-05-31,581.545
2016-06-30,559.816
2016-07-29,595.599
2016-08-31,582.608
2016-09-30,623.591
2016-10-31,595.691
2016-11-30,579.395
2016-12-30,595.04
2017-01-31,640.596
2017-02-28,614.522
2017-03-31,600.488
2017-04-28,611.901
2017-05-31,632.121
2017-06-30,639.468
2017-07-31,684.281
2017-08-31,713.324
2017-09-29,733.834
2017-10-31,756.474
2017-11-30,722.027
2017-12-29,756.375
2018-01-31,762.897
2018-02-28,751.818
2018-03-30,721.334
2018-04-30,726.028
2018-05-31,714.376
2018-06-29,709.885
2018-07-31,726.096
2018-08-31,728.494
2018-09-28,778.609
2018-10-31,725.705
2018-11-30,689.245
2018-12-31,646.486
2019-01-31,690.733
2019-02-28,703.402
2019-03-29,691.006
2019-04-30,708.383
2019-05-31,708.456
2019-06-28,740.887
2019-07-31,735.582
2019-08-30,723.786
2019-09-30,724.72
2019-10-31,727.817
2019-11-29,728.905
2019-12-31,782.849
2020-01-31,721.588
2020-02-28,647.113
2020-03-31,524.51
2020-04-30,587.393
2020-05-29,613.834
2020-06-30,618.166
2020-07-31,681.782
2020-08-31,731.904
2020-09-30,684.581
2020-10-30,630.395
2020-11-30,745.499
2020-12-31,789.729
2021-01-29,776.302
2021-02-26,819.938
2021-03-31,872.457
2021-04-30,918.194
2021-05-31,949.123
2021-06-30,930.188
2021-07-30,939.198
2021-08-31,951.189
2021-09-30,934.681
2021-10-29,985.531
2021-11-30,863.005
2021-12-31,903.47
2022-01-31,870.005
2022-02-28,917.299
2022-03-31,927.812
2022-04-29,879.594
2022-05-31,884.612
2022-06-30,757.379
2022-07-29,804.218
2022-08-31,780.838
2022-09-30,594.119
2022-10-31,670.481
2022-11-30,717.943
2022-12-30,738.51
2023-01-31,776.58
2023-02-28,746.305
2023-03-31,744.02
2023-04-28,754.551
2023-05-31,702.135
2023-06-30,702.799
2023-07-31,766.709
2023-08-31,726.646
2023-09-29,762.317
2023-10-31,697.499
2023-11-30,755.228
2023-12-29,803.272
2024-01-31,779.88
2024-02-29,781.849
2024-03-29,790.067
2024-04-30,805.244
2024-05-31,878.271
2024-06-28,840.372
2024-07-31,862.293
2024-08-30,889.52
2024-09-30,926.445
2024-10-31,905.985
2024-11-29,928.431
2024-12-31,874.457
2025-01-31,962.143
2025-02-28,960.103
2025-03-31,1043.666
2025-04-30,1072.524
2025-05-30,1140.318
2025-06-30,1185.726
2025-07-31,1125.131
2025-08-29,1186.895
2025-09-30,1211.633
2025-10-31,1159.841
2025-11-28,1160.836
