Date,NORWAY MID CAP Mid Cap
2001-01-01,247.137
2001-01-02,255.434
2001-01-03,246.607
2001-01-04,251.918
2001-01-05,252.399
2001-01-08,250.031
2001-01-09,243.625
2001-01-10,241.136
2001-01-11,241.956
2001-01-12,241.428
2001-01-15,240.788
2001-01-16,238.799
2001-01-17,240.752
2001-01-18,242.948
2001-01-19,237.648
2001-01-22,232.477
2001-01-23,232.928
2001-01-24,230.798
2001-01-25,228.531
2001-01-26,230.235
2001-01-29,224.33
2001-01-30,230.105
2001-01-31,236.182
2001-02-01,239.704
2001-02-02,239.718
2001-02-05,240.341
2001-02-06,242.373
2001-02-07,242.15
2001-02-08,239.192
2001-02-09,237.441
2001-02-12,235.925
2001-02-13,235.398
2001-02-14,232.466
2001-02-15,228.532
2001-02-16,233.835
2001-02-19,240.608
2001-02-20,235.66
2001-02-21,235.8
2001-02-22,235.547
2001-02-23,234.986
2001-02-26,236.219
2001-02-27,236.801
2001-02-28,236.043
2001-03-01,232.054
2001-03-02,232.816
2001-03-05,234.721
2001-03-06,244.026
2001-03-07,241.417
2001-03-08,244.009
2001-03-09,244.141
2001-03-12,238.367
2001-03-13,230.918
2001-03-14,220.04
2001-03-15,223.039
2001-03-16,217.555
2001-03-19,214.761
2001-03-20,218.747
2001-03-21,214.727
2001-03-22,204.921
2001-03-23,205.406
2001-03-26,209.141
2001-03-27,213.076
2001-03-28,211.038
2001-03-29,207.671
2001-03-30,210.804
2001-04-02,211.771
2001-04-03,208.836
2001-04-04,211.398
2001-04-05,218.527
2001-04-06,218.721
2001-04-09,218.831
2001-04-10,222.387
2001-04-11,222.152
2001-04-12,224.261
2001-04-13,224.261
2001-04-16,221.977
2001-04-17,220.675
2001-04-18,220.886
2001-04-19,218.637
2001-04-20,219.687
2001-04-23,219.847
2001-04-24,221.324
2001-04-25,221.768
2001-04-26,224.15
2001-04-27,225.223
2001-04-30,225.346
2001-05-01,226.677
2001-05-02,228.622
2001-05-03,226.347
2001-05-04,228.937
2001-05-07,231.045
2001-05-08,230.729
2001-05-09,227.007
2001-05-10,232.605
2001-05-11,230.917
2001-05-14,226.261
2001-05-15,229.603
2001-05-16,231.757
2001-05-17,231.78
2001-05-18,236.279
2001-05-21,245.036
2001-05-22,239.707
2001-05-23,235.682
2001-05-24,235.794
2001-05-25,236.924
2001-05-28,236.729
2001-05-29,232.605
2001-05-30,231.01
2001-05-31,228.746
2001-06-01,228.164
2001-06-04,228.488
2001-06-05,231.772
2001-06-06,232.543
2001-06-07,234.279
2001-06-08,232.513
2001-06-11,227.229
2001-06-12,224.178
2001-06-13,227.32
2001-06-14,222.294
2001-06-15,221.338
2001-06-18,224.337
2001-06-19,225.67
2001-06-20,223.318
2001-06-21,220.118
2001-06-22,222.551
2001-06-25,224.03
2001-06-26,219.871
2001-06-27,221.12
2001-06-28,219.703
2001-06-29,218.285
2001-07-02,220.388
2001-07-03,222.154
2001-07-04,222.428
2001-07-05,219.596
2001-07-06,220.554
2001-07-09,222.594
2001-07-10,223.103
2001-07-11,224.712
2001-07-12,226.739
2001-07-13,216.921
2001-07-16,213.584
2001-07-17,211.859
2001-07-18,213.882
2001-07-19,218.317
2001-07-20,217.603
2001-07-23,217.426
2001-07-24,214.779
2001-07-25,212.235
2001-07-26,212.313
2001-07-27,215.066
2001-07-30,215.169
2001-07-31,214.389
2001-08-01,215.621
2001-08-02,216.102
2001-08-03,216.553
2001-08-06,213.661
2001-08-07,212.332
2001-08-08,212.772
2001-08-09,214.345
2001-08-10,217.432
2001-08-13,218.278
2001-08-14,219.536
2001-08-15,219.521
2001-08-16,220.56
2001-08-17,219.224
2001-08-20,213.443
2001-08-21,213.972
2001-08-22,218.189
2001-08-23,215.97
2001-08-24,218.587
2001-08-27,216.876
2001-08-28,216.954
2001-08-29,213.404
2001-08-30,212.464
2001-08-31,211.613
2001-09-03,211.902
2001-09-04,214.647
2001-09-05,215.277
2001-09-06,216.446
2001-09-07,214.924
2001-09-10,208.459
2001-09-11,210.672
2001-09-12,199.043
2001-09-13,203.182
2001-09-14,199.235
2001-09-17,196.43
2001-09-18,191.394
2001-09-19,188.692
2001-09-20,176.43
2001-09-21,159.597
2001-09-24,168.861
2001-09-25,173.044
2001-09-26,173.406
2001-09-27,173.925
2001-09-28,173.426
2001-10-01,172.299
2001-10-02,171.959
2001-10-03,168.859
2001-10-04,168.941
2001-10-05,166.544
2001-10-08,163.819
2001-10-09,164.768
2001-10-10,166.595
2001-10-11,171.898
2001-10-12,171.835
2001-10-15,170.479
2001-10-16,173.15
2001-10-17,175.933
2001-10-18,171.138
2001-10-19,168.354
2001-10-22,169.258
2001-10-23,171.664
2001-10-24,172.684
2001-10-25,171.152
2001-10-26,173.987
2001-10-29,174.664
2001-10-30,172.541
2001-10-31,170.144
2001-11-01,169.553
2001-11-02,168.964
2001-11-05,172.442
2001-11-06,172.626
2001-11-07,174.8
2001-11-08,176.353
2001-11-09,179.425
2001-11-12,173.487
2001-11-13,175.108
