Date,SINGAPORE IMI IMI (Large+Mid+Small Cap)
1994-05-31,472.468
1994-06-30,461.073
1994-07-29,471.092
1994-08-31,488.405
1994-09-30,494.776
1994-10-31,510.701
1994-11-30,478.449
1994-12-30,472.687
1995-01-31,448.079
1995-02-28,458.472
1995-03-31,464.495
1995-04-28,468.232
1995-05-31,499.647
1995-06-30,482.41
1995-07-31,493.903
1995-08-31,476.063
1995-09-29,484.944
1995-10-31,486.211
1995-11-30,495.157
1995-12-29,526.07
1996-01-31,575.661
1996-02-29,576.233
1996-03-29,562.992
1996-04-30,565.105
1996-05-31,560.559
1996-06-28,554.735
1996-07-31,509.505
1996-08-30,526.297
1996-09-30,520.672
1996-10-31,503.036
1996-11-29,531.377
1996-12-31,541.296
1997-01-31,559.745
1997-02-28,551.391
1997-03-31,498.333
1997-04-30,471.787
1997-05-30,499.186
1997-06-30,493.335
1997-07-31,495.514
1997-08-29,394.035
1997-09-30,407.998
1997-10-31,336.087
1997-11-28,354.444
1997-12-31,322.255
1998-01-30,284.093
1998-02-27,343.265
1998-03-31,335.544
1998-04-30,312.385
1998-05-29,257.667
1998-06-30,229.296
1998-07-31,227.569
1998-08-31,193.691
1998-09-30,225.911
1998-10-30,287.305
1998-11-30,322.833
1998-12-31,318.615
1999-01-29,306.07
1999-02-26,301.521
1999-03-31,311.535
1999-04-30,406.055
1999-05-31,399.715
1999-06-30,449.882
1999-07-30,439.622
1999-08-31,432.231
1999-09-30,418.134
1999-10-29,434.854
1999-11-30,458.586
1999-12-31,508.222
2000-01-31,468.812
2000-02-29,457.974
2000-03-31,454.267
2000-04-28,451.335
2000-05-31,382.148
2000-06-30,431.394
2000-07-31,426.539
2000-08-31,450.538
2000-09-29,412.7
2000-10-31,407.44
2000-11-30,397.273
2000-12-29,394.616
2001-01-31,400.601
2001-02-28,394.409
2001-03-30,323.336
2001-04-30,329.755
2001-05-31,321.928
2001-06-29,337.501
2001-07-31,330.299
2001-08-31,336.355
2001-09-28,282.786
2001-10-31,283.004
2001-11-30,300.929
2001-12-31,324.12
2002-01-31,351.791
2002-02-28,341.293
2002-03-29,355.812
2002-04-30,347.078
2002-05-31,344.178
2002-06-28,322.663
2002-07-31,315.188
2002-08-30,314.233
2002-09-30,278.676
2002-10-31,305.037
2002-11-29,291.091
2002-12-31,284.24
2003-01-31,274.357
2003-02-28,272.172
2003-03-31,267.978
2003-04-30,270.407
2003-05-30,295.252
2003-06-30,312.076
2003-07-31,335.561
2003-08-29,347.76
2003-09-30,360.811
2003-10-31,380.878
2003-11-28,379.142
2003-12-31,396.797
2004-01-30,417.371
2004-02-27,424.17
2004-03-31,421.772
2004-04-30,412.689
2004-05-31,406.919
2004-06-30,411.608
2004-07-30,421.547
2004-08-31,431.163
2004-09-30,453.583
2004-10-29,455.694
2004-11-30,468.767
2004-12-31,482.215
2005-01-31,492.436
2005-02-28,495.341
2005-03-31,492.386
2005-04-29,493.856
2005-05-31,497.902
2005-06-30,506.197
2005-07-29,549.392
2005-08-31,529.246
2005-09-30,534.234
2005-10-31,515.063
2005-11-30,537.806
2005-12-30,557.651
2006-01-31,591.209
2006-02-28,610.917
2006-03-31,629.62
2006-04-28,666.44
2006-05-31,614.426
2006-06-30,628.164
2006-07-31,630.466
2006-08-31,651.557
2006-09-29,672.42
2006-10-31,725.994
2006-11-30,778.046
2006-12-29,828.55
2007-01-31,864.422
2007-02-28,868.532
2007-03-30,917.815
2007-04-30,957.642
2007-05-31,1000.0
2007-06-29,1014.803
2007-07-31,1018.76
2007-08-31,977.721
2007-09-28,1092.363
2007-10-31,1147.054
2007-11-30,1060.042
2007-12-31,1065.692
2008-01-31,929.593
2008-02-29,971.257
2008-03-31,977.801
2008-04-30,1039.127
2008-05-30,1052.476
2008-06-30,973.402
2008-07-31,957.054
2008-08-29,873.005
2008-09-30,739.458
2008-10-31,518.439
2008-11-28,501.903
2008-12-31,541.757
2009-01-30,512.465
2009-02-27,456.639
2009-03-31,492.912
2009-04-30,579.711
2009-05-29,739.103
2009-06-30,733.639
2009-07-31,849.787
2009-08-31,835.11
2009-09-30,884.157
2009-10-30,881.88
2009-11-30,920.678
2009-12-31,974.385
2010-01-29,920.339
2010-02-26,927.418
2010-03-31,969.091
2010-04-30,1026.066
2010-05-31,932.386
2010-06-30,967.448
2010-07-30,1046.1
2010-08-31,1036.566
2010-09-30,1122.283
2010-10-29,1160.564
2010-11-30,1140.244
2010-12-31,1200.315
2011-01-31,1196.208
2011-02-28,1136.43
2011-03-31,1187.905
2011-04-29,1253.909
2011-05-31,1230.582
2011-06-30,1212.23
2011-07-29,1264.925
2011-08-31,1145.951
2011-09-30,981.348
2011-10-31,1086.101
2011-11-30,996.83
2011-12-30,970.92
2012-01-31,1108.827
2012-02-29,1165.422
2012-03-30,1159.397
2012-04-30,1169.754
2012-05-31,1054.419
2012-06-29,1118.906
2012-07-31,1203.627
2012-08-31,1205.53
2012-09-28,1248.373
2012-10-31,1234.574
2012-11-30,1255.43
2012-12-31,1293.921
2013-01-31,1319.27
2013-02-28,1324.145
2013-03-29,1342.141
2013-04-30,1385.796
2013-05-31,1315.253
2013-06-28,1250.9
2013-07-31,1290.217
2013-08-30,1222.198
2013-09-30,1312.496
2013-10-31,1336.97
2013-11-29,1312.791
2013-12-31,1297.154
2014-01-31,1218.253
2014-02-28,1258.242
2014-03-31,1289.414
2014-04-30,1340.876
2014-05-30,1370.372
2014-06-30,1370.191
2014-07-31,1419.369
2014-08-29,1405.881
2014-09-30,1345.712
2014-10-31,1330.658
2014-11-28,1339.895
2014-12-31,1325.194
2015-01-30,1307.772
2015-02-27,1305.387
2015-03-31,1304.857
2015-04-30,1396.008
2015-05-29,1326.364
2015-06-30,1305.888
2015-07-31,1245.503
2015-08-31,1102.283
2015-09-30,1060.457
2015-10-30,1153.373
2015-11-30,1097.096
2015-12-31,1100.362
2016-01-29,1008.466
2016-02-29,1045.875
2016-03-31,1163.156
2016-04-29,1173.145
2016-05-31,1125.222
2016-06-30,1168.818
2016-07-29,1178.625
2016-08-31,1158.658
2016-09-30,1177.781
2016-10-31,1133.828
2016-11-30,1144.495
2016-12-30,1124.455
2017-01-31,1213.404
2017-02-28,1246.051
2017-03-31,1272.899
2017-04-28,1276.992
2017-05-31,1317.683
2017-06-30,1334.966
2017-07-31,1398.119
2017-08-31,1391.659
2017-09-29,1380.508
2017-10-31,1443.08
2017-11-30,1492.777
2017-12-29,1508.606
2018-01-31,1607.387
2018-02-28,1570.501
2018-03-30,1553.934
2018-04-30,1622.756
2018-05-31,1536.742
2018-06-29,1430.456
2018-07-31,1457.012
2018-08-31,1431.387
2018-09-28,1458.346
2018-10-31,1340.471
2018-11-30,1380.493
2018-12-31,1367.117
2019-01-31,1452.761
2019-02-28,1450.448
2019-03-29,1461.676
2019-04-30,1538.687
2019-05-31,1419.822
2019-06-28,1557.91
2019-07-31,1540.519
2019-08-30,1458.146
2019-09-30,1478.412
2019-10-31,1554.248
2019-11-29,1540.603
2019-12-31,1590.159
2020-01-31,1541.279
2020-02-28,1436.924
2020-03-31,1141.737
2020-04-30,1247.406
2020-05-29,1225.914
2020-06-30,1273.633
2020-07-31,1283.523
2020-08-31,1308.776
2020-09-30,1276.657
2020-10-30,1237.981
2020-11-30,1452.376
2020-12-31,1490.705
2021-01-29,1506.437
2021-02-26,1538.476
2021-03-31,1607.666
2021-04-30,1667.199
2021-05-31,1662.195
2021-06-30,1618.658
2021-07-30,1639.132
2021-08-31,1625.626
2021-09-30,1613.727
2021-10-29,1674.583
2021-11-30,1566.495
2021-12-31,1580.759
2022-01-31,1551.932
2022-02-28,1543.895
2022-03-31,1568.639
2022-04-29,1470.936
2022-05-31,1433.158
2022-06-30,1335.069
2022-07-29,1404.61
2022-08-31,1382.844
2022-09-30,1294.061
2022-10-31,1284.803
2022-11-30,1425.367
2022-12-30,1418.165
2023-01-31,1524.702
2023-02-28,1448.237
2023-03-31,1509.93
2023-04-28,1500.03
2023-05-31,1412.991
2023-06-30,1441.34
2023-07-31,1556.594
2023-08-31,1437.821
2023-09-29,1421.773
2023-10-31,1350.865
2023-11-30,1392.942
2023-12-29,1491.91
2024-01-31,1428.25
2024-02-29,1432.752
2024-03-29,1481.181
2024-04-30,1525.22
2024-05-31,1581.377
2024-06-28,1584.439
2024-07-31,1644.11
2024-08-30,1729.805
2024-09-30,1865.92
2024-10-31,1795.129
2024-11-29,1900.12
2024-12-31,1877.686
2025-01-31,1946.588
2025-02-28,1984.518
2025-03-31,2027.209
2025-04-30,2045.888
2025-05-30,2162.736
