Date,SINGAPORE IMI IMI (Large+Mid+Small Cap)
2001-01-01,394.555
2001-01-02,387.409
2001-01-03,382.007
2001-01-04,391.402
2001-01-05,402.021
2001-01-08,395.501
2001-01-09,399.461
2001-01-10,395.951
2001-01-11,386.918
2001-01-12,390.077
2001-01-15,391.016
2001-01-16,388.901
2001-01-17,387.901
2001-01-18,384.245
2001-01-19,390.319
2001-01-22,388.668
2001-01-23,387.903
2001-01-24,387.918
2001-01-25,388.27
2001-01-26,385.787
2001-01-29,390.428
2001-01-30,393.199
2001-01-31,400.601
2001-02-01,400.444
2001-02-02,399.593
2001-02-05,396.033
2001-02-06,395.672
2001-02-07,395.406
2001-02-08,404.157
2001-02-09,401.287
2001-02-12,404.82
2001-02-13,405.284
2001-02-14,399.511
2001-02-15,399.769
2001-02-16,399.776
2001-02-19,395.659
2001-02-20,400.976
2001-02-21,398.305
2001-02-22,394.054
2001-02-23,394.215
2001-02-26,397.115
2001-02-27,392.667
2001-02-28,394.409
2001-03-01,387.749
2001-03-02,387.479
2001-03-05,384.817
2001-03-06,385.139
2001-03-07,385.285
2001-03-08,384.311
2001-03-09,384.054
2001-03-12,374.94
2001-03-13,364.426
2001-03-14,361.939
2001-03-15,359.867
2001-03-16,354.669
2001-03-19,347.381
2001-03-20,346.926
2001-03-21,344.754
2001-03-22,336.48
2001-03-23,344.874
2001-03-26,340.4
2001-03-27,328.993
2001-03-28,324.664
2001-03-29,316.659
2001-03-30,323.336
2001-04-02,314.744
2001-04-03,315.406
2001-04-04,312.546
2001-04-05,322.426
2001-04-06,320.352
2001-04-09,306.6
2001-04-10,310.15
2001-04-11,312.259
2001-04-12,308.703
2001-04-13,308.693
2001-04-16,307.809
2001-04-17,303.112
2001-04-18,312.325
2001-04-19,317.519
2001-04-20,318.574
2001-04-23,323.946
2001-04-24,322.427
2001-04-25,320.183
2001-04-26,320.408
2001-04-27,323.132
2001-04-30,329.755
2001-05-01,331.132
2001-05-02,333.699
2001-05-03,331.674
2001-05-04,327.34
2001-05-07,326.909
2001-05-08,324.817
2001-05-09,322.225
2001-05-10,325.566
2001-05-11,328.369
2001-05-14,322.9
2001-05-15,324.582
2001-05-16,320.996
2001-05-17,325.806
2001-05-18,323.759
2001-05-21,323.459
2001-05-22,326.622
2001-05-23,328.827
2001-05-24,330.851
2001-05-25,327.501
2001-05-28,324.796
2001-05-29,326.118
2001-05-30,321.628
2001-05-31,321.928
2001-06-01,321.118
2001-06-04,324.151
2001-06-05,327.878
2001-06-06,328.538
2001-06-07,329.526
2001-06-08,334.555
2001-06-11,329.807
2001-06-12,326.952
2001-06-13,330.575
2001-06-14,331.217
2001-06-15,334.122
2001-06-18,335.001
2001-06-19,333.241
2001-06-20,329.371
2001-06-21,329.328
2001-06-22,335.948
2001-06-25,334.223
2001-06-26,334.885
2001-06-27,332.806
2001-06-28,333.54
2001-06-29,337.501
2001-07-02,332.783
2001-07-03,332.06
2001-07-04,329.797
2001-07-05,328.668
2001-07-06,323.15
2001-07-09,321.668
2001-07-10,324.988
2001-07-11,321.564
2001-07-12,323.768
2001-07-13,320.428
2001-07-16,320.868
2001-07-17,317.95
2001-07-18,315.506
2001-07-19,316.714
2001-07-20,319.717
2001-07-23,317.522
2001-07-24,320.227
2001-07-25,319.913
2001-07-26,323.064
2001-07-27,325.314
2001-07-30,327.142
2001-07-31,330.299
2001-08-01,332.385
2001-08-02,335.564
2001-08-03,332.986
2001-08-06,333.302
2001-08-07,334.335
2001-08-08,332.706
2001-08-09,332.724
2001-08-10,336.016
2001-08-13,333.578
2001-08-14,337.513
2001-08-15,339.481
2001-08-16,337.67
2001-08-17,335.361
2001-08-20,331.546
2001-08-21,337.45
2001-08-22,338.879
2001-08-23,339.687
2001-08-24,338.4
2001-08-27,341.864
2001-08-28,339.925
2001-08-29,340.412
2001-08-30,332.969
2001-08-31,336.355
2001-09-03,335.296
2001-09-04,336.052
2001-09-05,334.054
2001-09-06,329.668
2001-09-07,323.138
2001-09-10,319.436
2001-09-11,322.108
2001-09-12,307.029
2001-09-13,304.963
2001-09-14,296.095
2001-09-17,279.887
2001-09-18,278.428
2001-09-19,282.62
2001-09-20,277.333
2001-09-21,262.051
2001-09-24,268.859
2001-09-25,266.822
2001-09-26,272.013
2001-09-27,278.909
2001-09-28,282.786
2001-10-01,283.715
2001-10-02,284.617
2001-10-03,281.562
2001-10-04,289.971
2001-10-05,289.672
2001-10-08,281.005
2001-10-09,287.878
2001-10-10,281.812
2001-10-11,286.835
2001-10-12,290.867
2001-10-15,292.332
2001-10-16,292.959
2001-10-17,296.963
2001-10-18,289.797
2001-10-19,285.995
2001-10-22,284.764
2001-10-23,288.945
2001-10-24,291.146
2001-10-25,290.514
2001-10-26,290.129
2001-10-29,286.742
2001-10-30,285.979
2001-10-31,283.004
2001-11-01,277.169
2001-11-02,276.241
2001-11-05,276.556
2001-11-06,276.855
2001-11-07,275.208
2001-11-08,277.544
2001-11-09,281.94
2001-11-12,283.506
2001-11-13,282.218
2001-11-14,282.213
2001-11-15,293.898
2001-11-16,290.693
2001-11-19,296.768
2001-11-20,296.156
2001-11-21,298.66
2001-11-22,295.631
2001-11-23,297.15
2001-11-26,300.578
2001-11-27,305.062
2001-11-28,301.477
2001-11-29,297.591
2001-11-30,300.929
2001-12-03,301.428
2001-12-04,311.01
2001-12-05,320.008
2001-12-06,324.958
2001-12-07,326.743
2001-12-10,325.149
2001-12-11,323.011
2001-12-12,323.474
2001-12-13,319.072
2001-12-14,316.446
2001-12-17,316.167
2001-12-18,319.441
2001-12-19,322.902
2001-12-20,321.213
2001-12-21,317.225
2001-12-24,318.141
2001-12-25,318.133
2001-12-26,317.037
2001-12-27,320.586
2001-12-28,323.345
2001-12-31,324.12
2002-01-01,324.12
