Date,WORLD ex USA MID GROWTH Mid Cap
2001-01-01,529.398
2001-01-02,523.387
2001-01-03,512.701
2001-01-04,516.668
2001-01-05,513.745
2001-01-08,508.046
2001-01-09,501.527
2001-01-10,500.589
2001-01-11,503.658
2001-01-12,512.475
2001-01-15,512.912
2001-01-16,511.858
2001-01-17,520.707
2001-01-18,529.779
2001-01-19,534.493
2001-01-22,530.684
2001-01-23,530.106
2001-01-24,527.682
2001-01-25,529.765
2001-01-26,526.796
2001-01-29,525.599
2001-01-30,531.153
2001-01-31,538.326
2001-02-01,541.669
2001-02-02,533.824
2001-02-05,529.326
2001-02-06,529.964
2001-02-07,524.112
2001-02-08,518.839
2001-02-09,516.239
2001-02-12,518.452
2001-02-13,513.939
2001-02-14,507.333
2001-02-15,508.69
2001-02-16,505.516
2001-02-19,501.97
2001-02-20,498.782
2001-02-21,493.331
2001-02-22,487.151
2001-02-23,484.897
2001-02-26,487.461
2001-02-27,490.182
2001-02-28,482.094
2001-03-01,474.334
2001-03-02,471.471
2001-03-05,469.631
2001-03-06,482.398
2001-03-07,484.208
2001-03-08,483.318
2001-03-09,477.548
2001-03-12,461.99
2001-03-13,449.617
2001-03-14,440.157
2001-03-15,442.869
2001-03-16,433.717
2001-03-19,433.893
2001-03-20,438.277
2001-03-21,432.378
2001-03-22,413.661
2001-03-23,428.143
2001-03-26,443.409
2001-03-27,446.899
2001-03-28,444.975
2001-03-29,436.576
2001-03-30,435.202
2001-04-02,429.683
2001-04-03,421.015
2001-04-04,424.129
2001-04-05,432.694
2001-04-06,433.813
2001-04-09,432.265
2001-04-10,435.31
2001-04-11,439.48
2001-04-12,446.354
2001-04-13,446.599
2001-04-16,442.98
2001-04-17,440.903
2001-04-18,453.623
2001-04-19,465.908
2001-04-20,466.907
2001-04-23,460.78
2001-04-24,458.39
2001-04-25,460.245
2001-04-26,466.445
2001-04-27,466.12
2001-04-30,470.304
2001-05-01,475.521
2001-05-02,479.348
2001-05-03,476.103
2001-05-04,475.84
2001-05-07,477.454
2001-05-08,475.99
2001-05-09,470.98
2001-05-10,472.022
2001-05-11,469.761
2001-05-14,463.223
2001-05-15,466.138
2001-05-16,465.183
2001-05-17,470.311
2001-05-18,470.228
2001-05-21,475.434
2001-05-22,477.781
2001-05-23,475.5
2001-05-24,473.333
2001-05-25,471.642
2001-05-28,471.326
2001-05-29,468.69
2001-05-30,461.257
2001-05-31,458.425
2001-06-01,457.464
2001-06-04,458.806
2001-06-05,459.393
2001-06-06,457.193
2001-06-07,460.059
2001-06-08,459.058
2001-06-11,452.8
2001-06-12,446.436
2001-06-13,449.548
2001-06-14,446.335
2001-06-15,441.356
2001-06-18,436.99
2001-06-19,435.733
2001-06-20,430.939
2001-06-21,433.293
2001-06-22,435.3
2001-06-25,436.228
2001-06-26,432.16
2001-06-27,431.191
2001-06-28,429.743
2001-06-29,434.772
2001-07-02,434.803
2001-07-03,432.506
2001-07-04,428.688
2001-07-05,420.853
2001-07-06,415.421
2001-07-09,413.668
2001-07-10,416.804
2001-07-11,412.823
2001-07-12,416.444
2001-07-13,416.048
2001-07-16,414.924
2001-07-17,410.683
2001-07-18,412.605
2001-07-19,414.628
2001-07-20,414.035
2001-07-23,409.272
2001-07-24,409.789
2001-07-25,410.002
2001-07-26,410.407
2001-07-27,413.783
2001-07-30,413.923
2001-07-31,418.716
2001-08-01,424.205
2001-08-02,431.77
2001-08-03,430.107
2001-08-06,427.484
2001-08-07,424.903
2001-08-08,423.006
2001-08-09,419.268
2001-08-10,420.219
2001-08-13,419.508
2001-08-14,423.726
2001-08-15,427.442
2001-08-16,422.115
2001-08-17,420.69
2001-08-20,414.998
2001-08-21,415.669
2001-08-22,417.181
2001-08-23,413.876
2001-08-24,416.371
2001-08-27,416.097
2001-08-28,412.842
2001-08-29,411.459
2001-08-30,404.718
2001-08-31,403.008
2001-09-03,396.856
2001-09-04,397.056
2001-09-05,391.021
2001-09-06,385.971
2001-09-07,384.996
2001-09-10,377.421
2001-09-11,366.776
2001-09-12,357.185
2001-09-13,359.724
2001-09-14,354.621
2001-09-17,347.398
2001-09-18,345.569
2001-09-19,346.403
2001-09-20,335.556
2001-09-21,325.504
2001-09-24,333.675
2001-09-25,342.391
2001-09-26,344.775
2001-09-27,344.769
2001-09-28,352.417
2001-10-01,349.642
2001-10-02,350.837
2001-10-03,353.374
2001-10-04,362.69
2001-10-05,363.94
2001-10-08,364.223
2001-10-09,364.228
