Date,WORLD ex USA MID GROWTH Mid Cap
1994-05-31,404.692
1994-06-30,409.861
1994-07-29,413.185
1994-08-31,419.986
1994-09-30,408.952
1994-10-31,416.647
1994-11-30,391.721
1994-12-30,397.254
1995-01-31,381.552
1995-02-28,373.322
1995-03-31,388.353
1995-04-28,403.118
1995-05-31,392.282
1995-06-30,387.769
1995-07-31,408.691
1995-08-31,400.197
1995-09-29,407.045
1995-10-31,395.682
1995-11-30,397.841
1995-12-29,410.513
1996-01-31,416.014
1996-02-29,426.323
1996-03-29,436.904
1996-04-30,455.591
1996-05-31,454.36
1996-06-28,455.636
1996-07-31,439.704
1996-08-30,442.629
1996-09-30,447.83
1996-10-31,444.629
1996-11-29,450.947
1996-12-31,443.458
1997-01-31,434.503
1997-02-28,440.349
1997-03-31,431.466
1997-04-30,430.064
1997-05-30,464.857
1997-06-30,479.987
1997-07-31,476.616
1997-08-29,446.442
1997-09-30,456.847
1997-10-31,432.531
1997-11-28,414.258
1997-12-31,411.055
1998-01-30,425.678
1998-02-27,457.542
1998-03-31,483.783
1998-04-30,494.572
1998-05-29,503.508
1998-06-30,495.847
1998-07-31,503.545
1998-08-31,437.221
1998-09-30,419.312
1998-10-30,454.066
1998-11-30,474.803
1998-12-31,499.922
1999-01-29,515.057
1999-02-26,494.461
1999-03-31,507.832
1999-04-30,523.924
1999-05-31,510.507
1999-06-30,540.149
1999-07-30,564.725
1999-08-31,584.007
1999-09-30,589.691
1999-10-29,605.227
1999-11-30,667.36
1999-12-31,743.312
2000-01-31,725.489
2000-02-29,822.792
2000-03-31,790.689
2000-04-28,706.693
2000-05-31,664.834
2000-06-30,691.003
2000-07-31,662.536
2000-08-31,687.87
2000-09-29,648.02
2000-10-31,587.053
2000-11-30,527.017
2000-12-29,537.809
2001-01-31,546.878
2001-02-28,489.734
2001-03-30,441.969
2001-04-30,477.542
2001-05-31,465.261
2001-06-29,441.147
2001-07-31,424.797
2001-08-31,408.841
2001-09-28,357.45
2001-10-31,380.773
2001-11-30,398.382
2001-12-31,395.867
2002-01-31,379.319
2002-02-28,377.912
2002-03-29,399.533
