Date,WORLD ex USA MID GROWTH Mid Cap
1994-05-31,393.721
1994-06-30,398.937
1994-07-29,402.26
1994-08-31,408.913
1994-09-30,398.216
1994-10-31,405.743
1994-11-30,381.5
1994-12-30,386.903
1995-01-31,371.631
1995-02-28,363.646
1995-03-31,378.386
1995-04-28,392.849
1995-05-31,382.521
1995-06-30,378.367
1995-07-31,398.867
1995-08-31,390.624
1995-09-29,397.372
1995-10-31,386.312
1995-11-30,388.46
1995-12-29,400.856
1996-01-31,406.241
1996-02-29,416.351
1996-03-29,426.779
1996-04-30,445.133
1996-05-31,444.097
1996-06-28,445.527
1996-07-31,430.046
1996-08-30,432.933
1996-09-30,438.107
1996-10-31,435.031
1996-11-29,441.222
1996-12-31,433.921
1997-01-31,425.17
1997-02-28,430.978
1997-03-31,422.392
1997-04-30,421.118
1997-05-30,455.358
1997-06-30,470.325
1997-07-31,467.123
1997-08-29,437.561
1997-09-30,447.843
1997-10-31,424.051
1997-11-28,406.15
1997-12-31,403.021
1998-01-30,417.379
1998-02-27,448.643
1998-03-31,474.483
1998-04-30,485.193
1998-05-29,494.143
1998-06-30,486.836
1998-07-31,494.496
1998-08-31,429.375
1998-09-30,411.865
1998-10-30,446.011
1998-11-30,466.399
1998-12-31,491.156
1999-01-29,506.04
1999-02-26,485.813
1999-03-31,499.069
1999-04-30,514.952
1999-05-31,501.837
1999-06-30,531.029
1999-07-30,555.228
1999-08-31,574.211
1999-09-30,579.854
1999-10-29,595.139
1999-11-30,656.244
1999-12-31,730.948
2000-01-31,713.429
2000-02-29,809.122
2000-03-31,777.664
2000-04-28,695.273
2000-05-31,654.205
2000-06-30,679.986
2000-07-31,652.044
2000-08-31,676.984
2000-09-29,637.81
2000-10-31,577.808
2000-11-30,518.733
2000-12-29,529.373
2001-01-31,538.326
2001-02-28,482.094
2001-03-30,435.202
2001-04-30,470.304
2001-05-31,458.425
2001-06-29,434.772
2001-07-31,418.716
2001-08-31,403.008
2001-09-28,352.417
2001-10-31,375.429
2001-11-30,392.813
2001-12-31,390.36
2002-01-31,374.062
2002-02-28,372.694
2002-03-29,394.162
2002-04-30,392.536
2002-05-31,400.947
2002-06-28,380.894
2002-07-31,340.362
2002-08-30,341.81
2002-09-30,307.751
2002-10-31,319.957
2002-11-29,340.035
2002-12-31,323.915
2003-01-31,310.418
2003-02-28,299.18
2003-03-31,295.718
2003-04-30,324.62
2003-05-30,348.074
2003-06-30,356.826
2003-07-31,367.79
2003-08-29,384.076
2003-09-30,398.157
2003-10-31,431.913
2003-11-28,435.525
2003-12-31,462.601
2004-01-30,478.096
2004-02-27,488.177
2004-03-31,494.007
2004-04-30,480.162
2004-05-31,486.867
2004-06-30,502.116
2004-07-30,476.784
2004-08-31,478.137
2004-09-30,492.53
2004-10-29,511.241
2004-11-30,552.924
2004-12-31,576.18
2005-01-31,570.508
2005-02-28,596.159
2005-03-31,581.961
2005-04-29,565.004
2005-05-31,566.294
2005-06-30,578.148
2005-07-29,599.336
2005-08-31,617.78
2005-09-30,643.957
2005-10-31,623.775
2005-11-30,651.85
2005-12-30,689.937
2006-01-31,742.942
2006-02-28,737.522
2006-03-31,767.407
2006-04-28,801.301
2006-05-31,764.013
2006-06-30,758.264
2006-07-31,761.085
2006-08-31,788.888
2006-09-29,793.106
2006-10-31,826.221
2006-11-30,858.766
2006-12-29,888.934
2007-01-31,894.938
2007-02-28,906.422
2007-03-30,939.59
2007-04-30,978.241
2007-05-31,1000.0
2007-06-29,996.597
2007-07-31,986.62
2007-08-31,958.942
2007-09-28,1008.329
2007-10-31,1059.989
2007-11-30,992.422
2007-12-31,972.499
2008-01-31,876.889
2008-02-29,908.17
2008-03-31,900.173
2008-04-30,940.751
2008-05-30,965.955
2008-06-30,900.308
2008-07-31,841.247
2008-08-29,819.568
2008-09-30,676.875
2008-10-31,501.773
2008-11-28,481.756
2008-12-31,516.076
2009-01-30,478.264
2009-02-27,433.634
2009-03-31,458.071
2009-04-30,513.484
2009-05-29,579.274
2009-06-30,578.139
2009-07-31,622.205
2009-08-31,653.882
2009-09-30,685.817
2009-10-30,667.501
2009-11-30,688.526
2009-12-31,702.943
2010-01-29,674.835
2010-02-26,672.285
2010-03-31,718.113
2010-04-30,720.377
2010-05-31,641.243
2010-06-30,637.14
2010-07-30,692.952
2010-08-31,673.209
2010-09-30,751.976
2010-10-29,777.776
2010-11-30,756.026
2010-12-31,826.632
2011-01-31,832.267
2011-02-28,862.268
2011-03-31,865.49
2011-04-29,911.603
2011-05-31,891.618
2011-06-30,873.358
2011-07-29,862.31
2011-08-31,796.853
2011-09-30,699.687
2011-10-31,771.228
2011-11-30,733.725
2011-12-30,721.669
2012-01-31,762.299
2012-02-29,804.637
2012-03-30,804.032
2012-04-30,799.853
2012-05-31,708.642
2012-06-29,741.736
2012-07-31,752.446
2012-08-31,775.243
2012-09-28,805.394
2012-10-31,806.244
2012-11-30,817.352
2012-12-31,830.793
2013-01-31,859.76
2013-02-28,861.377
2013-03-29,876.529
2013-04-30,900.166
2013-05-31,887.211
2013-06-28,858.8
2013-07-31,906.215
2013-08-30,895.509
2013-09-30,956.495
2013-10-31,977.992
2013-11-29,976.202
2013-12-31,996.113
2014-01-31,969.787
2014-02-28,1028.011
2014-03-31,1020.284
2014-04-30,1028.146
2014-05-30,1044.531
2014-06-30,1058.394
2014-07-31,1032.24
2014-08-29,1038.959
2014-09-30,983.931
2014-10-31,968.375
2014-11-28,983.69
2014-12-31,972.041
2015-01-30,971.983
2015-02-27,1034.004
2015-03-31,1016.738
2015-04-30,1058.594
2015-05-29,1060.451
2015-06-30,1038.213
2015-07-31,1053.988
2015-08-31,993.599
2015-09-30,954.055
2015-10-30,1022.786
2015-11-30,1024.891
2015-12-31,1017.762
2016-01-29,947.754
2016-02-29,949.352
2016-03-31,1021.528
2016-04-29,1043.185
2016-05-31,1041.341
2016-06-30,1011.283
2016-07-29,1070.759
2016-08-31,1056.578
2016-09-30,1071.261
2016-10-31,1029.502
2016-11-30,1003.057
2016-12-30,1019.122
2017-01-31,1065.364
2017-02-28,1075.704
2017-03-31,1100.808
2017-04-28,1135.332
2017-05-31,1182.536
2017-06-30,1180.251
2017-07-31,1215.45
2017-08-31,1225.238
2017-09-29,1256.897
2017-10-31,1282.864
2017-11-30,1296.919
2017-12-29,1325.97
2018-01-31,1388.312
2018-02-28,1329.159
2018-03-30,1309.204
2018-04-30,1326.536
2018-05-31,1330.165
2018-06-29,1314.126
2018-07-31,1334.202
2018-08-31,1325.308
2018-09-28,1316.784
2018-10-31,1179.778
2018-11-30,1158.279
2018-12-31,1098.394
2019-01-31,1180.451
2019-02-28,1214.212
2019-03-29,1225.273
2019-04-30,1265.623
2019-05-31,1209.245
2019-06-28,1286.926
2019-07-31,1280.521
2019-08-30,1261.591
2019-09-30,1276.255
2019-10-31,1325.575
2019-11-29,1362.679
2019-12-31,1401.353
2020-01-31,1384.369
2020-02-28,1259.112
2020-03-31,1084.075
2020-04-30,1195.643
2020-05-29,1286.048
2020-06-30,1316.219
2020-07-31,1383.38
2020-08-31,1458.947
2020-09-30,1448.965
2020-10-30,1407.932
2020-11-30,1570.363
2020-12-31,1650.196
2021-01-29,1630.052
2021-02-26,1607.5
2021-03-31,1636.517
2021-04-30,1718.566
2021-05-31,1763.172
2021-06-30,1763.832
2021-07-30,1793.262
2021-08-31,1827.904
2021-09-30,1747.027
2021-10-29,1790.916
2021-11-30,1717.61
2021-12-31,1773.607
2022-01-31,1566.745
2022-02-28,1543.135
2022-03-31,1561.309
2022-04-29,1423.865
2022-05-31,1403.707
2022-06-30,1267.759
2022-07-29,1362.878
2022-08-31,1286.971
2022-09-30,1150.915
2022-10-31,1207.328
2022-11-30,1326.929
2022-12-30,1301.955
2023-01-31,1413.223
2023-02-28,1376.706
2023-03-31,1424.083
2023-04-28,1450.898
2023-05-31,1406.835
2023-06-30,1446.113
2023-07-31,1503.881
2023-08-31,1442.46
2023-09-29,1367.489
2023-10-31,1283.6
2023-11-30,1427.137
2023-12-29,1523.74
2024-01-31,1511.708
2024-02-29,1557.847
2024-03-29,1594.715
2024-04-30,1525.971
2024-05-31,1575.354
2024-06-28,1552.018
2024-07-31,1599.523
2024-08-30,1660.158
2024-09-30,1706.019
2024-10-31,1606.428
2024-11-29,1647.425
2024-12-31,1593.692
2025-01-31,1655.572
2025-02-28,1659.781
2025-03-31,1635.179
2025-04-30,1735.982
2025-05-30,1842.608
2025-06-30,1913.485
2025-07-31,1889.102
2025-08-29,1957.458
2025-09-30,2001.692
2025-10-31,2011.729
2025-11-28,1995.585
2025-12-31,2024.219
