Date,NORWAY VALUE Standard (Large+Mid Cap)
2001-01-01,2612.323
2001-01-02,2701.185
2001-01-03,2600.489
2001-01-04,2634.935
2001-01-05,2670.359
2001-01-08,2673.579
2001-01-09,2657.445
2001-01-10,2643.733
2001-01-11,2681.652
2001-01-12,2668.643
2001-01-15,2608.757
2001-01-16,2574.257
2001-01-17,2571.609
2001-01-18,2584.716
2001-01-19,2526.194
2001-01-22,2509.77
2001-01-23,2494.654
2001-01-24,2420.215
2001-01-25,2427.295
2001-01-26,2458.902
2001-01-29,2470.029
2001-01-30,2499.908
2001-01-31,2516.342
2001-02-01,2567.938
2001-02-02,2561.096
2001-02-05,2592.934
2001-02-06,2602.135
2001-02-07,2623.709
2001-02-08,2593.488
2001-02-09,2594.22
2001-02-12,2583.494
2001-02-13,2566.003
2001-02-14,2533.508
2001-02-15,2508.64
2001-02-16,2544.628
2001-02-19,2576.5
2001-02-20,2539.153
2001-02-21,2519.804
2001-02-22,2537.185
2001-02-23,2569.289
2001-02-26,2585.022
2001-02-27,2609.431
2001-02-28,2595.43
2001-03-01,2570.373
2001-03-02,2586.108
2001-03-05,2598.337
2001-03-06,2653.048
2001-03-07,2632.24
2001-03-08,2683.308
2001-03-09,2681.893
2001-03-12,2631.9
2001-03-13,2559.206
2001-03-14,2462.778
2001-03-15,2476.898
2001-03-16,2424.21
2001-03-19,2417.207
2001-03-20,2458.132
2001-03-21,2430.69
2001-03-22,2353.022
2001-03-23,2353.591
2001-03-26,2389.347
2001-03-27,2426.41
2001-03-28,2405.28
2001-03-29,2360.254
2001-03-30,2367.651
2001-04-02,2382.038
2001-04-03,2355.774
2001-04-04,2382.87
2001-04-05,2429.455
2001-04-06,2455.875
2001-04-09,2471.735
2001-04-10,2513.381
2001-04-11,2542.949
2001-04-12,2567.09
2001-04-13,2567.09
2001-04-16,2540.948
2001-04-17,2537.402
2001-04-18,2523.08
2001-04-19,2535.731
2001-04-20,2547.355
2001-04-23,2540.364
2001-04-24,2531.696
2001-04-25,2530.829
2001-04-26,2559.068
2001-04-27,2583.849
2001-04-30,2574.147
2001-05-01,2589.347
2001-05-02,2566.05
2001-05-03,2537.337
2001-05-04,2551.08
2001-05-07,2594.517
2001-05-08,2596.686
2001-05-09,2611.312
2001-05-10,2663.872
2001-05-11,2674.835
2001-05-14,2616.786
2001-05-15,2661.132
2001-05-16,2665.116
2001-05-17,2665.38
2001-05-18,2760.813
2001-05-21,2852.12
2001-05-22,2784.757
2001-05-23,2750.442
2001-05-24,2751.756
2001-05-25,2750.696
2001-05-28,2750.075
2001-05-29,2685.543
2001-05-30,2670.359
2001-05-31,2646.678
2001-06-01,2633.522
2001-06-04,2637.255
2001-06-05,2678.926
2001-06-06,2685.118
2001-06-07,2699.025
2001-06-08,2688.791
2001-06-11,2619.6
2001-06-12,2591.272
2001-06-13,2636.229
2001-06-14,2591.873
2001-06-15,2577.028
2001-06-18,2583.36
2001-06-19,2592.271
2001-06-20,2565.857
2001-06-21,2524.153
2001-06-22,2528.652
2001-06-25,2524.793
2001-06-26,2509.955
2001-06-27,2507.998
2001-06-28,2504.389
2001-06-29,2460.156
2001-07-02,2480.711
2001-07-03,2510.267
2001-07-04,2521.663
2001-07-05,2486.614
2001-07-06,2483.892
2001-07-09,2507.848
2001-07-10,2511.325
2001-07-11,2500.371
2001-07-12,2526.924
2001-07-13,2482.807
2001-07-16,2441.458
2001-07-17,2413.118
2001-07-18,2449.093
2001-07-19,2494.144
2001-07-20,2491.705
2001-07-23,2488.253
2001-07-24,2467.665
2001-07-25,2437.873
2001-07-26,2473.626
2001-07-27,2477.025
2001-07-30,2474.921
2001-07-31,2457.984
2001-08-01,2457.813
2001-08-02,2465.995
2001-08-03,2480.603
2001-08-06,2452.028
2001-08-07,2443.528
2001-08-08,2443.109
2001-08-09,2478.864
2001-08-10,2513.661
2001-08-13,2519.412
2001-08-14,2530.283
2001-08-15,2535.675
2001-08-16,2535.293
2001-08-17,2521.912
2001-08-20,2471.077
2001-08-21,2495.113
2001-08-22,2561.183
2001-08-23,2532.327
2001-08-24,2554.206
2001-08-27,2531.15
2001-08-28,2536.281
2001-08-29,2543.12
2001-08-30,2536.244
2001-08-31,2528.106
2001-09-03,2524.827
2001-09-04,2533.491
2001-09-05,2556.461
2001-09-06,2548.908
2001-09-07,2545.901
2001-09-10,2477.011
2001-09-11,2515.312
2001-09-12,2348.357
2001-09-13,2393.439
2001-09-14,2348.527
2001-09-17,2318.431
2001-09-18,2269.085
2001-09-19,2170.01
2001-09-20,2008.751
2001-09-21,1800.048
2001-09-24,1909.413
2001-09-25,1912.534
2001-09-26,1938.752
2001-09-27,1967.369
2001-09-28,1948.026
2001-10-01,1940.25
2001-10-02,1931.616
2001-10-03,1888.062
2001-10-04,1881.029
2001-10-05,1877.469
2001-10-08,1864.996
2001-10-09,1885.219
2001-10-10,1897.807
2001-10-11,1955.791
2001-10-12,1974.412
2001-10-15,1943.529
2001-10-16,1945.755
2001-10-17,1986.014
2001-10-18,1926.454
2001-10-19,1901.014
2001-10-22,1904.991
2001-10-23,1927.685
2001-10-24,1919.524
2001-10-25,1884.536
2001-10-26,1909.319
2001-10-29,1918.671
2001-10-30,1896.626
2001-10-31,1867.188
2001-11-01,1896.045
2001-11-02,1892.41
2001-11-05,1906.117
2001-11-06,1929.786
2001-11-07,1963.543
2001-11-08,1951.705
2001-11-09,1994.593
2001-11-12,1930.352
2001-11-13,1953.205
2001-11-14,1992.006
2001-11-15,1950.461
2001-11-16,1939.695
2001-11-19,1957.909
2001-11-20,1967.602
2001-11-21,1936.136
2001-11-22,1932.769
2001-11-23,1932.348
2001-11-26,1970.102
2001-11-27,1993.932
2001-11-28,2002.536
2001-11-29,1998.695
2001-11-30,2038.618
2001-12-03,2028.076
2001-12-04,2046.811
2001-12-05,2061.54
2001-12-06,2102.727
2001-12-07,2105.304
2001-12-10,2092.843
2001-12-11,2090.874
2001-12-12,2114.562
2001-12-13,2093.28
2001-12-14,2106.312
2001-12-17,2090.712
2001-12-18,2113.368
2001-12-19,2099.537
2001-12-20,2131.777
2001-12-21,2143.416
2001-12-24,2116.049
2001-12-25,2116.049
2001-12-26,2118.923
2001-12-27,2195.302
2001-12-28,2194.025
2001-12-31,2209.95
2002-01-01,2209.95
2002-01-02,2224.851
2002-01-03,2224.057
2002-01-04,2257.198
2002-01-07,2258.579
2002-01-08,2194.646
2002-01-09,2211.421
2002-01-10,2203.198
2002-01-11,2204.923
2002-01-14,2201.22
2002-01-15,2167.526
2002-01-16,2142.799
2002-01-17,2148.506
2002-01-18,2142.403
2002-01-21,2147.733
2002-01-22,2174.149
2002-01-23,2168.208
2002-01-24,2192.918
2002-01-25,2157.374
2002-01-28,2153.695
2002-01-29,2166.06
2002-01-30,2141.899
2002-01-31,2163.176
2002-02-01,2158.199
2002-02-04,2177.994
2002-02-05,2153.866
2002-02-06,2146.773
2002-02-07,2115.057
2002-02-08,2124.32
2002-02-11,2148.482
2002-02-12,2162.714
2002-02-13,2165.969
2002-02-14,2201.664
2002-02-15,2205.474
2002-02-18,2196.115
2002-02-19,2187.174
2002-02-20,2185.19
2002-02-21,2198.542
2002-02-22,2209.936
2002-02-25,2205.388
2002-02-26,2215.774
2002-02-27,2229.422
2002-02-28,2232.188
2002-03-01,2233.688
2002-03-04,2274.215
2002-03-05,2287.034
2002-03-06,2301.733
2002-03-07,2357.664
2002-03-08,2399.753
2002-03-11,2393.377
2002-03-12,2379.724
2002-03-13,2376.704
2002-03-14,2402.108
2002-03-15,2417.34
2002-03-18,2428.734
2002-03-19,2458.806
2002-03-20,2450.068
2002-03-21,2466.008
2002-03-22,2447.984
2002-03-25,2431.81
2002-03-26,2445.057
2002-03-27,2450.688
2002-03-28,2451.922
2002-03-29,2451.922
2002-04-01,2470.426
2002-04-02,2508.543
2002-04-03,2548.28
2002-04-04,2518.834
2002-04-05,2490.245
2002-04-08,2482.506
2002-04-09,2460.824
2002-04-10,2436.972
2002-04-11,2464.591
2002-04-12,2468.815
2002-04-15,2463.714
2002-04-16,2483.048
2002-04-17,2501.394
2002-04-18,2525.537
2002-04-19,2518.672
2002-04-22,2504.332
2002-04-23,2493.068
2002-04-24,2506.232
2002-04-25,2498.504
2002-04-26,2488.569
2002-04-29,2476.386
2002-04-30,2511.725
2002-05-01,2527.208
2002-05-02,2594.149
2002-05-03,2638.449
2002-05-06,2608.403
2002-05-07,2571.587
2002-05-08,2620.132
2002-05-09,2624.755
2002-05-10,2653.847
2002-05-13,2658.955
2002-05-14,2650.573
2002-05-15,2659.291
2002-05-16,2683.159
2002-05-17,2711.834
2002-05-20,2719.821
2002-05-21,2679.474
2002-05-22,2678.869
2002-05-23,2649.529
2002-05-24,2647.18
2002-05-27,2622.673
2002-05-28,2645.988
2002-05-29,2604.595
2002-05-30,2610.906
2002-05-31,2561.387
2002-06-03,2584.507
2002-06-04,2532.586
2002-06-05,2502.563
2002-06-06,2549.833
2002-06-07,2473.726
2002-06-10,2493.063
2002-06-11,2522.678
2002-06-12,2540.488
2002-06-13,2522.544
2002-06-14,2440.692
2002-06-17,2497.906
2002-06-18,2514.745
2002-06-19,2526.485
2002-06-20,2491.02
2002-06-21,2484.87
2002-06-24,2461.776
2002-06-25,2476.27
2002-06-26,2376.452
2002-06-27,2431.14
2002-06-28,2439.523
2002-07-01,2468.005
2002-07-02,2444.883
2002-07-03,2396.555
2002-07-04,2389.798
2002-07-05,2408.377
2002-07-08,2450.299
2002-07-09,2450.701
2002-07-10,2416.576
2002-07-11,2388.753
2002-07-12,2329.931
2002-07-15,2366.068
