Date,NORWAY VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,101.658
1975-02-28,100.692
1975-03-31,99.267
1975-04-30,95.454
1975-05-30,96.125
1975-06-30,102.932
1975-07-31,96.874
1975-08-29,92.647
1975-09-30,83.909
1975-10-31,87.01
1975-11-28,84.552
1975-12-31,88.403
1976-01-30,99.133
1976-02-27,96.068
1976-03-31,98.316
1976-04-30,97.449
1976-05-31,96.732
1976-06-30,102.664
1976-07-30,109.829
1976-08-31,106.855
1976-09-30,106.782
1976-10-29,101.913
1976-11-30,103.523
1976-12-31,105.36
1977-01-31,100.813
1977-02-28,97.645
1977-03-31,99.744
1977-04-29,96.141
1977-05-31,91.937
1977-06-30,90.724
1977-07-29,90.337
1977-08-31,81.911
1977-09-30,77.311
1977-10-31,77.396
1977-11-30,75.978
1977-12-30,79.98
1978-01-31,78.456
1978-02-28,74.922
1978-03-31,74.209
1978-04-28,74.08
1978-05-31,78.275
1978-06-30,74.415
1978-07-31,78.27
1978-08-31,90.873
1978-09-29,93.707
1978-10-31,98.81
1978-11-30,93.144
1978-12-29,98.638
1979-01-31,98.293
1979-02-28,104.675
1979-03-30,102.702
1979-04-30,109.615
1979-05-31,114.454
1979-06-29,115.526
1979-07-31,118.951
1979-08-31,123.172
1979-09-28,127.703
1979-10-31,132.197
1979-11-30,128.713
1979-12-31,127.537
1980-01-31,129.05
1980-02-29,137.601
1980-03-31,118.936
1980-04-30,126.228
1980-05-30,128.792
1980-06-30,129.619
1980-07-31,125.947
1980-08-29,126.955
1980-09-30,127.863
1980-10-31,123.907
1980-11-28,126.553
1980-12-31,125.294
1981-01-30,127.957
1981-02-27,132.74
1981-03-31,130.047
1981-04-30,132.071
1981-05-29,118.906
1981-06-30,114.047
1981-07-31,126.184
1981-08-31,129.068
1981-09-30,128.608
1981-10-30,140.863
1981-11-30,145.427
1981-12-31,139.491
1982-01-29,145.727
1982-02-26,138.59
1982-03-31,131.024
1982-04-30,136.805
1982-05-31,140.701
1982-06-30,127.347
1982-07-30,123.0
1982-08-31,122.085
1982-09-30,110.584
1982-10-29,104.657
1982-11-30,104.775
1982-12-31,109.727
1983-01-31,122.101
1983-02-28,131.963
1983-03-31,138.379
1983-04-29,153.727
1983-05-31,155.505
1983-06-30,150.863
1983-07-29,161.542
1983-08-31,155.694
1983-09-30,171.271
1983-10-31,173.593
1983-11-30,175.123
1983-12-30,188.283
1984-01-31,211.476
1984-02-29,224.306
1984-03-30,245.541
1984-04-30,254.903
1984-05-31,231.937
1984-06-29,191.789
1984-07-31,197.681
1984-08-31,205.49
1984-09-28,182.593
1984-10-31,197.852
1984-11-30,197.228
1984-12-31,206.348
1985-01-31,246.233
1985-02-28,224.951
1985-03-29,233.644
1985-04-30,251.987
1985-05-31,250.579
1985-06-28,237.114
1985-07-31,274.993
1985-08-30,269.538
1985-09-30,298.666
1985-10-31,365.496
1985-11-29,381.769
1985-12-31,382.299
1986-01-31,368.254
1986-02-28,373.097
1986-03-31,352.973
1986-04-30,359.683
1986-05-30,369.01
1986-06-30,406.568
1986-07-31,353.546
1986-08-29,412.223
1986-09-30,399.707
1986-10-31,401.412
1986-11-28,413.985
1986-12-31,401.033
1987-01-30,418.832
1987-02-27,459.996
1987-03-31,498.379
1987-04-30,541.134
1987-05-29,569.91
1987-06-30,589.394
1987-07-31,659.784
1987-08-31,722.425
1987-09-30,741.289
1987-10-30,558.678
1987-11-30,441.977
1987-12-31,448.39
1988-01-29,467.262
1988-02-29,512.354
1988-03-31,586.293
1988-04-29,608.796
1988-05-31,562.378
1988-06-30,590.709
1988-07-29,587.944
1988-08-31,535.451
1988-09-30,549.513
1988-10-31,589.762
1988-11-30,616.588
1988-12-30,694.161
1989-01-31,790.647
1989-02-28,827.231
1989-03-31,892.318
1989-04-28,1026.746
1989-05-31,996.254
1989-06-30,946.723
1989-07-31,1047.27
1989-08-31,1044.517
1989-09-29,1047.479
1989-10-31,920.039
1989-11-30,994.219
1989-12-29,1131.956
1990-01-31,1242.101
1990-02-28,1345.841
1990-03-30,1361.665
1990-04-30,1295.298
1990-05-31,1411.89
1990-06-29,1388.043
1990-07-31,1572.531
1990-08-31,1589.324
1990-09-28,1499.926
1990-10-31,1399.914
1990-11-30,1363.512
1990-12-31,1266.039
1991-01-31,1163.864
1991-02-28,1289.185
1991-03-29,1210.072
1991-04-30,1134.177
1991-05-31,1244.904
1991-06-28,1093.69
1991-07-31,1127.486
1991-08-30,1168.619
1991-09-30,1122.772
1991-10-31,1000.461
1991-11-29,816.434
1991-12-31,946.766
1992-01-31,967.8
1992-02-28,878.067
1992-03-31,986.306
1992-04-30,1084.159
1992-05-29,1130.376
1992-06-30,1072.524
1992-07-31,1024.047
1992-08-31,907.658
1992-09-30,873.447
1992-10-30,908.086
1992-11-30,850.367
1992-12-31,887.564
1993-01-29,903.293
1993-02-26,929.8
1993-03-31,1081.197
1993-04-30,1147.314
1993-05-31,1144.56
1993-06-30,1144.716
1993-07-30,1233.215
1993-08-31,1357.59
1993-09-30,1301.874
1993-10-29,1495.477
1993-11-30,1419.104
1993-12-31,1601.3
1994-01-31,1726.969
1994-02-28,1745.571
1994-03-31,1652.906
1994-04-29,1611.345
1994-05-31,1659.707
1994-06-30,1569.117
1994-07-29,1710.319
1994-08-31,1675.412
1994-09-30,1524.603
1994-10-31,1555.038
1994-11-30,1592.522
1994-12-30,1765.346
1995-01-31,1788.392
1995-02-28,1728.29
1995-03-31,1681.363
1995-04-28,1816.446
1995-05-31,1756.645
1995-06-30,1872.378
1995-07-31,1938.789
1995-08-31,1792.02
1995-09-29,1874.241
1995-10-31,1758.148
1995-11-30,1718.085
1995-12-29,1763.578
1996-01-31,1688.233
1996-02-29,1775.537
1996-03-29,1845.962
1996-04-30,1965.298
1996-05-31,1978.602
1996-06-28,2063.04
1996-07-31,2043.158
1996-08-30,2052.858
1996-09-30,2034.521
1996-10-31,2164.799
1996-11-29,2318.76
