Date,NORWAY VALUE Standard (Large+Mid Cap)
2001-01-01,1978.892
2001-01-02,2046.207
2001-01-03,1969.927
2001-01-04,1996.021
2001-01-05,2022.855
2001-01-08,2025.294
2001-01-09,2013.072
2001-01-10,2002.685
2001-01-11,2031.41
2001-01-12,2021.555
2001-01-15,1976.19
2001-01-16,1950.056
2001-01-17,1948.05
2001-01-18,1957.979
2001-01-19,1913.647
2001-01-22,1901.205
2001-01-23,1889.754
2001-01-24,1833.366
2001-01-25,1838.728
2001-01-26,1862.672
2001-01-29,1871.101
2001-01-30,1893.735
2001-01-31,1906.184
2001-02-01,1945.269
2001-02-02,1940.086
2001-02-05,1964.204
2001-02-06,1971.174
2001-02-07,1987.517
2001-02-08,1964.623
2001-02-09,1965.178
2001-02-12,1957.053
2001-02-13,1943.803
2001-02-14,1919.187
2001-02-15,1900.349
2001-02-16,1927.611
2001-02-19,1951.755
2001-02-20,1923.464
2001-02-21,1908.806
2001-02-22,1921.973
2001-02-23,1946.292
2001-02-26,1958.21
2001-02-27,1976.701
2001-02-28,1966.095
2001-03-01,1947.114
2001-03-02,1959.033
2001-03-05,1968.297
2001-03-06,2009.742
2001-03-07,1993.979
2001-03-08,2032.664
2001-03-09,2031.592
2001-03-12,1993.721
2001-03-13,1938.654
2001-03-14,1865.608
2001-03-15,1876.304
2001-03-16,1836.392
2001-03-19,1831.087
2001-03-20,1862.088
2001-03-21,1841.301
2001-03-22,1782.465
2001-03-23,1782.896
2001-03-26,1809.982
2001-03-27,1838.059
2001-03-28,1822.052
2001-03-29,1787.944
2001-03-30,1793.547
2001-04-02,1804.446
2001-04-03,1784.55
2001-04-04,1805.076
2001-04-05,1840.365
2001-04-06,1860.378
2001-04-09,1872.393
2001-04-10,1903.941
2001-04-11,1926.339
2001-04-12,1944.627
2001-04-13,1944.627
2001-04-16,1924.823
2001-04-17,1922.137
2001-04-18,1911.288
2001-04-19,1920.16
2001-04-20,1928.962
2001-04-23,1923.668
2001-04-24,1917.105
2001-04-25,1916.448
2001-04-26,1935.46
2001-04-27,1947.497
2001-04-30,1940.184
2001-05-01,1951.641
2001-05-02,1934.081
2001-05-03,1912.439
2001-05-04,1920.37
2001-05-07,1953.068
2001-05-08,1954.701
2001-05-09,1965.711
2001-05-10,2005.277
2001-05-11,2012.364
2001-05-14,1968.692
2001-05-15,2002.055
2001-05-16,2004.845
