Date,NORWAY VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,101.553
1975-02-28,100.477
1975-03-31,98.949
1975-04-30,95.031
1975-05-30,95.581
1975-06-30,102.236
1975-07-31,96.11
1975-08-29,91.802
1975-09-30,83.03
1975-10-31,85.985
1975-11-28,83.444
1975-12-31,87.139
1976-01-30,97.615
1976-02-27,94.481
1976-03-31,96.581
1976-04-30,95.621
1976-05-31,94.815
1976-06-30,100.534
1976-07-30,107.454
1976-08-31,104.437
1976-09-30,104.252
1976-10-29,99.379
1976-11-30,100.832
1976-12-31,102.506
1977-01-31,97.96
1977-02-28,94.752
1977-03-31,96.673
1977-04-29,93.058
1977-05-31,88.865
1977-06-30,87.573
1977-07-29,87.077
1977-08-31,78.832
1977-09-30,74.276
1977-10-31,74.232
1977-11-30,72.743
1977-12-30,76.441
1978-01-31,74.847
1978-02-28,71.355
1978-03-31,70.552
1978-04-28,70.314
1978-05-31,74.187
1978-06-30,70.405
1978-07-31,73.937
1978-08-31,85.736
1978-09-29,88.288
1978-10-31,92.95
1978-11-30,87.496
1978-12-29,92.531
1979-01-31,92.079
1979-02-28,97.932
1979-03-30,95.96
1979-04-30,102.305
1979-05-31,106.699
1979-06-29,107.566
1979-07-31,110.619
1979-08-31,114.41
1979-09-28,118.483
1979-10-31,122.526
1979-11-30,119.156
1979-12-31,117.926
1980-01-31,119.182
1980-02-29,126.914
1980-03-31,109.515
1980-04-30,116.049
1980-05-30,118.198
1980-06-30,118.745
1980-07-31,115.167
1980-08-29,115.874
1980-09-30,116.491
1980-10-31,112.674
1980-11-28,114.878
1980-12-31,113.534
1981-01-30,115.765
1981-02-27,119.898
1981-03-31,117.246
1981-04-30,118.871
1981-05-29,106.803
1981-06-30,102.243
1981-07-31,112.951
1981-08-31,115.338
1981-09-30,114.718
1981-10-30,125.462
1981-11-30,129.308
1981-12-31,123.802
1982-01-29,129.127
1982-02-26,122.577
1982-03-31,115.713
1982-04-30,120.651
1982-05-31,123.922
1982-06-30,111.984
1982-07-30,107.999
1982-08-31,107.044
1982-09-30,96.77
1982-10-29,91.408
1982-11-30,91.324
1982-12-31,95.462
1983-01-31,106.066
1983-02-28,114.462
1983-03-31,119.852
1983-04-29,132.968
1983-05-31,134.316
1983-06-30,130.113
1983-07-29,139.149
1983-08-31,133.921
1983-09-30,147.17
1983-10-31,149.004
1983-11-30,150.158
1983-12-30,161.298
1984-01-31,181.007
1984-02-29,191.797
1984-03-30,209.75
1984-04-30,217.544
1984-05-31,197.704
1984-06-29,163.226
1984-07-31,168.049
1984-08-31,174.484
1984-09-28,154.848
1984-10-31,167.621
1984-11-30,166.914
1984-12-31,174.466
1985-01-31,208.032
1985-02-28,189.864
1985-03-29,196.994
1985-04-30,212.27
1985-05-31,210.875
1985-06-28,199.321
1985-07-31,230.926
1985-08-30,226.085
1985-09-30,250.261
1985-10-31,306.025
1985-11-29,319.363
1985-12-31,319.513
1986-01-31,307.464
1986-02-28,311.126
1986-03-31,294.002
1986-04-30,299.226
1986-05-30,306.714
1986-06-30,337.616
1986-07-31,293.192
1986-08-29,341.552
1986-09-30,330.847
1986-10-31,331.944
1986-11-28,342.029
1986-12-31,330.983
1987-01-30,345.358
1987-02-27,379.045
1987-03-31,410.428
1987-04-30,445.385
1987-05-29,468.815
1987-06-30,484.577
1987-07-31,542.208
1987-08-31,593.434
1987-09-30,608.657
1987-10-30,458.321
1987-11-30,362.196
1987-12-31,367.142
1988-01-29,382.309
1988-02-29,418.951
1988-03-31,479.149
1988-04-29,497.245
1988-05-31,459.018
1988-06-30,481.892
1988-07-29,479.374
1988-08-31,436.295
1988-09-30,447.492
1988-10-31,479.994
1988-11-30,501.547
1988-12-30,564.396
1989-01-31,642.609
1989-02-28,671.981
1989-03-31,724.56
1989-04-28,833.468
1989-05-31,808.448
1989-06-30,767.955
1989-07-31,849.272
1989-08-31,846.799
1989-09-29,848.736
1989-10-31,744.963
1989-11-30,804.6
1989-12-29,915.64
1990-01-31,1004.287
1990-02-28,1087.614
1990-03-30,1099.814
1990-04-30,1045.533
1990-05-31,1139.057
1990-06-29,1119.257
1990-07-31,1267.384
1990-08-31,1280.214
1990-09-28,1207.591
1990-10-31,1126.421
1990-11-30,1096.527
1990-12-31,1017.511
1991-01-31,934.728
1991-02-28,1034.848
1991-03-29,970.871
1991-04-30,909.577
1991-05-31,998.014
1991-06-28,876.377
1991-07-31,903.065
1991-08-30,935.63
1991-09-30,898.489
1991-10-31,800.166
1991-11-29,652.462
1991-12-31,756.215
1992-01-31,772.622
1992-02-28,700.603
1992-03-31,786.646
1992-04-30,864.368
1992-05-29,900.858
1992-06-30,854.329
1992-07-31,815.291
1992-08-31,722.147
1992-09-30,694.572
1992-10-30,721.836
1992-11-30,675.635
1992-12-31,704.929
1993-01-29,717.13
1993-02-26,737.839
1993-03-31,857.676
1993-04-30,909.786
1993-05-31,907.255
1993-06-30,907.063
1993-07-30,976.908
1993-08-31,1075.128
1993-09-30,1030.643
1993-10-29,1183.631
1993-11-30,1122.849
1993-12-31,1266.725
1994-01-31,1365.843
1994-02-28,1380.209
1994-03-31,1306.477
1994-04-29,1273.179
1994-05-31,1310.967
1994-06-30,1238.929
1994-07-29,1350.004
1994-08-31,1321.992
1994-09-30,1202.441
1994-10-31,1225.927
1994-11-30,1255.015
1994-12-30,1390.762
1995-01-31,1408.409
1995-02-28,1360.472
1995-03-31,1322.863
1995-04-28,1428.589
1995-05-31,1380.933
1995-06-30,1471.328
1995-07-31,1522.904
1995-08-31,1407.007
1995-09-29,1471.041
1995-10-31,1379.365
1995-11-30,1347.421
1995-12-29,1382.593
1996-01-31,1323.018
1996-02-29,1390.769
1996-03-29,1445.193
1996-04-30,1537.946
1996-05-31,1547.619
1996-06-28,1612.946
1996-07-31,1596.619
1996-08-30,1603.451
1996-09-30,1588.403
1996-10-31,1689.4
1996-11-29,1808.864
1996-12-31,1927.702
1997-01-31,2030.251
1997-02-28,2004.542
1997-03-31,2139.52
1997-04-30,1989.121
1997-05-30,2088.888
1997-06-30,2163.647
1997-07-31,2290.866
1997-08-29,2202.5
1997-09-30,2395.139
1997-10-31,2341.309
1997-11-28,2165.347
1997-12-31,2188.078
1998-01-30,1963.047
1998-02-27,1985.077
1998-03-31,2105.914
1998-04-30,2160.194
1998-05-29,2023.457
1998-06-30,1933.932
1998-07-31,2041.609
1998-08-31,1440.298
1998-09-30,1335.073
1998-10-30,1495.181
1998-11-30,1452.18
1998-12-31,1420.014
1999-01-29,1639.89
1999-02-26,1468.33
1999-03-31,1672.368
1999-04-30,1833.855
1999-05-31,1693.821
1999-06-30,1671.678
1999-07-30,1774.865
1999-08-31,1873.436
1999-09-30,1934.574
1999-10-29,1820.917
1999-11-30,1856.1
1999-12-31,2063.553
2000-01-31,1843.463
2000-02-29,1829.76
2000-03-31,1897.018
2000-04-28,1780.364
2000-05-31,1867.391
2000-06-30,2008.719
2000-07-31,1957.112
2000-08-31,2141.594
2000-09-29,2035.321
2000-10-31,1970.58
2000-11-30,1859.027
2000-12-29,1978.892
2001-01-31,1906.184
2001-02-28,1966.095
2001-03-30,1793.547
2001-04-30,1940.184
2001-05-31,1988.527
2001-06-29,1848.388
2001-07-31,1846.756
2001-08-31,1899.441
2001-09-28,1462.785
2001-10-31,1402.084
2001-11-30,1530.534
2001-12-31,1659.165
2002-01-31,1624.048
2002-02-28,1675.56
2002-03-29,1839.148
2002-04-30,1876.888
2002-05-31,1908.018
2002-06-28,1817.24
2002-07-31,1551.944
2002-08-30,1530.083
2002-09-30,1313.154
2002-10-31,1394.206
2002-11-29,1496.085
2002-12-31,1544.89
2003-01-31,1494.392
