Date,KOKUSAI INDEX (WORLD ex JP) VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,116.694
1975-02-28,123.359
1975-03-31,122.688
1975-04-30,128.735
1975-05-30,132.138
1975-06-30,135.812
1975-07-31,130.315
1975-08-29,129.24
1975-09-30,125.58
1975-10-31,132.76
1975-11-28,136.346
1975-12-31,137.859
1976-01-30,151.091
1976-02-27,150.937
1976-03-31,153.747
1976-04-30,153.868
1976-05-31,151.45
1976-06-30,156.219
1976-07-30,156.058
1976-08-31,155.483
1976-09-30,158.657
1976-10-29,154.07
1976-11-30,154.431
1976-12-31,165.867
1977-01-31,163.476
1977-02-28,160.997
1977-03-31,161.128
1977-04-29,165.164
1977-05-31,164.167
1977-06-30,168.797
1977-07-29,166.515
1977-08-31,163.368
1977-09-30,165.735
1977-10-31,162.17
1977-11-30,164.082
1977-12-30,168.624
1978-01-31,161.992
1978-02-28,161.233
1978-03-31,167.55
1978-04-28,174.331
1978-05-31,176.034
1978-06-30,174.143
1978-07-31,183.628
1978-08-31,189.676
1978-09-29,194.256
1978-10-31,186.312
1978-11-30,183.322
1978-12-29,186.947
1979-01-31,193.978
1979-02-28,191.712
1979-03-30,202.457
1979-04-30,203.784
1979-05-31,198.444
1979-06-29,206.201
1979-07-31,208.63
1979-08-31,217.19
1979-09-28,221.493
1979-10-31,203.586
1979-11-30,210.354
1979-12-31,213.701
1980-01-31,227.15
1980-02-29,227.224
1980-03-31,203.944
1980-04-30,218.301
1980-05-30,227.782
1980-06-30,237.108
1980-07-31,246.561
1980-08-29,248.775
1980-09-30,249.572
1980-10-31,253.698
1980-11-28,265.249
1980-12-31,259.638
1981-01-30,253.903
1981-02-27,254.775
1981-03-31,266.943
1981-04-30,268.953
1981-05-29,265.087
1981-06-30,264.142
1981-07-31,256.547
1981-08-31,247.619
1981-09-30,233.033
1981-10-30,239.175
1981-11-30,255.631
1981-12-31,248.115
1982-01-29,244.936
1982-02-26,234.692
1982-03-31,233.051
1982-04-30,240.211
1982-05-31,235.219
1982-06-30,225.599
1982-07-30,221.229
