Date,KOKUSAI INDEX (WORLD ex JP) VALUE Standard (Large+Mid Cap)
2001-01-01,5104.103
2001-01-02,5064.25
2001-01-03,5124.273
2001-01-04,5130.362
2001-01-05,5079.331
2001-01-08,5074.427
2001-01-09,5043.592
2001-01-10,5051.485
2001-01-11,5079.545
2001-01-12,5064.207
2001-01-15,5058.152
2001-01-16,5067.656
2001-01-17,5076.607
2001-01-18,5100.922
2001-01-19,5063.308
2001-01-22,5072.0
2001-01-23,5113.883
2001-01-24,5118.068
2001-01-25,5130.413
2001-01-26,5116.581
2001-01-29,5140.288
2001-01-30,5183.629
2001-01-31,5183.925
2001-02-01,5199.824
2001-02-02,5145.404
2001-02-05,5182.5
2001-02-06,5167.021
2001-02-07,5139.476
2001-02-08,5118.625
2001-02-09,5094.055
2001-02-12,5144.307
2001-02-13,5123.163
2001-02-14,5078.894
2001-02-15,5075.931
2001-02-16,5048.463
2001-02-19,5053.782
2001-02-20,4981.423
2001-02-21,4917.262
2001-02-22,4907.088
2001-02-23,4863.876
2001-02-26,4931.651
2001-02-27,4945.748
2001-02-28,4909.534
2001-03-01,4900.668
2001-03-02,4921.134
2001-03-05,4943.439
2001-03-06,4997.025
2001-03-07,5023.991
2001-03-08,5051.759
2001-03-09,4982.849
2001-03-12,4834.023
2001-03-13,4812.127
2001-03-14,4691.842
2001-03-15,4741.252
2001-03-16,4627.544
2001-03-19,4667.855
2001-03-20,4638.472
2001-03-21,4533.425
2001-03-22,4389.358
2001-03-23,4480.894
2001-03-26,4598.222
2001-03-27,4712.767
2001-03-28,4615.581
2001-03-29,4608.139
2001-03-30,4656.025
2001-04-02,4623.23
2001-04-03,4495.263
2001-04-04,4520.958
2001-04-05,4639.012
2001-04-06,4593.467
2001-04-09,4650.186
2001-04-10,4741.028
2001-04-11,4726.807
2001-04-12,4770.058
2001-04-13,4770.058
2001-04-16,4766.385
2001-04-17,4774.121
2001-04-18,4886.333
2001-04-19,4934.885
2001-04-20,4916.092
2001-04-23,4875.912
2001-04-24,4862.331
2001-04-25,4901.53
2001-04-26,4940.169
2001-04-27,4977.763
2001-04-30,4960.079
2001-05-01,4997.447
2001-05-02,4977.399
2001-05-03,4915.279
2001-05-04,4965.598
2001-05-07,4966.172
2001-05-08,4930.694
2001-05-09,4927.128
2001-05-10,4967.003
2001-05-11,4926.739
2001-05-14,4913.272
2001-05-15,4943.296
2001-05-16,5027.043
2001-05-17,5045.156
2001-05-18,5060.828
2001-05-21,5099.265
2001-05-22,5088.307
2001-05-23,5025.789
2001-05-24,5024.496
2001-05-25,4993.61
2001-05-28,5000.293
2001-05-29,4964.648
2001-05-30,4920.776
2001-05-31,4935.666
2001-06-01,4931.764
2001-06-04,4955.062
2001-06-05,4994.601
2001-06-06,4943.922
2001-06-07,4943.253
2001-06-08,4921.147
2001-06-11,4887.84
2001-06-12,4876.237
2001-06-13,4878.987
2001-06-14,4820.002
2001-06-15,4809.866
2001-06-18,4772.165
2001-06-19,4782.753
2001-06-20,4782.761
2001-06-21,4821.194
2001-06-22,4810.288
2001-06-25,4802.225
2001-06-26,4773.199
2001-06-27,4760.625
2001-06-28,4779.931
2001-06-29,4812.136
2001-07-02,4857.378
2001-07-03,4837.993
2001-07-04,4832.404
2001-07-05,4789.31
2001-07-06,4715.698
2001-07-09,4733.492
2001-07-10,4709.796
2001-07-11,4687.998
2001-07-12,4743.84
2001-07-13,4768.966
2001-07-16,4752.476
2001-07-17,4752.331
2001-07-18,4745.27
2001-07-19,4766.114
2001-07-20,4751.226
2001-07-23,4714.84
2001-07-24,4646.199
2001-07-25,4676.368
2001-07-26,4717.02
2001-07-27,4744.818
2001-07-30,4765.586
2001-07-31,4786.909
2001-08-01,4808.037
2001-08-02,4823.509
2001-08-03,4803.161
2001-08-06,4764.795
2001-08-07,4771.168
2001-08-08,4712.924
2001-08-09,4700.937
2001-08-10,4721.462
2001-08-13,4729.3
2001-08-14,4736.354
2001-08-15,4739.453
2001-08-16,4731.63
2001-08-17,4672.544
2001-08-20,4680.555
2001-08-21,4677.893
2001-08-22,4700.594
2001-08-23,4684.294
2001-08-24,4745.191
2001-08-27,4727.444
2001-08-28,4676.431
2001-08-29,4647.617
2001-08-30,4578.742
2001-08-31,4595.624
2001-09-03,4574.96
2001-09-04,4580.787
2001-09-05,4541.556
2001-09-06,4460.378
2001-09-07,4379.43
2001-09-10,4367.955
2001-09-11,4293.602
2001-09-12,4289.138
2001-09-13,4306.71
2001-09-14,4245.93
2001-09-17,4123.806
2001-09-18,4106.763
2001-09-19,4043.329
2001-09-20,3900.497
2001-09-21,3809.269
2001-09-24,3962.627
2001-09-25,4010.114
2001-09-26,4022.261
2001-09-27,4066.922
2001-09-28,4165.585
2001-10-01,4129.42
2001-10-02,4183.329
2001-10-03,4236.212
2001-10-04,4270.153
2001-10-05,4253.077
2001-10-08,4216.722
2001-10-09,4211.717
2001-10-10,4291.902
2001-10-11,4331.998
2001-10-12,4310.306
2001-10-15,4270.943
2001-10-16,4309.977
2001-10-17,4298.493
2001-10-18,4229.576
2001-10-19,4191.785
2001-10-22,4232.718
2001-10-23,4258.084
2001-10-24,4246.314
2001-10-25,4258.523
2001-10-26,4309.453
2001-10-29,4242.887
2001-10-30,4166.609
2001-10-31,4168.79
2001-11-01,4231.358
2001-11-02,4233.046
2001-11-05,4282.999
2001-11-06,4310.013
2001-11-07,4324.137
2001-11-08,4356.738
2001-11-09,4353.603
2001-11-12,4313.884
2001-11-13,4388.938
2001-11-14,4389.666
2001-11-15,4383.976
2001-11-16,4397.273
2001-11-19,4435.959
2001-11-20,4415.193
2001-11-21,4381.073
2001-11-22,4397.531
2001-11-23,4423.89
2001-11-26,4435.388
2001-11-27,4413.634
2001-11-28,4350.585
2001-11-29,4370.497
2001-11-30,4382.956
2001-12-03,4333.282
2001-12-04,4403.097
2001-12-05,4532.883
2001-12-06,4548.223
2001-12-07,4506.681
2001-12-10,4422.269
2001-12-11,4418.039
2001-12-12,4418.125
2001-12-13,4336.008
2001-12-14,4330.258
2001-12-17,4395.412
2001-12-18,4411.307
2001-12-19,4405.424
2001-12-20,4360.261
2001-12-21,4370.599
2001-12-24,4367.339
2001-12-25,4367.339
2001-12-26,4386.298
2001-12-27,4449.331
2001-12-28,4470.854
2001-12-31,4452.194
2002-01-01,4452.194
2002-01-02,4482.789
2002-01-03,4554.987
2002-01-04,4592.117
2002-01-07,4566.043
2002-01-08,4532.867
2002-01-09,4511.212
2002-01-10,4492.561
2002-01-11,4459.436
2002-01-14,4405.252
2002-01-15,4434.137
2002-01-16,4348.853
2002-01-17,4391.555
2002-01-18,4361.049
2002-01-21,4354.586
2002-01-22,4316.854
