Date,KOKUSAI INDEX (WORLD ex JP) VALUE Standard (Large+Mid Cap)
2001-01-01,3749.123
2001-01-02,3719.799
2001-01-03,3763.796
2001-01-04,3768.248
2001-01-05,3730.764
2001-01-08,3726.999
2001-01-09,3704.307
2001-01-10,3710.022
2001-01-11,3730.579
2001-01-12,3719.314
2001-01-15,3714.865
2001-01-16,3721.741
2001-01-17,3728.234
2001-01-18,3746.069
2001-01-19,3718.443
2001-01-22,3724.817
2001-01-23,3755.574
2001-01-24,3758.639
2001-01-25,3767.701
2001-01-26,3757.542
2001-01-29,3774.875
2001-01-30,3806.61
2001-01-31,3806.657
2001-02-01,3818.211
2001-02-02,3778.25
2001-02-05,3805.47
2001-02-06,3794.079
2001-02-07,3773.619
2001-02-08,3758.29
2001-02-09,3740.239
2001-02-12,3777.109
2001-02-13,3761.508
2001-02-14,3728.828
2001-02-15,3726.563
2001-02-16,3706.368
2001-02-19,3710.27
2001-02-20,3657.124
2001-02-21,3609.949
2001-02-22,3602.447
2001-02-23,3570.704
2001-02-26,3620.406
2001-02-27,3630.674
2001-02-28,3603.879
2001-03-01,3597.357
2001-03-02,3612.379
2001-03-05,3628.701
2001-03-06,3668.035
2001-03-07,3687.726
2001-03-08,3708.088
2001-03-09,3657.475
2001-03-12,3548.227
2001-03-13,3532.108
2001-03-14,3443.789
2001-03-15,3480.046
2001-03-16,3396.563
2001-03-19,3426.122
2001-03-20,3404.528
2001-03-21,3327.422
2001-03-22,3221.65
2001-03-23,3288.782
2001-03-26,3374.873
2001-03-27,3458.933
2001-03-28,3387.371
2001-03-29,3381.892
2001-03-30,3416.966
2001-04-02,3392.898
2001-04-03,3298.984
2001-04-04,3317.701
2001-04-05,3404.327
2001-04-06,3370.48
2001-04-09,3412.066
2001-04-10,3478.58
2001-04-11,3467.977
2001-04-12,3499.458
2001-04-13,3499.458
2001-04-16,3496.763
2001-04-17,3502.438
2001-04-18,3584.759
2001-04-19,3620.208
2001-04-20,3606.393
2001-04-23,3576.907
2001-04-24,3566.936
2001-04-25,3595.551
2001-04-26,3623.73
2001-04-27,3651.073
2001-04-30,3638.031
2001-05-01,3665.424
2001-05-02,3650.378
2001-05-03,3604.661
2001-05-04,3641.485
2001-05-07,3641.877
2001-05-08,3615.815
2001-05-09,3612.983
2001-05-10,3641.983
2001-05-11,3612.264
2001-05-14,3602.129
2001-05-15,3624.119
2001-05-16,3685.384
2001-05-17,3698.581
2001-05-18,3709.789
2001-05-21,3737.582
2001-05-22,3729.519
2001-05-23,3683.437
2001-05-24,3682.471
2001-05-25,3659.818
2001-05-28,3664.671
2001-05-29,3638.23
2001-05-30,3605.553
2001-05-31,3616.434
2001-06-01,3613.54
2001-06-04,3630.576
2001-06-05,3659.511
2001-06-06,3622.173
2001-06-07,3621.658
2001-06-08,3605.286
2001-06-11,3580.761
2001-06-12,3572.249
2001-06-13,3574.173
2001-06-14,3530.933
2001-06-15,3523.506
2001-06-18,3495.501
2001-06-19,3503.235
2001-06-20,3503.217
2001-06-21,3531.332
2001-06-22,3523.341
2001-06-25,3517.413
2001-06-26,3496.14
2001-06-27,3486.751
2001-06-28,3500.864
2001-06-29,3524.448
2001-07-02,3557.481
2001-07-03,3543.158
2001-07-04,3539.05
2001-07-05,3507.476
