Date,KOKUSAI INDEX (WORLD ex JP) VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,116.847
1975-02-28,123.69
1975-03-31,123.2
1975-04-30,129.443
1975-05-30,133.042
1975-06-30,136.917
1975-07-31,131.559
1975-08-29,130.654
1975-09-30,127.135
1975-10-31,134.578
1975-11-28,138.387
1975-12-31,140.101
1976-01-30,153.713
1976-02-27,153.741
1976-03-31,156.783
1976-04-30,157.096
1976-05-31,154.819
1976-06-30,159.88
1976-07-30,159.907
1976-08-31,159.512
1976-09-30,162.966
1976-10-29,158.463
1976-11-30,159.045
1976-12-31,171.024
1977-01-31,168.777
1977-02-28,166.442
1977-03-31,166.806
1977-04-29,171.212
1977-05-31,170.415
1977-06-30,175.453
1977-07-29,173.325
1977-08-31,170.296
1977-09-30,173.0
1977-10-31,169.531
1977-11-30,171.771
1977-12-30,176.774
1978-01-31,170.089
1978-02-28,169.559
1978-03-31,176.47
1978-04-28,183.875
1978-05-31,185.947
1978-06-30,184.237
1978-07-31,194.547
1978-08-31,201.238
1978-09-29,206.388
1978-10-31,198.278
1978-11-30,195.39
1978-12-29,199.56
1979-01-31,207.363
1979-02-28,205.264
1979-03-30,217.087
1979-04-30,218.844
1979-05-31,213.459
1979-06-29,222.14
1979-07-31,225.114
1979-08-31,234.696
1979-09-28,239.715
1979-10-31,220.737
1979-11-30,228.447
1979-12-31,232.463
1980-01-31,247.464
1980-02-29,247.944
1980-03-31,222.982
1980-04-30,239.081
1980-05-30,249.874
1980-06-30,260.519
1980-07-31,271.321
1980-08-29,274.193
1980-09-30,275.51
1980-10-31,280.505
1980-11-28,293.695
1980-12-31,287.935
1981-01-30,282.031
1981-02-27,283.437
1981-03-31,297.407
1981-04-30,300.093
1981-05-29,296.24
1981-06-30,295.669
1981-07-31,287.662
1981-08-31,278.122
1981-09-30,262.243
1981-10-30,269.619
1981-11-30,288.625
1981-12-31,280.63
1982-01-29,277.511
1982-02-26,266.395
1982-03-31,265.009
1982-04-30,273.62
1982-05-31,268.429
1982-06-30,257.946
1982-07-30,253.445
1982-08-31,275.744
1982-09-30,275.858
1982-10-29,299.429
1982-11-30,305.665
1982-12-31,315.22
1983-01-31,330.872
1983-02-28,339.182
1983-03-31,352.502
1983-04-29,383.664
1983-05-31,381.461
1983-06-30,390.124
1983-07-29,385.736
1983-08-31,393.476
1983-09-30,397.233
1983-10-31,395.093
1983-11-30,406.664
1983-12-30,407.649
1984-01-31,417.554
1984-02-29,408.583
1984-03-30,415.45
1984-04-30,417.941
1984-05-31,389.578
1984-06-29,389.964
1984-07-31,379.053
1984-08-31,419.625
1984-09-28,423.745
1984-10-31,421.973
1984-11-30,422.76
1984-12-31,431.491
1985-01-31,460.183
1985-02-28,459.272
1985-03-29,472.218
1985-04-30,479.742
1985-05-31,506.868
1985-06-28,514.998
1985-07-31,524.157
1985-08-30,528.22
1985-09-30,518.296
1985-10-31,552.744
1985-11-29,583.257
1985-12-31,607.088
