Date,NETHERLANDS GROWTH Standard (Large+Mid Cap)
2001-01-01,4121.847
2001-01-02,4104.604
2001-01-03,4019.116
2001-01-04,4075.291
2001-01-05,4106.857
2001-01-08,4071.244
2001-01-09,4071.409
2001-01-10,4063.965
2001-01-11,4162.361
2001-01-12,4183.098
2001-01-15,4122.872
2001-01-16,4063.713
2001-01-17,4090.731
2001-01-18,4110.213
2001-01-19,4072.456
2001-01-22,4053.048
2001-01-23,4097.142
2001-01-24,4045.722
2001-01-25,4011.097
2001-01-26,3994.765
2001-01-29,4013.965
2001-01-30,4029.277
2001-01-31,4080.793
2001-02-01,4085.888
2001-02-02,4006.235
2001-02-05,4024.14
2001-02-06,3997.505
2001-02-07,3945.532
2001-02-08,3896.122
2001-02-09,3877.679
2001-02-12,3929.89
2001-02-13,3906.95
2001-02-14,3831.739
2001-02-15,3835.577
2001-02-16,3844.622
2001-02-19,3805.044
2001-02-20,3745.995
2001-02-21,3718.4
2001-02-22,3686.833
2001-02-23,3615.13
2001-02-26,3687.398
2001-02-27,3752.137
2001-02-28,3780.944
2001-03-01,3799.447
2001-03-02,3808.471
2001-03-05,3758.126
2001-03-06,3784.065
2001-03-07,3740.88
2001-03-08,3743.067
2001-03-09,3764.893
2001-03-12,3704.543
2001-03-13,3617.559
2001-03-14,3549.099
2001-03-15,3554.113
2001-03-16,3454.021
2001-03-19,3417.124
2001-03-20,3467.057
2001-03-21,3404.31
2001-03-22,3225.402
2001-03-23,3307.752
2001-03-26,3398.536
2001-03-27,3473.443
2001-03-28,3441.151
2001-03-29,3420.772
2001-03-30,3459.473
2001-04-02,3442.889
2001-04-03,3352.621
2001-04-04,3421.504
2001-04-05,3481.878
2001-04-06,3504.35
2001-04-09,3533.069
2001-04-10,3535.872
2001-04-11,3526.902
2001-04-12,3569.622
2001-04-13,3569.622
2001-04-16,3533.065
2001-04-17,3543.801
2001-04-18,3581.175
2001-04-19,3617.559
2001-04-20,3650.63
2001-04-23,3587.329
2001-04-24,3608.623
2001-04-25,3619.495
2001-04-26,3703.668
2001-04-27,3725.143
2001-04-30,3700.101
2001-05-01,3731.636
2001-05-02,3739.952
2001-05-03,3644.408
2001-05-04,3634.883
2001-05-07,3619.638
2001-05-08,3589.17
2001-05-09,3561.914
2001-05-10,3647.453
2001-05-11,3627.33
2001-05-14,3591.237
2001-05-15,3620.754
2001-05-16,3627.767
2001-05-17,3637.532
2001-05-18,3648.868
2001-05-21,3617.216
2001-05-22,3602.576
2001-05-23,3544.727
2001-05-24,3531.826
2001-05-25,3477.378
2001-05-28,3512.79
2001-05-29,3474.088
2001-05-30,3449.012
2001-05-31,3443.667
2001-06-01,3443.135
2001-06-04,3447.813
2001-06-05,3510.11
2001-06-06,3516.757
2001-06-07,3537.539
2001-06-08,3518.6
2001-06-11,3480.043
2001-06-12,3483.358
2001-06-13,3533.852
2001-06-14,3502.7
2001-06-15,3457.758
2001-06-18,3468.127
2001-06-19,3441.302
2001-06-20,3411.784
2001-06-21,3417.911
2001-06-22,3475.849
2001-06-25,3504.229
2001-06-26,3503.168
2001-06-27,3504.374
2001-06-28,3483.936
2001-06-29,3535.672
2001-07-02,3569.31
2001-07-03,3537.173
2001-07-04,3515.871
2001-07-05,3471.667
2001-07-06,3465.686
2001-07-09,3478.416
2001-07-10,3506.801
2001-07-11,3502.427
2001-07-12,3452.508
2001-07-13,3408.867
2001-07-16,3411.918
2001-07-17,3401.143
2001-07-18,3428.571
2001-07-19,3431.531
2001-07-20,3425.036
2001-07-23,3412.421
2001-07-24,3417.445
2001-07-25,3374.4
2001-07-26,3351.094
2001-07-27,3372.622
2001-07-30,3424.436
2001-07-31,3460.746
2001-08-01,3488.601
2001-08-02,3487.646
2001-08-03,3464.156
2001-08-06,3461.029
2001-08-07,3465.994
2001-08-08,3436.187
2001-08-09,3498.851
2001-08-10,3550.791
2001-08-13,3572.023
2001-08-14,3597.226
2001-08-15,3610.119
2001-08-16,3582.994
2001-08-17,3563.757
2001-08-20,3561.638
2001-08-21,3599.547
2001-08-22,3621.263
2001-08-23,3643.28
2001-08-24,3668.427
2001-08-27,3675.692
2001-08-28,3613.671
2001-08-29,3612.667
2001-08-30,3558.442
2001-08-31,3540.013
2001-09-03,3485.741
2001-09-04,3452.12
2001-09-05,3399.929
2001-09-06,3343.922
2001-09-07,3296.759
2001-09-10,3260.806
2001-09-11,3073.264
2001-09-12,3070.148
2001-09-13,3184.646
2001-09-14,3018.728
2001-09-17,3092.15
2001-09-18,3093.879
2001-09-19,3097.961
2001-09-20,2948.257
2001-09-21,2861.054
2001-09-24,2963.494
2001-09-25,3049.812
2001-09-26,3075.312
2001-09-27,3049.709
2001-09-28,3146.204
2001-10-01,3084.278
2001-10-02,3097.826
2001-10-03,3076.358
2001-10-04,3184.014
2001-10-05,3231.912
2001-10-08,3246.966
2001-10-09,3252.787
2001-10-10,3301.686
2001-10-11,3275.682
2001-10-12,3246.418
2001-10-15,3154.796
2001-10-16,3144.559
2001-10-17,3174.152
2001-10-18,3082.712
2001-10-19,3058.336
2001-10-22,3083.317
2001-10-23,3126.17
2001-10-24,3132.914
2001-10-25,3093.494
2001-10-26,3145.453
2001-10-29,3138.31
2001-10-30,3102.375
2001-10-31,3129.577
2001-11-01,3156.212
2001-11-02,3160.096
2001-11-05,3250.908
2001-11-06,3261.368
2001-11-07,3344.835
2001-11-08,3352.727
2001-11-09,3282.677
2001-11-12,3220.69
2001-11-13,3271.441
2001-11-14,3260.724
2001-11-15,3266.331
2001-11-16,3314.531
2001-11-19,3332.878
2001-11-20,3294.327
2001-11-21,3276.237
2001-11-22,3329.631
2001-11-23,3305.93
2001-11-26,3308.588
2001-11-27,3286.828
2001-11-28,3263.84
2001-11-29,3286.628
2001-11-30,3337.133
2001-12-03,3340.002
2001-12-04,3361.89
2001-12-05,3400.444
2001-12-06,3382.519
2001-12-07,3333.286
2001-12-10,3278.539
2001-12-11,3291.549
2001-12-12,3277.152
2001-12-13,3228.92
2001-12-14,3228.241
2001-12-17,3317.396
2001-12-18,3303.171
2001-12-19,3277.348
2001-12-20,3266.227
2001-12-21,3329.904
2001-12-24,3312.562
2001-12-25,3312.562
2001-12-26,3315.391
2001-12-27,3398.406
2001-12-28,3406.596
2001-12-31,3439.819
2002-01-01,3439.819
2002-01-02,3388.416
2002-01-03,3394.774
2002-01-04,3361.947
2002-01-07,3336.88
2002-01-08,3302.97
2002-01-09,3306.778
2002-01-10,3309.544
2002-01-11,3325.324
2002-01-14,3276.611
2002-01-15,3310.274
2002-01-16,3258.898
2002-01-17,3264.845
2002-01-18,3260.474
2002-01-21,3255.561
2002-01-22,3260.508
2002-01-23,3305.314
2002-01-24,3340.422
2002-01-25,3312.159
2002-01-28,3324.406
2002-01-29,3291.037
2002-01-30,3275.617
2002-01-31,3321.11
2002-02-01,3359.179
2002-02-04,3370.911
2002-02-05,3329.648
2002-02-06,3329.098
2002-02-07,3314.256
2002-02-08,3287.366
2002-02-11,3320.132
2002-02-12,3341.187
2002-02-13,3338.251
2002-02-14,3367.456
2002-02-15,3398.044
2002-02-18,3368.856
2002-02-19,3337.066
2002-02-20,3316.431
2002-02-21,3371.236
2002-02-22,3387.067
2002-02-25,3404.859
2002-02-26,3401.811
2002-02-27,3433.27
2002-02-28,3425.167
2002-03-01,3438.145
2002-03-04,3498.334
2002-03-05,3490.659
2002-03-06,3509.013
2002-03-07,3581.173
2002-03-08,3555.54
2002-03-11,3579.742
2002-03-12,3585.975
2002-03-13,3574.691
2002-03-14,3585.669
2002-03-15,3617.973
2002-03-18,3620.466
2002-03-19,3638.594
2002-03-20,3629.033
2002-03-21,3579.477
2002-03-22,3588.052
2002-03-25,3547.113
2002-03-26,3554.253
2002-03-27,3554.735
2002-03-28,3611.241
2002-03-29,3611.241
2002-04-01,3640.838
2002-04-02,3636.379
2002-04-03,3623.195
2002-04-04,3569.756
2002-04-05,3518.673
2002-04-08,3486.498
2002-04-09,3484.119
2002-04-10,3524.76
2002-04-11,3493.316
2002-04-12,3465.562
2002-04-15,3496.027
2002-04-16,3564.183
2002-04-17,3581.58
2002-04-18,3608.093
2002-04-19,3601.183
2002-04-22,3596.106
2002-04-23,3582.579
2002-04-24,3543.825
2002-04-25,3550.21
2002-04-26,3548.762
2002-04-29,3540.946
2002-04-30,3607.592
2002-05-01,3628.01
2002-05-02,3600.598
2002-05-03,3652.686
2002-05-06,3611.868
2002-05-07,3584.24
2002-05-08,3615.507
2002-05-09,3617.507
2002-05-10,3615.519
2002-05-13,3634.4
2002-05-14,3642.77
2002-05-15,3672.746
2002-05-16,3671.744
2002-05-17,3681.187
2002-05-20,3664.785
2002-05-21,3643.73
2002-05-22,3652.088
2002-05-23,3676.916
2002-05-24,3697.674
2002-05-27,3676.482
2002-05-28,3668.128
2002-05-29,3654.131
2002-05-30,3627.808
2002-05-31,3684.726
2002-06-03,3651.979
2002-06-04,3575.179
2002-06-05,3575.218
2002-06-06,3621.86
2002-06-07,3572.708
2002-06-10,3547.698
2002-06-11,3592.473
2002-06-12,3511.023
2002-06-13,3495.58
2002-06-14,3402.425
2002-06-17,3494.352
2002-06-18,3521.067
2002-06-19,3503.239
2002-06-20,3476.699
2002-06-21,3442.242
2002-06-24,3404.642
2002-06-25,3484.843
2002-06-26,3473.555
2002-06-27,3479.949
2002-06-28,3646.884
2002-07-01,3664.567
2002-07-02,3574.911
2002-07-03,3471.076
2002-07-04,3574.09
2002-07-05,3640.93
2002-07-08,3656.895
2002-07-09,3641.125
2002-07-10,3383.895
2002-07-11,3292.312
2002-07-12,3249.29
2002-07-15,3094.275
2002-07-16,3055.664
2002-07-17,3146.183
2002-07-18,3178.079
2002-07-19,3112.641
2002-07-22,2861.42
2002-07-23,2829.763
2002-07-24,2755.408
2002-07-25,2870.056
2002-07-26,2835.196
2002-07-29,2949.87
2002-07-30,2956.048
2002-07-31,3033.452
2002-08-01,2895.838
2002-08-02,2911.583
2002-08-05,2866.51
2002-08-06,2908.66
2002-08-07,2906.777
2002-08-08,3009.315
2002-08-09,3084.307
2002-08-12,3013.686
2002-08-13,3042.599
2002-08-14,2995.664
2002-08-15,3087.32
2002-08-16,3121.388
2002-08-19,3143.066
2002-08-20,3090.604
2002-08-21,3119.857
2002-08-22,3199.531
2002-08-23,3162.416
2002-08-26,3093.948
2002-08-27,3206.048
2002-08-28,3096.428
2002-08-29,3038.973
2002-08-30,3080.407
2002-09-02,3055.688
2002-09-03,2961.833
2002-09-04,2951.495
2002-09-05,2933.655
2002-09-06,3009.851
2002-09-09,2949.861
2002-09-10,2992.668
2002-09-11,3060.698
2002-09-12,2962.991
2002-09-13,2924.177
2002-09-16,2920.592
2002-09-17,2877.742
2002-09-18,2808.356
2002-09-19,2789.905
2002-09-20,2777.08
2002-09-23,2755.505
2002-09-24,2715.699
2002-09-25,2729.878
2002-09-26,2865.548
2002-09-27,2881.04
2002-09-30,2776.045
2002-10-01,2852.339
2002-10-02,2947.839
2002-10-03,2921.012
2002-10-04,2863.519
2002-10-07,2832.88
2002-10-08,2753.791
2002-10-09,2751.609
2002-10-10,2791.449
2002-10-11,2877.259
2002-10-14,2864.144
2002-10-15,2986.463
2002-10-16,2947.577
2002-10-17,2986.102
2002-10-18,2984.041
2002-10-21,2988.507
2002-10-22,2931.667
2002-10-23,2862.578
2002-10-24,2900.469
2002-10-25,2855.73
2002-10-28,2867.926
2002-10-29,2743.582
2002-10-30,2840.056
2002-10-31,2951.209
2002-11-01,2947.845
2002-11-04,3000.611
2002-11-05,3013.202
2002-11-06,2988.886
2002-11-07,2953.028
2002-11-08,2950.212
2002-11-11,2951.831
2002-11-12,2964.459
2002-11-13,2925.736
2002-11-14,2937.721
2002-11-15,2959.235
2002-11-18,2977.253
2002-11-19,2988.509
2002-11-20,2930.213
2002-11-21,2997.932
2002-11-22,2981.36
2002-11-25,2933.337
2002-11-26,2903.07
2002-11-27,2944.031
2002-11-28,2967.557
2002-11-29,2961.075
2002-12-02,2940.525
2002-12-03,2914.64
2002-12-04,2884.323
2002-12-05,2878.167
2002-12-06,2899.222
2002-12-09,2871.615
2002-12-10,2858.732
2002-12-11,2886.273
2002-12-12,2877.194
2002-12-13,2863.625
2002-12-16,2937.042
2002-12-17,2915.853
2002-12-18,2850.944
2002-12-19,2871.732
2002-12-20,2912.285
2002-12-23,2952.414
2002-12-24,2988.382
2002-12-25,2988.382
2002-12-26,2995.917
2002-12-27,2919.746
2002-12-30,2953.306
2002-12-31,2966.554
2003-01-01,2966.554
2003-01-02,3029.132
2003-01-03,3008.527
2003-01-06,3067.617
2003-01-07,3036.356
2003-01-08,2983.29
2003-01-09,3015.842
2003-01-10,3016.431
2003-01-13,3001.259
2003-01-14,2999.877
2003-01-15,2957.835
2003-01-16,2950.07
2003-01-17,2921.24
2003-01-20,2855.502
2003-01-21,2817.995
2003-01-22,2772.545
2003-01-23,2751.412
2003-01-24,2743.481
2003-01-27,2668.218
2003-01-28,2680.624
2003-01-29,2703.899
2003-01-30,2738.521
2003-01-31,2738.431
2003-02-03,2768.286
2003-02-04,2715.199
2003-02-05,2743.923
2003-02-06,2656.387
2003-02-07,2619.264
2003-02-10,2608.066
2003-02-11,2622.456
2003-02-12,2563.554
2003-02-13,2563.657
2003-02-14,2607.84
2003-02-17,2633.189
2003-02-18,2648.506
2003-02-19,2610.155
2003-02-20,2615.084
2003-02-21,2643.879
2003-02-24,2633.284
2003-02-25,2566.695
2003-02-26,2564.21
2003-02-27,2584.815
2003-02-28,2627.654
2003-03-03,2668.686
2003-03-04,2658.703
2003-03-05,2647.722
2003-03-06,2631.443
2003-03-07,2565.564
2003-03-10,2546.048
2003-03-11,2528.761
2003-03-12,2415.099
2003-03-13,2528.359
2003-03-14,2581.049
2003-03-17,2666.652
2003-03-18,2648.095
2003-03-19,2695.444
2003-03-20,2672.253
2003-03-21,2727.585
2003-03-24,2641.91
2003-03-25,2720.269
2003-03-26,2733.833
2003-03-27,2696.024
2003-03-28,2746.486
2003-03-31,2680.402
2003-04-01,2737.94
2003-04-02,2773.868
2003-04-03,2761.163
2003-04-04,2778.327
