Date,NETHERLANDS GROWTH Standard (Large+Mid Cap)
2001-01-01,3162.237
2001-01-02,3149.009
2001-01-03,3083.423
2001-01-04,3126.52
2001-01-05,3150.737
2001-01-08,3123.415
2001-01-09,3123.542
2001-01-10,3117.831
2001-01-11,3193.32
2001-01-12,3209.228
2001-01-15,3163.024
2001-01-16,3117.638
2001-01-17,3138.366
2001-01-18,3153.312
2001-01-19,3124.345
2001-01-22,3109.456
2001-01-23,3143.284
2001-01-24,3103.835
2001-01-25,3077.271
2001-01-26,3064.741
2001-01-29,3079.471
2001-01-30,3091.218
2001-01-31,3130.741
2001-02-01,3134.65
2001-02-02,3073.541
2001-02-05,3087.278
2001-02-06,3066.843
2001-02-07,3026.97
2001-02-08,2989.063
2001-02-09,2974.914
2001-02-12,3014.97
2001-02-13,2997.37
2001-02-14,2939.67
2001-02-15,2942.614
2001-02-16,2949.553
2001-02-19,2919.189
2001-02-20,2873.888
2001-02-21,2852.717
2001-02-22,2828.499
2001-02-23,2773.489
2001-02-26,2828.933
2001-02-27,2878.599
2001-02-28,2900.7
2001-03-01,2914.896
2001-03-02,2921.818
2001-03-05,2883.195
2001-03-06,2903.094
2001-03-07,2869.963
2001-03-08,2871.641
2001-03-09,2888.386
2001-03-12,2842.086
2001-03-13,2775.353
2001-03-14,2722.831
2001-03-15,2726.678
2001-03-16,2649.888
2001-03-19,2621.581
2001-03-20,2659.89
2001-03-21,2611.751
2001-03-22,2474.495
2001-03-23,2537.672
2001-03-26,2607.321
2001-03-27,2664.789
2001-03-28,2640.014
2001-03-29,2624.38
2001-03-30,2654.071
2001-04-02,2641.348
2001-04-03,2572.095
2001-04-04,2624.942
2001-04-05,2671.26
2001-04-06,2688.5
2001-04-09,2710.533
2001-04-10,2712.684
2001-04-11,2705.802
2001-04-12,2738.576
2001-04-13,2738.576
2001-04-16,2710.53
2001-04-17,2718.767
2001-04-18,2746.94
2001-04-19,2774.849
2001-04-20,2800.216
2001-04-23,2751.661
2001-04-24,2767.994
2001-04-25,2776.129
2001-04-26,2840.689
2001-04-27,2856.763
2001-04-30,2837.559
2001-05-01,2860.529
2001-05-02,2866.903
2001-05-03,2793.662
2001-05-04,2784.18
2001-05-07,2772.503
2001-05-08,2748.655
2001-05-09,2727.782
2001-05-10,2793.29
2001-05-11,2775.923
2001-05-14,2748.301
2001-05-15,2770.89
2001-05-16,2776.257
2001-05-17,2782.393
2001-05-18,2791.064
2001-05-21,2766.853
2001-05-22,2755.655
2001-05-23,2711.405
2001-05-24,2701.538
2001-05-25,2659.89
2001-05-28,2686.976
2001-05-29,2657.373
2001-05-30,2638.191
2001-05-31,2634.104
2001-06-01,2633.697
2001-06-04,2637.275
2001-06-05,2684.926
2001-06-06,2690.011
2001-06-07,2705.907
2001-06-08,2691.421
2001-06-11,2661.928
2001-06-12,2664.463
2001-06-13,2703.087
2001-06-14,2679.258
