Date,NETHERLANDS GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,124.805
1975-02-28,136.214
1975-03-31,135.48
1975-04-30,140.203
1975-05-30,134.062
1975-06-30,131.986
1975-07-31,124.051
1975-08-29,122.311
1975-09-30,112.808
1975-10-31,122.264
1975-11-28,132.601
1975-12-31,135.534
1976-01-30,140.895
1976-02-27,140.891
1976-03-31,141.701
1976-04-30,142.646
1976-05-31,132.642
1976-06-30,132.046
1976-07-30,133.477
1976-08-31,131.016
1976-09-30,132.355
1976-10-29,131.955
1976-11-30,137.535
1976-12-31,146.747
1977-01-31,148.341
1977-02-28,152.789
1977-03-31,154.124
1977-04-29,168.204
1977-05-31,160.24
1977-06-30,163.903
1977-07-29,164.426
1977-08-31,156.312
1977-09-30,163.696
1977-10-31,163.89
1977-11-30,166.786
1977-12-30,167.308
1978-01-31,169.134
1978-02-28,172.749
1978-03-31,181.012
1978-04-28,177.659
1978-05-31,175.443
1978-06-30,181.515
1978-07-31,188.927
1978-08-31,197.198
1978-09-29,199.083
1978-10-31,206.721
1978-11-30,189.944
1978-12-29,194.789
1979-01-31,206.983
1979-02-28,206.814
1979-03-30,217.467
1979-04-30,216.16
1979-05-31,211.133
1979-06-29,225.16
1979-07-31,225.755
1979-08-31,238.871
1979-09-28,254.286
1979-10-31,241.558
1979-11-30,250.986
1979-12-31,253.031
1980-01-31,266.964
1980-02-29,276.113
1980-03-31,229.462
1980-04-30,249.048
1980-05-30,265.566
1980-06-30,284.541
1980-07-31,287.741
1980-08-29,288.881
1980-09-30,294.659
1980-10-31,324.365
1980-11-28,348.861
1980-12-31,320.735
1981-01-30,300.789
1981-02-27,293.599
1981-03-31,267.234
1981-04-30,247.627
1981-05-29,227.142
1981-06-30,221.085
1981-07-31,225.863
1981-08-31,224.91
1981-09-30,200.84
1981-10-30,228.591
1981-11-30,254.023
1981-12-31,245.064
1982-01-29,237.757
1982-02-26,214.025
1982-03-31,230.918
1982-04-30,251.573
1982-05-31,250.503
1982-06-30,226.232
1982-07-30,229.529
1982-08-31,234.609
1982-09-30,234.36
1982-10-29,251.981
1982-11-30,247.267
1982-12-31,272.795
1983-01-31,268.799
1983-02-28,275.357
1983-03-31,305.891
1983-04-29,295.505
1983-05-31,280.606
1983-06-30,303.227
1983-07-29,299.722
1983-08-31,294.231
1983-09-30,327.175
1983-10-31,317.922
1983-11-30,336.775
1983-12-30,347.427
1984-01-31,388.491
1984-02-29,380.066
1984-03-30,383.324
1984-04-30,357.164
1984-05-31,329.557
1984-06-29,340.854
1984-07-31,322.071
1984-08-31,349.971
1984-09-28,352.215
1984-10-31,367.736
1984-11-30,356.77
1984-12-31,362.18
1985-01-31,390.419
1985-02-28,369.258
1985-03-29,411.662
1985-04-30,417.945
1985-05-31,413.319
1985-06-28,432.479
1985-07-31,491.22
1985-08-30,490.86
1985-09-30,503.209
1985-10-31,549.093
1985-11-29,623.247
1985-12-31,682.333
1986-01-31,682.39
1986-02-28,679.958
1986-03-31,717.639
1986-04-30,776.644
1986-05-30,794.765
1986-06-30,825.937
1986-07-31,856.285
1986-08-29,916.632
1986-09-30,868.414
1986-10-31,856.936
1986-11-28,944.283
1986-12-31,945.774
1987-01-30,951.527
1987-02-27,936.869
1987-03-31,1021.303
1987-04-30,1021.76
1987-05-29,1032.617
1987-06-30,1111.001
1987-07-31,1147.112
1987-08-31,1186.844
1987-09-30,1154.658
1987-10-30,932.738
1987-11-30,829.759
1987-12-31,914.368
1988-01-29,904.338
1988-02-29,960.823
1988-03-31,955.154
1988-04-29,959.383
1988-05-31,908.351
1988-06-30,919.699
1988-07-29,937.38
1988-08-31,889.52
1988-09-30,934.495
1988-10-31,1028.403
1988-11-30,1003.962
1988-12-30,1018.776
1989-01-31,1033.98
1989-02-28,1036.133
1989-03-31,1025.361
1989-04-28,1091.077
1989-05-31,1026.139
1989-06-30,1086.944
1989-07-31,1179.742
1989-08-31,1179.912
1989-09-29,1199.723
1989-10-31,1169.695
1989-11-30,1236.912
1989-12-29,1350.457
1990-01-31,1280.434
1990-02-28,1203.435
1990-03-30,1294.37
1990-04-30,1255.451
1990-05-31,1371.423
1990-06-29,1437.892
1990-07-31,1502.827
1990-08-31,1344.275
1990-09-28,1274.691
1990-10-31,1428.817
1990-11-30,1408.252
1990-12-31,1447.171
1991-01-31,1419.067
1991-02-28,1464.338
1991-03-29,1408.494
1991-04-30,1390.633
1991-05-31,1406.714
1991-06-28,1301.253
1991-07-31,1359.739
1991-08-30,1343.467
1991-09-30,1430.125
1991-10-31,1463.166
1991-11-29,1517.713
1991-12-31,1686.41
1992-01-31,1708.586
1992-02-28,1728.877
1992-03-31,1707.535
1992-04-30,1759.116
1992-05-29,1805.911
1992-06-30,1864.981
1992-07-31,1896.648
1992-08-31,1972.932
1992-09-30,2022.291
1992-10-30,1845.362
1992-11-30,1784.488
1992-12-31,1833.676
1993-01-29,1855.147
1993-02-26,1936.619
1993-03-31,2037.725
1993-04-30,2016.378
1993-05-31,1959.135
1993-06-30,1933.707
1993-07-30,1837.381
1993-08-31,2031.653
1993-09-30,2020.964
1993-10-29,2149.31
1993-11-30,2091.876
1993-12-31,2235.452
1994-01-31,2327.06
1994-02-28,2260.765
1994-03-31,2139.147
1994-04-29,2220.806
1994-05-31,2162.275
1994-06-30,2132.702
1994-07-29,2221.934
1994-08-31,2400.202
1994-09-30,2390.887
1994-10-31,2503.085
1994-11-30,2404.224
1994-12-30,2539.957
1995-01-31,2517.973
1995-02-28,2612.175
1995-03-31,2727.509
1995-04-28,2782.343
1995-05-31,2796.131
1995-06-30,2859.682
1995-07-31,3002.523
1995-08-31,2821.64
1995-09-29,2962.884
1995-10-31,2859.956
1995-11-30,2881.018
1995-12-29,2934.17
1996-01-31,3030.546
1996-02-29,3108.362
1996-03-29,3242.585
