Date,USA LARGE GROWTH Large Cap
2001-01-01,1117.43
2001-01-02,1057.921
2001-01-03,1160.248
2001-01-04,1146.653
2001-01-05,1098.6
2001-01-08,1091.916
2001-01-09,1104.362
2001-01-10,1123.102
2001-01-11,1153.585
2001-01-12,1146.805
2001-01-15,1146.805
2001-01-16,1150.291
2001-01-17,1161.899
2001-01-18,1192.586
2001-01-19,1191.458
2001-01-22,1185.725
2001-01-23,1209.283
2001-01-24,1215.468
2001-01-25,1191.836
2001-01-26,1190.833
2001-01-29,1199.92
2001-01-30,1204.043
2001-01-31,1187.7
2001-02-01,1192.139
2001-02-02,1156.687
2001-02-05,1156.226
2001-02-06,1155.598
2001-02-07,1138.428
2001-02-08,1121.585
2001-02-09,1091.995
2001-02-12,1106.812
2001-02-13,1090.522
2001-02-14,1101.479
2001-02-15,1120.264
2001-02-16,1078.692
2001-02-19,1078.692
2001-02-20,1049.391
2001-02-21,1026.938
2001-02-22,1021.405
2001-02-23,1019.114
2001-02-26,1038.793
2001-02-27,1016.277
2001-02-28,996.201
2001-03-01,1003.542
2001-03-02,980.461
2001-03-05,992.175
2001-03-06,1011.009
2001-03-07,1015.067
2001-03-08,1007.076
2001-03-09,966.163
2001-03-12,908.795
2001-03-13,937.881
2001-03-14,915.378
2001-03-15,913.758
2001-03-16,891.111
2001-03-19,911.87
2001-03-20,882.711
2001-03-21,870.691
2001-03-22,880.251
2001-03-23,900.049
2001-03-26,903.844
2001-03-27,930.659
2001-03-28,893.673
2001-03-29,881.86
2001-03-30,889.63
2001-04-02,871.641
2001-04-03,830.353
2001-04-04,824.382
2001-04-05,879.32
2001-04-06,857.941
2001-04-09,864.006
2001-04-10,896.487
2001-04-11,903.713
2001-04-12,923.848
2001-04-13,923.848
2001-04-16,912.229
2001-04-17,925.251
2001-04-18,981.657
2001-04-19,1013.02
2001-04-20,1008.94
2001-04-23,978.331
2001-04-24,958.668
2001-04-25,976.611
2001-04-26,976.645
2001-04-27,995.287
2001-04-30,999.766
2001-05-01,1020.072
2001-05-02,1029.853
2001-05-03,1003.867
2001-05-04,1022.417
2001-05-07,1017.568
2001-05-08,1021.78
2001-05-09,1009.636
2001-05-10,1005.676
2001-05-11,996.117
2001-05-14,992.776
2001-05-15,990.809
2001-05-16,1024.107
2001-05-17,1030.858
2001-05-18,1034.501
2001-05-21,1065.461
2001-05-22,1060.803
2001-05-23,1036.101
2001-05-24,1043.329
2001-05-25,1025.845
2001-05-28,1025.845
2001-05-29,1005.244
2001-05-30,980.168
2001-05-31,985.547
2001-06-01,993.301
2001-06-04,997.639
2001-06-05,1017.093
2001-06-06,1008.019
2001-06-07,1020.76
2001-06-08,1006.41
2001-06-11,994.015
2001-06-12,996.622
2001-06-13,980.543
2001-06-14,962.147
2001-06-15,954.96
2001-06-18,949.798
2001-06-19,952.709
2001-06-20,967.674
2001-06-21,978.219
2001-06-22,965.266
2001-06-25,961.302
2001-06-26,958.847
2001-06-27,955.503
2001-06-28,971.226
2001-06-29,963.892
2001-07-02,976.775
2001-07-03,975.934
2001-07-04,975.934
2001-07-05,955.371
2001-07-06,926.783
2001-07-09,935.513
2001-07-10,915.623
2001-07-11,911.569
2001-07-12,942.598
2001-07-13,949.501
2001-07-16,934.608
2001-07-17,945.654
2001-07-18,934.826
2001-07-19,942.825
2001-07-20,941.095
2001-07-23,920.856
2001-07-24,908.432
2001-07-25,920.922
2001-07-26,932.055
2001-07-27,935.854
2001-07-30,933.972
2001-07-31,939.568
2001-08-01,945.421
2001-08-02,951.214
2001-08-03,945.804
2001-08-06,933.18
2001-08-07,934.867
2001-08-08,914.611
2001-08-09,914.859
2001-08-10,917.103
2001-08-13,918.948
2001-08-14,911.467
2001-08-15,900.218
2001-08-16,903.825
2001-08-17,883.916
2001-08-20,891.227
2001-08-21,874.96
2001-08-22,882.287
2001-08-23,877.413
2001-08-24,904.322
2001-08-27,900.947
2001-08-28,883.104
2001-08-29,870.88
2001-08-30,847.981
2001-08-31,853.388
2001-09-03,853.388
2001-09-04,847.607
2001-09-05,846.489
2001-09-06,822.766
2001-09-07,804.077
2001-09-10,812.223
2001-09-11,812.223
2001-09-12,812.223
2001-09-13,812.223
2001-09-14,812.223
2001-09-17,764.898
2001-09-18,758.516
2001-09-19,745.905
2001-09-20,722.984
2001-09-21,710.332
2001-09-24,746.852
2001-09-25,752.485
2001-09-26,747.201
2001-09-27,752.241
2001-09-28,769.368
2001-10-01,768.691
2001-10-02,777.511
2001-10-03,802.295
2001-10-04,801.057
2001-10-05,807.112
2001-10-08,800.498
2001-10-09,791.391
2001-10-10,812.947
2001-10-11,835.453
2001-10-12,834.642
2001-10-15,833.404
2001-10-16,838.613
2001-10-17,815.676
2001-10-18,811.707
2001-10-19,816.479
2001-10-22,832.41
2001-10-23,829.76
2001-10-24,834.209
2001-10-25,847.386
2001-10-26,847.793
2001-10-29,820.606
2001-10-30,805.755
2001-10-31,807.548
2001-11-01,829.64
2001-11-02,832.071
2001-11-05,847.617
2001-11-06,864.498
2001-11-07,861.449
2001-11-08,865.575
2001-11-09,866.066
2001-11-12,866.532
2001-11-13,886.191
2001-11-14,890.639
2001-11-15,893.38
2001-11-16,888.146
2001-11-19,900.829
2001-11-20,888.444
2001-11-21,885.618
2001-11-22,885.618
2001-11-23,895.425
2001-11-26,905.888
2001-11-27,900.697
2001-11-28,882.698
2001-11-29,893.124
2001-11-30,892.584
2001-12-03,882.49
2001-12-04,896.029
2001-12-05,920.768
2001-12-06,917.786
2001-12-07,907.604
2001-12-10,889.749
2001-12-11,889.793
2001-12-12,892.071
2001-12-13,873.74
2001-12-14,879.894
2001-12-17,891.298
2001-12-18,896.587
2001-12-19,898.398
2001-12-20,885.205
2001-12-21,892.614
2001-12-24,890.049
2001-12-25,890.049
2001-12-26,893.678
2001-12-27,900.105
2001-12-28,902.484
2001-12-31,889.458
2002-01-01,889.458
2002-01-02,896.617
2002-01-03,907.822
2002-01-04,910.786
2002-01-07,902.28
2002-01-08,902.377
2002-01-09,898.297
2002-01-10,900.104
2002-01-11,891.476
2002-01-14,885.636
2002-01-15,889.347
2002-01-16,874.26
2002-01-17,885.532
2002-01-18,871.626
2002-01-21,871.626
2002-01-22,861.779
2002-01-23,867.055
2002-01-24,869.631
2002-01-25,869.663
2002-01-28,868.988
2002-01-29,842.868
2002-01-30,854.275
2002-01-31,865.915
2002-02-01,858.19
2002-02-04,835.516
2002-02-05,833.721
2002-02-06,830.534
2002-02-07,824.349
2002-02-08,838.077
2002-02-11,851.87
2002-02-12,847.274
2002-02-13,856.829
2002-02-14,853.436
2002-02-15,839.166
2002-02-18,839.166
2002-02-19,821.487
2002-02-20,833.3
2002-02-21,814.819
2002-02-22,819.763
2002-02-25,836.444
2002-02-26,834.682
2002-02-27,832.292
2002-02-28,827.627
2002-03-01,850.104
2002-03-04,866.368
2002-03-05,861.473
2002-03-06,871.304
2002-03-07,866.571
2002-03-08,877.567
2002-03-11,877.475
2002-03-12,872.224
2002-03-13,861.609
2002-03-14,860.302
2002-03-15,871.405
2002-03-18,871.087
2002-03-19,872.614
2002-03-20,855.015
2002-03-21,858.148
2002-03-22,854.803
2002-03-25,839.883
2002-03-26,843.527
2002-03-27,845.098
2002-03-28,848.886
2002-03-29,848.886
2002-04-01,850.358
2002-04-02,836.49
2002-04-03,828.515
2002-04-04,830.61
2002-04-05,825.034
2002-04-08,826.0
2002-04-09,817.169
2002-04-10,826.769
2002-04-11,801.667
2002-04-12,810.685
2002-04-15,803.083
2002-04-16,823.077
2002-04-17,819.067
2002-04-18,819.09
2002-04-19,818.73
2002-04-22,803.913
2002-04-23,795.282
2002-04-24,789.274
2002-04-25,786.735
2002-04-26,769.535
2002-04-29,762.914
2002-04-30,770.358
2002-05-01,776.59
2002-05-02,768.224
2002-05-03,755.743
2002-05-06,739.405
2002-05-07,736.879
2002-05-08,778.317
2002-05-09,761.293
2002-05-10,744.473
2002-05-13,761.37
2002-05-14,784.361
2002-05-15,779.972
2002-05-16,786.686
