Date,USA LARGE GROWTH Large Cap
2001-01-01,1099.309
2001-01-02,1040.765
2001-01-03,1141.454
2001-01-04,1128.079
2001-01-05,1080.805
2001-01-08,1074.228
2001-01-09,1086.474
2001-01-10,1104.916
2001-01-11,1134.905
2001-01-12,1128.234
2001-01-15,1128.234
2001-01-16,1131.664
2001-01-17,1143.085
2001-01-18,1173.276
2001-01-19,1172.165
2001-01-22,1166.526
2001-01-23,1189.702
2001-01-24,1195.792
2001-01-25,1172.543
2001-01-26,1171.556
2001-01-29,1180.498
2001-01-30,1184.557
2001-01-31,1168.499
2001-02-01,1172.87
2001-02-02,1137.991
2001-02-05,1137.545
2001-02-06,1136.928
2001-02-07,1120.058
2001-02-08,1103.487
2001-02-09,1074.374
2001-02-12,1088.952
2001-02-13,1072.944
2001-02-14,1083.766
2001-02-15,1102.259
2001-02-16,1061.355
2001-02-19,1061.355
2001-02-20,1032.528
2001-02-21,1010.437
2001-02-22,1004.993
2001-02-23,1002.739
2001-02-26,1022.101
2001-02-27,999.952
2001-02-28,980.203
2001-03-01,987.428
2001-03-02,964.718
2001-03-05,976.337
2001-03-06,994.877
2001-03-07,998.882
2001-03-08,991.019
2001-03-09,950.758
2001-03-12,894.305
2001-03-13,922.944
2001-03-14,900.8
2001-03-15,899.206
2001-03-16,876.921
2001-03-19,897.351
2001-03-20,868.655
2001-03-21,856.846
2001-03-22,866.253
2001-03-23,885.736
2001-03-26,889.472
2001-03-27,915.86
2001-03-28,879.464
2001-03-29,867.841
2001-03-30,875.487
2001-04-02,857.785
2001-04-03,817.153
2001-04-04,811.298
2001-04-05,865.364
2001-04-06,844.333
2001-04-09,850.303
2001-04-10,882.276
2001-04-11,889.387
2001-04-12,909.202
2001-04-13,909.202
2001-04-16,897.768
2001-04-17,910.584
2001-04-18,966.095
2001-04-19,996.962
2001-04-20,992.946
2001-04-23,962.822
2001-04-24,943.476
2001-04-25,961.135
2001-04-26,961.176
2001-04-27,979.525
2001-04-30,983.933
2001-05-01,1003.917
2001-05-02,1013.557
2001-05-03,987.991
2001-05-04,1006.247
2001-05-07,1001.476
2001-05-08,1005.636
2001-05-09,993.692
2001-05-10,989.795
2001-05-11,980.406
2001-05-14,977.118
2001-05-15,975.183
2001-05-16,1007.998
2001-05-17,1014.643
2001-05-18,1018.229
2001-05-21,1048.702
2001-05-22,1044.117
2001-05-23,1019.804
2001-05-24,1026.918
2001-05-25,1009.721
2001-05-28,1009.721
2001-05-29,989.444
2001-05-30,964.776
2001-05-31,970.074
2001-06-01,977.707
2001-06-04,981.979
2001-06-05,1001.128
2001-06-06,992.209
2001-06-07,1004.751
2001-06-08,990.626
2001-06-11,978.425
2001-06-12,980.996
