Date,USA LARGE GROWTH Large Cap
1994-05-31,315.23
1994-06-30,305.065
1994-07-29,314.73
1994-08-31,328.508
1994-09-30,323.1
1994-10-31,331.205
1994-11-30,321.902
1994-12-30,325.661
1995-01-31,333.891
1995-02-28,345.929
1995-03-31,355.326
1995-04-28,362.904
1995-05-31,376.5
1995-06-30,391.882
1995-07-31,406.251
1995-08-31,406.247
1995-09-29,423.467
1995-10-31,425.581
1995-11-30,442.258
1995-12-29,442.416
1996-01-31,456.823
1996-02-29,465.685
1996-03-29,466.77
1996-04-30,479.107
1996-05-31,496.297
1996-06-28,497.123
1996-07-31,467.879
1996-08-30,480.807
1996-09-30,516.294
1996-10-31,518.312
1996-11-29,560.089
1996-12-31,542.927
1997-01-31,587.776
1997-02-28,582.804
1997-03-31,557.18
1997-04-30,601.09
1997-05-30,640.181
1997-06-30,672.168
1997-07-31,734.528
1997-08-29,686.664
1997-09-30,723.65
1997-10-31,698.85
1997-11-28,732.042
1997-12-31,739.748
1998-01-30,764.904
1998-02-27,824.807
1998-03-31,867.559
1998-04-30,887.361
1998-05-29,865.069
1998-06-30,933.196
1998-07-31,933.196
1998-08-31,794.773
1998-09-30,852.746
1998-10-30,922.578
1998-11-30,994.115
1998-12-31,1099.956
1999-01-29,1187.049
1999-02-26,1139.91
1999-03-31,1210.605
1999-04-30,1206.059
1999-05-31,1165.022
1999-06-30,1251.537
1999-07-30,1208.784
1999-08-31,1235.741
1999-09-30,1214.858
1999-10-29,1307.095
1999-11-30,1370.752
1999-12-31,1550.464
2000-01-31,1451.788
2000-02-29,1512.312
2000-03-31,1604.499
2000-04-28,1477.738
2000-05-31,1373.269
2000-06-30,1526.07
2000-07-31,1460.459
2000-08-31,1578.102
2000-09-29,1412.978
2000-10-31,1343.019
2000-11-30,1140.274
2000-12-29,1099.309
2001-01-31,1168.499
2001-02-28,980.203
2001-03-30,875.487
2001-04-30,983.933
2001-05-31,970.074
2001-06-29,948.809
2001-07-31,925.001
2001-08-31,840.336
2001-09-28,757.732
2001-10-31,795.4
2001-11-30,879.273
2001-12-31,876.36
2002-01-31,853.227
2002-02-28,815.724
2002-03-29,836.752
2002-04-30,759.396
2002-05-31,744.103
2002-06-28,685.104
2002-07-31,641.119
2002-08-30,646.503
2002-09-30,576.074
2002-10-31,632.345
2002-11-29,665.301
2002-12-31,616.09
2003-01-31,600.344
2003-02-28,596.715
2003-03-31,607.65
2003-04-30,649.807
2003-05-30,677.8
2003-06-30,686.304
2003-07-31,707.013
2003-08-29,718.38
2003-09-30,710.188
2003-10-31,752.673
2003-11-28,757.876
2003-12-31,782.104
2004-01-30,798.443
2004-02-27,804.857
2004-03-31,790.385
2004-04-30,783.271
2004-05-31,796.525
2004-06-30,804.512
2004-07-30,761.841
2004-08-31,758.314
2004-09-30,763.292
2004-10-29,772.806
2004-11-30,796.281
2004-12-31,830.417
2005-01-31,805.904
2005-02-28,809.303
2005-03-31,795.272
2005-04-29,778.79
2005-05-31,812.781
2005-06-30,805.749
2005-07-29,843.513
2005-08-31,833.764
2005-09-30,832.598
2005-10-31,829.048
2005-11-30,861.002
2005-12-30,851.586
2006-01-31,864.538
2006-02-28,860.858
2006-03-31,868.547
2006-04-28,863.751
2006-05-31,834.774
2006-06-30,832.413
2006-07-31,821.025
2006-08-31,849.05
2006-09-29,874.728
2006-10-31,904.806
2006-11-30,917.615
2006-12-29,920.653
2007-01-31,939.089
2007-02-28,914.462
2007-03-30,924.256
2007-04-30,966.346
2007-05-31,1000.0
2007-06-29,986.69
2007-07-31,976.051
2007-08-31,994.23
2007-09-28,1038.949
2007-10-31,1076.746
2007-11-30,1039.947
2007-12-31,1036.225
2008-01-31,956.132
2008-02-29,940.532
2008-03-31,939.358
2008-04-30,989.272
2008-05-30,1020.884
2008-06-30,952.862
2008-07-31,946.443
2008-08-29,960.551
2008-09-30,858.287
2008-10-31,709.472
2008-11-28,645.947
2008-12-31,652.364
2009-01-30,622.853
2009-02-27,578.318
2009-03-31,625.734
2009-04-30,678.261
2009-05-29,709.269
2009-06-30,721.657
2009-07-31,772.683
2009-08-31,785.292
2009-09-30,818.285
2009-10-30,812.168
2009-11-30,862.673
2009-12-31,883.617
2010-01-29,840.014
2010-02-26,867.683
2010-03-31,917.01
2010-04-30,928.405
2010-05-31,849.26
2010-06-30,801.395
2010-07-30,860.141
2010-08-31,817.173
2010-09-30,903.563
2010-10-29,952.982
2010-11-30,953.953
2010-12-31,1005.95
2011-01-31,1025.739
2011-02-28,1048.417
2011-03-31,1048.323
2011-04-29,1080.955
2011-05-31,1072.485
2011-06-30,1058.489
2011-07-29,1059.859
2011-08-31,1005.066
2011-09-30,936.761
2011-10-31,1041.886
2011-11-30,1042.4
2011-12-30,1039.293
2012-01-31,1102.524
2012-02-29,1156.373
2012-03-30,1199.811
2012-04-30,1197.378
2012-05-31,1123.325
2012-06-29,1160.067
2012-07-31,1180.795
2012-08-31,1219.239
2012-09-28,1246.041
2012-10-31,1205.642
2012-11-30,1229.558
2012-12-31,1220.692
2013-01-31,1266.449
2013-02-28,1277.634
2013-03-29,1324.219
2013-04-30,1342.578
2013-05-31,1365.098
2013-06-28,1336.354
2013-07-31,1415.861
2013-08-30,1390.813
2013-09-30,1448.731
2013-10-31,1516.63
2013-11-29,1569.118
2013-12-31,1614.331
2014-01-31,1559.507
2014-02-28,1638.778
2014-03-31,1618.949
2014-04-30,1625.218
2014-05-30,1679.266
2014-06-30,1711.864
2014-07-31,1698.287
2014-08-29,1773.377
2014-09-30,1752.542
2014-10-31,1799.52
2014-11-28,1866.656
2014-12-31,1856.563
2015-01-30,1829.359
2015-02-27,1950.325
2015-03-31,1927.776
2015-04-30,1927.437
2015-05-29,1964.574
2015-06-30,1941.138
2015-07-31,2012.981
2015-08-31,1879.204
2015-09-30,1826.264
2015-10-30,1989.492
2015-11-30,1996.11
2015-12-31,1964.208
2016-01-29,1850.033
2016-02-29,1837.169
2016-03-31,1959.829
2016-04-29,1953.244
2016-05-31,1991.422
2016-06-30,1980.739
2016-07-29,2070.589
2016-08-31,2065.322
2016-09-30,2073.001
2016-10-31,2027.665
2016-11-30,2066.984
2016-12-30,2091.793
2017-01-31,2172.504
2017-02-28,2267.475
2017-03-31,2293.757
2017-04-28,2349.548
2017-05-31,2416.678
2017-06-30,2396.775
2017-07-31,2465.058
2017-08-31,2507.895
2017-09-29,2533.098
2017-10-31,2621.513
2017-11-30,2698.501
2017-12-29,2722.548
2018-01-31,2938.978
2018-02-28,2876.427
2018-03-30,2782.48
2018-04-30,2804.249
2018-05-31,2925.066
2018-06-29,2949.107
2018-07-31,3038.138
2018-08-31,3200.874
2018-09-28,3221.634
2018-10-31,2933.913
2018-11-30,2953.036
2018-12-31,2697.565
2019-01-31,2938.67
2019-02-28,3033.48
2019-03-29,3126.297
2019-04-30,3279.731
2019-05-31,3075.276
2019-06-28,3293.401
2019-07-31,3366.875
2019-08-30,3345.255
2019-09-30,3350.037
2019-10-31,3452.671
2019-11-29,3606.4
2019-12-31,3729.066
2020-01-31,3844.901
2020-02-28,3591.592
2020-03-31,3255.376
2020-04-30,3753.73
2020-05-29,4000.448
2020-06-30,4214.992
2020-07-31,4545.451
2020-08-31,5068.288
2020-09-30,4797.55
2020-10-30,4636.131
2020-11-30,5095.96
2020-12-31,5344.207
2021-01-29,5311.027
2021-02-26,5318.588
2021-03-31,5376.179
2021-04-30,5787.132
2021-05-31,5682.886
2021-06-30,6070.987
2021-07-30,6302.555
2021-08-31,6548.956
2021-09-30,6162.454
2021-10-29,6666.243
2021-11-30,6728.767
2021-12-31,6811.637
2022-01-31,6234.772
2022-02-28,5958.187
2022-03-31,6222.552
2022-04-29,5369.096
2022-05-31,5217.52
2022-06-30,4778.208
2022-07-29,5422.324
2022-08-31,5135.894
2022-09-30,4596.18
2022-10-31,4796.08
2022-11-30,5009.385
2022-12-30,4581.105
2023-01-31,5060.087
2023-02-28,4998.45
2023-03-31,5433.648
2023-04-28,5524.42
2023-05-31,5825.506
2023-06-30,6234.106
2023-07-31,6439.397
2023-08-31,6393.218
2023-09-29,6032.995
2023-10-31,5949.912
2023-11-30,6624.202
2023-12-29,6859.608
2024-01-31,7062.131
2024-02-29,7562.557
2024-03-29,7674.792
2024-04-30,7383.877
2024-05-31,7907.366
2024-06-28,8491.817
2024-07-31,8303.706
2024-08-30,8469.444
2024-09-30,8679.744
2024-10-31,8644.48
2024-11-29,9215.633
2024-12-31,9422.163
2025-01-31,9560.228
2025-02-28,9200.442
2025-03-31,8367.286
2025-04-30,8579.758
2025-05-30,9435.803
2025-06-30,9977.216
2025-07-31,10377.102
2025-08-29,10525.792
2025-09-30,11127.243
2025-10-31,11731.905
2025-11-28,11578.317
2025-12-31,11494.395
