Date,USA LARGE GROWTH Large Cap
1994-05-31,321.12
1994-06-30,310.764
1994-07-29,320.61
1994-08-31,334.646
1994-09-30,329.136
1994-10-31,337.393
1994-11-30,327.916
1994-12-30,331.745
1995-01-31,340.129
1995-02-28,352.392
1995-03-31,361.964
1995-04-28,369.684
1995-05-31,383.534
1995-06-30,399.203
1995-07-31,413.841
1995-08-31,413.837
1995-09-29,431.379
1995-10-31,433.532
1995-11-30,450.521
1995-12-29,450.681
1996-01-31,465.357
1996-02-29,474.385
1996-03-29,475.491
1996-04-30,488.059
1996-05-31,505.569
1996-06-28,506.41
1996-07-31,476.62
1996-08-30,489.789
1996-09-30,525.939
1996-10-31,527.995
1996-11-29,570.553
1996-12-31,553.071
1997-01-31,598.758
1997-02-28,593.693
1997-03-31,567.589
1997-04-30,612.32
1997-05-30,652.142
1997-06-30,684.726
1997-07-31,748.251
1997-08-29,699.492
1997-09-30,737.17
1997-10-31,711.907
1997-11-28,745.719
1997-12-31,753.568
1998-01-30,779.195
1998-02-27,840.217
1998-03-31,883.767
1998-04-30,903.939
1998-05-29,881.23
1998-06-30,950.631
1998-07-31,950.631
1998-08-31,809.621
1998-09-30,868.678
1998-10-30,939.815
1998-11-30,1012.688
1998-12-31,1120.507
1999-01-29,1209.128
1999-02-26,1160.977
1999-03-31,1232.753
1999-04-30,1228.058
1999-05-31,1186.135
1999-06-30,1274.056
1999-07-30,1230.395
1999-08-31,1257.706
1999-09-30,1236.23
1999-10-29,1330.016
1999-11-30,1394.603
1999-12-31,1577.327
2000-01-31,1476.865
2000-02-29,1538.313
2000-03-31,1631.951
2000-04-28,1502.939
2000-05-31,1396.587
2000-06-30,1551.924
2000-07-31,1485.122
2000-08-31,1604.622
2000-09-29,1436.64
2000-10-31,1365.456
2000-11-30,1159.211
2000-12-29,1117.43
2001-01-31,1187.7
2001-02-28,996.201
2001-03-30,889.63
2001-04-30,999.766
2001-05-31,985.547
2001-06-29,963.892
2001-07-31,939.568
2001-08-31,853.388
2001-09-28,769.368
2001-10-31,807.548
2001-11-30,892.584
2001-12-31,889.458
2002-01-31,865.915
2002-02-28,827.627
2002-03-29,848.886
2002-04-30,770.358
2002-05-31,754.71
2002-06-28,694.766
2002-07-31,650.077
2002-08-30,655.346
2002-09-30,583.774
2002-10-31,640.703
2002-11-29,673.878
2002-12-31,623.906
2003-01-31,607.812
2003-02-28,603.949
2003-03-31,614.896
2003-04-30,657.463
2003-05-30,685.545
2003-06-30,694.042
2003-07-31,714.874
2003-08-29,726.132
2003-09-30,717.766
2003-10-31,760.493
2003-11-28,765.503
2003-12-31,789.828
2004-01-30,806.249
2004-02-27,812.474
2004-03-31,797.735
2004-04-30,790.442
2004-05-31,803.52
2004-06-30,811.459
2004-07-30,768.315
2004-08-31,764.426
2004-09-30,769.345
2004-10-29,778.818
2004-11-30,802.155
2004-12-31,836.383
2005-01-31,811.577
2005-02-28,814.709
2005-03-31,800.386
2005-04-29,783.688
2005-05-31,817.56
2005-06-30,810.338
2005-07-29,848.213
2005-08-31,838.056
2005-09-30,836.777
2005-10-31,833.063
2005-11-30,864.814
2005-12-30,855.197
2006-01-31,868.075
2006-02-28,864.098
2006-03-31,871.633
2006-04-28,866.682
2006-05-31,837.322
2006-06-30,834.806
2006-07-31,823.241
2006-08-31,851.02
2006-09-29,876.608
2006-10-31,906.591
2006-11-30,919.069
2006-12-29,921.918
2007-01-31,940.256
2007-02-28,915.212
2007-03-30,924.801
2007-04-30,966.78
2007-05-31,1000.0
2007-06-29,986.518
2007-07-31,975.659
2007-08-31,993.482
2007-09-28,1037.967
2007-10-31,1075.526
2007-11-30,1038.437
2007-12-31,1034.415
2008-01-31,954.295
2008-02-29,938.392
2008-03-31,936.965
2008-04-30,986.575
2008-05-30,1017.735
2008-06-30,949.709
2008-07-31,943.105
2008-08-29,956.78
2008-09-30,854.708
2008-10-31,706.294
2008-11-28,642.656
2008-12-31,648.715
2009-01-30,619.212
2009-02-27,574.594
2009-03-31,621.405
2009-04-30,673.336
2009-05-29,703.758
2009-06-30,715.743
2009-07-31,766.148
2009-08-31,778.245
2009-09-30,810.681
2009-10-30,804.385
2009-11-30,853.974
2009-12-31,874.396
2010-01-29,831.087
2010-02-26,858.095
2010-03-31,906.535
2010-04-30,917.615
2010-05-31,839.033
2010-06-30,791.47
2010-07-30,849.323
2010-08-31,806.452
2010-09-30,891.418
2010-10-29,939.974
2010-11-30,940.466
2010-12-31,991.361
2011-01-31,1010.679
2011-02-28,1032.613
2011-03-31,1032.112
2011-04-29,1064.034
2011-05-31,1055.192
2011-06-30,1040.999
2011-07-29,1042.179
2011-08-31,987.74
2011-09-30,920.263
2011-10-31,1023.306
2011-11-30,1023.181
2011-12-30,1019.714
2012-01-31,1081.588
2012-02-29,1133.842
2012-03-30,1175.948
2012-04-30,1173.329
2012-05-31,1100.151
2012-06-29,1135.718
2012-07-31,1155.828
2012-08-31,1192.715
2012-09-28,1218.483
2012-10-31,1178.686
2012-11-30,1201.219
2012-12-31,1191.491
2013-01-31,1235.953
2013-02-28,1246.236
2013-03-29,1291.06
2013-04-30,1308.661
2013-05-31,1329.916
2013-06-28,1301.404
2013-07-31,1378.546
2013-08-30,1353.493
2013-09-30,1409.333
2013-10-31,1475.09
2013-11-29,1525.434
2013-12-31,1568.771
2014-01-31,1515.129
2014-02-28,1591.515
2014-03-31,1571.626
2014-04-30,1577.348
2014-05-30,1629.131
2014-06-30,1660.273
2014-07-31,1646.771
2014-08-29,1718.77
2014-09-30,1698.147
2014-10-31,1743.298
2014-11-28,1807.624
2014-12-31,1797.241
2015-01-30,1770.492
2015-02-27,1886.657
2015-03-31,1864.293
2015-04-30,1863.473
2015-05-29,1898.67
2015-06-30,1875.426
2015-07-31,1944.418
2015-08-31,1814.486
2015-09-30,1762.852
2015-10-30,1919.959
2015-11-30,1925.612
2015-12-31,1894.08
2016-01-29,1783.642
2016-02-29,1770.35
2016-03-31,1887.722
2016-04-29,1880.975
2016-05-31,1916.869
2016-06-30,1905.979
2016-07-29,1991.971
2016-08-31,1985.919
2016-09-30,1992.829
2016-10-31,1948.79
2016-11-30,1985.475
2016-12-30,2008.736
2017-01-31,2085.859
2017-02-28,2176.072
2017-03-31,2200.688
2017-04-28,2253.687
2017-05-31,2316.702
2017-06-30,2297.032
2017-07-31,2361.732
2017-08-31,2401.642
2017-09-29,2425.287
2017-10-31,2509.45
2017-11-30,2581.922
2017-12-29,2604.476
2018-01-31,2811.039
2018-02-28,2750.141
2018-03-30,2659.715
2018-04-30,2679.996
2018-05-31,2794.227
2018-06-29,2816.673
2018-07-31,2901.179
2018-08-31,3055.353
2018-09-28,3074.637
2018-10-31,2799.577
2018-11-30,2816.518
2018-12-31,2572.322
2019-01-31,2801.942
2019-02-28,2890.959
2019-03-29,2978.852
2019-04-30,3124.723
2019-05-31,2928.49
2019-06-28,3135.637
2019-07-31,3205.262
2019-08-30,3183.295
2019-09-30,3187.265
2019-10-31,3284.508
2019-11-29,3429.38
2019-12-31,3545.224
2020-01-31,3654.809
2020-02-28,3412.7
2020-03-31,3092.608
2020-04-30,3565.597
2020-05-29,3798.542
2020-06-30,4001.726
2020-07-31,4315.085
2020-08-31,4810.13
2020-09-30,4552.673
2020-10-30,4399.135
2020-11-30,4834.209
2020-12-31,5069.087
2021-01-29,5037.413
2021-02-26,5043.357
2021-03-31,5097.721
2021-04-30,5487.057
2021-05-31,5386.964
2021-06-30,5754.556
2021-07-30,5973.796
2021-08-31,6206.067
2021-09-30,5839.525
2021-10-29,6316.647
2021-11-30,6374.575
2021-12-31,6452.766
2022-01-31,5906.067
