Date,PORTUGAL VALUE Standard (Large+Mid Cap)
2001-01-01,155.406
2001-01-02,158.207
2001-01-03,157.603
2001-01-04,159.039
2001-01-05,157.329
2001-01-08,154.684
2001-01-09,153.687
2001-01-10,155.896
2001-01-11,160.184
2001-01-12,158.663
2001-01-15,158.639
2001-01-16,156.573
2001-01-17,155.011
2001-01-18,156.131
2001-01-19,154.236
2001-01-22,155.36
2001-01-23,156.456
2001-01-24,153.961
2001-01-25,155.827
2001-01-26,157.053
2001-01-29,155.15
2001-01-30,157.803
2001-01-31,159.263
2001-02-01,160.34
2001-02-02,158.159
2001-02-05,157.151
2001-02-06,158.269
2001-02-07,157.592
2001-02-08,153.363
2001-02-09,152.852
2001-02-12,154.58
2001-02-13,153.084
2001-02-14,152.59
2001-02-15,150.838
2001-02-16,150.524
2001-02-19,150.617
2001-02-20,149.379
2001-02-21,149.637
2001-02-22,148.359
2001-02-23,148.25
2001-02-26,149.234
2001-02-27,150.71
2001-02-28,151.108
2001-03-01,150.855
2001-03-02,152.887
2001-03-05,152.018
2001-03-06,152.909
2001-03-07,153.61
2001-03-08,153.266
2001-03-09,151.7
2001-03-12,150.029
2001-03-13,148.533
2001-03-14,145.319
2001-03-15,145.777
2001-03-16,140.397
2001-03-19,140.099
2001-03-20,140.01
2001-03-21,138.43
2001-03-22,130.742
2001-03-23,135.141
2001-03-26,135.029
2001-03-27,134.597
2001-03-28,132.998
2001-03-29,133.455
2001-03-30,132.006
2001-04-02,130.284
2001-04-03,129.799
2001-04-04,133.776
2001-04-05,135.562
2001-04-06,134.953
2001-04-09,136.284
2001-04-10,136.899
2001-04-11,137.786
2001-04-12,139.436
2001-04-13,139.436
2001-04-16,138.008
2001-04-17,137.912
2001-04-18,137.263
2001-04-19,137.152
2001-04-20,136.078
2001-04-23,133.297
2001-04-24,133.615
2001-04-25,134.108
2001-04-26,132.963
2001-04-27,131.48
2001-04-30,132.558
2001-05-01,133.26
2001-05-02,132.645
2001-05-03,131.435
2001-05-04,132.532
2001-05-07,130.729
2001-05-08,129.382
2001-05-09,128.924
2001-05-10,129.2
2001-05-11,127.517
2001-05-14,127.585
2001-05-15,130.346
2001-05-16,130.801
2001-05-17,129.528
2001-05-18,127.166
2001-05-21,127.458
2001-05-22,125.31
2001-05-23,124.255
2001-05-24,124.305
2001-05-25,124.052
2001-05-28,125.126
2001-05-29,124.44
2001-05-30,126.669
2001-05-31,125.574
2001-06-01,125.79
2001-06-04,126.303
2001-06-05,126.511
2001-06-06,126.253
2001-06-07,125.797
2001-06-08,125.837
2001-06-11,123.147
2001-06-12,122.566
2001-06-13,124.444
2001-06-14,125.511
2001-06-15,125.275
2001-06-18,123.118
2001-06-19,120.983
2001-06-20,116.163
2001-06-21,116.257
2001-06-22,118.901
2001-06-25,119.131
2001-06-26,119.075
2001-06-27,118.711
2001-06-28,119.364
2001-06-29,118.506
2001-07-02,117.871
2001-07-03,118.901
2001-07-04,118.678
2001-07-05,117.687
2001-07-06,116.327
2001-07-09,115.595
2001-07-10,118.629
2001-07-11,116.157
2001-07-12,116.382
2001-07-13,116.181
2001-07-16,117.053
2001-07-17,116.27
2001-07-18,119.081
2001-07-19,120.33
2001-07-20,119.634
2001-07-23,117.323
2001-07-24,119.219
2001-07-25,121.654
2001-07-26,122.795
2001-07-27,124.009
2001-07-30,123.042
2001-07-31,123.284
2001-08-01,122.155
2001-08-02,122.173
2001-08-03,122.31
2001-08-06,122.013
2001-08-07,121.908
2001-08-08,121.483
2001-08-09,122.38
2001-08-10,122.524
2001-08-13,120.759
2001-08-14,123.56
2001-08-15,125.447
2001-08-16,124.967
2001-08-17,123.937
2001-08-20,123.534
2001-08-21,124.174
2001-08-22,123.7
2001-08-23,122.742
2001-08-24,122.267
2001-08-27,121.332
2001-08-28,119.275
2001-08-29,121.015
2001-08-30,119.793
2001-08-31,119.135
2001-09-03,118.05
2001-09-04,117.12
2001-09-05,116.905
2001-09-06,117.139
2001-09-07,117.296
2001-09-10,115.795
2001-09-11,110.654
2001-09-12,107.722
2001-09-13,107.996
2001-09-14,104.034
2001-09-17,103.842
2001-09-18,107.881
2001-09-19,109.553
2001-09-20,106.181
2001-09-21,104.142
2001-09-24,107.963
2001-09-25,108.172
2001-09-26,110.847
2001-09-27,113.844
2001-09-28,114.484
2001-10-01,114.159
2001-10-02,111.915
2001-10-03,113.313
2001-10-04,115.704
2001-10-05,116.407
2001-10-08,115.448
2001-10-09,116.236
2001-10-10,117.095
2001-10-11,116.862
2001-10-12,117.405
2001-10-15,115.393
2001-10-16,117.618
2001-10-17,119.514
2001-10-18,120.136
2001-10-19,118.422
2001-10-22,120.046
2001-10-23,119.946
2001-10-24,120.775
2001-10-25,119.842
2001-10-26,118.41
2001-10-29,118.391
2001-10-30,117.538
2001-10-31,115.882
2001-11-01,116.622
2001-11-02,115.352
2001-11-05,115.3
2001-11-06,116.407
2001-11-07,116.979
2001-11-08,115.352
2001-11-09,115.824
2001-11-12,114.865
2001-11-13,114.485
2001-11-14,115.254
2001-11-15,115.136
2001-11-16,115.585
2001-11-19,115.347
2001-11-20,114.64
2001-11-21,112.875
2001-11-22,113.845
2001-11-23,112.999
2001-11-26,112.408
2001-11-27,112.228
2001-11-28,112.244
2001-11-29,112.507
2001-11-30,114.106
2001-12-03,111.966
2001-12-04,110.159
2001-12-05,109.398
2001-12-06,114.007
2001-12-07,113.509
2001-12-10,112.012
2001-12-11,112.855
2001-12-12,112.56
2001-12-13,113.04
2001-12-14,113.129
2001-12-17,114.243
2001-12-18,113.657
2001-12-19,109.569
2001-12-20,108.383
2001-12-21,108.495
2001-12-24,107.412
2001-12-25,107.412
2001-12-26,107.504
2001-12-27,110.223
2001-12-28,110.134
2001-12-31,111.208
2002-01-01,111.208
2002-01-02,112.17
2002-01-03,112.869
2002-01-04,111.813
2002-01-07,110.269
2002-01-08,111.243
2002-01-09,110.001
2002-01-10,109.412
2002-01-11,108.712
2002-01-14,108.17
2002-01-15,112.223
2002-01-16,112.507
2002-01-17,111.826
2002-01-18,112.351
2002-01-21,111.611
2002-01-22,111.97
2002-01-23,111.3
2002-01-24,109.301
2002-01-25,107.085
2002-01-28,108.049
2002-01-29,106.695
2002-01-30,106.12
2002-01-31,106.38
2002-02-01,106.867
2002-02-04,106.573
2002-02-05,106.663
2002-02-06,106.935
2002-02-07,107.244
2002-02-08,107.574
2002-02-11,108.179
2002-02-12,108.025
2002-02-13,106.846
2002-02-14,108.299
2002-02-15,106.846
2002-02-18,106.281
2002-02-19,105.978
2002-02-20,106.368
2002-02-21,105.394
2002-02-22,105.058
2002-02-25,104.042
2002-02-26,104.368
2002-02-27,103.721
2002-02-28,104.124
2002-03-01,106.488
2002-03-04,109.052
2002-03-05,108.408
2002-03-06,109.485
2002-03-07,110.661
2002-03-08,111.426
2002-03-11,111.039
2002-03-12,110.836
2002-03-13,111.885
2002-03-14,113.687
2002-03-15,114.575
2002-03-18,115.6
2002-03-19,113.464
2002-03-20,113.975
2002-03-21,113.747
2002-03-22,114.083
2002-03-25,114.0
2002-03-26,113.51
2002-03-27,113.267
2002-03-28,112.917
2002-03-29,112.917
2002-04-01,113.843
2002-04-02,114.319
