Date,CANADA Standard (Large+Mid Cap)
2001-01-01,1887.701
2001-01-02,1827.134
2001-01-03,1900.433
2001-01-04,1894.69
2001-01-05,1839.039
2001-01-08,1841.822
2001-01-09,1818.092
2001-01-10,1821.057
2001-01-11,1865.796
2001-01-12,1843.874
2001-01-15,1848.461
2001-01-16,1845.419
2001-01-17,1864.487
2001-01-18,1871.253
2001-01-19,1933.608
2001-01-22,1928.18
2001-01-23,1964.714
2001-01-24,1962.071
2001-01-25,1936.488
2001-01-26,1935.729
2001-01-29,1976.135
2001-01-30,1990.042
2001-01-31,1979.891
2001-02-01,1981.433
2001-02-02,1964.923
2001-02-05,1968.956
2001-02-06,1960.692
2001-02-07,1915.882
2001-02-08,1902.755
2001-02-09,1877.278
2001-02-12,1873.406
2001-02-13,1856.956
2001-02-14,1846.934
2001-02-15,1857.009
2001-02-16,1713.394
2001-02-19,1724.919
2001-02-20,1677.597
2001-02-21,1642.755
2001-02-22,1664.27
2001-02-23,1641.625
2001-02-26,1672.684
2001-02-27,1659.805
2001-02-28,1664.187
2001-03-01,1661.116
2001-03-02,1628.503
2001-03-05,1648.079
2001-03-06,1677.99
2001-03-07,1684.146
2001-03-08,1666.303
2001-03-09,1641.884
2001-03-12,1596.405
2001-03-13,1605.929
2001-03-14,1571.107
2001-03-15,1572.365
2001-03-16,1548.903
2001-03-19,1577.594
2001-03-20,1551.976
2001-03-21,1522.772
2001-03-22,1535.714
2001-03-23,1529.873
2001-03-26,1547.182
2001-03-27,1551.695
2001-03-28,1492.593
2001-03-29,1479.053
2001-03-30,1511.674
2001-04-02,1520.993
2001-04-03,1472.217
2001-04-04,1478.58
2001-04-05,1501.137
2001-04-06,1488.041
2001-04-09,1507.848
2001-04-10,1559.599
2001-04-11,1544.275
2001-04-12,1571.395
2001-04-13,1571.395
2001-04-16,1556.216
2001-04-17,1570.188
2001-04-18,1626.476
2001-04-19,1651.134
2001-04-20,1649.698
2001-04-23,1618.07
2001-04-24,1598.483
2001-04-25,1617.089
2001-04-26,1616.324
2001-04-27,1621.918
2001-04-30,1619.372
2001-05-01,1624.541
2001-05-02,1642.967
2001-05-03,1628.13
2001-05-04,1630.233
2001-05-07,1631.766
2001-05-08,1635.414
2001-05-09,1642.277
2001-05-10,1652.517
2001-05-11,1622.958
2001-05-14,1615.83
2001-05-15,1628.645
2001-05-16,1655.646
2001-05-17,1677.929
2001-05-18,1686.781
2001-05-21,1688.983
2001-05-22,1702.225
2001-05-23,1688.958
2001-05-24,1685.31
2001-05-25,1676.334
