Date,CANADA Standard (Large+Mid Cap)
2001-01-01,2319.254
2001-01-02,2244.84
2001-01-03,2334.896
2001-01-04,2327.846
2001-01-05,2259.473
2001-01-08,2262.892
2001-01-09,2233.737
2001-01-10,2237.38
2001-01-11,2292.349
2001-01-12,2265.417
2001-01-15,2271.052
2001-01-16,2267.317
2001-01-17,2290.784
2001-01-18,2299.097
2001-01-19,2375.71
2001-01-22,2369.213
2001-01-23,2414.121
2001-01-24,2410.873
2001-01-25,2379.439
2001-01-26,2378.505
2001-01-29,2428.161
2001-01-30,2445.287
2001-01-31,2432.939
2001-02-01,2434.834
2001-02-02,2414.547
2001-02-05,2419.502
2001-02-06,2409.348
2001-02-07,2354.332
2001-02-08,2338.201
2001-02-09,2306.894
2001-02-12,2302.136
2001-02-13,2281.921
2001-02-14,2269.606
2001-02-15,2281.986
2001-02-16,2105.553
2001-02-19,2119.716
2001-02-20,2061.703
2001-02-21,2018.992
2001-02-22,2045.477
2001-02-23,2017.646
2001-02-26,2055.818
2001-02-27,2040.031
2001-02-28,2045.501
2001-03-01,2041.828
2001-03-02,2001.741
2001-03-05,2025.803
2001-03-06,2062.569
2001-03-07,2070.202
2001-03-08,2048.346
2001-03-09,2018.345
2001-03-12,1962.447
2001-03-13,1974.193
2001-03-14,1931.629
2001-03-15,1933.192
2001-03-16,1904.344
2001-03-19,1939.62
2001-03-20,1908.156
2001-03-21,1872.25
2001-03-22,1888.161
2001-03-23,1881.017
2001-03-26,1902.416
2001-03-27,1907.965
2001-03-28,1835.386
2001-03-29,1818.737
2001-03-30,1858.976
2001-04-02,1870.436
2001-04-03,1810.454
2001-04-04,1818.284
2001-04-05,1846.024
2001-04-06,1829.919
2001-04-09,1854.276
2001-04-10,1917.916
2001-04-11,1899.075
2001-04-12,1932.426
2001-04-13,1932.426
2001-04-16,1913.76
2001-04-17,1930.943
2001-04-18,2000.179
2001-04-19,2030.502
2001-04-20,2028.906
2001-04-23,1990.008
2001-04-24,1965.919
2001-04-25,1988.801
2001-04-26,1987.867
2001-04-27,1994.784
2001-04-30,1991.653
2001-05-01,1998.011
2001-05-02,2020.797
2001-05-03,2002.547
2001-05-04,2005.134
2001-05-07,2007.02
2001-05-08,2011.507
2001-05-09,2019.948
2001-05-10,2032.595
2001-05-11,1996.286
2001-05-14,1987.519
2001-05-15,2003.281
2001-05-16,2036.541
2001-05-17,2063.951
2001-05-18,2074.84
2001-05-21,2077.549
2001-05-22,2094.048
2001-05-23,2077.768
2001-05-24,2073.324
2001-05-25,2062.281
2001-05-28,2066.726
2001-05-29,2063.152
2001-05-30,2024.426
2001-05-31,2028.982
2001-06-01,2072.529
2001-06-04,2083.506
2001-06-05,2070.958
2001-06-06,2062.815
2001-06-07,2064.735
2001-06-08,2053.442
2001-06-11,2049.525
2001-06-12,2037.909
2001-06-13,2023.854
2001-06-14,1998.896
2001-06-15,1963.763
2001-06-18,1929.698
2001-06-19,1928.157
2001-06-20,1921.948
2001-06-21,1932.367
2001-06-22,1945.051
2001-06-25,1941.852
2001-06-26,1923.408
2001-06-27,1906.948
2001-06-28,1911.036
2001-06-29,1952.276
2001-07-02,1955.24
2001-07-03,1970.289
2001-07-04,1961.459
2001-07-05,1944.839
2001-07-06,1909.286
2001-07-09,1920.711
2001-07-10,1898.794
2001-07-11,1892.92
2001-07-12,1921.213
2001-07-13,1935.095
2001-07-16,1899.375
2001-07-17,1919.244
2001-07-18,1902.203
2001-07-19,1906.713
2001-07-20,1904.063
2001-07-23,1895.105
2001-07-24,1894.975
2001-07-25,1911.116
2001-07-26,1907.715
2001-07-27,1933.118
2001-07-30,1927.163
2001-07-31,1943.584
2001-08-01,1946.316
2001-08-02,1942.827
2001-08-03,1941.628
2001-08-06,1952.18
2001-08-07,1953.925
2001-08-08,1923.737
2001-08-09,1929.333
2001-08-10,1912.887
2001-08-13,1913.901
2001-08-14,1905.526
2001-08-15,1896.428
2001-08-16,1910.732
2001-08-17,1880.986
2001-08-20,1880.335
2001-08-21,1860.202
2001-08-22,1886.212
2001-08-23,1888.494
2001-08-24,1915.867
2001-08-27,1919.431
2001-08-28,1898.251
2001-08-29,1871.528
2001-08-30,1846.163
2001-08-31,1838.407
2001-09-03,1836.63
2001-09-04,1856.326
2001-09-05,1838.007
2001-09-06,1834.503
2001-09-07,1816.056
2001-09-10,1811.039
2001-09-11,1733.413
