Date,CANADA Standard (Large+Mid Cap)
1994-05-31,859.586
1994-06-30,804.282
1994-07-29,841.716
1994-08-31,889.695
1994-09-30,909.901
1994-10-31,898.931
1994-11-30,849.475
1994-12-30,864.359
1995-01-31,820.61
1995-02-28,866.176
1995-03-31,903.395
1995-04-28,919.573
1995-05-31,958.24
1995-06-30,975.082
1995-07-31,992.815
1995-08-31,993.952
1995-09-29,989.825
1995-10-31,981.959
1995-11-30,1019.0
1995-12-29,1029.112
1996-01-31,1083.024
1996-02-29,1073.91
1996-03-29,1095.467
1996-04-30,1141.137
1996-05-31,1159.711
1996-06-28,1128.462
1996-07-31,1094.479
1996-08-30,1143.894
1996-09-30,1189.779
1996-10-31,1283.448
1996-11-29,1377.418
1996-12-31,1330.42
1997-01-31,1396.336
1997-02-28,1385.783
1997-03-31,1316.716
1997-04-30,1348.11
1997-05-30,1461.317
1997-06-30,1487.599
1997-07-31,1584.911
1997-08-29,1501.931
1997-09-30,1590.105
1997-10-31,1515.517
1997-11-28,1470.067
1997-12-31,1507.809
1998-01-30,1481.417
1998-02-27,1607.625
1998-03-31,1729.323
1998-04-30,1738.194
1998-05-29,1717.668
1998-06-30,1648.979
1998-07-31,1532.267
1998-08-31,1198.752
1998-09-30,1230.228
1998-10-30,1355.3
1998-11-30,1405.61
1998-12-31,1421.894
1999-01-29,1540.284
1999-02-26,1453.051
1999-03-31,1513.467
1999-04-30,1667.953
1999-05-31,1622.609
1999-06-30,1690.761
1999-07-30,1703.529
1999-08-31,1676.499
1999-09-30,1725.473
1999-10-29,1842.08
1999-11-30,1916.881
1999-12-31,2195.339
2000-01-31,2202.675
2000-02-29,2334.68
2000-03-31,2543.835
2000-04-28,2450.995
2000-05-31,2405.521
2000-06-30,2708.193
2000-07-31,2790.808
2000-08-31,3036.521
2000-09-29,2730.337
2000-10-31,2492.21
2000-11-30,2269.298
1969-12-31,100.0
1970-01-30,102.493
1970-02-27,107.088
1970-03-31,108.227
1970-04-30,95.896
1970-05-29,86.828
1970-06-30,91.242
1970-07-31,97.821
1970-08-31,102.311
1970-09-30,109.037
1970-10-30,107.571
1970-11-30,112.744
1970-12-31,115.836
1971-01-29,119.716
1971-02-26,119.574
1971-03-31,124.909
1971-04-30,124.645
1971-05-31,121.303
1971-06-30,120.632
1971-07-30,120.928
1971-08-31,125.772
1971-09-30,124.729
1971-10-29,118.794
1971-11-30,118.485
1971-12-31,132.233
1972-01-31,138.434
1972-02-29,143.148
1972-03-31,143.49
1972-04-28,144.268
1972-05-31,152.174
1972-06-30,155.318
1972-07-31,154.899
1972-08-31,165.655
1972-09-29,164.794
1972-10-31,161.46
1972-11-30,169.105
1972-12-29,176.136
1973-01-31,175.909
1973-02-28,172.243
1973-03-30,172.697
1973-04-30,165.355
1973-05-31,158.983
1973-06-29,162.352
1973-07-31,171.435
1973-08-31,171.09
1973-09-28,176.88
1973-10-31,190.083
1973-11-30,171.856
1973-12-31,170.623
1974-01-31,176.11
1974-02-28,183.034
1974-03-29,178.88
1974-04-30,166.256
1974-05-31,153.484
1974-06-28,148.29
1974-07-31,150.805
1974-08-30,136.095
1974-09-30,122.336
1974-10-31,135.834
1974-11-29,124.259
1974-12-31,125.19
1975-01-31,144.779
1975-02-28,148.819
1975-03-31,144.666
1975-04-30,146.933
1975-05-30,150.099
1975-06-30,153.947
1975-07-31,152.762
1975-08-29,151.522
1975-09-30,144.206
1975-10-31,138.041
1975-11-28,149.255
1975-12-31,144.24
1976-01-30,159.993
1976-02-27,168.746
1976-03-31,166.716
1976-04-30,169.767
1976-05-31,171.032
1976-06-30,170.098
1976-07-30,167.831
1976-08-31,166.473
1976-09-30,164.594
1976-10-29,158.749
1976-11-30,139.042
1976-12-31,158.418
1977-01-31,153.869
1977-02-28,152.727
1977-03-31,154.021
1977-04-29,150.66
