Date,CANADA Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,102.448
1970-02-27,106.996
1970-03-31,108.088
1970-04-30,95.729
1970-05-29,86.632
1970-06-30,90.988
1970-07-31,97.501
1970-08-31,101.927
1970-09-30,108.577
1970-10-30,107.067
1970-11-30,112.162
1970-12-31,115.185
1971-01-29,118.99
1971-02-26,118.795
1971-03-31,124.042
1971-04-30,123.726
1971-05-31,120.355
1971-06-30,119.637
1971-07-30,119.878
1971-08-31,124.626
1971-09-30,123.539
1971-10-29,117.606
1971-11-30,117.248
1971-12-31,130.8
1972-01-31,136.88
1972-02-29,141.491
1972-03-31,141.774
1972-04-28,142.49
1972-05-31,150.242
1972-06-30,153.288
1972-07-31,152.818
1972-08-31,163.368
1972-09-29,162.459
1972-10-31,159.112
1972-11-30,166.584
1972-12-29,173.446
1973-01-31,173.16
1973-02-28,169.488
1973-03-30,169.872
1973-04-30,162.589
1973-05-31,156.261
1973-06-29,159.509
1973-07-31,168.369
1973-08-31,167.963
1973-09-28,173.582
1973-10-31,186.468
1973-11-30,168.511
1973-12-31,167.227
1974-01-31,172.528
1974-02-28,179.232
1974-03-29,175.084
1974-04-30,162.646
1974-05-31,150.07
1974-06-28,144.908
1974-07-31,147.282
1974-08-30,132.835
1974-09-30,119.317
1974-10-31,132.392
1974-11-29,121.015
1974-12-31,121.84
1975-01-31,140.824
1975-02-28,144.673
1975-03-31,140.556
1975-04-30,142.68
1975-05-30,145.677
1975-06-30,149.334
1975-07-31,148.106
1975-08-29,146.826
1975-09-30,139.659
1975-10-31,133.608
1975-11-28,144.38
1975-12-31,139.446
1976-01-30,154.594
1976-02-27,162.967
1976-03-31,160.923
1976-04-30,163.783
1976-05-31,164.918
1976-06-30,163.933
1976-07-30,161.662
1976-08-31,160.27
1976-09-30,158.377
1976-10-29,152.668
1976-11-30,133.631
1976-12-31,152.167
1977-01-31,147.71
1977-02-28,146.531
1977-03-31,147.688
1977-04-29,144.38
1977-05-31,141.799
1977-06-30,147.772
1977-07-29,147.23
1977-08-31,141.128
1977-09-30,141.841
1977-10-31,132.181
1977-11-30,139.93
1977-12-30,148.212
1978-01-31,137.444
1978-02-28,137.129
1978-03-31,143.318
1978-04-28,146.005
1978-05-31,154.279
1978-06-30,153.362
1978-07-31,161.928
1978-08-31,165.133
1978-09-29,170.978
1978-10-31,163.221
1978-11-30,172.682
1978-12-29,177.562
1979-01-31,181.699
1979-02-28,186.017
1979-03-30,204.797
1979-04-30,210.46
1979-05-31,216.034
1979-06-29,231.067
1979-07-31,220.145
1979-08-31,242.54
1979-09-28,258.271
1979-10-31,231.677
1979-11-30,252.301
1979-12-31,268.649
1980-01-31,307.913
1980-02-29,348.971
1980-03-31,272.067
1980-04-30,281.311
1980-05-30,305.716
1980-06-30,327.937
1980-07-31,341.363
1980-08-29,346.979
1980-09-30,344.801
1980-10-31,334.692
1980-11-28,348.096
1980-12-31,327.896
1981-01-30,324.889
1981-02-27,317.63
1981-03-31,342.009
