Date,FINLAND GROWTH Standard (Large+Mid Cap)
2001-01-01,2183.443
2001-01-02,2124.292
2001-01-03,1933.151
2001-01-04,2148.222
2001-01-05,2164.451
2001-01-08,2085.565
2001-01-09,1886.128
2001-01-10,1858.567
2001-01-11,1997.384
2001-01-12,2035.819
2001-01-15,2014.936
2001-01-16,1906.149
2001-01-17,1980.441
2001-01-18,2017.633
2001-01-19,1973.677
2001-01-22,1928.116
2001-01-23,1899.063
2001-01-24,1891.108
2001-01-25,1832.677
2001-01-26,1816.704
2001-01-29,1791.459
2001-01-30,1680.337
2001-01-31,1721.774
2001-02-01,1658.411
2001-02-02,1626.957
2001-02-05,1592.51
2001-02-06,1647.842
2001-02-07,1555.718
2001-02-08,1501.299
2001-02-09,1368.248
2001-02-12,1430.026
2001-02-13,1413.396
2001-02-14,1302.664
2001-02-15,1409.124
2001-02-16,1320.587
2001-02-19,1291.17
2001-02-20,1275.064
2001-02-21,1223.965
2001-02-22,1127.06
2001-02-23,1047.12
2001-02-26,1080.882
2001-02-27,1114.048
2001-02-28,1106.378
2001-03-01,1105.326
2001-03-02,1198.455
2001-03-05,1252.386
2001-03-06,1312.707
2001-03-07,1271.476
2001-03-08,1208.841
2001-03-09,1178.987
2001-03-12,1063.714
2001-03-13,1099.552
2001-03-14,1094.732
2001-03-15,1231.767
2001-03-16,1199.549
2001-03-19,1251.083
2001-03-20,1323.95
2001-03-21,1254.545
2001-03-22,1174.659
2001-03-23,1295.744
2001-03-26,1362.114
2001-03-27,1300.003
2001-03-28,1260.844
2001-03-29,1183.288
2001-03-30,1184.128
2001-04-02,1182.93
2001-04-03,1101.993
2001-04-04,1115.371
2001-04-05,1193.416
2001-04-06,1184.213
2001-04-09,1189.612
2001-04-10,1254.688
2001-04-11,1312.72
2001-04-12,1325.778
2001-04-13,1325.778
2001-04-16,1312.2
2001-04-17,1251.247
2001-04-18,1410.931
2001-04-19,1469.134
2001-04-20,1536.694
2001-04-23,1505.289
2001-04-24,1489.11
2001-04-25,1466.325
2001-04-26,1497.562
2001-04-27,1564.294
2001-04-30,1627.098
2001-05-01,1635.724
2001-05-02,1649.836
2001-05-03,1600.341
2001-05-04,1622.541
2001-05-07,1624.752
2001-05-08,1594.741
2001-05-09,1559.601
2001-05-10,1629.176
2001-05-11,1566.668
2001-05-14,1509.155
2001-05-15,1521.085
2001-05-16,1522.609
2001-05-17,1613.624
2001-05-18,1658.104
2001-05-21,1671.583
2001-05-22,1679.57
2001-05-23,1618.615
2001-05-24,1612.504
2001-05-25,1559.947
2001-05-28,1551.009
2001-05-29,1515.237
2001-05-30,1447.039
2001-05-31,1425.618
2001-06-01,1429.151
2001-06-04,1437.78
2001-06-05,1496.072
2001-06-06,1505.468
2001-06-07,1506.273
2001-06-08,1485.782
2001-06-11,1424.498
2001-06-12,1108.353
2001-06-13,1177.518
2001-06-14,1106.885
2001-06-15,1105.224
2001-06-18,1104.506
2001-06-19,1128.567
2001-06-20,1091.221
2001-06-21,1110.085
2001-06-22,1111.191
2001-06-25,1109.468
2001-06-26,1086.879
2001-06-27,1080.896
2001-06-28,1064.297
2001-06-29,1114.625
2001-07-02,1134.211
2001-07-03,1107.802
2001-07-04,1071.368
2001-07-05,1007.917
2001-07-06,955.516
2001-07-09,923.129
2001-07-10,910.208
2001-07-11,877.843
2001-07-12,924.936
2001-07-13,897.724
2001-07-16,869.768
2001-07-17,843.756
2001-07-18,865.393
2001-07-19,983.471
2001-07-20,941.595
2001-07-23,945.287
2001-07-24,956.542
2001-07-25,957.403
2001-07-26,972.444
2001-07-27,1021.923
2001-07-30,1060.569
2001-07-31,1081.824
2001-08-01,1064.326
2001-08-02,1101.544
2001-08-03,1095.651
2001-08-06,1057.526
2001-08-07,1063.532
2001-08-08,1023.349
2001-08-09,961.616
2001-08-10,913.792
2001-08-13,935.368
2001-08-14,967.288
2001-08-15,939.02
2001-08-16,897.203
2001-08-17,859.403
2001-08-20,845.667
2001-08-21,867.287
2001-08-22,867.617
2001-08-23,880.354
2001-08-24,879.524
2001-08-27,853.416
2001-08-28,825.559
2001-08-29,793.415
2001-08-30,747.144
2001-08-31,770.192
2001-09-03,767.621
2001-09-04,756.16
2001-09-05,703.071
2001-09-06,665.763
2001-09-07,638.191
2001-09-10,675.132
2001-09-11,652.026
2001-09-12,722.048
2001-09-13,755.37
2001-09-14,713.13
2001-09-17,767.369
2001-09-18,778.329
2001-09-19,796.163
2001-09-20,797.256
2001-09-21,762.852
2001-09-24,828.296
2001-09-25,849.45
2001-09-26,826.875
2001-09-27,764.911
2001-09-28,803.844
2001-10-01,748.87
2001-10-02,769.027
2001-10-03,746.762
2001-10-04,822.805
2001-10-05,831.841
2001-10-08,845.075
2001-10-09,867.917
2001-10-10,883.861
2001-10-11,933.792
2001-10-12,944.116
2001-10-15,912.163
2001-10-16,950.815
2001-10-17,998.908
2001-10-18,932.531
2001-10-19,978.881
2001-10-22,1003.46
2001-10-23,1063.719
2001-10-24,1073.501
2001-10-25,1028.994
2001-10-26,1062.385
2001-10-29,1051.98
2001-10-30,987.887
2001-10-31,1029.304
2001-11-01,1033.181
2001-11-02,1058.678
2001-11-05,1090.662
2001-11-06,1126.283
2001-11-07,1103.502
2001-11-08,1156.624
2001-11-09,1115.876
2001-11-12,1081.478
2001-11-13,1149.103
2001-11-14,1177.016
2001-11-15,1210.868
2001-11-16,1238.769
2001-11-19,1204.412
2001-11-20,1150.343
2001-11-21,1135.997
2001-11-22,1189.106
2001-11-23,1190.825
2001-11-26,1220.663
2001-11-27,1148.69
2001-11-28,1122.699
2001-11-29,1097.898
2001-11-30,1149.271
2001-12-03,1124.34
2001-12-04,1174.954
2001-12-05,1238.307
2001-12-06,1242.56
2001-12-07,1250.764
2001-12-10,1198.662
2001-12-11,1258.305
2001-12-12,1249.898
2001-12-13,1190.939
2001-12-14,1184.833
2001-12-17,1248.379
2001-12-18,1250.478
2001-12-19,1208.857
2001-12-20,1177.876
2001-12-21,1206.536
2001-12-24,1194.497
2001-12-25,1194.497
2001-12-26,1195.518
2001-12-27,1231.994
2001-12-28,1255.908
2001-12-31,1268.156
2002-01-01,1268.156
2002-01-02,1238.519
2002-01-03,1304.097
2002-01-04,1292.761
2002-01-07,1268.371
2002-01-08,1187.135
2002-01-09,1162.784
2002-01-10,1140.864
2002-01-11,1165.204
2002-01-14,1090.991
2002-01-15,1110.32
2002-01-16,1090.733
2002-01-17,1114.314
2002-01-18,1105.88
2002-01-21,1040.84
2002-01-22,1036.425
2002-01-23,1065.383
2002-01-24,1166.626
2002-01-25,1122.556
2002-01-28,1152.226
2002-01-29,1139.557
2002-01-30,1099.256
2002-01-31,1131.724
2002-02-01,1154.365
2002-02-04,1143.51
2002-02-05,1079.292
2002-02-06,1054.885
2002-02-07,1083.956
2002-02-08,1072.494
2002-02-11,1116.192
2002-02-12,1126.24
2002-02-13,1132.749
2002-02-14,1134.963
2002-02-15,1092.621
2002-02-18,1075.599
2002-02-19,1025.095
2002-02-20,987.359
2002-02-21,1003.784
2002-02-22,965.921
2002-02-25,996.39
2002-02-26,1018.995
2002-02-27,1041.104
2002-02-28,1045.226
2002-03-01,1040.052
2002-03-04,1127.869
2002-03-05,1122.609
2002-03-06,1146.322
2002-03-07,1184.107
2002-03-08,1193.636
2002-03-11,1165.76
2002-03-12,1086.976
2002-03-13,1089.719
2002-03-14,1087.205
2002-03-15,1090.36
2002-03-18,1115.2
2002-03-19,1084.224
2002-03-20,1043.994
2002-03-21,1032.919
2002-03-22,1053.378
2002-03-25,1046.591
2002-03-26,1035.983
2002-03-27,1048.246
2002-03-28,1047.826
2002-03-29,1047.826
2002-04-01,1056.413
2002-04-02,1020.129
2002-04-03,1023.743
2002-04-04,1005.275
2002-04-05,1003.202
2002-04-08,950.267
2002-04-09,970.791
2002-04-10,947.748
2002-04-11,916.247
2002-04-12,928.878
2002-04-15,954.546
2002-04-16,1006.168
2002-04-17,1031.88
2002-04-18,904.626
2002-04-19,862.359
2002-04-22,828.289
2002-04-23,828.454
2002-04-24,781.749
2002-04-25,815.15
2002-04-26,813.859
2002-04-29,793.605
2002-04-30,802.231
2002-05-01,806.771
2002-05-02,820.795
2002-05-03,767.031
2002-05-06,759.151
2002-05-07,759.91
2002-05-08,802.964
2002-05-09,802.788
2002-05-10,775.502
2002-05-13,785.67
2002-05-14,810.541
2002-05-15,822.23
2002-05-16,805.615
2002-05-17,808.033
2002-05-20,797.793
2002-05-21,784.186
2002-05-22,732.768
2002-05-23,707.374
2002-05-24,705.362
2002-05-27,699.801
2002-05-28,702.695
2002-05-29,690.791
2002-05-30,671.664
2002-05-31,708.557
2002-06-03,682.108
2002-06-04,658.583
2002-06-05,674.416
2002-06-06,663.273
2002-06-07,610.94
2002-06-10,623.029
2002-06-11,658.785
2002-06-12,623.978
2002-06-13,615.547
2002-06-14,623.82
2002-06-17,662.255
2002-06-18,660.888
2002-06-19,631.839
2002-06-20,645.34
2002-06-21,648.485
2002-06-24,601.932
2002-06-25,622.803
2002-06-26,644.019
2002-06-27,680.266
2002-06-28,725.52
2002-07-01,715.511
2002-07-02,674.491
2002-07-03,668.435
2002-07-04,704.374
2002-07-05,751.238
2002-07-08,752.929
2002-07-09,732.095
2002-07-10,708.767
2002-07-11,681.162
