Date,FINLAND GROWTH Standard (Large+Mid Cap)
1987-12-31,100.0
1988-01-29,95.453
1988-02-29,93.843
1988-03-31,104.976
1988-04-29,103.54
1988-05-31,108.891
1988-06-30,104.2
1988-07-29,103.173
1988-08-31,95.331
1988-09-30,91.255
1988-10-31,101.206
1988-11-30,111.523
1988-12-30,105.751
1989-01-31,105.203
1989-02-28,109.88
1989-03-31,119.124
1989-04-28,123.656
1989-05-31,115.309
1989-06-30,114.684
1989-07-31,118.309
1989-08-31,106.722
1989-09-29,99.109
1989-10-31,95.048
1989-11-30,87.416
1989-12-29,91.288
1990-01-31,96.348
1990-02-28,92.366
1990-03-30,83.074
1990-04-30,75.672
1990-05-31,76.75
1990-06-29,73.196
1990-07-31,76.764
1990-08-31,71.044
1990-09-28,59.592
1990-10-31,59.402
1990-11-30,59.939
1990-12-31,59.183
1991-01-31,57.766
1991-02-28,62.143
1991-03-29,66.397
1991-04-30,64.295
1991-05-31,61.057
1991-06-28,52.142
1991-07-31,57.841
1991-08-30,55.409
1991-09-30,52.45
1991-10-31,49.181
1991-11-29,44.807
1991-12-31,44.084
1992-01-31,48.496
1992-02-28,48.723
1992-03-31,44.5
1992-04-30,44.721
1992-05-29,46.092
1992-06-30,45.32
1992-07-31,41.859
1992-08-31,37.351
1992-09-30,34.765
1992-10-30,36.606
1992-11-30,38.375
1992-12-31,36.177
1993-01-29,35.85
1993-02-26,36.225
1993-03-31,40.339
1993-04-30,48.704
1993-05-31,50.722
1993-06-30,47.231
1993-07-30,50.548
1993-08-31,54.234
1993-09-30,56.919
1993-10-29,65.706
1993-11-30,60.888
1993-12-31,63.74
1994-01-31,79.265
1994-02-28,77.736
1994-03-31,79.865
1994-04-29,87.46
1994-05-31,80.483
1994-06-30,82.295
1994-07-29,93.541
1994-08-31,105.179
1994-09-30,110.028
1994-10-31,133.653
1994-11-30,120.445
1994-12-30,127.412
1995-01-31,126.909
1995-02-28,122.958
1995-03-31,122.363
1995-04-28,138.077
1995-05-31,149.632
1995-06-30,185.913
1995-07-31,212.667
1995-08-31,217.164
1995-09-29,221.336
1995-10-31,181.562
1995-11-30,173.295
1995-12-29,124.43
1996-01-31,123.109
1996-02-29,108.861
1996-03-29,109.486
1996-04-30,111.314
1996-05-31,132.116
1996-06-28,117.201
1996-07-31,113.999
1996-08-30,132.767
1996-09-30,139.421
1996-10-31,144.084
1996-11-29,167.72
1996-12-31,174.969
1997-01-31,199.028
1997-02-28,185.412
1997-03-31,184.201
1997-04-30,190.418
1997-05-30,200.243
1997-06-30,225.656
1997-07-31,259.339
1997-08-29,233.064
1997-09-30,285.969
1997-10-31,262.746
1997-11-28,242.198
1997-12-31,214.606
1998-01-30,236.546
1998-02-27,301.8
1998-03-31,324.353
1998-04-30,404.846
1998-05-29,397.027
1998-06-30,445.108
1998-07-31,531.232
1998-08-31,433.058
1998-09-30,482.041
1998-10-30,552.78
1998-11-30,596.881
1998-12-31,744.414
1999-01-29,887.443
1999-02-26,832.178
1999-03-31,979.726
1999-04-30,939.847
1999-05-31,876.638
1999-06-30,1068.268
1999-07-30,1056.874
1999-08-31,1017.668
1999-09-30,1092.666
1999-10-29,1395.63
1999-11-30,1727.982
1999-12-31,2202.569
2000-01-31,2214.672
2000-02-29,2433.829
2000-03-31,2583.208
2000-04-28,2810.017
2000-05-31,2529.504
2000-06-30,2504.913
2000-07-31,2166.45
2000-08-31,2146.995
2000-09-29,1982.648
2000-10-31,2011.42
2000-11-30,2051.783
2000-12-29,2183.443
2001-01-31,1721.774
2001-02-28,1106.378
2001-03-30,1184.128
2001-04-30,1627.098
2001-05-31,1425.618
2001-06-29,1114.625
2001-07-31,1081.824
2001-08-31,770.192
2001-09-28,803.844
2001-10-31,1029.304
2001-11-30,1149.271
2001-12-31,1268.156
2002-01-31,1131.724
2002-02-28,1045.226
2002-03-29,1047.826
2002-04-30,802.231
2002-05-31,708.557
2002-06-28,725.52
2002-07-31,617.202
2002-08-30,662.115
2002-09-30,658.884
2002-10-31,841.881
2002-11-29,956.612
2002-12-31,788.086
2003-01-31,696.033
2003-02-28,662.491
2003-03-31,694.786
2003-04-30,850.896
2003-05-30,905.039
2003-06-30,828.203
2003-07-31,771.001
2003-08-29,823.844
2003-09-30,774.288
2003-10-31,854.194
2003-11-28,906.114
2003-12-31,873.502
2004-01-30,1029.244
2004-02-27,1097.91
2004-03-31,1044.378
2004-04-30,739.569
2004-05-31,732.266
2004-06-30,757.69
2004-07-30,621.919
2004-08-31,631.235
2004-09-30,729.408
2004-10-29,804.675
2004-11-30,863.812
2004-12-31,846.852
2005-01-31,823.307
2005-02-28,888.921
2005-03-31,846.622
2005-04-29,866.085
2005-05-31,920.684
2005-06-30,926.776
2005-07-29,912.209
2005-08-31,909.835
2005-09-30,974.504
2005-10-31,935.55
2005-11-30,952.796
2005-12-30,1011.841
2006-01-31,1040.99
2006-02-28,1072.311
2006-03-31,1180.566
2006-04-28,1274.733
2006-05-31,1199.048
2006-06-30,1141.174
2006-07-31,1107.932
2006-08-31,1171.351
2006-09-29,1117.608
2006-10-31,1126.578
2006-11-30,1148.025
2006-12-29,1178.124
2007-01-31,1248.506
2007-02-28,1251.644
2007-03-30,1316.149
