Date,FINLAND GROWTH Standard (Large+Mid Cap)
2001-11-26,1279.335
2001-11-27,1203.903
2001-11-28,1176.662
2001-11-29,1150.67
2001-11-30,1204.511
2001-12-03,1178.382
2001-12-04,1231.429
2001-12-05,1297.827
2001-12-06,1302.284
2001-12-07,1310.883
2001-12-10,1256.276
2001-12-11,1318.786
2001-12-12,1309.975
2001-12-13,1248.183
2001-12-14,1241.782
2001-12-17,1308.383
2001-12-18,1310.583
2001-12-19,1266.961
2001-12-20,1234.491
2001-12-21,1264.529
2001-12-24,1251.912
2001-12-25,1251.912
2001-12-26,1252.981
2001-12-27,1291.211
2001-12-28,1316.274
2001-12-31,1329.111
2002-01-01,1329.111
2002-01-02,1298.049
2002-01-03,1366.779
2002-01-04,1354.898
2002-01-07,1329.336
2002-01-08,1244.195
2002-01-09,1218.674
2002-01-10,1195.701
2002-01-11,1221.211
2002-01-14,1143.43
2002-01-15,1163.688
2002-01-16,1143.16
2002-01-17,1167.874
2002-01-18,1159.035
2002-01-21,1090.869
2002-01-22,1086.242
2002-01-23,1116.591
2002-01-24,1222.701
2002-01-25,1176.513
2002-01-28,1207.608
2002-01-29,1194.33
2002-01-30,1152.092
2002-01-31,1186.121
2002-02-01,1209.851
2002-02-04,1198.473
2002-02-05,1131.169
2002-02-06,1105.588
2002-02-07,1136.057
2002-02-08,1124.044
2002-02-11,1169.842
2002-02-12,1180.373
2002-02-13,1187.195
2002-02-14,1189.516
2002-02-15,1145.139
2002-02-18,1127.299
2002-02-19,1074.367
2002-02-20,1034.817
2002-02-21,1052.031
2002-02-22,1012.349
2002-02-25,1044.283
2002-02-26,1067.974
2002-02-27,1091.145
2002-02-28,1095.466
2002-03-01,1090.042
2002-03-04,1182.08
2002-03-05,1176.568
2002-03-06,1201.42
2002-03-07,1241.022
2002-03-08,1251.009
2002-03-11,1221.793
2002-03-12,1139.222
2002-03-13,1142.097
2002-03-14,1139.462
2002-03-15,1142.769
2002-03-18,1168.802
2002-03-19,1136.338
2002-03-20,1094.175
2002-03-21,1082.567
2002-03-22,1107.558
2002-03-25,1100.422
2002-03-26,1089.268
2002-03-27,1102.162
2002-03-28,1101.72
2002-03-29,1101.72
2002-04-01,1110.749
2002-04-02,1072.599
2002-04-03,1076.398
2002-04-04,1056.98
2002-04-05,1054.801
2002-04-08,999.143
2002-04-09,1020.722
2002-04-10,996.494
2002-04-11,963.374
2002-04-12,976.654
2002-04-15,1003.642
2002-04-16,1057.919
2002-04-17,1084.954
2002-04-18,951.155
2002-04-19,906.714
2002-04-22,870.891
2002-04-23,871.065
2002-04-24,821.957
2002-04-25,857.076
2002-04-26,855.719
2002-04-29,834.424
2002-04-30,843.493
2002-05-01,848.267
2002-05-02,863.012
2002-05-03,806.483
2002-05-06,798.197
2002-05-07,798.995
2002-05-08,844.264
2002-05-09,844.078
2002-05-10,815.389
2002-05-13,826.08
2002-05-14,852.23
2002-05-15,864.52
2002-05-16,847.051
2002-05-17,849.594
2002-05-20,838.827
2002-05-21,824.52
2002-05-22,770.458
2002-05-23,743.757
2002-05-24,741.641
2002-05-27,735.795
2002-05-28,738.838
2002-05-29,726.322
2002-05-30,706.21
2002-05-31,745.001
2002-06-03,717.191
2002-06-04,692.457
2002-06-05,709.104
2002-06-06,697.387
2002-06-07,642.363
2002-06-10,655.074
2002-06-11,692.669
2002-06-12,656.072
2002-06-13,647.207
2002-06-14,655.906
2002-06-17,696.317
2002-06-18,694.881
2002-06-19,664.337
2002-06-20,678.532
2002-06-21,681.839
2002-06-24,632.892
2002-06-25,654.837
2002-06-26,677.144
2002-06-27,715.255
2002-06-28,762.836
2002-07-01,752.313
2002-07-02,709.183
2002-07-03,702.815
2002-07-04,740.603
2002-07-05,789.877
2002-07-08,791.655
2002-07-09,769.75
2002-07-10,745.222
2002-07-11,716.197
2002-07-12,729.345
2002-07-15,703.748
2002-07-16,712.69
2002-07-17,754.015
2002-07-18,719.752
2002-07-19,686.886
2002-07-22,666.355
2002-07-23,602.307
2002-07-24,580.748
2002-07-25,593.953
2002-07-26,595.21
2002-07-29,636.968
2002-07-30,654.278
2002-07-31,648.947
2002-08-01,619.486
2002-08-02,599.688
2002-08-05,570.632
2002-08-06,590.544
2002-08-07,601.99
2002-08-08,624.541
2002-08-09,670.512
2002-08-12,671.213
2002-08-13,672.094
2002-08-14,636.757
2002-08-15,668.772
2002-08-16,698.442
2002-08-19,737.316
2002-08-20,733.228
2002-08-21,742.248
2002-08-22,762.245
2002-08-23,741.15
2002-08-26,720.909
2002-08-27,741.056
2002-08-28,705.291
2002-08-29,700.087
2002-08-30,696.17
2002-09-02,678.274
2002-09-03,653.989
2002-09-04,659.337
2002-09-05,682.856
2002-09-06,730.502
2002-09-09,724.436
2002-09-10,715.2
2002-09-11,768.32
2002-09-12,734.772
2002-09-13,725.245
2002-09-16,695.06
2002-09-17,696.558
2002-09-18,661.259
2002-09-19,663.307
2002-09-20,673.006
2002-09-23,651.164
2002-09-24,637.933
2002-09-25,671.629
2002-09-26,736.92
2002-09-27,737.258
2002-09-30,692.773
2002-10-01,708.14
2002-10-02,750.256
2002-10-03,736.107
2002-10-04,690.65
2002-10-07,687.718
2002-10-08,681.383
2002-10-09,686.544
2002-10-10,707.544
2002-10-11,752.711
2002-10-14,745.397
2002-10-15,809.122
2002-10-16,768.47
2002-10-17,839.831
2002-10-18,840.703
2002-10-21,840.36
2002-10-22,857.044
2002-10-23,819.623
2002-10-24,856.907
2002-10-25,854.629
2002-10-28,890.532
2002-10-29,838.646
2002-10-30,857.194
2002-10-31,885.183
2002-11-01,857.961
2002-11-04,922.148
2002-11-05,935.449
2002-11-06,896.638
2002-11-07,878.283
2002-11-08,864.649
2002-11-11,834.451
2002-11-12,861.291
2002-11-13,884.193
2002-11-14,933.244
2002-11-15,935.335
2002-11-18,966.295
2002-11-19,932.58
2002-11-20,939.627
2002-11-21,993.948
2002-11-22,988.342
2002-11-25,1000.751
2002-11-26,969.174
2002-11-27,1001.689
2002-11-28,1029.87
2002-11-29,1005.814
2002-12-02,1034.794
2002-12-03,958.493
2002-12-04,979.851
2002-12-05,962.659
2002-12-06,969.731
2002-12-09,941.994
2002-12-10,906.945
2002-12-11,886.909
2002-12-12,902.063
2002-12-13,885.689
2002-12-16,914.164
2002-12-17,908.373
2002-12-18,855.527
2002-12-19,851.356
2002-12-20,845.643
2002-12-23,850.378
2002-12-24,853.897
2002-12-25,853.897
2002-12-26,856.051
2002-12-27,816.248
2002-12-30,825.383
2002-12-31,828.621
2003-01-01,828.621
2003-01-02,869.802
2003-01-03,877.335
2003-01-06,882.725
2003-01-07,861.578
2003-01-08,813.871
2003-01-09,860.752
2003-01-10,867.26
2003-01-13,854.18
2003-01-14,872.078
2003-01-15,851.535
2003-01-16,816.905
2003-01-17,791.502
2003-01-20,779.75
2003-01-21,784.23
2003-01-22,795.588
2003-01-23,761.961
2003-01-24,763.673
2003-01-27,736.942
2003-01-28,728.586
2003-01-29,753.223
2003-01-30,777.932
2003-01-31,731.833
2003-02-03,760.368
2003-02-04,738.6
2003-02-05,738.343
2003-02-06,718.752
2003-02-07,715.7
2003-02-10,708.431
2003-02-11,750.922
2003-02-12,727.916
2003-02-13,702.119
2003-02-14,727.945
2003-02-17,739.735
2003-02-18,755.332
2003-02-19,731.682
2003-02-20,720.112
2003-02-21,717.823
2003-02-24,723.453
2003-02-25,683.677
2003-02-26,677.19
2003-02-27,673.277
2003-02-28,696.565
2003-03-03,703.221
2003-03-04,689.491
2003-03-05,689.465
2003-03-06,692.389
2003-03-07,658.289
2003-03-10,659.214
2003-03-11,665.006
2003-03-12,698.005
2003-03-13,717.565
2003-03-14,753.971
2003-03-17,782.326
2003-03-18,784.732
2003-03-19,790.941
2003-03-20,781.374
2003-03-21,812.708
2003-03-24,772.834
2003-03-25,774.561
2003-03-26,772.361
2003-03-27,764.857
2003-03-28,779.016
2003-03-31,734.815
2003-04-01,757.882
2003-04-02,795.508
2003-04-03,802.378
2003-04-04,798.512
2003-04-07,833.841
2003-04-08,800.701
2003-04-09,810.464
2003-04-10,765.595
2003-04-11,769.364
2003-04-14,780.513
2003-04-15,800.026
2003-04-16,794.774
2003-04-17,856.036
2003-04-18,856.036
2003-04-21,852.346
2003-04-22,876.755
2003-04-23,896.972
2003-04-24,889.094
2003-04-25,854.476
2003-04-28,876.83
2003-04-29,885.698
2003-04-30,899.918
2003-05-01,908.184
2003-05-02,870.778
2003-05-05,908.274
2003-05-06,902.005
2003-05-07,918.622
2003-05-08,894.796
2003-05-09,887.909
2003-05-12,914.502
2003-05-13,928.666
2003-05-14,917.069
2003-05-15,939.19
2003-05-16,939.809
2003-05-19,905.699
2003-05-20,889.428
2003-05-21,875.441
2003-05-22,899.136
2003-05-23,885.199
2003-05-26,879.995
2003-05-27,886.644
2003-05-28,941.108
2003-05-29,948.082
2003-05-30,957.181
2003-06-02,970.428
2003-06-03,958.341
2003-06-04,957.177
2003-06-05,937.042
2003-06-06,967.403
2003-06-09,951.388
2003-06-10,929.002
2003-06-11,946.062
2003-06-12,925.956
2003-06-13,908.769
2003-06-16,927.111
2003-06-17,938.91
2003-06-18,930.962
2003-06-19,954.063
2003-06-20,948.96
2003-06-23,911.316
2003-06-24,895.052
2003-06-25,903.899
2003-06-26,898.097
2003-06-27,901.801
2003-06-30,875.917
2003-07-01,864.144
2003-07-02,879.047
2003-07-03,886.285
2003-07-04,861.483
2003-07-07,892.994
2003-07-08,908.562
2003-07-09,948.723
2003-07-10,958.804
2003-07-11,943.999
2003-07-14,955.752
2003-07-15,944.633
2003-07-16,939.466
2003-07-17,791.764
2003-07-18,778.31
2003-07-21,764.833
2003-07-22,778.469
2003-07-23,788.867
2003-07-24,811.887
2003-07-25,799.237
2003-07-28,827.376
2003-07-29,822.985
2003-07-30,818.962
2003-07-31,815.421
2003-08-01,788.339
2003-08-04,781.594
2003-08-05,783.422
2003-08-06,754.497
2003-08-07,754.193
2003-08-08,759.581
2003-08-11,766.308
2003-08-12,769.686
2003-08-13,778.94
2003-08-14,785.974
2003-08-15,778.831
2003-08-18,783.605
2003-08-19,815.671
2003-08-20,821.093
2003-08-21,824.553
2003-08-22,828.861
2003-08-25,816.411
2003-08-26,810.394
2003-08-27,850.153
2003-08-28,859.792
2003-08-29,871.307
2003-09-01,873.166
2003-09-02,857.059
2003-09-03,889.109
2003-09-04,884.669
2003-09-05,881.222
2003-09-08,890.907
2003-09-09,857.87
2003-09-10,820.509
2003-09-11,819.31
2003-09-12,824.728
2003-09-15,831.61
2003-09-16,827.378
2003-09-17,826.034
2003-09-18,839.853
2003-09-19,842.041
2003-09-22,831.54
2003-09-23,821.59
2003-09-24,818.723
2003-09-25,809.494
2003-09-26,817.142
2003-09-29,832.71
2003-09-30,818.897
2003-10-01,838.081
2003-10-02,860.505
2003-10-03,901.784
2003-10-06,889.027
2003-10-07,889.044
2003-10-08,893.321
2003-10-09,915.738
2003-10-10,910.448
2003-10-13,923.596
2003-10-14,907.251
2003-10-15,909.29
2003-10-16,881.399
2003-10-17,903.487
2003-10-20,897.13
2003-10-21,911.215
2003-10-22,903.494
2003-10-23,891.619
2003-10-24,899.965
2003-10-27,889.896
2003-10-28,898.899
2003-10-29,914.21
2003-10-30,906.359
2003-10-31,903.406
2003-11-03,916.535
2003-11-04,912.122
2003-11-05,898.063
2003-11-06,921.933
2003-11-07,937.445
2003-11-10,922.883
2003-11-11,910.881
2003-11-12,933.929
2003-11-13,952.041
