Date,FINLAND GROWTH Standard (Large+Mid Cap)
1987-12-31,100.0
1988-01-29,95.481
1988-02-29,93.903
1988-03-31,105.071
1988-04-29,103.666
1988-05-31,109.052
1988-06-30,104.386
1988-07-29,103.389
1988-08-31,95.565
1988-09-30,91.523
1988-10-31,101.545
1988-11-30,111.939
1988-12-30,106.192
1989-01-31,105.684
1989-02-28,110.425
1989-03-31,119.754
1989-04-28,124.353
1989-05-31,115.97
1989-06-30,115.382
1989-07-31,119.073
1989-08-31,107.455
1989-09-29,99.837
1989-10-31,95.791
1989-11-30,88.147
1989-12-29,92.097
1990-01-31,97.249
1990-02-28,93.282
1990-03-30,83.936
1990-04-30,76.494
1990-05-31,77.618
1990-06-29,74.06
1990-07-31,77.706
1990-08-31,71.956
1990-09-28,60.391
1990-10-31,60.228
1990-11-30,60.802
1990-12-31,60.066
1991-01-31,58.653
1991-02-28,63.117
1991-03-29,67.464
1991-04-30,65.354
1991-05-31,62.089
1991-06-28,53.05
1991-07-31,58.87
1991-08-30,56.42
1991-09-30,53.437
1991-10-31,50.135
1991-11-29,45.7
1991-12-31,44.992
1992-01-31,49.516
1992-02-28,49.772
1992-03-31,45.475
1992-04-30,45.715
1992-05-29,47.131
1992-06-30,46.356
1992-07-31,42.833
1992-08-31,38.238
1992-09-30,35.603
1992-10-30,37.501
1992-11-30,39.324
1992-12-31,37.084
1993-01-29,36.76
1993-02-26,37.156
1993-03-31,41.387
1993-04-30,49.982
1993-05-31,52.066
1993-06-30,48.495
1993-07-30,51.912
1993-08-31,55.709
1993-09-30,58.476
1993-10-29,67.512
1993-11-30,62.571
1993-12-31,65.511
1994-01-31,81.476
1994-02-28,79.915
1994-03-31,82.118
1994-04-29,89.939
1994-05-31,82.779
1994-06-30,84.656
1994-07-29,96.237
1994-08-31,108.223
1994-09-30,113.226
1994-10-31,137.548
1994-11-30,123.968
1994-12-30,131.152
1995-01-31,130.647
1995-02-28,126.621
1995-03-31,126.053
1995-04-28,142.279
1995-05-31,154.223
1995-06-30,191.653
1995-07-31,219.272
1995-08-31,223.948
1995-09-29,228.29
1995-10-31,187.314
1995-11-30,178.827
1995-12-29,128.456
1996-01-31,127.128
1996-02-29,112.466
1996-03-29,113.157
1996-04-30,115.088
1996-05-31,136.636
1996-06-28,121.265
1996-07-31,118.003
1996-08-30,137.473
1996-09-30,144.406
1996-10-31,149.288
1996-11-29,173.823
1996-12-31,181.385
1997-01-31,206.377
1997-02-28,192.312
1997-03-31,191.111
1997-04-30,197.612
1997-05-30,207.861
1997-06-30,234.291
1997-07-31,269.313
1997-08-29,242.076
1997-09-30,297.076
1997-10-31,273.0
1997-11-28,251.698
1997-12-31,223.071
1998-01-30,245.923
1998-02-27,313.863
1998-03-31,337.415
1998-04-30,421.251
1998-05-29,413.216
1998-06-30,463.358
1998-07-31,553.115
1998-08-31,451.0
1998-09-30,502.121
1998-10-30,575.916
1998-11-30,621.971
1998-12-31,775.815
1999-01-29,924.983
1999-02-26,867.538
1999-03-31,1021.509
1999-04-30,980.081
1999-05-31,914.315
1999-06-30,1114.33
1999-07-30,1102.598
1999-08-31,1061.848
1999-09-30,1140.254
1999-10-29,1456.563
1999-11-30,1803.571
1999-12-31,2299.062
2000-01-31,2311.837
2000-02-29,2540.838
2000-03-31,2697.012
2000-04-28,2934.038
2000-05-31,2641.373
2000-06-30,2615.931
2000-07-31,2262.696
2000-08-31,2242.597
2000-09-29,2071.149
2000-10-31,2101.415
2000-11-30,2143.799
2000-12-29,2281.595
2001-01-31,1799.172
2001-02-28,1156.113
2001-03-30,1241.044
2001-04-30,1705.305
2001-05-31,1494.142
2001-06-29,1168.2
2001-07-31,1133.822
2001-08-31,807.212
2001-09-28,842.481
2001-10-31,1078.778
2001-11-30,1204.511
2001-12-31,1329.111
2002-01-31,1186.121
2002-02-28,1095.466
2002-03-29,1101.72
2002-04-30,843.493
2002-05-31,745.001
2002-06-28,762.836
2002-07-31,648.947
2002-08-30,696.17
2002-09-30,692.773
2002-10-31,885.183
2002-11-29,1005.814
2002-12-31,828.621
2003-01-31,731.833
2003-02-28,696.565
2003-03-31,734.815
2003-04-30,899.918
2003-05-30,957.181
2003-06-30,875.917
2003-07-31,815.421
2003-08-29,871.307
2003-09-30,818.897
2003-10-31,903.406
2003-11-28,958.317
2003-12-31,923.827
2004-01-30,1088.541
2004-02-27,1161.163
2004-03-31,1110.352
2004-04-30,786.351
2004-05-31,778.587
2004-06-30,805.619
2004-07-30,661.26
2004-08-31,671.165
2004-09-30,775.549
2004-10-29,855.577
2004-11-30,918.697
2004-12-31,900.739
2005-01-31,875.695
2005-02-28,945.485
2005-03-31,901.625
2005-04-29,928.278
2005-05-31,987.205
2005-06-30,993.737
2005-07-29,978.118
2005-08-31,975.572
2005-09-30,1044.913
2005-10-31,1003.146
2005-11-30,1021.637
2005-12-30,1085.267
2006-01-31,1116.531
2006-02-28,1150.504
2006-03-31,1274.392
2006-04-28,1376.61
2006-05-31,1294.876
2006-06-30,1232.377
2006-07-31,1196.478
2006-08-31,1264.965
2006-09-29,1206.928
2006-10-31,1216.614
2006-11-30,1239.775
2006-12-29,1272.279
2007-01-31,1348.287
2007-02-28,1352.196
2007-03-30,1423.712
2007-04-30,1572.63
2007-05-31,1711.744
2007-06-29,1743.942
2007-07-31,1789.932
2007-08-31,1988.882
2007-09-28,2267.93
2007-10-31,2374.001
2007-11-30,2374.182
