Date,BELGIUM IMI IMI (Large+Mid+Small Cap)
1994-05-31,200.317
1994-06-30,197.314
1994-07-29,205.458
1994-08-31,207.915
1994-09-30,197.411
1994-10-31,203.273
1994-11-30,199.07
1994-12-30,201.207
1995-01-31,199.045
1995-02-28,204.188
1995-03-31,215.44
1995-04-28,229.292
1995-05-31,233.795
1995-06-30,237.073
1995-07-31,244.339
1995-08-31,230.022
1995-09-29,237.465
1995-10-31,235.499
1995-11-30,237.18
1995-12-29,251.446
1996-01-31,258.859
1996-02-29,256.545
1996-03-29,250.795
1996-04-30,255.061
1996-05-31,260.936
1996-06-28,265.479
1996-07-31,267.728
1996-08-30,270.435
1996-09-30,272.028
1996-10-31,277.533
1996-11-29,287.641
1996-12-31,288.938
1997-01-31,294.123
1997-02-28,298.221
1997-03-31,303.427
1997-04-30,305.708
1997-05-30,319.916
1997-06-30,331.172
1997-07-31,335.521
1997-08-29,311.44
1997-09-30,330.406
1997-10-31,328.286
1997-11-28,329.106
1997-12-31,337.958
1998-01-30,352.596
1998-02-27,375.861
1998-03-31,404.173
1998-04-30,432.459
1998-05-29,472.434
1998-06-30,498.928
1998-07-31,512.867
1998-08-31,461.545
1998-09-30,451.537
1998-10-30,481.306
1998-11-30,494.968
1998-12-31,541.655
1999-01-29,522.519
1999-02-26,506.138
1999-03-31,474.586
1999-04-30,461.537
1999-05-31,441.422
1999-06-30,437.159
1999-07-30,438.972
1999-08-31,459.048
1999-09-30,443.404
1999-10-29,435.99
1999-11-30,427.257
1999-12-31,450.492
2000-01-31,378.194
2000-02-29,379.809
2000-03-31,380.524
2000-04-28,365.175
2000-05-31,378.694
2000-06-30,401.483
2000-07-31,398.509
2000-08-31,394.302
2000-09-29,372.825
2000-10-31,361.431
2000-11-30,357.364
2000-12-29,388.767
2001-01-31,373.006
2001-02-28,376.146
2001-03-30,341.775
2001-04-30,345.039
2001-05-31,332.386
2001-06-29,337.883
2001-07-31,352.786
2001-08-31,361.031
2001-09-28,330.896
2001-10-31,323.502
2001-11-30,331.629
2001-12-31,346.534
2002-01-31,332.381
2002-02-28,331.317
2002-03-29,340.148
2002-04-30,357.553
2002-05-31,365.699
2002-06-28,359.423
2002-07-31,314.402
2002-08-30,314.896
2002-09-30,265.036
2002-10-31,286.429
2002-11-29,298.537
2002-12-31,307.476
2003-01-31,291.517
2003-02-28,261.584
2003-03-31,259.245
2003-04-30,304.197
2003-05-30,335.851
2003-06-30,334.925
2003-07-31,341.957
2003-08-29,336.853
2003-09-30,357.325
2003-10-31,374.231
2003-11-28,387.524
2003-12-31,420.861
2004-01-30,442.82
2004-02-27,461.529
2004-03-31,437.976
2004-04-30,438.691
2004-05-31,448.793
2004-06-30,461.489
2004-07-30,455.078
2004-08-31,475.674
2004-09-30,510.994
2004-10-29,542.337
2004-11-30,581.311
2004-12-31,613.274
2005-01-31,602.546
2005-02-28,635.934
2005-03-31,628.413
2005-04-29,608.912
2005-05-31,599.392
2005-06-30,602.155
2005-07-29,628.14
2005-08-31,637.068
2005-09-30,647.458
2005-10-31,630.386
2005-11-30,644.561
2005-12-30,672.045
2006-01-31,721.373
2006-02-28,730.219
2006-03-31,744.707
2006-04-28,787.178
2006-05-31,759.124
2006-06-30,751.484
2006-07-31,768.919
2006-08-31,802.465
2006-09-29,826.289
2006-10-31,849.641
2006-11-30,867.283
2006-12-29,909.791
2007-01-31,914.005
2007-02-28,910.608
2007-03-30,948.748
2007-04-30,996.1
2007-05-31,1000.0
2007-06-29,997.105
2007-07-31,959.281
2007-08-31,930.302
2007-09-28,952.539
2007-10-31,993.114
2007-11-30,918.17
2007-12-31,902.25
2008-01-31,812.809
2008-02-29,833.529
2008-03-31,872.821
2008-04-30,912.976
2008-05-30,871.733
2008-06-30,720.775
2008-07-31,663.808
2008-08-29,662.119
2008-09-30,503.607
2008-10-31,325.492
2008-11-28,290.906
2008-12-31,318.971
2009-01-30,311.976
2009-02-27,285.19
2009-03-31,302.362
2009-04-30,344.535
2009-05-29,392.202
2009-06-30,385.779
2009-07-31,418.6
2009-08-31,463.645
2009-09-30,497.109
2009-10-30,489.776
2009-11-30,506.978
2009-12-31,504.861
2010-01-29,494.269
2010-02-26,488.573
2010-03-31,506.51
2010-04-30,488.647
2010-05-31,447.149
2010-06-30,439.468
2010-07-30,487.375
2010-08-31,470.177
2010-09-30,531.086
2010-10-29,557.74
2010-11-30,491.632
2010-12-31,522.925
2011-01-31,532.648
2011-02-28,547.201
2011-03-31,555.64
2011-04-29,615.493
2011-05-31,588.409
2011-06-30,567.059
2011-07-29,541.391
2011-08-31,508.209
2011-09-30,453.627
2011-10-31,478.601
2011-11-30,462.596
2011-12-30,459.087
2012-01-31,478.64
2012-02-29,519.218
2012-03-30,542.672
2012-04-30,530.904
2012-05-31,484.526
2012-06-29,535.09
2012-07-31,539.186
2012-08-31,568.219
2012-09-28,589.106
2012-10-31,587.255
2012-11-30,611.803
2012-12-31,627.099
2013-01-31,648.935
2013-02-28,664.171
2013-03-29,674.443
2013-04-30,685.36
2013-05-31,675.907
2013-06-28,647.188
2013-07-31,696.03
2013-08-30,684.441
2013-09-30,731.348
2013-10-31,766.35
2013-11-29,760.925
2013-12-31,788.851
2014-01-31,745.497
2014-02-28,812.092
2014-03-31,813.741
2014-04-30,830.524
2014-05-30,838.168
2014-06-30,845.849
2014-07-31,815.373
2014-08-29,832.507
2014-09-30,811.108
2014-10-31,795.071
2014-11-28,838.213
2014-12-31,816.314
2015-01-30,845.414
2015-02-27,888.235
2015-03-31,857.4
2015-04-30,876.014
2015-05-29,879.984
2015-06-30,874.14
2015-07-31,897.124
2015-08-31,836.022
2015-09-30,809.643
2015-10-30,883.338
2015-11-30,913.093
2015-12-31,912.59
2016-01-29,881.989
2016-02-29,828.009
2016-03-31,892.465
2016-04-29,902.402
2016-05-31,923.074
2016-06-30,909.208
2016-07-29,925.955
