Date,BELGIUM IMI IMI (Large+Mid+Small Cap)
1994-05-31,181.302
1994-06-30,179.249
1994-07-29,186.663
1994-08-31,188.894
1994-09-30,179.352
1994-10-31,184.686
1994-11-30,180.874
1994-12-30,182.823
1995-01-31,180.879
1995-02-28,185.553
1995-03-31,195.779
1995-04-28,208.373
1995-05-31,213.509
1995-06-30,217.317
1995-07-31,223.981
1995-08-31,210.857
1995-09-29,217.68
1995-10-31,215.887
1995-11-30,217.43
1995-12-29,230.516
1996-01-31,237.333
1996-02-29,235.212
1996-03-29,229.94
1996-04-30,233.851
1996-05-31,240.394
1996-06-28,245.342
1996-07-31,247.432
1996-08-30,249.934
1996-09-30,251.406
1996-10-31,256.523
1996-11-29,265.871
1996-12-31,267.079
1997-01-31,271.89
1997-02-28,275.694
1997-03-31,280.586
1997-04-30,282.702
1997-05-30,297.113
1997-06-30,308.404
1997-07-31,312.464
1997-08-29,290.038
1997-09-30,307.799
1997-10-31,305.834
1997-11-28,306.599
1997-12-31,314.849
1998-01-30,328.508
1998-02-27,350.198
1998-03-31,376.599
1998-04-30,403.1
1998-05-29,441.578
1998-06-30,467.202
1998-07-31,480.256
1998-08-31,432.197
1998-09-30,422.825
1998-10-30,450.716
1998-11-30,463.51
1998-12-31,507.229
1999-01-29,489.502
1999-02-26,474.156
1999-03-31,444.597
1999-04-30,432.374
1999-05-31,414.465
1999-06-30,410.929
1999-07-30,412.633
1999-08-31,431.505
1999-09-30,416.799
1999-10-29,409.846
1999-11-30,401.636
1999-12-31,423.478
2000-01-31,355.531
2000-02-29,357.05
2000-03-31,357.721
2000-04-28,343.292
2000-05-31,357.06
2000-06-30,378.827
2000-07-31,376.021
2000-08-31,372.051
2000-09-29,351.786
2000-10-31,341.035
2000-11-30,337.197
2000-12-29,366.871
2001-01-31,352.041
2001-02-28,355.004
2001-03-30,322.565
2001-04-30,325.987
2001-05-31,314.996
2001-06-29,320.879
2001-07-31,335.041
2001-08-31,342.871
2001-09-28,314.253
2001-10-31,307.257
2001-11-30,314.976
2001-12-31,329.245
2002-01-31,315.838
2002-02-28,314.827
2002-03-29,323.232
2002-04-30,340.046
2002-05-31,349.212
2002-06-28,343.854
2002-07-31,300.784
2002-08-30,301.256
2002-09-30,253.555
2002-10-31,274.042
2002-11-29,285.626
2002-12-31,294.178
2003-01-31,278.955
2003-02-28,250.314
2003-03-31,248.076
2003-04-30,291.49
2003-05-30,324.013
2003-06-30,323.932
2003-07-31,330.732
2003-08-29,325.796
2003-09-30,345.613
2003-10-31,361.992
2003-11-28,374.865
2003-12-31,407.114
2004-01-30,428.44
2004-02-27,446.545
2004-03-31,423.775
2004-04-30,424.695
2004-05-31,436.878
2004-06-30,450.244
2004-07-30,443.988
2004-08-31,464.082
2004-09-30,498.591
2004-10-29,529.18
2004-11-30,567.238
2004-12-31,598.466
2005-01-31,588.083
2005-02-28,620.67
2005-03-31,613.348
2005-04-29,595.035
2005-05-31,589.656
2005-06-30,592.717
2005-07-29,618.294
2005-08-31,627.955
2005-09-30,638.196
2005-10-31,621.436
2005-11-30,635.439
2005-12-30,662.595
2006-01-31,711.322
2006-02-28,720.048
2006-03-31,734.355
2006-04-28,777.192
2006-05-31,751.688
2006-06-30,745.641
2006-07-31,762.94
2006-08-31,797.344
2006-09-29,821.016
2006-10-31,844.309
2006-11-30,861.841
2006-12-29,904.28
2007-01-31,908.577
2007-02-28,905.204
2007-03-30,943.141
2007-04-30,992.582
2007-05-31,1000.0
2007-06-29,997.409
2007-07-31,959.655
2007-08-31,932.22
2007-09-28,954.518
2007-10-31,995.303
2007-11-30,920.209
2007-12-31,904.481
2008-01-31,814.942
2008-02-29,835.716
2008-03-31,875.111
2008-04-30,917.338
2008-05-30,881.5
2008-06-30,729.047
2008-07-31,671.435
2008-08-29,669.751
2008-09-30,509.56
2008-10-31,329.369
2008-11-28,294.385
2008-12-31,323.0
2009-01-30,316.025
2009-02-27,288.906
2009-03-31,306.301
2009-04-30,350.339
2009-05-29,399.459
2009-06-30,393.341
2009-07-31,426.812
2009-08-31,472.828
2009-09-30,507.054
2009-10-30,499.574
2009-11-30,517.136
2009-12-31,515.094
2010-01-29,504.391
2010-02-26,498.579
2010-03-31,516.884
2010-04-30,499.774
2010-05-31,458.581
2010-06-30,450.743
2010-07-30,499.954
2010-08-31,482.376
2010-09-30,544.973
2010-10-29,572.428
2010-11-30,504.597
2010-12-31,536.911
2011-01-31,547.001
2011-02-28,561.946
2011-03-31,570.612
2011-04-29,633.93
2011-05-31,607.452
2011-06-30,585.722
2011-07-29,559.286
2011-08-31,525.073
2011-09-30,468.859
2011-10-31,494.73
2011-11-30,478.265
2011-12-30,474.767
2012-01-31,495.091
2012-02-29,537.064
2012-03-30,561.323
2012-04-30,551.826
2012-05-31,504.538
2012-06-29,557.407
2012-07-31,561.674
2012-08-31,592.212
2012-09-28,614.167
2012-10-31,612.254
2012-11-30,637.923
2012-12-31,654.055
2013-01-31,676.936
2013-02-28,692.829
2013-03-29,703.544
2013-04-30,718.139
2013-05-31,710.283
2013-06-28,680.243
2013-07-31,731.58
2013-08-30,719.399
2013-09-30,768.931
2013-10-31,805.754
2013-11-29,800.892
2013-12-31,830.501
2014-01-31,784.975
2014-02-28,855.096
2014-03-31,856.833
2014-04-30,875.427
2014-05-30,886.859
2014-06-30,895.16
2014-07-31,862.907
2014-08-29,881.041
2014-09-30,858.585
2014-10-31,841.639
2014-11-28,888.541
2014-12-31,865.61
2015-01-30,896.575
2015-02-27,941.987
2015-03-31,909.286
2015-04-30,929.438
2015-05-29,937.771
2015-06-30,932.017
2015-07-31,956.522
2015-08-31,891.375
2015-09-30,863.397
2015-10-30,942.119
2015-11-30,975.597
2015-12-31,975.289
2016-01-29,942.728
2016-02-29,885.03
2016-03-31,953.925
2016-04-29,967.46
2016-05-31,991.594
2016-06-30,976.744
2016-07-29,994.801
2016-08-31,986.985
2016-09-30,1028.093
2016-10-31,950.65
2016-11-30,902.975
2016-12-30,926.876
2017-01-31,930.333
2017-02-28,947.829
2017-03-31,983.393
2017-04-28,1015.252
2017-05-31,1068.305
2017-06-30,1036.866
2017-07-31,1111.981
2017-08-31,1102.325
2017-09-29,1129.232
2017-10-31,1142.343
2017-11-30,1124.336
2017-12-29,1121.756
2018-01-31,1197.155
2018-02-28,1148.791
2018-03-30,1129.317
2018-04-30,1101.279
2018-05-31,1054.294
2018-06-29,1071.724
2018-07-31,1101.1
2018-08-31,1055.802
2018-09-28,1027.258
2018-10-31,918.398
2018-11-30,935.647
2018-12-31,859.982
2019-01-31,940.349
2019-02-28,959.803
2019-03-29,988.315
2019-04-30,1026.235
2019-05-31,957.612
2019-06-28,1016.012
2019-07-31,1073.851
2019-08-30,1032.643
2019-09-30,1053.267
2019-10-31,1034.495
2019-11-29,1053.331
2019-12-31,1086.562
2020-01-31,1054.435
2020-02-28,902.264
2020-03-31,775.159
2020-04-30,825.392
2020-05-29,855.233
2020-06-30,889.055
2020-07-31,930.927
2020-08-31,954.14
2020-09-30,917.259
2020-10-30,854.538
2020-11-30,1043.21
2020-12-31,1070.145
2021-01-29,1052.9
2021-02-26,1049.579
2021-03-31,1052.472
2021-04-30,1120.811
2021-05-31,1174.234
2021-06-30,1152.018
2021-07-30,1145.874
2021-08-31,1160.367
2021-09-30,1100.92
2021-10-29,1141.251
2021-11-30,1070.911
2021-12-31,1138.836
2022-01-31,1082.518
2022-02-28,1070.246
2022-03-31,1085.056
2022-04-29,1026.404
2022-05-31,1003.652
2022-06-30,934.116
2022-07-29,940.44
2022-08-31,875.647
2022-09-30,806.644
2022-10-31,864.008
2022-11-30,940.545
2022-12-30,973.505
2023-01-31,1017.241
2023-02-28,1015.611
2023-03-31,1034.518
2023-04-28,1050.04
2023-05-31,950.513
2023-06-30,982.462
2023-07-31,1051.49
2023-08-31,1015.964
2023-09-29,970.126
2023-10-31,934.407
2023-11-30,1010.504
2023-12-29,1051.535
2024-01-31,1023.234
2024-02-29,1014.029
2024-03-29,1052.656
2024-04-30,1048.876
2024-05-31,1093.175
2024-06-28,1067.341
2024-07-31,1135.19
2024-08-30,1172.555
2024-09-30,1220.999
2024-10-31,1164.003
2024-11-29,1129.026
2024-12-31,1105.509
2025-01-31,1128.096
2025-02-28,1171.197
2025-03-31,1180.984
2025-04-30,1269.83
2025-05-30,1313.774
2025-06-30,1330.698
2025-07-31,1332.809
2025-08-29,1408.854
2025-09-30,1423.517
