Date,BELGIUM IMI IMI (Large+Mid+Small Cap)
2001-01-01,388.767
2001-01-02,394.267
2001-01-03,383.3
2001-01-04,381.024
2001-01-05,381.842
2001-01-08,379.67
2001-01-09,376.56
2001-01-10,375.531
2001-01-11,380.956
2001-01-12,380.842
2001-01-15,376.789
2001-01-16,376.101
2001-01-17,372.936
2001-01-18,376.387
2001-01-19,372.616
2001-01-22,373.775
2001-01-23,375.503
2001-01-24,368.721
2001-01-25,367.172
2001-01-26,369.064
2001-01-29,367.574
2001-01-30,370.861
2001-01-31,373.006
2001-02-01,379.239
2001-02-02,378.086
2001-02-05,381.937
2001-02-06,379.483
2001-02-07,379.483
2001-02-08,372.768
2001-02-09,374.892
2001-02-12,378.183
2001-02-13,377.794
2001-02-14,375.687
2001-02-15,370.22
2001-02-16,373.608
2001-02-19,375.216
2001-02-20,371.058
2001-02-21,371.46
2001-02-22,367.03
2001-02-23,366.379
2001-02-26,368.837
2001-02-27,374.089
2001-02-28,376.146
2001-03-01,375.925
2001-03-02,378.369
2001-03-05,377.588
2001-03-06,380.608
2001-03-07,378.565
2001-03-08,378.675
2001-03-09,378.432
2001-03-12,373.911
2001-03-13,362.835
2001-03-14,355.261
2001-03-15,350.438
2001-03-16,340.068
2001-03-19,335.885
2001-03-20,340.355
2001-03-21,331.609
2001-03-22,317.361
2001-03-23,325.828
2001-03-26,337.909
2001-03-27,342.445
2001-03-28,336.59
2001-03-29,333.653
2001-03-30,341.775
2001-04-02,344.838
2001-04-03,343.66
2001-04-04,347.412
2001-04-05,349.027
2001-04-06,349.834
2001-04-09,354.665
2001-04-10,351.468
2001-04-11,347.126
2001-04-12,346.485
2001-04-13,346.485
2001-04-16,342.937
2001-04-17,342.433
2001-04-18,341.128
2001-04-19,348.215
2001-04-20,348.195
2001-04-23,341.512
2001-04-24,342.507
2001-04-25,344.469
2001-04-26,348.62
2001-04-27,345.499
2001-04-30,345.039
2001-05-01,346.844
2001-05-02,345.559
2001-05-03,343.634
2001-05-04,339.95
2001-05-07,339.687
2001-05-08,337.508
2001-05-09,338.293
2001-05-10,341.536
2001-05-11,340.047
2001-05-14,337.367
2001-05-15,338.663
2001-05-16,339.164
2001-05-17,338.579
2001-05-18,338.077
2001-05-21,335.032
2001-05-22,333.907
2001-05-23,334.932
2001-05-24,336.197
2001-05-25,331.354
2001-05-28,333.498
2001-05-29,330.39
2001-05-30,333.445
2001-05-31,332.386
2001-06-01,327.989
2001-06-04,328.421
2001-06-05,334.919
2001-06-06,338.728
2001-06-07,338.799
2001-06-08,338.434
2001-06-11,333.92
2001-06-12,335.224
2001-06-13,337.882
2001-06-14,338.779
2001-06-15,337.408
2001-06-18,337.96
2001-06-19,336.493
2001-06-20,336.954
2001-06-21,337.932
2001-06-22,338.296
2001-06-25,339.738
2001-06-26,339.106
2001-06-27,339.627
2001-06-28,336.498
2001-06-29,337.883
2001-07-02,339.257
2001-07-03,339.2
2001-07-04,338.609
2001-07-05,337.167
2001-07-06,338.412
2001-07-09,340.546
2001-07-10,341.715
2001-07-11,342.939
2001-07-12,342.14
2001-07-13,344.599
2001-07-16,345.742
2001-07-17,345.494
2001-07-18,353.507
2001-07-19,354.938
2001-07-20,355.412
2001-07-23,357.823
2001-07-24,358.988
2001-07-25,357.888
2001-07-26,354.829
2001-07-27,354.867
2001-07-30,352.301
2001-07-31,352.786
2001-08-01,356.094
2001-08-02,356.373
2001-08-03,356.923
2001-08-06,356.659
2001-08-07,356.837
2001-08-08,352.964
2001-08-09,355.235
2001-08-10,358.317
2001-08-13,358.915
2001-08-14,359.6
2001-08-15,364.104
2001-08-16,362.776
2001-08-17,360.749
2001-08-20,358.326
2001-08-21,358.571
2001-08-22,361.47
2001-08-23,361.609
2001-08-24,363.698
2001-08-27,362.438
2001-08-28,361.581
2001-08-29,362.118
2001-08-30,360.916
2001-08-31,361.031
2001-09-03,359.559
2001-09-04,353.415
2001-09-05,353.178
2001-09-06,350.378
2001-09-07,346.114
2001-09-10,338.26
2001-09-11,327.679
2001-09-12,326.866
2001-09-13,328.419
2001-09-14,322.86
2001-09-17,320.703
2001-09-18,321.162
2001-09-19,323.475
2001-09-20,313.269
2001-09-21,297.69
2001-09-24,309.134
2001-09-25,316.347
2001-09-26,319.462
2001-09-27,325.053
2001-09-28,330.896
2001-10-01,331.126
2001-10-02,334.356
2001-10-03,332.938
2001-10-04,336.39
2001-10-05,337.383
2001-10-08,336.037
2001-10-09,336.184
2001-10-10,336.497
2001-10-11,335.792
2001-10-12,333.576
2001-10-15,327.276
2001-10-16,326.775
2001-10-17,327.038
2001-10-18,325.238
2001-10-19,320.257
2001-10-22,321.338
2001-10-23,324.83
2001-10-24,324.579
2001-10-25,322.926
2001-10-26,325.017
2001-10-29,326.753
2001-10-30,324.148
2001-10-31,323.502
2001-11-01,325.125
2001-11-02,327.877
2001-11-05,328.772
2001-11-06,329.553
2001-11-07,333.699
2001-11-08,332.873
2001-11-09,327.612
2001-11-12,323.636
2001-11-13,327.21
2001-11-14,331.29
2001-11-15,330.348
2001-11-16,332.474
2001-11-19,333.095
2001-11-20,331.199
2001-11-21,328.873
2001-11-22,330.114
2001-11-23,328.374
2001-11-26,326.57
2001-11-27,324.004
2001-11-28,323.264
2001-11-29,325.464
2001-11-30,331.629
2001-12-03,326.328
2001-12-04,326.463
2001-12-05,327.727
2001-12-06,331.695
2001-12-07,331.182
2001-12-10,328.888
2001-12-11,327.355
2001-12-12,329.43
2001-12-13,328.482
2001-12-14,329.278
2001-12-17,333.261
2001-12-18,331.914
2001-12-19,333.591
2001-12-20,331.308
2001-12-21,331.266
2001-12-24,331.635
2001-12-25,331.635
2001-12-26,331.918
2001-12-27,342.589
2001-12-28,343.201
2001-12-31,346.534
2002-01-01,346.534
2002-01-02,347.413
2002-01-03,346.66
2002-01-04,341.511
2002-01-07,338.701
2002-01-08,336.991
2002-01-09,336.387
2002-01-10,336.725
2002-01-11,334.985
2002-01-14,331.915
2002-01-15,334.562
2002-01-16,330.02
2002-01-17,335.585
2002-01-18,338.559
2002-01-21,337.861
2002-01-22,337.828
2002-01-23,341.884
2002-01-24,344.194
2002-01-25,338.528
2002-01-28,339.608
2002-01-29,338.206
2002-01-30,330.536
2002-01-31,332.381
2002-02-01,333.423
2002-02-04,336.455
2002-02-05,332.314
2002-02-06,331.316
2002-02-07,332.828
2002-02-08,334.221
2002-02-11,340.041
2002-02-12,339.76
2002-02-13,339.439
2002-02-14,341.528
2002-02-15,340.127
2002-02-18,336.206
2002-02-19,330.14
2002-02-20,327.464
2002-02-21,327.07
2002-02-22,327.816
2002-02-25,327.641
2002-02-26,328.351
2002-02-27,328.711
2002-02-28,331.317
2002-03-01,332.447
2002-03-04,337.181
2002-03-05,335.922
2002-03-06,336.072
2002-03-07,336.737
2002-03-08,333.592
2002-03-11,335.986
2002-03-12,333.389
2002-03-13,333.548
2002-03-14,334.556
2002-03-15,335.05
2002-03-18,336.533
2002-03-19,340.361
2002-03-20,340.039
2002-03-21,340.309
2002-03-22,341.605
2002-03-25,341.408
2002-03-26,342.102
2002-03-27,339.483
2002-03-28,340.148
2002-03-29,340.148
2002-04-01,342.936
2002-04-02,342.51
2002-04-03,344.892
2002-04-04,348.008
2002-04-05,343.759
2002-04-08,340.026
2002-04-09,339.46
2002-04-10,343.225
2002-04-11,345.033
2002-04-12,346.646
2002-04-15,348.616
2002-04-16,353.413
2002-04-17,356.189
2002-04-18,356.642
2002-04-19,358.742
2002-04-22,359.272
2002-04-23,362.475
2002-04-24,362.889
2002-04-25,360.721
2002-04-26,356.655
2002-04-29,353.432
2002-04-30,357.553
2002-05-01,359.576
2002-05-02,355.997
2002-05-03,361.822
2002-05-06,364.455
2002-05-07,358.355
2002-05-08,363.496
2002-05-09,364.29
2002-05-10,365.542
2002-05-13,367.385
2002-05-14,366.198
2002-05-15,366.481
2002-05-16,365.723
2002-05-17,367.793
2002-05-20,366.058
2002-05-21,364.939
2002-05-22,365.528
2002-05-23,365.708
2002-05-24,358.29
2002-05-27,357.104
2002-05-28,360.389
2002-05-29,366.413
2002-05-30,366.18
2002-05-31,365.699
2002-06-03,364.46
2002-06-04,358.838
2002-06-05,354.881
2002-06-06,360.369
2002-06-07,360.248
2002-06-10,360.359
2002-06-11,360.323
2002-06-12,351.408
2002-06-13,341.96
2002-06-14,337.058
2002-06-17,348.629
2002-06-18,347.697
2002-06-19,345.398
2002-06-20,340.903
2002-06-21,344.277
2002-06-24,338.028
2002-06-25,343.01
2002-06-26,346.671
2002-06-27,347.243
2002-06-28,359.423
2002-07-01,359.072
2002-07-02,349.054
2002-07-03,337.891
2002-07-04,345.184
2002-07-05,355.602
2002-07-08,360.602
2002-07-09,359.641
2002-07-10,344.558
2002-07-11,330.087
2002-07-12,331.664
2002-07-15,326.308
2002-07-16,323.19
