Date,KOKUSAI INDEX (WORLD ex JP) GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,115.791
1975-02-28,127.567
1975-03-31,129.625
1975-04-30,136.116
1975-05-30,139.852
1975-06-30,139.773
1975-07-31,129.796
1975-08-29,128.147
1975-09-30,122.384
1975-10-31,131.47
1975-11-28,136.399
1975-12-31,134.652
1976-01-30,147.402
1976-02-27,144.86
1976-03-31,146.363
1976-04-30,143.379
1976-05-31,140.106
1976-06-30,143.952
1976-07-30,142.031
1976-08-31,140.931
1976-09-30,140.321
1976-10-29,135.14
1976-11-30,134.003
1976-12-31,141.771
1977-01-31,134.328
1977-02-28,132.997
1977-03-31,131.488
1977-04-29,130.819
1977-05-31,127.706
1977-06-30,133.845
1977-07-29,132.06
1977-08-31,133.847
1977-09-30,135.052
1977-10-31,132.036
1977-11-30,134.237
1977-12-30,136.616
1978-01-31,130.545
1978-02-28,127.205
1978-03-31,129.861
1978-04-28,139.494
1978-05-31,141.831
1978-06-30,141.609
1978-07-31,152.318
1978-08-31,157.058
1978-09-29,155.749
1978-10-31,149.711
1978-11-30,146.008
1978-12-29,151.661
1979-01-31,155.776
1979-02-28,153.052
1979-03-30,162.537
1979-04-30,163.039
1979-05-31,159.09
1979-06-29,163.695
1979-07-31,165.014
1979-08-31,173.648
1979-09-28,178.011
1979-10-31,166.259
1979-11-30,174.962
1979-12-31,178.992
1980-01-31,190.931
1980-02-29,193.19
1980-03-31,167.242
1980-04-30,176.064
1980-05-30,184.585
1980-06-30,195.598
1980-07-31,206.303
1980-08-29,209.082
1980-09-30,216.522
1980-10-31,225.886
1980-11-28,241.397
1980-12-31,229.702
1981-01-30,218.839
1981-02-27,220.795
1981-03-31,224.216
1981-04-30,215.92
1981-05-29,211.068
1981-06-30,208.237
1981-07-31,208.639
1981-08-31,201.564
1981-09-30,185.13
1981-10-30,194.936
1981-11-30,208.844
1981-12-31,202.485
1982-01-29,199.588
1982-02-26,186.733
1982-03-31,183.841
1982-04-30,193.713
1982-05-31,189.328
1982-06-30,181.468
1982-07-30,181.686
1982-08-31,197.189
1982-09-30,202.094
1982-10-29,217.685
1982-11-30,226.383
1982-12-31,233.225
1983-01-31,237.563
1983-02-28,243.928
1983-03-31,251.251
1983-04-29,269.769
1983-05-31,265.078
1983-06-30,276.175
1983-07-29,266.916
1983-08-31,266.515
1983-09-30,270.54
1983-10-31,266.874
1983-11-30,273.426
1983-12-30,272.632
1984-01-31,266.781
1984-02-29,260.482
1984-03-30,264.849
1984-04-30,264.479
1984-05-31,249.455
1984-06-29,254.961
1984-07-31,250.66
1984-08-31,276.161
1984-09-28,271.672
1984-10-31,274.781
1984-11-30,270.68
1984-12-31,276.456
1985-01-31,298.037
1985-02-28,295.589
1985-03-29,303.843
1985-04-30,302.689
1985-05-31,320.018
1985-06-28,322.487
1985-07-31,334.215
1985-08-30,335.257
1985-09-30,329.572
1985-10-31,348.757
1985-11-29,376.927
1985-12-31,395.462
1986-01-31,398.581
1986-02-28,430.442
1986-03-31,459.818
1986-04-30,478.221
1986-05-30,478.7
1986-06-30,488.237
1986-07-31,469.96
1986-08-29,502.056
1986-09-30,459.59
1986-10-31,479.517
1986-11-28,496.211
1986-12-31,496.045
1987-01-30,544.955
1987-02-27,576.823
1987-03-31,593.168
1987-04-30,596.362
1987-05-29,596.755
1987-06-30,621.631
1987-07-31,651.79
1987-08-31,675.172
1987-09-30,667.941
1987-10-30,516.63
1987-11-30,480.375
1987-12-31,513.085
1988-01-29,506.519
1988-02-29,532.97
1988-03-31,529.94
1988-04-29,533.491
1988-05-31,530.486
1988-06-30,542.691
1988-07-29,540.928
1988-08-31,520.269
1988-09-30,544.698
1988-10-31,572.874
1988-11-30,569.151
1988-12-30,576.916
1989-01-31,611.643
1989-02-28,597.387
1989-03-31,607.413
1989-04-28,636.763
1989-05-31,638.445
1989-06-30,646.657
1989-07-31,719.397
1989-08-31,722.634
1989-09-29,728.167
1989-10-31,704.401
1989-11-30,729.195
1989-12-29,764.185
1990-01-31,730.138
1990-02-28,722.954
1990-03-30,742.544
1990-04-30,727.204
1990-05-31,800.281
1990-06-29,820.624
1990-07-31,836.308
1990-08-31,759.119
