Date,KOKUSAI INDEX (WORLD ex JP) GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,115.717
1975-02-28,127.405
1975-03-31,129.374
1975-04-30,135.768
1975-05-30,139.407
1975-06-30,139.236
1975-07-31,129.204
1975-08-29,127.473
1975-09-30,121.651
1975-10-31,130.598
1975-11-28,135.408
1975-12-31,133.583
1976-01-30,146.149
1976-02-27,143.534
1976-03-31,144.932
1976-04-30,141.883
1976-05-31,138.547
1976-06-30,142.258
1976-07-30,140.26
1976-08-31,139.072
1976-09-30,138.369
1976-10-29,133.155
1976-11-30,131.932
1976-12-31,139.482
1977-01-31,132.049
1977-02-28,130.631
1977-03-31,129.038
1977-04-29,128.271
1977-05-31,125.103
1977-06-30,131.009
1977-07-29,129.146
1977-08-31,130.781
1977-09-30,131.835
1977-10-31,128.76
1977-11-30,130.776
1977-12-30,132.957
1978-01-31,126.901
1978-02-28,123.506
1978-03-31,125.955
1978-04-28,135.175
1978-05-31,137.306
1978-06-30,136.952
1978-07-31,147.176
1978-08-31,151.619
1978-09-29,150.213
1978-10-31,144.235
1978-11-30,140.527
1978-12-29,145.822
1979-01-31,149.634
1979-02-28,146.863
1979-03-30,155.823
1979-04-30,156.153
1979-05-31,152.212
1979-06-29,156.464
1979-07-31,157.561
1979-08-31,165.648
1979-09-28,169.646
1979-10-31,158.272
1979-11-30,166.392
1979-12-31,170.055
1980-01-31,181.233
1980-02-29,183.201
1980-03-31,158.401
1980-04-30,166.581
1980-05-30,174.456
1980-06-30,184.681
1980-07-31,194.609
1980-08-29,197.038
1980-09-30,203.863
1980-10-31,212.493
1980-11-28,226.905
1980-12-31,215.706
1981-01-30,205.3
1981-02-27,206.946
1981-03-31,209.953
1981-04-30,201.988
1981-05-29,197.253
1981-06-30,194.421
1981-07-31,194.615
1981-08-31,187.824
1981-09-30,172.313
1981-10-30,181.265
1981-11-30,194.021
1981-12-31,187.924
1982-01-29,185.054
1982-02-26,172.943
1982-03-31,170.083
1982-04-30,179.043
1982-05-31,174.804
1982-06-30,167.363
1982-07-30,167.384
1982-08-31,181.502
1982-09-30,185.847
1982-10-29,200.022
1982-11-30,207.844
1982-12-31,213.951
1983-01-31,217.756
1983-02-28,223.414
1983-03-31,229.957
1983-04-29,246.745
1983-05-31,242.278
1983-06-30,252.255
1983-07-29,243.619
1983-08-31,243.081
1983-09-30,246.584
1983-10-31,243.066
1983-11-30,248.864
1983-12-30,247.968
1984-01-31,242.469
1984-02-29,236.556
1984-03-30,240.359
1984-04-30,239.859
1984-05-31,226.057
1984-06-29,230.884
1984-07-31,226.817
1984-08-31,249.735
1984-09-28,245.511
1984-10-31,248.158
1984-11-30,244.286
1984-12-31,249.338
1985-01-31,268.651
1985-02-28,266.281
1985-03-29,273.55
1985-04-30,272.34
1985-05-31,287.768
1985-06-28,289.819
1985-07-31,300.187
1985-08-30,300.95
1985-09-30,295.665
1985-10-31,312.704
1985-11-29,337.793
1985-12-31,354.23
1986-01-31,356.837
