Date,KOKUSAI INDEX (WORLD ex JP) GROWTH Standard (Large+Mid Cap)
2002-01-03,2570.853
2002-01-04,2567.655
2002-01-07,2543.754
2002-01-08,2534.62
2002-01-09,2527.508
2002-01-10,2530.523
2002-01-11,2524.923
2002-01-14,2505.974
2002-01-15,2520.2
2002-01-16,2487.258
2002-01-17,2508.703
2002-01-18,2490.221
2002-01-21,2486.281
2002-01-22,2485.009
2002-01-23,2497.036
2002-01-24,2501.717
2002-01-25,2484.574
2002-01-28,2484.388
2002-01-29,2438.346
2002-01-30,2446.658
2002-01-31,2481.818
2002-02-01,2477.424
2002-02-04,2442.423
2002-02-05,2436.187
2002-02-06,2426.165
2002-02-07,2423.359
2002-02-08,2441.841
2002-02-11,2470.477
2002-02-12,2470.875
2002-02-13,2491.758
2002-02-14,2495.734
2002-02-15,2476.005
2002-02-18,2468.66
2002-02-19,2433.63
2002-02-20,2453.296
2002-02-21,2435.653
2002-02-22,2447.457
2002-02-25,2473.609
2002-02-26,2474.442
2002-02-27,2483.982
2002-02-28,2481.243
2002-03-01,2520.778
2002-03-04,2552.512
2002-03-05,2529.472
2002-03-06,2553.302
2002-03-07,2553.664
2002-03-08,2560.152
2002-03-11,2559.343
2002-03-12,2551.173
2002-03-13,2544.154
2002-03-14,2548.094
2002-03-15,2570.623
2002-03-18,2569.987
2002-03-19,2580.961
2002-03-20,2547.08
2002-03-21,2542.056
2002-03-22,2543.14
2002-03-25,2512.161
2002-03-26,2520.176
2002-03-27,2522.421
2002-03-28,2532.842
2002-03-29,2532.842
2002-04-01,2536.933
2002-04-02,2516.419
2002-04-03,2499.637
2002-04-04,2490.029
2002-04-05,2481.536
2002-04-08,2467.128
2002-04-09,2461.193
2002-04-10,2491.081
2002-04-11,2440.696
2002-04-12,2457.267
2002-04-15,2446.636
2002-04-16,2488.017
2002-04-17,2482.184
2002-04-18,2481.031
2002-04-19,2480.743
2002-04-22,2452.488
2002-04-23,2438.837
2002-04-24,2430.036
2002-04-25,2429.263
2002-04-26,2404.947
2002-04-29,2388.736
2002-04-30,2403.25
2002-05-01,2424.457
2002-05-02,2415.68
2002-05-03,2400.036
2002-05-06,2373.652
2002-05-07,2350.782
2002-05-08,2417.425
2002-05-09,2387.986
2002-05-10,2361.077
2002-05-13,2391.772
2002-05-14,2420.06
2002-05-15,2418.347
2002-05-16,2431.075
2002-05-17,2455.076
2002-05-20,2429.165
2002-05-21,2405.493
2002-05-22,2410.494
2002-05-23,2420.767
2002-05-24,2398.576
2002-05-27,2397.856
2002-05-28,2385.064
2002-05-29,2376.626
2002-05-30,2370.699
2002-05-31,2374.145
2002-06-03,2332.774
2002-06-04,2325.925
2002-06-05,2336.085
2002-06-06,2307.735
2002-06-07,2290.928
2002-06-10,2301.057
2002-06-11,2277.552
2002-06-12,2276.451
2002-06-13,2254.259
2002-06-14,2236.606
2002-06-17,2293.356
2002-06-18,2292.702
2002-06-19,2262.891
2002-06-20,2235.341
2002-06-21,2201.772
2002-06-24,2200.55
2002-06-25,2184.653
2002-06-26,2197.644
2002-06-27,2229.028
2002-06-28,2235.325
2002-07-01,2204.22
2002-07-02,2155.056
2002-07-03,2146.031
2002-07-04,2160.945
2002-07-05,2235.076
2002-07-08,2221.79
2002-07-09,2178.189
2002-07-10,2101.399
2002-07-11,2086.865
2002-07-12,2085.06
