Date,KOKUSAI INDEX (WORLD ex JP) GROWTH Standard (Large+Mid Cap)
2001-01-01,2606.27
2001-01-02,2531.645
2001-01-03,2628.214
2001-01-04,2629.573
2001-01-05,2575.829
2001-01-08,2555.753
2001-01-09,2553.119
2001-01-10,2566.382
2001-01-11,2623.338
2001-01-12,2625.939
2001-01-15,2622.452
2001-01-16,2610.178
2001-01-17,2636.071
2001-01-18,2689.328
2001-01-19,2685.344
2001-01-22,2679.602
2001-01-23,2700.751
2001-01-24,2696.004
2001-01-25,2670.704
2001-01-26,2672.597
2001-01-29,2677.711
2001-01-30,2688.265
2001-01-31,2689.389
2001-02-01,2700.924
2001-02-02,2642.07
2001-02-05,2641.322
2001-02-06,2641.81
2001-02-07,2603.371
2001-02-08,2563.8
2001-02-09,2507.734
2001-02-12,2547.187
2001-02-13,2512.537
2001-02-14,2501.022
2001-02-15,2522.371
2001-02-16,2458.72
2001-02-19,2459.728
2001-02-20,2406.3
2001-02-21,2375.348
2001-02-22,2356.258
2001-02-23,2332.736
2001-02-26,2369.312
2001-02-27,2357.608
2001-02-28,2333.412
2001-03-01,2341.36
2001-03-02,2319.394
2001-03-05,2333.754
2001-03-06,2358.781
2001-03-07,2357.777
2001-03-08,2346.608
2001-03-09,2291.011
2001-03-12,2192.406
2001-03-13,2205.171
2001-03-14,2158.725
2001-03-15,2167.473
2001-03-16,2108.986
2001-03-19,2127.309
2001-03-20,2109.615
2001-03-21,2071.282
2001-03-22,2039.72
2001-03-23,2094.659
2001-03-26,2128.867
2001-03-27,2180.857
2001-03-28,2124.261
2001-03-29,2108.242
2001-03-30,2124.659
2001-04-02,2100.033
2001-04-03,2028.281
2001-04-04,2041.211
2001-04-05,2120.932
2001-04-06,2098.204
2001-04-09,2114.653
2001-04-10,2158.229
2001-04-11,2155.594
2001-04-12,2187.12
2001-04-13,2187.12
2001-04-16,2168.27
2001-04-17,2180.86
2001-04-18,2259.881
2001-04-19,2303.749
2001-04-20,2298.518
2001-04-23,2252.489
2001-04-24,2224.039
2001-04-25,2253.574
2001-04-26,2266.978
2001-04-27,2296.409
2001-04-30,2305.382
2001-05-01,2331.547
2001-05-02,2340.216
2001-05-03,2297.927
2001-05-04,2327.633
2001-05-07,2326.746
2001-05-08,2326.883
2001-05-09,2304.581
2001-05-10,2315.631
2001-05-11,2292.132
2001-05-14,2273.076
2001-05-15,2285.339
2001-05-16,2336.755
2001-05-17,2349.159
2001-05-18,2348.951
2001-05-21,2380.566
2001-05-22,2376.093
2001-05-23,2338.076
2001-05-24,2344.53
2001-05-25,2315.84
2001-05-28,2319.623
2001-05-29,2294.524
2001-05-30,2255.453
2001-05-31,2251.511
2001-06-01,2262.534
2001-06-04,2276.418
2001-06-05,2310.534
2001-06-06,2292.922
2001-06-07,2310.78
2001-06-08,2290.066
2001-06-11,2257.428
2001-06-12,2244.723
2001-06-13,2231.085
2001-06-14,2205.081
2001-06-15,2185.279
2001-06-18,2173.852
2001-06-19,2176.892
2001-06-20,2189.989
2001-06-21,2204.176
2001-06-22,2190.638
2001-06-25,2187.404
2001-06-26,2170.387
2001-06-27,2161.393
2001-06-28,2189.148
2001-06-29,2182.493
2001-07-02,2212.861
2001-07-03,2198.979
2001-07-04,2189.848
2001-07-05,2145.835
2001-07-06,2096.011
2001-07-09,2114.344
2001-07-10,2091.154
2001-07-11,2087.256
2001-07-12,2129.917
2001-07-13,2143.307
2001-07-16,2121.862
2001-07-17,2130.104
2001-07-18,2132.555
2001-07-19,2159.587
2001-07-20,2148.665
2001-07-23,2118.431
2001-07-24,2096.195
2001-07-25,2110.413
2001-07-26,2121.735
2001-07-27,2136.412
2001-07-30,2145.415
2001-07-31,2168.563
2001-08-01,2182.428
2001-08-02,2193.576
2001-08-03,2180.311
2001-08-06,2159.084
2001-08-07,2163.953
2001-08-08,2124.314
2001-08-09,2119.077
2001-08-10,2123.385
2001-08-13,2132.022
2001-08-14,2134.076
2001-08-15,2127.02
2001-08-16,2125.321
2001-08-17,2089.689
2001-08-20,2099.301
2001-08-21,2084.639
2001-08-22,2100.838
2001-08-23,2092.544
2001-08-24,2138.823
2001-08-27,2131.862
2001-08-28,2096.906
2001-08-29,2076.979
2001-08-30,2031.554
2001-08-31,2034.167
2001-09-03,2024.701
2001-09-04,2021.432
2001-09-05,2015.672
2001-09-06,1966.261
2001-09-07,1939.235
2001-09-10,1943.777
2001-09-11,1901.648
2001-09-12,1916.857
2001-09-13,1927.12
2001-09-14,1899.843
2001-09-17,1862.189
2001-09-18,1845.59
2001-09-19,1820.505
2001-09-20,1760.367
2001-09-21,1713.206
2001-09-24,1792.574
2001-09-25,1815.827
2001-09-26,1816.212
2001-09-27,1836.16
2001-09-28,1869.662
2001-10-01,1863.137
2001-10-02,1877.84
2001-10-03,1909.608
2001-10-04,1924.103
2001-10-05,1938.696
2001-10-08,1934.537
2001-10-09,1919.359
2001-10-10,1958.696
2001-10-11,1983.944
2001-10-12,1980.302
2001-10-15,1970.395
2001-10-16,1984.018
2001-10-17,1970.761
2001-10-18,1956.639
2001-10-19,1956.103
2001-10-22,1985.975
2001-10-23,1991.561
2001-10-24,2004.955
2001-10-25,2010.013
2001-10-26,2022.298
2001-10-29,1979.314
2001-10-30,1946.141
2001-10-31,1952.739
2001-11-01,1994.881
2001-11-02,2001.102
2001-11-05,2033.467
2001-11-06,2060.018
2001-11-07,2061.765
2001-11-08,2071.724
2001-11-09,2065.67
2001-11-12,2050.66
2001-11-13,2087.175
2001-11-14,2099.902
2001-11-15,2108.27
2001-11-16,2109.334
2001-11-19,2128.03
2001-11-20,2105.048
2001-11-21,2095.502
2001-11-22,2104.48
2001-11-23,2110.953
2001-11-26,2124.092
2001-11-27,2104.42
2001-11-28,2076.119
2001-11-29,2093.196
2001-11-30,2106.214
2001-12-03,2092.545
2001-12-04,2113.462
2001-12-05,2148.642
2001-12-06,2145.284
2001-12-07,2130.515
2001-12-10,2102.413
2001-12-11,2096.639
2001-12-12,2095.769
2001-12-13,2072.359
2001-12-14,2076.973
2001-12-17,2109.202
2001-12-18,2118.879
2001-12-19,2121.563
2001-12-20,2110.719
2001-12-21,2124.596
2001-12-24,2115.917
2001-12-25,2115.917
2001-12-26,2120.653
2001-12-27,2140.759
2001-12-28,2142.37
2001-12-31,2130.168
2002-01-01,2130.168
2002-01-02,2134.739
2002-01-03,2148.402
2002-01-04,2145.729
2002-01-07,2125.756
2002-01-08,2117.99
2002-01-09,2112.047
2002-01-10,2114.563
2002-01-11,2109.854
2002-01-14,2094.019
2002-01-15,2105.906
2002-01-16,2078.327
2002-01-17,2096.246
2002-01-18,2080.803
2002-01-21,2077.51
2002-01-22,2076.435
2002-01-23,2086.484
2002-01-24,2090.396
2002-01-25,2076.071
2002-01-28,2075.916
2002-01-29,2037.44
2002-01-30,2044.365
2002-01-31,2073.728
2002-02-01,2070.056
2002-02-04,2040.811
2002-02-05,2035.6
2002-02-06,2027.203
2002-02-07,2024.845
2002-02-08,2040.288
2002-02-11,2064.185
2002-02-12,2064.517
2002-02-13,2081.849
2002-02-14,2085.121
2002-02-15,2068.632
2002-02-18,2062.495
2002-02-19,2033.223
2002-02-20,2049.628
2002-02-21,2034.886
2002-02-22,2044.743
2002-02-25,2066.581
2002-02-26,2067.248
2002-02-27,2075.03
2002-02-28,2072.741
2002-03-01,2105.767
2002-03-04,2132.256
2002-03-05,2113.006
2002-03-06,2132.793
2002-03-07,2133.091
2002-03-08,2138.508
2002-03-11,2137.827
2002-03-12,2130.992
2002-03-13,2124.952
2002-03-14,2128.242
2002-03-15,2147.059
2002-03-18,2146.492
2002-03-19,2155.657
2002-03-20,2127.333
2002-03-21,2123.124
2002-03-22,2123.93
2002-03-25,2098.05
2002-03-26,2104.558
2002-03-27,2106.419
2002-03-28,2115.12
2002-03-29,2115.12
2002-04-01,2118.536
2002-04-02,2101.405
2002-04-03,2087.33
