Date,SWITZERLAND MID GROWTH Mid Cap
2001-01-01,648.173
2001-01-02,653.334
2001-01-03,625.808
2001-01-04,638.901
2001-01-05,635.854
2001-01-08,633.324
2001-01-09,627.879
2001-01-10,625.955
2001-01-11,636.139
2001-01-12,638.343
2001-01-15,631.753
2001-01-16,625.04
2001-01-17,627.188
2001-01-18,647.981
2001-01-19,643.46
2001-01-22,634.981
2001-01-23,629.184
2001-01-24,624.153
2001-01-25,631.765
2001-01-26,633.453
2001-01-29,630.62
2001-01-30,631.795
2001-01-31,634.634
2001-02-01,634.027
2001-02-02,627.331
2001-02-05,633.048
2001-02-06,628.964
2001-02-07,626.29
2001-02-08,615.255
2001-02-09,607.566
2001-02-12,607.587
2001-02-13,602.695
2001-02-14,591.987
2001-02-15,589.427
2001-02-16,590.091
2001-02-19,590.048
2001-02-20,584.989
2001-02-21,577.604
2001-02-22,563.492
2001-02-23,556.397
2001-02-26,562.888
2001-02-27,567.199
2001-02-28,561.592
2001-03-01,532.204
2001-03-02,541.068
2001-03-05,540.784
2001-03-06,555.446
2001-03-07,559.241
2001-03-08,563.611
2001-03-09,552.066
2001-03-12,534.501
2001-03-13,527.901
2001-03-14,508.902
2001-03-15,502.176
2001-03-16,491.962
2001-03-19,497.673
2001-03-20,505.084
2001-03-21,487.919
2001-03-22,456.885
2001-03-23,476.687
2001-03-26,490.511
2001-03-27,497.277
2001-03-28,492.48
2001-03-29,486.863
2001-03-30,496.605
2001-04-02,485.795
2001-04-03,470.137
2001-04-04,467.822
2001-04-05,477.375
2001-04-06,479.971
2001-04-09,484.733
2001-04-10,486.466
2001-04-11,494.409
2001-04-12,504.455
2001-04-13,504.455
2001-04-16,499.324
2001-04-17,499.646
2001-04-18,509.133
2001-04-19,526.232
2001-04-20,515.413
2001-04-23,506.106
2001-04-24,509.318
2001-04-25,504.998
2001-04-26,510.186
2001-04-27,502.424
2001-04-30,505.169
2001-05-01,506.673
2001-05-02,511.446
2001-05-03,509.875
2001-05-04,511.864
2001-05-07,515.468
2001-05-08,512.948
2001-05-09,510.131
2001-05-10,515.504
2001-05-11,512.931
2001-05-14,508.555
2001-05-15,511.997
2001-05-16,512.585
2001-05-17,519.389
2001-05-18,516.554
2001-05-21,515.138
2001-05-22,517.631
2001-05-23,511.987
2001-05-24,510.721
2001-05-25,504.596
2001-05-28,504.398
2001-05-29,500.709
2001-05-30,496.693
2001-05-31,491.602
2001-06-01,492.529
2001-06-04,493.656
2001-06-05,497.521
2001-06-06,494.3
2001-06-07,498.203
2001-06-08,495.945
2001-06-11,491.537
2001-06-12,485.041
2001-06-13,492.929
2001-06-14,489.424
2001-06-15,482.477
2001-06-18,478.371
2001-06-19,475.146
2001-06-20,462.263
2001-06-21,464.597
2001-06-22,465.848
2001-06-25,470.043
2001-06-26,460.862
2001-06-27,461.283
2001-06-28,462.963
2001-06-29,466.17
2001-07-02,467.501
2001-07-03,461.04
2001-07-04,457.161
2001-07-05,448.631
2001-07-06,441.472
2001-07-09,439.205
2001-07-10,443.778
2001-07-11,438.536
2001-07-12,440.023
2001-07-13,437.773
2001-07-16,435.958
2001-07-17,425.201
2001-07-18,435.389
2001-07-19,438.166
2001-07-20,436.741
2001-07-23,431.597
2001-07-24,434.871
2001-07-25,433.773
2001-07-26,428.181
2001-07-27,431.553
2001-07-30,435.257
2001-07-31,435.849
2001-08-01,442.936
2001-08-02,447.796
2001-08-03,448.511
2001-08-06,444.211
2001-08-07,441.261
2001-08-08,437.235
2001-08-09,434.709
2001-08-10,431.501
2001-08-13,430.975
2001-08-14,437.821
2001-08-15,439.475
2001-08-16,434.254
2001-08-17,428.404
2001-08-20,426.301
2001-08-21,423.862
2001-08-22,418.161
2001-08-23,418.328
2001-08-24,428.03
2001-08-27,432.333
2001-08-28,426.787
2001-08-29,425.38
2001-08-30,422.342
2001-08-31,421.56
2001-09-03,410.463
2001-09-04,408.971
2001-09-05,402.258
2001-09-06,389.476
2001-09-07,387.671
2001-09-10,376.981
2001-09-11,358.622
