Date,SWITZERLAND MID GROWTH Mid Cap
1994-05-31,311.109
1994-06-30,311.091
1994-07-29,301.847
1994-08-31,308.4
1994-09-30,305.951
1994-10-31,298.15
1994-11-30,286.069
1994-12-30,291.245
1995-01-31,279.327
1995-02-28,291.448
1995-03-31,303.526
1995-04-28,299.409
1995-05-31,314.531
1995-06-30,317.385
1995-07-31,313.012
1995-08-31,285.409
1995-09-29,307.436
1995-10-31,295.961
1995-11-30,293.686
1995-12-29,296.415
1996-01-31,306.582
1996-02-29,321.758
1996-03-29,343.142
1996-04-30,337.621
1996-05-31,339.072
1996-06-28,340.147
1996-07-31,329.025
1996-08-30,344.444
1996-09-30,339.332
1996-10-31,338.569
1996-11-29,341.767
1996-12-31,358.192
1997-01-31,388.181
1997-02-28,377.699
1997-03-31,396.952
1997-04-30,417.08
1997-05-30,469.372
1997-06-30,501.641
1997-07-31,533.155
1997-08-29,511.019
1997-09-30,551.06
1997-10-31,526.213
1997-11-28,530.657
1997-12-31,537.719
1998-01-30,547.838
1998-02-27,605.832
1998-03-31,614.702
1998-04-30,617.716
1998-05-29,678.642
1998-06-30,645.333
1998-07-31,665.505
1998-08-31,541.618
1998-09-30,457.387
1998-10-30,550.703
1998-11-30,567.092
1998-12-31,550.465
1999-01-29,521.928
1999-02-26,514.581
1999-03-31,535.515
1999-04-30,550.564
1999-05-31,535.011
1999-06-30,528.611
1999-07-30,546.253
1999-08-31,540.749
1999-09-30,534.991
1999-10-29,541.417
1999-11-30,530.086
1999-12-31,565.562
2000-01-31,561.432
2000-02-29,591.914
2000-03-31,627.128
2000-04-28,563.992
2000-05-31,584.558
2000-06-30,622.913
2000-07-31,659.19
2000-08-31,675.677
2000-09-29,701.021
2000-10-31,655.198
2000-11-30,614.246
2000-12-29,665.268
2001-01-31,651.371
2001-02-28,576.403
2001-03-30,509.702
2001-04-30,518.427
2001-05-31,503.243
2001-06-29,477.123
2001-07-31,446.09
2001-08-31,431.465
2001-09-28,366.556
2001-10-31,400.036
2001-11-30,431.807
2001-12-31,432.968
2002-01-31,411.904
2002-02-28,408.189
2002-03-29,426.479
2002-04-30,419.703
2002-05-31,422.041
2002-06-28,387.577
2002-07-31,323.856
2002-08-30,331.73
2002-09-30,301.005
2002-10-31,328.833
2002-11-29,337.302
2002-12-31,328.976
2003-01-31,320.64
2003-02-28,283.587
2003-03-31,286.692
2003-04-30,320.055
2003-05-30,326.022
2003-06-30,328.463
2003-07-31,351.288
2003-08-29,369.443
2003-09-30,372.339
2003-10-31,389.718
2003-11-28,406.641
2003-12-31,437.274
2004-01-30,459.298
2004-02-27,452.592
2004-03-31,451.174
2004-04-30,454.681
2004-05-31,467.74
2004-06-30,478.677
2004-07-30,472.387
2004-08-31,485.028
2004-09-30,500.558
2004-10-29,513.082
2004-11-30,549.732
2004-12-31,565.205
2005-01-31,543.159
2005-02-28,595.058
2005-03-31,577.308
2005-04-29,548.737
2005-05-31,539.381
2005-06-30,548.023
2005-07-29,573.084
2005-08-31,580.406
2005-09-30,593.968
2005-10-31,581.8
2005-11-30,605.545
2005-12-30,623.325
2006-01-31,653.519
2006-02-28,657.31
2006-03-31,677.019
2006-04-28,725.687
2006-05-31,708.897
2006-06-30,703.09
2006-07-31,715.644
2006-08-31,734.553
2006-09-29,759.673
2006-10-31,797.73
2006-11-30,825.691
2006-12-29,862.17
2007-01-31,895.816
