Date,SWITZERLAND MID GROWTH Mid Cap
1994-05-31,298.712
1994-06-30,298.911
1994-07-29,290.123
1994-08-31,296.422
1994-09-30,294.068
1994-10-31,286.57
1994-11-30,274.958
1994-12-30,279.934
1995-01-31,268.531
1995-02-28,280.184
1995-03-31,291.794
1995-04-28,287.871
1995-05-31,302.98
1995-06-30,306.14
1995-07-31,301.922
1995-08-31,275.658
1995-09-29,296.932
1995-10-31,285.85
1995-11-30,283.652
1995-12-29,286.288
1996-01-31,296.107
1996-02-29,310.865
1996-03-29,331.525
1996-04-30,326.19
1996-05-31,327.888
1996-06-28,329.187
1996-07-31,318.422
1996-08-30,333.345
1996-09-30,328.397
1996-10-31,327.659
1996-11-29,330.754
1996-12-31,346.65
1997-01-31,375.672
1997-02-28,365.528
1997-03-31,384.161
1997-04-30,404.004
1997-05-30,455.301
1997-06-30,486.748
1997-07-31,517.326
1997-08-29,495.847
1997-09-30,534.7
1997-10-31,510.59
1997-11-28,514.902
1997-12-31,521.754
1998-01-30,531.574
1998-02-27,587.846
1998-03-31,596.452
1998-04-30,600.306
1998-05-29,659.798
1998-06-30,628.008
1998-07-31,647.639
1998-08-31,527.078
1998-09-30,445.108
1998-10-30,535.918
1998-11-30,551.867
1998-12-31,535.687
1999-01-29,507.916
1999-02-26,500.766
1999-03-31,521.138
1999-04-30,535.959
1999-05-31,521.135
1999-06-30,514.9
1999-07-30,532.085
1999-08-31,526.723
1999-09-30,521.115
1999-10-29,527.374
1999-11-30,516.337
1999-12-31,550.893
2000-01-31,546.87
2000-02-29,576.561
2000-03-31,610.862
2000-04-28,549.364
2000-05-31,569.538
2000-06-30,606.907
2000-07-31,642.252
2000-08-31,658.315
2000-09-29,683.008
2000-10-31,638.363
2000-11-30,598.463
2000-12-29,648.173
2001-01-31,634.634
2001-02-28,561.592
2001-03-30,496.605
2001-04-30,505.169
2001-05-31,491.602
2001-06-29,466.17
2001-07-31,435.849
2001-08-31,421.56
2001-09-28,358.141
2001-10-31,390.852
2001-11-30,421.894
2001-12-31,423.028
2002-01-31,402.448
2002-02-28,398.818
2002-03-29,417.353
2002-04-30,411.063
2002-05-31,413.711
2002-06-28,380.046
2002-07-31,317.563
2002-08-30,325.284
2002-09-30,295.157
2002-10-31,322.444
2002-11-29,330.749
2002-12-31,322.584
2003-01-31,314.41
2003-02-28,278.077
2003-03-31,281.227
2003-04-30,314.48
2003-05-30,320.838
2003-06-30,323.38
2003-07-31,345.852
2003-08-29,363.725
2003-09-30,366.577
2003-10-31,383.687
2003-11-28,400.348
2003-12-31,430.507
2004-01-30,452.191
2004-02-27,445.589
2004-03-31,444.314
2004-04-30,448.354
2004-05-31,461.408
2004-06-30,472.437
2004-07-30,466.23
2004-08-31,478.706
2004-09-30,494.034
2004-10-29,506.395
2004-11-30,542.567
2004-12-31,557.838
2005-01-31,536.079
2005-02-28,587.302
2005-03-31,570.378
2005-04-29,542.556
