Date,EM (EMERGING MARKETS) Standard (Large+Mid Cap)
2001-01-01,99.902
2001-01-02,100.017
2001-01-03,100.67
2001-01-04,104.187
2001-01-05,104.584
2001-01-08,104.459
2001-01-09,105.584
2001-01-10,104.861
2001-01-11,105.103
2001-01-12,105.994
2001-01-15,106.44
2001-01-16,106.941
2001-01-17,108.087
2001-01-18,109.535
2001-01-19,111.188
2001-01-22,111.152
2001-01-23,111.736
2001-01-24,111.594
2001-01-25,111.709
2001-01-26,111.287
2001-01-29,110.997
2001-01-30,112.033
2001-01-31,113.758
2001-02-01,113.344
2001-02-02,113.072
2001-02-05,111.152
2001-02-06,111.504
2001-02-07,109.706
2001-02-08,110.383
2001-02-09,110.508
2001-02-12,110.649
2001-02-13,111.184
2001-02-14,110.801
2001-02-15,111.895
2001-02-16,110.844
2001-02-19,109.847
2001-02-20,109.999
2001-02-21,107.208
2001-02-22,105.26
2001-02-23,104.559
2001-02-26,105.507
2001-02-27,105.164
2001-02-28,104.841
2001-03-01,104.335
2001-03-02,103.336
2001-03-05,103.909
2001-03-06,104.759
2001-03-07,105.053
2001-03-08,105.382
2001-03-09,104.144
2001-03-12,100.872
2001-03-13,99.984
2001-03-14,98.961
2001-03-15,99.063
2001-03-16,98.309
2001-03-19,97.396
2001-03-20,97.181
2001-03-21,97.148
2001-03-22,94.985
2001-03-23,95.652
2001-03-26,97.275
2001-03-27,97.118
2001-03-28,96.357
2001-03-29,94.633
2001-03-30,94.497
2001-04-02,92.987
2001-04-03,90.819
2001-04-04,89.666
2001-04-05,91.192
2001-04-06,92.165
2001-04-09,91.697
2001-04-10,92.616
2001-04-11,93.919
2001-04-12,94.474
2001-04-13,94.588
2001-04-16,93.832
2001-04-17,93.748
2001-04-18,96.62
2001-04-19,98.064
2001-04-20,96.517
2001-04-23,96.061
2001-04-24,96.187
2001-04-25,96.493
2001-04-26,97.521
2001-04-27,97.948
2001-04-30,99.155
2001-05-01,99.15
2001-05-02,100.195
2001-05-03,100.308
2001-05-04,99.753
2001-05-07,99.964
2001-05-08,99.512
2001-05-09,99.472
2001-05-10,99.435
2001-05-11,99.078
2001-05-14,97.951
2001-05-15,97.483
2001-05-16,97.962
2001-05-17,100.682
2001-05-18,101.122
2001-05-21,101.708
2001-05-22,102.22
2001-05-23,102.615
2001-05-24,102.254
2001-05-25,101.779
2001-05-28,101.739
2001-05-29,101.502
2001-05-30,100.485
2001-05-31,100.303
2001-06-01,99.971
2001-06-04,100.294
2001-06-05,99.918
2001-06-06,100.38
2001-06-07,100.594
2001-06-08,101.588
2001-06-11,101.037
2001-06-12,100.708
2001-06-13,100.55
2001-06-14,100.008
2001-06-15,99.36
2001-06-18,97.416
2001-06-19,97.406
2001-06-20,97.083
2001-06-21,97.871
2001-06-22,98.096
2001-06-25,97.99
2001-06-26,97.568
2001-06-27,97.698
2001-06-28,97.1
2001-06-29,98.209
2001-07-02,98.474
2001-07-03,97.667
2001-07-04,96.875
2001-07-05,96.33
2001-07-06,94.809
2001-07-09,94.174
2001-07-10,93.565
2001-07-11,91.659
2001-07-12,92.458
2001-07-13,91.95
