Date,EM (EMERGING MARKETS) Standard (Large+Mid Cap)
1987-12-31,100.0
1988-01-29,109.838
1988-02-29,110.211
1988-03-31,122.046
1988-04-29,128.561
1988-05-31,132.413
1988-06-30,136.911
1988-07-29,133.431
1988-08-31,129.857
1988-09-30,138.272
1988-10-31,137.379
1988-11-30,136.792
1988-12-30,140.427
1989-01-31,138.657
1989-02-28,149.265
1989-03-31,164.137
1989-04-28,195.288
1989-05-31,197.921
1989-06-30,173.906
1989-07-31,185.345
1989-08-31,189.647
1989-09-29,213.55
1989-10-31,216.541
1989-11-30,206.448
1989-12-29,231.649
1990-01-31,239.272
1990-02-28,248.656
1990-03-30,215.014
1990-04-30,230.525
1990-05-31,249.46
1990-06-29,258.08
1990-07-31,280.836
1990-08-31,245.007
1990-09-28,213.721
1990-10-31,209.753
1990-11-30,198.807
1990-12-31,207.209
1991-01-31,223.961
1991-02-28,257.094
1991-03-29,267.66
1991-04-30,270.479
1991-05-31,291.701
1991-06-28,281.281
1991-07-31,295.864
1991-08-30,302.098
1991-09-30,290.518
1991-10-31,302.373
1991-11-29,297.88
1991-12-31,331.349
1992-01-31,369.708
1992-02-28,386.133
1992-03-31,399.198
1992-04-30,396.425
1992-05-29,395.003
1992-06-30,355.819
1992-07-31,359.688
1992-08-31,342.916
1992-09-30,344.094
1992-10-30,362.499
1992-11-30,358.594
1992-12-31,369.135
1993-01-29,370.92
1993-02-26,377.14
1993-03-31,389.612
1993-04-30,398.572
1993-05-31,409.677
1993-06-30,421.825
1993-07-30,432.967
1993-08-31,469.526
1993-09-30,486.699
1993-10-29,530.367
1993-11-30,553.837
1993-12-31,645.384
1994-01-31,657.126
1994-02-28,645.436
1994-03-31,587.031
1994-04-29,575.289
1994-05-31,594.978
1994-06-30,578.578
1994-07-29,614.553
1994-08-31,690.827
1994-09-30,698.678
1994-10-31,686.075
1994-11-30,650.403
1994-12-30,598.165
1995-01-31,534.525
1995-02-28,520.816
1995-03-31,524.125
1995-04-28,547.638
1995-05-31,576.772
1995-06-30,578.478
1995-07-31,591.463
1995-08-31,577.531
1995-09-29,574.79
1995-10-31,552.787
1995-11-30,542.929
1995-12-29,567.009
1996-01-31,607.313
1996-02-29,597.657
1996-03-29,602.312
1996-04-30,626.394
1996-05-31,623.597
1996-06-28,627.491
1996-07-31,584.606
1996-08-30,599.57
1996-09-30,604.764
1996-10-31,588.635
1996-11-29,598.498
1996-12-31,601.205
1997-01-31,642.213
1997-02-28,669.716
1997-03-31,652.124
1997-04-30,653.276
1997-05-30,671.973
1997-06-30,707.935
1997-07-31,718.503
1997-08-29,627.074
1997-09-30,644.449
1997-10-31,538.703
1997-11-28,519.047
1997-12-31,531.555
1998-01-30,489.865
1998-02-27,540.995
1998-03-31,564.472
1998-04-30,558.323
1998-05-29,481.81
1998-06-30,431.27
1998-07-31,444.944
1998-08-31,316.293
1998-09-30,336.357
1998-10-30,371.776
1998-11-30,402.696
1998-12-31,396.86
1999-01-29,390.457
1999-02-26,394.255
1999-03-31,446.214
1999-04-30,501.42
1999-05-31,498.503
1999-06-30,555.079
1999-07-30,540.0
1999-08-31,544.913
1999-09-30,526.472
1999-10-29,537.682
1999-11-30,585.893
1999-12-31,660.407
2000-01-31,664.343
2000-02-29,673.117
2000-03-31,676.402
2000-04-28,612.284
2000-05-31,586.971
2000-06-30,607.647
2000-07-31,576.396
2000-08-31,579.23
2000-09-29,528.654
2000-10-31,490.325
2000-11-30,447.454
2000-12-29,458.257
2001-01-31,521.359
2001-02-28,480.536
2001-03-30,433.338
2001-04-30,454.75
2001-05-31,460.178
2001-06-29,450.732
2001-07-31,422.25
2001-08-31,418.085
2001-09-28,353.374
2001-10-31,375.304
2001-11-30,414.487
2001-12-31,447.387
2002-01-31,462.548
2002-02-28,470.147
2002-03-29,498.427
2002-04-30,501.662
2002-05-31,493.669
2002-06-28,456.633
2002-07-31,421.903
2002-08-30,428.404
2002-09-30,382.183
2002-10-31,406.982
2002-11-29,434.996
2002-12-31,420.543
2003-01-31,418.712
2003-02-28,407.411
2003-03-31,395.859
2003-04-30,431.119
2003-05-30,462.061
2003-06-30,488.396
2003-07-31,518.983
2003-08-29,553.817
2003-09-30,557.877
2003-10-31,605.351
2003-11-28,612.79
2003-12-31,657.215
2004-01-30,680.556
2004-02-27,711.95
2004-03-31,721.098
2004-04-30,662.143
2004-05-31,649.102
2004-06-30,652.067
2004-07-30,640.537
2004-08-31,667.35
2004-09-30,705.894
2004-10-29,722.805
2004-11-30,789.755
2004-12-31,827.775
2005-01-31,830.395
2005-02-28,903.311
2005-03-31,843.8
2005-04-29,821.31
2005-05-31,850.227
2005-06-30,879.576
2005-07-29,941.813
2005-08-31,950.291
2005-09-30,1038.902
2005-10-31,971.025
2005-11-30,1051.423
2005-12-30,1113.707
2006-01-31,1238.782
2006-02-28,1237.596
2006-03-31,1248.69
2006-04-28,1337.8
2006-05-31,1197.914
2006-06-30,1195.374
2006-07-31,1212.953
2006-08-31,1244.464
2006-09-29,1254.925
2006-10-31,1314.597
2006-11-30,1412.502
2006-12-29,1476.239
2007-01-31,1461.328
2007-02-28,1452.863
2007-03-30,1511.062
2007-04-30,1582.967
2007-05-31,1660.277
2007-06-29,1738.809
2007-07-31,1831.455
