Date,EM (EMERGING MARKETS) Standard (Large+Mid Cap)
2002-02-07,457.602
2002-02-08,458.569
2002-02-11,457.813
2002-02-12,459.663
2002-02-13,462.673
2002-02-14,472.541
2002-02-15,472.124
2002-02-18,472.231
2002-02-19,467.099
2002-02-20,462.116
2002-02-21,461.938
2002-02-22,461.633
2002-02-25,462.7
2002-02-26,464.975
2002-02-27,473.343
2002-02-28,470.147
2002-03-01,475.726
2002-03-04,486.805
2002-03-05,489.389
2002-03-06,491.75
2002-03-07,490.375
2002-03-08,490.285
2002-03-11,493.012
2002-03-12,493.22
2002-03-13,491.731
2002-03-14,491.773
2002-03-15,490.823
2002-03-18,493.738
2002-03-19,495.716
2002-03-20,496.569
2002-03-21,495.812
2002-03-22,497.623
2002-03-25,493.554
2002-03-26,494.405
2002-03-27,497.429
2002-03-28,498.475
2002-03-29,498.427
2002-04-01,496.793
2002-04-02,501.604
2002-04-03,501.157
2002-04-04,500.3
2002-04-05,503.215
2002-04-08,499.524
2002-04-09,497.766
2002-04-10,497.606
2002-04-11,498.251
2002-04-12,500.327
2002-04-15,503.513
2002-04-16,507.343
2002-04-17,517.026
2002-04-18,517.213
2002-04-19,516.297
2002-04-22,516.519
2002-04-23,516.867
2002-04-24,516.565
2002-04-25,509.17
2002-04-26,509.046
2002-04-29,501.969
2002-04-30,501.662
2002-05-01,501.543
2002-05-02,501.928
2002-05-03,503.59
2002-05-06,496.722
2002-05-07,497.206
2002-05-08,503.947
2002-05-09,500.854
2002-05-10,497.022
2002-05-13,497.354
2002-05-14,501.962
2002-05-15,507.761
2002-05-16,508.7
2002-05-17,513.854
2002-05-20,509.971
2002-05-21,503.256
2002-05-22,506.954
2002-05-23,503.17
2002-05-24,508.043
2002-05-27,507.597
2002-05-28,506.199
2002-05-29,503.464
2002-05-30,500.41
2002-05-31,493.669
2002-06-03,496.227
2002-06-04,496.425
2002-06-05,494.039
2002-06-06,492.005
2002-06-07,485.233
2002-06-10,489.009
2002-06-11,486.967
2002-06-12,484.16
2002-06-13,484.427
2002-06-14,479.525
2002-06-17,477.986
2002-06-18,479.413
2002-06-19,468.942
2002-06-20,465.577
2002-06-21,462.505
2002-06-24,458.847
2002-06-25,457.633
2002-06-26,441.682
2002-06-27,447.904
2002-06-28,456.633
2002-07-01,455.25
2002-07-02,452.74
2002-07-03,452.393
2002-07-04,458.814
2002-07-05,466.206
2002-07-08,468.955
2002-07-09,473.454
2002-07-10,468.454
2002-07-11,459.429
2002-07-12,469.125
2002-07-15,466.153
2002-07-16,462.59
2002-07-17,464.501
2002-07-18,466.481
2002-07-19,459.582
2002-07-22,444.532
2002-07-23,443.993
2002-07-24,432.284
2002-07-25,432.595
2002-07-26,418.511
2002-07-29,420.145
2002-07-30,426.942
2002-07-31,421.903
2002-08-01,420.259
2002-08-02,419.966
2002-08-05,404.672
2002-08-06,402.409
2002-08-07,411.838
2002-08-08,417.457
2002-08-09,419.379
2002-08-12,418.316
2002-08-13,418.566
2002-08-14,422.275
2002-08-15,424.715
2002-08-16,427.207
2002-08-19,427.905
2002-08-20,430.904
2002-08-21,433.307
2002-08-22,434.308
2002-08-23,432.163
2002-08-26,431.376
2002-08-27,431.813
2002-08-28,427.098
2002-08-29,424.909
2002-08-30,428.404
2002-09-02,428.044
2002-09-03,421.094
2002-09-04,417.705
2002-09-05,415.178
2002-09-06,414.522
2002-09-09,416.415
2002-09-10,423.392
2002-09-11,426.927
2002-09-12,427.056
2002-09-13,419.62
2002-09-16,411.849
2002-09-17,418.497
2002-09-18,408.577
2002-09-19,405.17
2002-09-20,403.814
2002-09-23,394.449
2002-09-24,390.918
2002-09-25,387.217
2002-09-26,390.908
2002-09-27,388.697
2002-09-30,382.183
2002-10-01,386.372
2002-10-02,387.231
2002-10-03,385.994
2002-10-04,387.31
2002-10-07,377.451
2002-10-08,377.979
2002-10-09,372.706
2002-10-10,366.141
2002-10-11,367.85
2002-10-14,371.399
2002-10-15,381.254
2002-10-16,384.583
2002-10-17,390.892
2002-10-18,397.942
2002-10-21,396.702
2002-10-22,393.811
2002-10-23,402.41
2002-10-24,402.236
2002-10-25,402.349
2002-10-28,407.554
2002-10-29,402.81
2002-10-30,401.535
2002-10-31,406.982
2002-11-01,405.444
2002-11-04,413.45
2002-11-05,411.837
2002-11-06,416.864
2002-11-07,420.034
2002-11-08,420.784
2002-11-11,415.109
2002-11-12,412.759
2002-11-13,411.868
2002-11-14,413.162
2002-11-15,420.64
2002-11-18,422.386
2002-11-19,419.282
2002-11-20,419.245
2002-11-21,425.147
2002-11-22,427.757
2002-11-25,430.753
2002-11-26,427.677
2002-11-27,429.217
2002-11-28,431.595
2002-11-29,434.996
2002-12-02,437.979
2002-12-03,438.636
2002-12-04,432.048
2002-12-05,431.931
2002-12-06,430.631
2002-12-09,431.588
2002-12-10,428.254
2002-12-11,427.446
2002-12-12,430.258
2002-12-13,429.672
2002-12-16,427.957
2002-12-17,431.523
2002-12-18,431.021
2002-12-19,431.912
2002-12-20,434.589
2002-12-23,430.775
2002-12-24,427.742
2002-12-25,427.258
2002-12-26,428.139
2002-12-27,426.122
2002-12-30,420.343
2002-12-31,420.543
2003-01-01,420.702
2003-01-02,423.642
2003-01-03,432.141
2003-01-06,437.12
2003-01-07,434.266
2003-01-08,435.289
2003-01-09,434.287
2003-01-10,436.394
2003-01-13,442.561
2003-01-14,443.301
2003-01-15,443.86
2003-01-16,440.951
2003-01-17,435.14
2003-01-20,433.599
2003-01-21,429.967
2003-01-22,426.682
2003-01-23,429.1
2003-01-24,423.546
2003-01-27,416.21
2003-01-28,418.209
2003-01-29,416.589
2003-01-30,417.853
2003-01-31,418.712
2003-02-03,420.84
2003-02-04,420.391
2003-02-05,420.262
2003-02-06,414.978
2003-02-07,410.346
2003-02-10,406.904
2003-02-11,408.639
2003-02-12,410.276
2003-02-13,403.945
2003-02-14,403.823
2003-02-17,414.117
2003-02-18,414.952
2003-02-19,412.907
2003-02-20,413.87
2003-02-21,414.991
2003-02-24,416.741
2003-02-25,408.733
2003-02-26,407.71
2003-02-27,407.864
2003-02-28,407.411
2003-03-03,412.405
2003-03-04,407.89
2003-03-05,403.103
2003-03-06,400.167
2003-03-07,397.629
2003-03-10,394.15
2003-03-11,391.333
2003-03-12,391.342
2003-03-13,395.087
2003-03-14,399.397
2003-03-17,391.639
2003-03-18,401.836
2003-03-19,401.8
2003-03-20,408.233
2003-03-21,409.848
2003-03-24,405.721
2003-03-25,403.883
2003-03-26,404.988
2003-03-27,403.109
2003-03-28,403.166
2003-03-31,395.859
2003-04-01,398.12
2003-04-02,401.81
2003-04-03,404.201
2003-04-04,409.009
2003-04-07,418.324
2003-04-08,416.215
2003-04-09,412.936
2003-04-10,413.254
2003-04-11,414.785
2003-04-14,417.45
2003-04-15,423.943
2003-04-16,429.122
2003-04-17,429.566
2003-04-18,433.678
2003-04-21,433.839
2003-04-22,428.746
2003-04-23,429.114
2003-04-24,423.307
2003-04-25,417.096
2003-04-28,419.982
2003-04-29,429.415
2003-04-30,431.119
2003-05-01,431.296
2003-05-02,433.486
2003-05-05,437.578
2003-05-06,437.5
2003-05-07,441.828
2003-05-08,438.979
2003-05-09,442.295
2003-05-12,447.328
2003-05-13,447.3
2003-05-14,446.327
2003-05-15,446.659
2003-05-16,443.438
2003-05-19,439.772
2003-05-20,438.801
2003-05-21,439.436
2003-05-22,442.196
2003-05-23,449.554
2003-05-26,455.061
2003-05-27,452.606
2003-05-28,458.236
2003-05-29,461.163
2003-05-30,462.061
2003-06-02,467.981
2003-06-03,466.135
2003-06-04,468.732
2003-06-05,472.922
2003-06-06,475.52
2003-06-09,477.428
2003-06-10,476.444
2003-06-11,476.891
2003-06-12,482.317
2003-06-13,484.054
2003-06-16,486.296
2003-06-17,495.025
2003-06-18,492.171
2003-06-19,494.743
2003-06-20,493.294
2003-06-23,486.518
2003-06-24,483.644
2003-06-25,488.081
2003-06-26,487.958
2003-06-27,489.516
2003-06-30,488.396
2003-07-01,494.444
2003-07-02,501.231
2003-07-03,504.166
2003-07-04,506.528
2003-07-07,513.805
2003-07-08,516.43
2003-07-09,513.782
2003-07-10,509.548
2003-07-11,509.018
2003-07-14,519.41
2003-07-15,517.347
2003-07-16,514.979
2003-07-17,508.916
2003-07-18,506.466
2003-07-21,505.234
2003-07-22,507.235
2003-07-23,506.225
2003-07-24,511.475
2003-07-25,515.639
2003-07-28,521.597
2003-07-29,520.029
2003-07-30,516.96
2003-07-31,518.983
2003-08-01,519.912
2003-08-04,518.123
2003-08-05,515.524
2003-08-06,510.967
2003-08-07,514.95
2003-08-08,514.826
2003-08-11,518.857
2003-08-12,519.524
2003-08-13,526.559
2003-08-14,531.594
2003-08-15,533.514
2003-08-18,537.374
2003-08-19,539.366
2003-08-20,540.199
2003-08-21,547.57
2003-08-22,549.672
2003-08-25,547.522
2003-08-26,544.551
2003-08-27,547.156
2003-08-28,547.893
2003-08-29,553.817
2003-09-01,558.878
2003-09-02,558.581
2003-09-03,562.935
2003-09-04,564.702
2003-09-05,567.602
2003-09-08,569.721
2003-09-09,567.944
2003-09-10,566.068
2003-09-11,566.893
2003-09-12,566.811
2003-09-15,561.77
2003-09-16,566.478
2003-09-17,568.153
2003-09-18,567.469
