Date,SPAIN SMID VALUE SMID (Small+Mid Cap)
2001-01-01,152.956
2001-01-02,156.259
2001-01-03,157.428
2001-01-04,158.974
2001-01-05,159.616
2001-01-08,159.941
2001-01-09,157.937
2001-01-10,158.736
2001-01-11,160.666
2001-01-12,161.372
2001-01-15,159.501
2001-01-16,159.422
2001-01-17,158.804
2001-01-18,162.247
2001-01-19,159.833
2001-01-22,160.71
2001-01-23,162.093
2001-01-24,159.15
2001-01-25,160.376
2001-01-26,161.899
2001-01-29,160.406
2001-01-30,163.189
2001-01-31,165.939
2001-02-01,169.13
2001-02-02,166.216
2001-02-05,167.468
2001-02-06,166.699
2001-02-07,166.134
2001-02-08,164.972
2001-02-09,166.239
2001-02-12,169.136
2001-02-13,168.022
2001-02-14,166.276
2001-02-15,165.154
2001-02-16,168.076
2001-02-19,169.815
2001-02-20,168.136
2001-02-21,169.1
2001-02-22,168.036
2001-02-23,167.666
2001-02-26,167.339
2001-02-27,168.749
2001-02-28,170.593
2001-03-01,170.018
2001-03-02,171.682
2001-03-05,171.055
2001-03-06,172.204
2001-03-07,172.515
2001-03-08,173.643
2001-03-09,174.038
2001-03-12,172.41
2001-03-13,169.488
2001-03-14,167.013
2001-03-15,166.806
2001-03-16,163.114
2001-03-19,163.762
2001-03-20,164.913
2001-03-21,161.427
2001-03-22,154.78
2001-03-23,158.479
2001-03-26,161.113
2001-03-27,162.93
2001-03-28,160.539
2001-03-29,160.385
2001-03-30,162.644
2001-04-02,163.761
2001-04-03,162.807
2001-04-04,167.38
2001-04-05,167.018
2001-04-06,167.713
2001-04-09,168.839
2001-04-10,166.591
2001-04-11,164.773
2001-04-12,166.025
2001-04-13,166.025
2001-04-16,164.325
2001-04-17,163.138
2001-04-18,162.906
2001-04-19,165.43
2001-04-20,167.356
2001-04-23,166.384
2001-04-24,166.926
2001-04-25,168.436
2001-04-26,169.843
2001-04-27,168.814
2001-04-30,169.045
2001-05-01,169.941
2001-05-02,169.674
2001-05-03,169.432
2001-05-04,169.031
2001-05-07,168.685
2001-05-08,167.741
2001-05-09,168.024
2001-05-10,168.09
2001-05-11,167.025
2001-05-14,167.281
2001-05-15,168.733
2001-05-16,169.843
2001-05-17,169.969
2001-05-18,170.198
2001-05-21,169.108
2001-05-22,167.813
2001-05-23,166.313
2001-05-24,165.712
2001-05-25,164.553
2001-05-28,166.126
2001-05-29,164.056
2001-05-30,165.816
2001-05-31,165.017
2001-06-01,164.556
2001-06-04,166.449
2001-06-05,166.969
2001-06-06,166.275
2001-06-07,166.899
2001-06-08,167.478
2001-06-11,166.082
2001-06-12,165.799
2001-06-13,166.275
2001-06-14,167.909
2001-06-15,169.308
2001-06-18,167.454
2001-06-19,166.724
2001-06-20,165.269
2001-06-21,164.153
2001-06-22,165.084
2001-06-25,166.587
2001-06-26,166.619
2001-06-27,166.198
2001-06-28,164.196
2001-06-29,163.949
2001-07-02,165.153
2001-07-03,166.301
2001-07-04,166.225
2001-07-05,163.062
2001-07-06,161.644
2001-07-09,162.303
2001-07-10,164.076
2001-07-11,164.477
2001-07-12,162.208
2001-07-13,163.096
2001-07-16,163.928
2001-07-17,163.729
2001-07-18,167.556
2001-07-19,167.865
2001-07-20,168.552
2001-07-23,168.099
2001-07-24,168.945
2001-07-25,168.782
2001-07-26,168.923
2001-07-27,169.085
2001-07-30,171.487
2001-07-31,171.447
2001-08-01,172.681
2001-08-02,173.443
2001-08-03,174.122
2001-08-06,173.269
2001-08-07,173.305
2001-08-08,172.899
2001-08-09,175.008
2001-08-10,176.163
2001-08-13,177.542
2001-08-14,177.456
2001-08-15,180.165
2001-08-16,178.989
2001-08-17,178.975
2001-08-20,178.317
2001-08-21,178.514
2001-08-22,180.653
2001-08-23,179.572
2001-08-24,179.868
2001-08-27,177.69
2001-08-28,177.57
2001-08-29,177.838
2001-08-30,175.833
2001-08-31,175.539
2001-09-03,174.224
2001-09-04,171.505
2001-09-05,169.989
2001-09-06,170.057
2001-09-07,171.645
2001-09-10,169.131
2001-09-11,162.106
2001-09-12,162.473
2001-09-13,164.205
2001-09-14,162.827
2001-09-17,159.544
2001-09-18,160.161
2001-09-19,160.813
2001-09-20,155.55
2001-09-21,148.436
2001-09-24,152.772
2001-09-25,157.179
2001-09-26,159.149
2001-09-27,160.297
2001-09-28,159.493
2001-10-01,161.23
2001-10-02,162.679
2001-10-03,164.197
2001-10-04,164.118
2001-10-05,164.418
2001-10-08,165.16
2001-10-09,165.054
2001-10-10,166.106
2001-10-11,165.722
2001-10-12,166.457
2001-10-15,166.237
2001-10-16,166.948
2001-10-17,168.087
2001-10-18,166.561
2001-10-19,163.992
2001-10-22,164.226
2001-10-23,163.546
2001-10-24,165.001
2001-10-25,163.946
2001-10-26,164.45
2001-10-29,166.528
2001-10-30,166.645
2001-10-31,167.874
2001-11-01,168.705
2001-11-02,167.095
2001-11-05,166.644
2001-11-06,167.186
2001-11-07,167.791
2001-11-08,167.993
2001-11-09,167.111
2001-11-12,165.131
2001-11-13,164.228
2001-11-14,165.952
2001-11-15,164.948
2001-11-16,165.225
2001-11-19,166.583
2001-11-20,166.481
2001-11-21,165.423
2001-11-22,167.57
2001-11-23,167.261
2001-11-26,168.78
2001-11-27,168.087
2001-11-28,168.379
2001-11-29,168.692
2001-11-30,172.507
2001-12-03,171.103
2001-12-04,173.559
2001-12-05,174.73
2001-12-06,175.33
2001-12-07,173.712
2001-12-10,172.656
2001-12-11,172.824
2001-12-12,172.546
2001-12-13,170.538
2001-12-14,171.391
2001-12-17,173.579
2001-12-18,171.969
2001-12-19,171.313
2001-12-20,171.222
2001-12-21,170.475
2001-12-24,168.774
2001-12-25,168.774
2001-12-26,168.918
2001-12-27,170.647
2001-12-28,170.627
2001-12-31,172.316
2002-01-01,172.316
2002-01-02,175.049
2002-01-03,175.646
2002-01-04,172.855
2002-01-07,171.526
2002-01-08,172.118
2002-01-09,170.593
2002-01-10,170.14
2002-01-11,170.949
2002-01-14,171.604
2002-01-15,170.726
2002-01-16,170.135
2002-01-17,171.511
2002-01-18,172.199
2002-01-21,171.631
2002-01-22,172.457
2002-01-23,172.929
2002-01-24,172.998
2002-01-25,170.169
2002-01-28,170.417
2002-01-29,169.908
2002-01-30,169.997
2002-01-31,171.249
2002-02-01,172.236
2002-02-04,172.85
2002-02-05,173.138
2002-02-06,173.577
2002-02-07,174.209
2002-02-08,174.613
2002-02-11,175.159
2002-02-12,175.103
2002-02-13,175.451
2002-02-14,176.14
2002-02-15,176.424
2002-02-18,176.159
2002-02-19,175.896
2002-02-20,176.169
2002-02-21,176.113
2002-02-22,177.17
2002-02-25,176.38
2002-02-26,175.868
2002-02-27,176.819
2002-02-28,177.048
2002-03-01,178.537
2002-03-04,180.352
2002-03-05,179.998
2002-03-06,180.978
2002-03-07,183.551
2002-03-08,183.877
2002-03-11,184.871
2002-03-12,183.292
2002-03-13,183.336
2002-03-14,185.714
2002-03-15,186.135
2002-03-18,186.429
2002-03-19,187.459
2002-03-20,187.527
2002-03-21,186.774
2002-03-22,186.936
2002-03-25,185.441
