Date,SPAIN SMID VALUE SMID (Small+Mid Cap)
1994-05-31,81.054
1994-06-30,79.274
1994-07-29,82.298
1994-08-31,82.197
1994-09-30,78.431
1994-10-31,78.906
1994-11-30,76.84
1994-12-30,73.66
1995-01-31,71.288
1995-02-28,73.236
1995-03-31,71.847
1995-04-28,79.915
1995-05-31,83.045
1995-06-30,84.637
1995-07-31,90.255
1995-08-31,86.063
1995-09-29,86.435
1995-10-31,84.029
1995-11-30,87.582
1995-12-29,90.521
1996-01-31,89.346
1996-02-29,93.339
1996-03-29,91.963
1996-04-30,93.529
1996-05-31,93.4
1996-06-28,97.951
1996-07-31,94.929
1996-08-30,95.88
1996-09-30,96.488
1996-10-31,100.209
1996-11-29,103.773
1996-12-31,118.753
1997-01-31,114.459
1997-02-28,109.363
1997-03-31,112.259
1997-04-30,114.518
1997-05-30,124.425
1997-06-30,132.824
1997-07-31,126.332
1997-08-29,124.85
1997-09-30,138.746
1997-10-31,132.899
1997-11-28,139.509
1997-12-31,140.397
1998-01-30,148.09
1998-02-27,161.619
1998-03-31,182.555
1998-04-30,185.752
1998-05-29,184.484
1998-06-30,181.039
1998-07-31,181.287
1998-08-31,167.001
1998-09-30,170.752
1998-10-30,182.956
1998-11-30,191.547
1998-12-31,198.686
1999-01-29,193.723
1999-02-26,189.424
1999-03-31,176.203
1999-04-30,171.469
1999-05-31,169.23
1999-06-30,165.299
1999-07-30,165.175
1999-08-31,171.291
1999-09-30,170.507
1999-10-29,163.853
1999-11-30,159.568
1999-12-31,169.976
2000-01-31,152.861
2000-02-29,168.335
2000-03-31,168.611
2000-04-28,161.289
2000-05-31,157.803
2000-06-30,159.158
2000-07-31,150.862
2000-08-31,150.133
2000-09-29,148.652
2000-10-31,146.556
2000-11-30,143.997
2000-12-29,152.956
2001-01-31,165.939
2001-02-28,170.593
2001-03-30,162.644
2001-04-30,169.045
2001-05-31,165.017
2001-06-29,163.949
2001-07-31,171.447
2001-08-31,175.539
2001-09-28,159.493
2001-10-31,167.874
2001-11-30,172.507
2001-12-31,172.316
2002-01-31,171.249
2002-02-28,177.048
2002-03-29,186.865
2002-04-30,201.481
2002-05-31,211.897
2002-06-28,211.998
2002-07-31,206.184
2002-08-30,196.585
2002-09-30,179.347
2002-10-31,196.924
2002-11-29,204.242
2002-12-31,200.973
2003-01-31,206.636
2003-02-28,211.674
2003-03-31,217.557
2003-04-30,234.56
2003-05-30,258.679
2003-06-30,267.059
2003-07-31,274.115
2003-08-29,271.654
2003-09-30,286.103
2003-10-31,297.08
2003-11-28,315.705
2003-12-31,339.791
2004-01-30,356.814
2004-02-27,368.061
2004-03-31,368.23
2004-04-30,370.104
2004-05-31,368.507
2004-06-30,379.356
2004-07-30,361.136
2004-08-31,369.494
2004-09-30,393.016
2004-10-29,407.836
2004-11-30,442.805
2004-12-31,478.614
2005-01-31,498.677
2005-02-28,533.369
2005-03-31,517.339
2005-04-29,509.572
2005-05-31,525.017
2005-06-30,530.53
2005-07-29,542.218
2005-08-31,547.465
2005-09-30,556.743
2005-10-31,537.56
2005-11-30,538.822
2005-12-30,551.322
2006-01-31,602.833
2006-02-28,628.371
2006-03-31,652.66
2006-04-28,692.938
2006-05-31,667.601
2006-06-30,670.824
2006-07-31,694.247
2006-08-31,718.982
2006-09-29,761.609
2006-10-31,820.741
2006-11-30,881.712
2006-12-29,901.954
2007-01-31,959.346
2007-02-28,983.914
2007-03-30,1046.359
2007-04-30,1045.887
2007-05-31,1000.0
2007-06-29,973.219
2007-07-31,985.936
2007-08-31,940.712
2007-09-28,984.266
2007-10-31,1073.106
2007-11-30,1062.054
2007-12-31,970.674
2008-01-31,854.241
2008-02-29,887.216
2008-03-31,969.876
2008-04-30,965.478
2008-05-30,947.525
2008-06-30,826.26
2008-07-31,777.487
2008-08-29,748.969
2008-09-30,644.817
2008-10-31,529.163
2008-11-28,520.021
2008-12-31,548.998
2009-01-30,466.438
2009-02-27,413.109
2009-03-31,436.879
2009-04-30,531.509
2009-05-29,611.465
2009-06-30,593.906
2009-07-31,633.915
2009-08-31,691.306
2009-09-30,748.678
2009-10-30,675.975
2009-11-30,667.375
2009-12-31,642.495
2010-01-29,617.128
2010-02-26,563.239
2010-03-31,597.854
2010-04-30,566.363
2010-05-31,460.144
2010-06-30,463.469
2010-07-30,544.492
2010-08-31,498.008
2010-09-30,546.86
2010-10-29,562.578
2010-11-30,458.417
2010-12-31,512.521
2011-01-31,579.153
2011-02-28,597.452
2011-03-31,617.915
2011-04-29,650.704
2011-05-31,606.459
2011-06-30,589.073
2011-07-29,551.781
2011-08-31,506.926
2011-09-30,440.373
2011-10-31,481.71
2011-11-30,440.086
2011-12-30,441.55
2012-01-31,446.161
2012-02-29,437.838
2012-03-30,410.615
2012-04-30,367.32
2012-05-31,281.751
2012-06-29,326.704
2012-07-31,302.879
2012-08-31,359.313
2012-09-28,369.7
2012-10-31,364.471
2012-11-30,378.334
2012-12-31,396.687
2013-01-31,430.303
2013-02-28,408.598
2013-03-29,379.804
2013-04-30,416.189
2013-05-31,412.216
2013-06-28,394.695
2013-07-31,447.574
2013-08-30,445.471
2013-09-30,500.929
2013-10-31,538.972
2013-11-29,539.048
2013-12-31,564.667
2014-01-31,588.146
2014-02-28,628.831
2014-03-31,642.037
2014-04-30,646.921
2014-05-30,649.081
2014-06-30,668.521
2014-07-31,649.843
2014-08-29,635.538
2014-09-30,606.039
2014-10-31,585.842
2014-11-28,591.185
2014-12-31,563.744
2015-01-30,566.412
2015-02-27,600.553
2015-03-31,589.65
2015-04-30,610.753
2015-05-29,589.524
2015-06-30,577.349
2015-07-31,591.652
2015-08-31,564.107
2015-09-30,531.188
2015-10-30,574.563
2015-11-30,548.784
2015-12-31,528.299
2016-01-29,482.229
2016-02-29,477.545
2016-03-31,516.835
2016-04-29,540.952
2016-05-31,522.823
2016-06-30,484.476
2016-07-29,512.135
2016-08-31,503.374
2016-09-30,514.921
2016-10-31,506.506
2016-11-30,467.523
2016-12-30,498.396
