Date,SPAIN SMID VALUE SMID (Small+Mid Cap)
2001-01-01,148.769
2001-01-02,151.983
2001-01-03,153.12
2001-01-04,154.648
2001-01-05,155.285
2001-01-08,155.619
2001-01-09,153.677
2001-01-10,154.459
2001-01-11,156.337
2001-01-12,157.025
2001-01-15,155.225
2001-01-16,155.148
2001-01-17,154.547
2001-01-18,157.898
2001-01-19,155.548
2001-01-22,156.402
2001-01-23,157.748
2001-01-24,154.884
2001-01-25,156.077
2001-01-26,157.572
2001-01-29,156.119
2001-01-30,158.828
2001-01-31,161.504
2001-02-01,164.61
2001-02-02,161.775
2001-02-05,162.993
2001-02-06,162.245
2001-02-07,161.694
2001-02-08,160.564
2001-02-09,161.797
2001-02-12,164.621
2001-02-13,163.537
2001-02-14,161.837
2001-02-15,160.745
2001-02-16,163.59
2001-02-19,165.282
2001-02-20,163.648
2001-02-21,164.586
2001-02-22,163.55
2001-02-23,163.191
2001-02-26,162.872
2001-02-27,164.245
2001-02-28,166.042
2001-03-01,165.483
2001-03-02,167.102
2001-03-05,166.492
2001-03-06,167.61
2001-03-07,167.913
2001-03-08,169.011
2001-03-09,169.396
2001-03-12,167.823
2001-03-13,164.979
2001-03-14,162.57
2001-03-15,162.379
2001-03-16,158.785
2001-03-19,159.416
2001-03-20,160.536
2001-03-21,157.142
2001-03-22,150.672
2001-03-23,154.273
2001-03-26,156.837
2001-03-27,158.606
2001-03-28,156.279
2001-03-29,156.133
2001-03-30,158.332
2001-04-02,159.419
2001-04-03,158.491
2001-04-04,162.942
2001-04-05,162.599
2001-04-06,163.276
2001-04-09,164.381
2001-04-10,162.193
2001-04-11,160.423
2001-04-12,161.642
2001-04-13,161.642
2001-04-16,159.987
2001-04-17,158.831
2001-04-18,158.605
2001-04-19,161.062
2001-04-20,162.938
2001-04-23,161.991
2001-04-24,162.518
2001-04-25,163.989
2001-04-26,165.358
2001-04-27,164.357
2001-04-30,164.596
2001-05-01,165.469
2001-05-02,165.217
2001-05-03,165.006
2001-05-04,164.615
2001-05-07,164.283
2001-05-08,163.363
2001-05-09,163.639
2001-05-10,163.704
2001-05-11,162.677
2001-05-14,162.929
2001-05-15,164.346
