Date,GERMANY LARGE CAP Large Cap
1994-05-31,255.761
1994-06-30,256.161
1994-07-29,268.72
1994-08-31,277.394
1994-09-30,260.567
1994-10-31,274.876
1994-11-30,260.15
1994-12-30,270.239
1995-01-31,265.91
1995-02-28,287.213
1995-03-31,282.222
1995-04-28,293.469
1995-05-31,297.805
1995-06-30,306.534
1995-07-31,324.106
1995-08-31,307.161
1995-09-29,311.539
1995-10-31,309.751
1995-11-30,309.549
1995-12-29,318.646
1996-01-31,331.044
1996-02-29,334.482
1996-03-29,334.279
1996-04-30,321.697
1996-05-31,329.821
1996-06-28,337.639
1996-07-31,338.253
1996-08-30,345.894
1996-09-30,347.298
1996-10-31,351.705
1996-11-29,365.942
1996-12-31,369.257
1997-01-31,363.607
1997-02-28,376.641
1997-03-31,402.679
1997-04-30,387.742
1997-05-30,406.019
1997-06-30,423.443
1997-07-31,459.677
1997-08-29,416.504
1997-09-30,446.13
1997-10-31,416.211
1997-11-28,428.835
1997-12-31,446.895
1998-01-30,458.917
1998-02-27,490.023
1998-03-31,521.138
1998-04-30,539.095
1998-05-29,578.913
1998-06-30,604.165
1998-07-31,616.755
1998-08-31,514.655
1998-09-30,509.424
1998-10-30,530.23
1998-11-30,557.16
1998-12-31,571.017
1999-01-29,579.964
1999-02-26,536.726
1999-03-31,520.836
1999-04-30,551.626
1999-05-31,521.933
1999-06-30,550.028
1999-07-30,545.507
1999-08-31,556.185
1999-09-30,547.52
1999-10-29,576.817
1999-11-30,588.274
1999-12-31,688.943
2000-01-31,661.479
2000-02-29,731.933
2000-03-31,722.84
2000-04-28,669.452
2000-05-31,654.878
2000-06-30,656.81
2000-07-31,648.012
2000-08-31,617.766
2000-09-29,577.546
2000-10-31,577.05
2000-11-30,530.074
2000-12-29,574.678
2001-01-31,596.232
2001-02-28,546.73
2001-03-30,493.849
2001-04-30,528.709
2001-05-31,494.132
2001-06-29,490.335
2001-07-31,494.301
2001-08-31,455.894
2001-09-28,382.227
2001-10-31,399.672
2001-11-30,434.986
2001-12-31,444.487
2002-01-31,426.766
2002-02-28,421.63
2002-03-29,454.259
2002-04-30,438.404
2002-05-31,434.597
2002-06-28,422.877
2002-07-31,354.134
2002-08-30,356.701
2002-09-30,268.596
2002-10-31,305.738
2002-11-29,321.776
2002-12-31,295.466
2003-01-31,288.666
2003-02-28,268.892
2003-03-31,256.632
2003-04-30,320.078
2003-05-30,341.708
2003-06-30,360.033
2003-07-31,380.033
2003-08-29,371.617
2003-09-30,365.845
2003-10-31,408.383
2003-11-28,432.836
2003-12-31,484.888
2004-01-30,487.459
2004-02-27,482.335
2004-03-31,456.566
2004-04-30,461.447
2004-05-31,462.946
2004-06-30,477.719
2004-07-30,454.909
2004-08-31,444.574
2004-09-30,466.397
2004-10-29,488.408
2004-11-30,530.903
2004-12-31,561.384
2005-01-31,536.279
2005-02-28,554.794
2005-03-31,542.37
2005-04-29,519.489
2005-05-31,529.615
2005-06-30,534.336
2005-07-29,572.021
2005-08-31,570.6
2005-09-30,584.304
2005-10-31,567.481
2005-11-30,588.053
2005-12-30,611.771
2006-01-31,657.389
2006-02-28,660.439
2006-03-31,686.942
2006-04-28,717.533
2006-05-31,693.364
2006-06-30,688.537
2006-07-31,686.495
2006-08-31,707.739
2006-09-29,717.6
2006-10-31,754.759
2006-11-30,790.481
2006-12-29,823.893
2007-01-31,833.551
2007-02-28,838.881
2007-03-30,870.745
2007-04-30,953.644
2007-05-31,1000.0
2007-06-29,1020.375
2007-07-31,981.183
2007-08-31,986.843
2007-09-28,1061.188
2007-10-31,1112.03
2007-11-30,1104.218
2007-12-31,1122.821
2008-01-31,971.32
2008-02-29,981.578
2008-03-31,993.187
2008-04-30,1034.389
2008-05-30,1053.497
2008-06-30,967.266
2008-07-31,965.877
2008-08-29,903.052
2008-09-30,787.106
2008-10-31,615.403
2008-11-28,559.272
2008-12-31,630.52
2009-01-30,525.527
2009-02-27,459.491
2009-03-31,510.006
2009-04-30,594.807
2009-05-29,654.901
2009-06-30,635.647
2009-07-31,711.963
2009-08-31,739.918
2009-09-30,779.429
2009-10-30,752.953
2009-11-30,789.505
2009-12-31,800.157
2010-01-29,726.931
2010-02-26,710.025
2010-03-31,773.639
2010-04-30,759.487
2010-05-31,684.456
2010-06-30,683.155
2010-07-30,746.146
2010-08-31,701.674
2010-09-30,792.317
2010-10-29,853.477
2010-11-30,810.451
2010-12-31,865.512
2011-01-31,907.973
2011-02-28,938.138
2011-03-31,934.893
2011-04-29,1044.427
2011-05-31,979.205
2011-06-30,1000.514
2011-07-29,963.865
2011-08-31,778.836
2011-09-30,689.012
2011-10-31,801.02
2011-11-30,767.115
2011-12-30,716.59
2012-01-31,791.282
2012-02-29,858.545
2012-03-30,865.852
2012-04-30,840.402
2012-05-31,728.775
2012-06-29,765.782
2012-07-31,784.642
2012-08-31,827.514
2012-09-28,875.414
2012-10-31,888.666
2012-11-30,910.466
2012-12-31,948.091
2013-01-31,998.166
2013-02-28,955.788
2013-03-29,946.915
2013-04-30,987.733
2013-05-31,1024.259
2013-06-28,979.611
2013-07-31,1042.857
2013-08-30,1014.202
2013-09-30,1102.881
2013-10-31,1166.547
2013-11-29,1217.257
2013-12-31,1250.934
2014-01-31,1188.806
2014-02-28,1265.67
2014-03-31,1243.616
2014-04-30,1259.991
2014-05-30,1282.708
2014-06-30,1274.832
2014-07-31,1193.449
2014-08-29,1181.276
2014-09-30,1134.69
2014-10-31,1110.553
2014-11-28,1182.232
2014-12-31,1125.388
2015-01-30,1144.023
2015-02-27,1215.085
2015-03-31,1221.557
2015-04-30,1218.6
2015-05-29,1185.154
2015-06-30,1152.356
2015-07-31,1181.015
2015-08-31,1086.89
2015-09-30,1012.207
2015-10-30,1127.36
2015-11-30,1129.982
2015-12-31,1096.478
2016-01-29,994.341
2016-02-29,968.404
2016-03-31,1063.109
2016-04-29,1079.148
2016-05-31,1073.501
2016-06-30,1007.644
2016-07-29,1080.327
2016-08-31,1104.679
2016-09-30,1105.634
2016-10-31,1093.973
2016-11-30,1058.757
2016-12-30,1135.755
2017-01-31,1168.552
2017-02-28,1176.744
2017-03-31,1228.378
2017-04-28,1265.073
2017-05-31,1320.24
2017-06-30,1303.485
2017-07-31,1326.056
2017-08-31,1327.067
2017-09-29,1406.23
2017-10-31,1427.287
2017-11-30,1440.307
2017-12-29,1434.913
2018-01-31,1523.264
2018-02-28,1405.106
2018-03-30,1380.321
2018-04-30,1415.316
2018-05-31,1365.917
2018-06-29,1332.563
2018-07-31,1384.458
2018-08-31,1331.584
2018-09-28,1316.191
2018-10-31,1210.171
2018-11-30,1190.826
2018-12-31,1125.103
2019-01-31,1194.616
2019-02-28,1217.355
2019-03-29,1198.202
2019-04-30,1287.199
2019-05-31,1209.436
2019-06-28,1304.78
2019-07-31,1254.326
2019-08-30,1211.791
2019-09-30,1242.593
2019-10-31,1328.078
2019-11-29,1348.004
2019-12-31,1368.501
2020-01-31,1320.928
2020-02-28,1198.684
2020-03-31,995.048
2020-04-30,1092.731
2020-05-29,1180.015
2020-06-30,1260.355
2020-07-31,1317.721
2020-08-31,1402.531
2020-09-30,1359.298
2020-10-30,1201.72
2020-11-30,1421.976
2020-12-31,1500.728
2021-01-29,1470.388
2021-02-26,1522.009
2021-03-31,1600.241
2021-04-30,1646.659
2021-05-31,1702.2
2021-06-30,1670.665
2021-07-30,1661.176
2021-08-31,1684.756
2021-09-30,1599.964
2021-10-29,1640.995
2021-11-30,1520.217
2021-12-31,1616.019
2022-01-31,1568.789
2022-02-28,1451.687
2022-03-31,1419.844
2022-04-29,1304.529
2022-05-31,1359.675
2022-06-30,1175.018
2022-07-29,1200.121
2022-08-31,1131.166
2022-09-30,1035.986
2022-10-31,1137.349
2022-11-30,1299.454
2022-12-30,1291.752
2023-01-31,1447.388
2023-02-28,1423.32
2023-03-31,1488.606
2023-04-28,1537.489
2023-05-31,1470.576
2023-06-30,1549.002
2023-07-31,1594.227
2023-08-31,1515.381
2023-09-29,1432.009
2023-10-31,1372.953
2023-11-30,1557.504
2023-12-29,1628.063
2024-01-31,1616.211
2024-02-29,1687.492
2024-03-29,1740.136
2024-04-30,1672.697
2024-05-31,1748.108
2024-06-28,1728.63
2024-07-31,1749.881
2024-08-30,1835.714
2024-09-30,1893.904
2024-10-31,1803.743
2024-11-29,1781.825
2024-12-31,1770.451
2025-01-31,1935.777
2025-02-28,2008.357
2025-03-31,2019.81
2025-04-30,2153.049
2025-05-30,2260.836
