Date,GERMANY LARGE CAP Large Cap
1994-05-31,272.124
1994-06-30,272.438
1994-07-29,285.684
1994-08-31,294.897
1994-09-30,277.009
1994-10-31,292.177
1994-11-30,276.519
1994-12-30,287.127
1995-01-31,282.528
1995-02-28,305.047
1995-03-31,299.709
1995-04-28,311.429
1995-05-31,315.278
1995-06-30,324.356
1995-07-31,342.84
1995-08-31,324.906
1995-09-29,329.536
1995-10-31,327.595
1995-11-30,327.381
1995-12-29,336.847
1996-01-31,349.943
1996-02-29,353.476
1996-03-29,353.084
1996-04-30,339.656
1996-05-31,347.415
1996-06-28,355.495
1996-07-31,356.012
1996-08-30,364.044
1996-09-30,365.512
1996-10-31,370.101
1996-11-29,385.084
1996-12-31,388.423
1997-01-31,382.472
1997-02-28,396.08
1997-03-31,423.422
1997-04-30,407.696
1997-05-30,426.069
1997-06-30,443.947
1997-07-31,481.819
1997-08-29,436.549
1997-09-30,467.591
1997-10-31,436.234
1997-11-28,449.465
1997-12-31,468.247
1998-01-30,480.843
1998-02-27,513.33
1998-03-31,545.871
1998-04-30,564.662
1998-05-29,605.556
1998-06-30,631.344
1998-07-31,644.356
1998-08-31,537.676
1998-09-30,532.211
1998-10-30,553.939
1998-11-30,582.056
1998-12-31,596.532
1999-01-29,605.861
1999-02-26,560.604
1999-03-31,543.96
1999-04-30,575.949
1999-05-31,543.494
1999-06-30,572.597
1999-07-30,567.759
1999-08-31,578.873
1999-09-30,569.854
1999-10-29,600.347
1999-11-30,612.173
1999-12-31,716.931
2000-01-31,688.352
2000-02-29,761.553
2000-03-31,752.093
2000-04-28,695.955
2000-05-31,679.735
2000-06-30,681.566
2000-07-31,672.296
2000-08-31,640.916
2000-09-29,599.166
2000-10-31,598.652
2000-11-30,549.829
2000-12-29,596.097
2001-01-31,618.453
2001-02-28,566.801
2001-03-30,511.921
2001-04-30,547.402
2001-05-31,510.507
2001-06-29,506.273
2001-07-31,510.257
2001-08-31,470.61
2001-09-28,394.565
2001-10-31,412.573
2001-11-30,449.028
2001-12-31,458.835
2002-01-31,440.404
2002-02-28,435.104
2002-03-29,468.674
2002-04-30,451.912
2002-05-31,447.095
2002-06-28,434.854
2002-07-31,364.138
2002-08-30,366.777
2002-09-30,276.184
2002-10-31,314.375
2002-11-29,330.866
2002-12-31,303.813
2003-01-31,296.619
2003-02-28,276.3
2003-03-31,263.703
2003-04-30,328.08
2003-05-30,349.533
2003-06-30,368.011
2003-07-31,388.455
2003-08-29,379.852
2003-09-30,373.952
2003-10-31,417.433
2003-11-28,442.427
2003-12-31,495.633
2004-01-30,498.02
2004-02-27,492.785
2004-03-31,466.457
2004-04-30,470.243
2004-05-31,471.359
2004-06-30,486.138
2004-07-30,462.926
2004-08-31,452.409
2004-09-30,474.616
2004-10-29,497.015
2004-11-30,540.259
2004-12-31,571.277
2005-01-31,545.44
2005-02-28,564.271
2005-03-31,551.635
2005-04-29,526.379
2005-05-31,535.874
2005-06-30,540.651
2005-07-29,578.781
2005-08-31,577.344
2005-09-30,591.21
2005-10-31,574.188
2005-11-30,595.004
2005-12-30,619.001
2006-01-31,664.864
2006-02-28,667.948
2006-03-31,694.753
2006-04-28,724.818
2006-05-31,697.526
2006-06-30,692.318
2006-07-31,690.265
2006-08-31,711.626
2006-09-29,721.541
2006-10-31,758.905
2006-11-30,794.822
2006-12-29,828.418
2007-01-31,837.703
2007-02-28,843.059
2007-03-30,875.082
2007-04-30,956.431
2007-05-31,1000.0
2007-06-29,1020.327
2007-07-31,981.137
2007-08-31,986.797
2007-09-28,1061.137
2007-10-31,1111.977
2007-11-30,1104.166
2007-12-31,1122.767
2008-01-31,970.683
2008-02-29,980.934
2008-03-31,992.471
2008-04-30,1030.826
2008-05-30,1046.114
2008-06-30,960.293
2008-07-31,958.915
2008-08-29,896.543
2008-09-30,781.432
2008-10-31,610.967
2008-11-28,555.24
2008-12-31,625.975
2009-01-30,521.136
2009-02-27,455.582
2009-03-31,505.667
2009-04-30,587.199
2009-05-29,642.727
