Date,EM (EMERGING MARKETS) MID GROWTH Mid Cap
1995-05-31,455.322
1995-06-30,451.064
1995-07-31,459.049
1995-08-31,452.021
1995-09-29,449.217
1995-10-31,439.493
1995-11-30,421.229
1995-12-29,434.88
1996-01-31,468.868
1996-02-29,466.855
1996-03-29,464.484
1996-04-30,479.964
1996-05-31,475.51
1996-06-28,484.068
1996-07-31,455.889
1996-08-30,463.865
1996-09-30,467.824
1996-10-31,446.48
1996-11-29,451.04
1996-12-31,447.917
1997-01-31,476.639
1997-02-28,501.947
1997-03-31,495.226
1997-04-30,485.716
1997-05-30,491.549
1997-06-30,512.348
1997-07-31,517.99
1997-08-29,465.026
1997-09-30,467.425
1997-10-31,397.741
1997-11-28,373.37
1997-12-31,369.218
1998-01-30,348.365
1998-02-27,381.21
1998-03-31,391.822
1998-04-30,390.811
1998-05-29,349.907
1998-06-30,309.404
1998-07-31,311.033
1998-08-31,232.089
1998-09-30,229.766
1998-10-30,246.842
1998-11-30,256.214
1998-12-31,253.9
1999-01-29,240.739
1999-02-26,244.587
1999-03-31,278.579
1999-04-30,311.514
1999-05-31,310.391
1999-06-30,337.587
1999-07-30,328.393
1999-08-31,327.26
1999-09-30,318.965
1999-10-29,328.777
1999-11-30,372.049
1999-12-31,429.765
2000-01-31,430.891
2000-02-29,433.27
2000-03-31,425.582
2000-04-28,379.758
2000-05-31,349.726
2000-06-30,355.884
2000-07-31,336.763
2000-08-31,350.313
2000-09-29,311.086
2000-10-31,279.764
2000-11-30,253.506
2000-12-29,253.174
2001-01-31,283.454
2001-02-28,258.863
2001-03-30,234.145
2001-04-30,240.025
2001-05-31,244.037
2001-06-29,238.915
2001-07-31,225.285
2001-08-31,226.013
2001-09-28,186.856
2001-10-31,194.252
2001-11-30,212.729
2001-12-31,232.586
2002-01-31,245.62
2002-02-28,252.387
2002-03-29,269.135
2002-04-30,264.313
2002-05-31,260.715
2002-06-28,235.889
2002-07-31,220.45
2002-08-30,221.737
2002-09-30,198.631
2002-10-31,209.781
2002-11-29,226.933
2002-12-31,225.473
2003-01-31,225.389
2003-02-28,224.604
2003-03-31,219.618
2003-04-30,236.898
2003-05-30,250.734
2003-06-30,268.585
2003-07-31,284.491
2003-08-29,299.545
2003-09-30,309.379
2003-10-31,339.063
2003-11-28,353.226
2003-12-31,374.78
2004-01-30,379.638
2004-02-27,398.103
2004-03-31,406.551
2004-04-30,368.654
2004-05-31,360.477
2004-06-30,369.93
2004-07-30,362.305
2004-08-31,373.518
2004-09-30,394.928
2004-10-29,407.245
2004-11-30,452.569
2004-12-31,476.06
2005-01-31,469.352
2005-02-28,505.179
2005-03-31,471.494
2005-04-29,456.78
2005-05-31,468.631
2005-06-30,478.54
2005-07-29,517.944
