Date,EM (EMERGING MARKETS) MID GROWTH Mid Cap
2001-01-01,256.019
2001-01-02,254.746
2001-01-03,256.487
2001-01-04,264.558
2001-01-05,265.975
2001-01-08,267.664
2001-01-09,270.183
2001-01-10,270.497
2001-01-11,270.641
2001-01-12,271.975
2001-01-15,273.57
2001-01-16,272.419
2001-01-17,274.891
2001-01-18,274.796
2001-01-19,278.182
2001-01-22,280.555
2001-01-23,282.339
2001-01-24,281.516
2001-01-25,282.395
2001-01-26,281.319
2001-01-29,280.804
2001-01-30,283.325
2001-01-31,286.794
2001-02-01,286.252
2001-02-02,286.786
2001-02-05,283.15
2001-02-06,283.055
2001-02-07,278.845
2001-02-08,280.043
2001-02-09,279.402
2001-02-12,280.48
2001-02-13,281.398
2001-02-14,279.722
2001-02-15,282.043
2001-02-16,278.575
2001-02-19,275.355
2001-02-20,274.722
2001-02-21,267.72
2001-02-22,262.611
2001-02-23,260.442
2001-02-26,264.037
2001-02-27,263.47
2001-02-28,261.909
2001-03-01,262.336
2001-03-02,260.868
2001-03-05,262.807
2001-03-06,263.772
2001-03-07,264.243
2001-03-08,263.176
2001-03-09,260.259
2001-03-12,252.708
2001-03-13,250.632
2001-03-14,247.557
2001-03-15,247.284
2001-03-16,245.235
2001-03-19,242.654
2001-03-20,243.283
2001-03-21,241.501
2001-03-22,238.312
2001-03-23,239.635
2001-03-26,243.295
2001-03-27,243.272
2001-03-28,241.134
2001-03-29,237.104
2001-03-30,236.864
2001-04-02,231.984
2001-04-03,227.571
2001-04-04,227.046
2001-04-05,230.852
2001-04-06,230.318
2001-04-09,228.584
2001-04-10,229.237
2001-04-11,231.796
2001-04-12,233.631
2001-04-13,234.208
2001-04-16,233.02
2001-04-17,231.973
2001-04-18,237.785
2001-04-19,239.073
2001-04-20,236.396
2001-04-23,234.6
2001-04-24,236.296
2001-04-25,235.803
2001-04-26,238.325
2001-04-27,241.734
2001-04-30,242.785
2001-05-01,242.565
2001-05-02,243.773
2001-05-03,243.925
2001-05-04,242.481
2001-05-07,242.315
2001-05-08,240.975
2001-05-09,240.122
2001-05-10,240.409
2001-05-11,239.507
2001-05-14,239.182
2001-05-15,238.14
2001-05-16,240.101
2001-05-17,243.915
2001-05-18,244.61
2001-05-21,245.597
2001-05-22,246.952
2001-05-23,248.396
2001-05-24,249.975
2001-05-25,250.101
2001-05-28,249.876
2001-05-29,248.929
2001-05-30,246.433
2001-05-31,246.695
2001-06-01,244.988
2001-06-04,245.752
2001-06-05,245.486
2001-06-06,246.36
2001-06-07,245.868
2001-06-08,248.102
2001-06-11,246.891
2001-06-12,246.746
2001-06-13,246.175
2001-06-14,246.678
2001-06-15,247.325
2001-06-18,242.105
2001-06-19,240.746
2001-06-20,239.387
2001-06-21,240.163
2001-06-22,241.678
2001-06-25,241.259
2001-06-26,240.884
2001-06-27,240.116
2001-06-28,240.092
2001-06-29,241.48
2001-07-02,241.681
2001-07-03,240.527
2001-07-04,238.243
2001-07-05,236.909
2001-07-06,233.058
2001-07-09,232.513
2001-07-10,230.967
2001-07-11,226.297
2001-07-12,226.924
2001-07-13,225.194
2001-07-16,223.816
2001-07-17,224.247
2001-07-18,225.276
2001-07-19,226.416
2001-07-20,225.455
2001-07-23,226.237
2001-07-24,226.612
2001-07-25,225.507
2001-07-26,226.953
2001-07-27,226.725
2001-07-30,227.527
2001-07-31,227.652
2001-08-01,228.467
2001-08-02,231.528
2001-08-03,232.396
2001-08-06,230.688
2001-08-07,230.772
2001-08-08,231.266
2001-08-09,229.597
2001-08-10,230.241
2001-08-13,230.818
2001-08-14,232.664
2001-08-15,233.435
2001-08-16,233.737
2001-08-17,234.063
2001-08-20,232.615
2001-08-21,232.171
2001-08-22,231.015
2001-08-23,230.862
2001-08-24,230.875
2001-08-27,232.783
2001-08-28,231.615
2001-08-29,231.837
