Date,EM (EMERGING MARKETS) MID GROWTH Mid Cap
1995-05-31,463.464
1995-06-30,459.085
1995-07-31,467.18
1995-08-31,459.977
1995-09-29,457.093
1995-10-31,447.167
1995-11-30,428.558
1995-12-29,442.423
1996-01-31,476.967
1996-02-29,474.915
1996-03-29,472.431
1996-04-30,488.067
1996-05-31,483.351
1996-06-28,491.988
1996-07-31,463.32
1996-08-30,471.411
1996-09-30,475.391
1996-10-31,453.659
1996-11-29,458.274
1996-12-31,455.071
1997-01-31,484.203
1997-02-28,509.905
1997-03-31,503.025
1997-04-30,493.334
1997-05-30,499.016
1997-06-30,520.094
1997-07-31,525.779
1997-08-29,471.983
1997-09-30,474.407
1997-10-31,403.614
1997-11-28,378.862
1997-12-31,374.638
1998-01-30,353.463
1998-02-27,386.788
1998-03-31,397.516
1998-04-30,396.479
1998-05-29,354.951
1998-06-30,313.802
1998-07-31,315.432
1998-08-31,235.368
1998-09-30,233.011
1998-10-30,250.286
1998-11-30,259.755
1998-12-31,257.389
1999-01-29,244.017
1999-02-26,247.916
1999-03-31,282.332
1999-04-30,315.67
1999-05-31,314.519
1999-06-30,342.044
1999-07-30,332.716
1999-08-31,331.562
1999-09-30,323.157
1999-10-29,333.086
1999-11-30,376.9
1999-12-31,435.34
2000-01-31,436.428
2000-02-29,438.837
2000-03-31,430.997
2000-04-28,384.573
2000-05-31,354.041
2000-06-30,360.27
2000-07-31,340.903
2000-08-31,354.606
2000-09-29,314.885
2000-10-31,283.154
2000-11-30,256.569
2000-12-29,256.214
2001-01-31,286.794
2001-02-28,261.909
2001-03-30,236.864
2001-04-30,242.785
2001-05-31,246.695
2001-06-29,241.48
2001-07-31,227.652
2001-08-31,228.366
2001-09-28,188.798
2001-10-31,196.261
2001-11-30,214.913
2001-12-31,234.94
2002-01-31,248.086
2002-02-28,254.893
2002-03-29,271.791
2002-04-30,266.907
2002-05-31,263.219
2002-06-28,238.051
2002-07-31,222.399
2002-08-30,223.673
2002-09-30,200.366
2002-10-31,211.604
2002-11-29,228.896
2002-12-31,227.408
2003-01-31,227.319
2003-02-28,226.528
2003-03-31,221.5
2003-04-30,238.893
2003-05-30,252.834
2003-06-30,270.823
2003-07-31,286.739
2003-08-29,301.882
2003-09-30,311.718
2003-10-31,341.609
2003-11-28,355.821
2003-12-31,377.526
2004-01-30,382.352
2004-02-27,400.729
2004-03-31,409.211
2004-04-30,371.062
2004-05-31,362.81
2004-06-30,372.278
2004-07-30,364.543
2004-08-31,375.624
2004-09-30,397.114
2004-10-29,409.463
2004-11-30,455.019
2004-12-31,478.582
2005-01-31,471.786
2005-02-28,507.549
2005-03-31,473.596
2005-04-29,458.747
2005-05-31,470.401
2005-06-30,480.311
2005-07-29,519.731
2005-08-31,525.047
2005-09-30,572.6
2005-10-31,533.753
2005-11-30,586.269
2005-12-30,630.142
2006-01-31,688.028
2006-02-28,699.501
2006-03-31,707.11
2006-04-28,756.198
2006-05-31,668.288
2006-06-30,646.702
2006-07-31,659.649
2006-08-31,685.242
2006-09-29,694.767
2006-10-31,739.333
2006-11-30,784.028
2006-12-29,828.928
2007-01-31,822.677
2007-02-28,825.999
2007-03-30,859.635
2007-04-30,922.344
2007-05-31,1000.0
2007-06-29,1026.442
2007-07-31,1061.504
2007-08-31,1019.297
2007-09-28,1133.132
2007-10-31,1264.588
2007-11-30,1156.49
2007-12-31,1171.751
2008-01-31,975.576
2008-02-29,1050.992
2008-03-31,966.157
2008-04-30,1022.794
2008-05-30,1011.702
2008-06-30,876.511
2008-07-31,879.538
2008-08-29,801.299
2008-09-30,641.785
2008-10-31,445.972
2008-11-28,389.548
2008-12-31,434.278
2009-01-30,406.554
2009-02-27,382.749
2009-03-31,438.868
2009-04-30,532.969
2009-05-29,614.923
2009-06-30,617.016
2009-07-31,689.852
2009-08-31,685.522
2009-09-30,745.47
2009-10-30,747.393
2009-11-30,791.151
2009-12-31,832.555
2010-01-29,771.505
2010-02-26,779.574
2010-03-31,831.066
2010-04-30,844.594
2010-05-31,774.744
2010-06-30,782.45
2010-07-30,851.099
2010-08-31,844.765
2010-09-30,944.643
2010-10-29,970.559
2010-11-30,941.559
2010-12-31,964.334
2011-01-31,928.702
2011-02-28,902.394
2011-03-31,959.125
2011-04-29,999.181
2011-05-31,986.803
2011-06-30,976.611
2011-07-29,982.944
2011-08-31,904.739
2011-09-30,745.73
2011-10-31,833.76
2011-11-30,768.412
2011-12-30,750.732
2012-01-31,824.677
2012-02-29,883.673
2012-03-30,861.688
2012-04-30,849.77
2012-05-31,771.153
2012-06-29,788.694
2012-07-31,797.319
2012-08-31,811.487
2012-09-28,851.794
2012-10-31,847.698
2012-11-30,857.198
2012-12-31,896.021
2013-01-31,891.597
2013-02-28,901.242
2013-03-29,886.674
2013-04-30,903.867
2013-05-31,892.499
2013-06-28,829.433
2013-07-31,842.842
2013-08-30,810.346
2013-09-30,856.526
2013-10-31,897.902
2013-11-29,886.567
2013-12-31,882.418
2014-01-31,825.962
2014-02-28,867.258
2014-03-31,894.042
2014-04-30,899.065
2014-05-30,921.142
2014-06-30,951.939
2014-07-31,956.177
2014-08-29,986.186
2014-09-30,930.895
2014-10-31,928.116
2014-11-28,914.191
2014-12-31,878.67
2015-01-30,895.628
2015-02-27,914.768
2015-03-31,917.053
2015-04-30,989.474
2015-05-29,958.675
2015-06-30,932.55
2015-07-31,900.04
2015-08-31,827.7
2015-09-30,806.042
2015-10-30,855.599
2015-11-30,836.83
2015-12-31,822.673
2016-01-29,780.355
2016-02-29,766.859
2016-03-31,849.854
2016-04-29,856.658
2016-05-31,833.743
2016-06-30,862.223
2016-07-29,904.719
2016-08-31,914.93
2016-09-30,920.291
2016-10-31,919.623
2016-11-30,853.464
2016-12-30,845.348
2017-01-31,896.364
2017-02-28,929.413
2017-03-31,961.838
2017-04-28,990.493
2017-05-31,1019.302
2017-06-30,1018.751
2017-07-31,1073.023
2017-08-31,1098.653
2017-09-29,1100.139
2017-10-31,1108.468
2017-11-30,1128.443
2017-12-29,1190.117
2018-01-31,1271.036
2018-02-28,1214.142
2018-03-30,1222.619
2018-04-30,1209.401
2018-05-31,1181.698
2018-06-29,1122.611
2018-07-31,1124.052
2018-08-31,1101.727
2018-09-28,1079.498
2018-10-31,995.239
2018-11-30,1058.069
2018-12-31,1050.676
2019-01-31,1118.426
2019-02-28,1116.678
2019-03-29,1114.166
2019-04-30,1137.76
2019-05-31,1084.352
2019-06-28,1147.437
2019-07-31,1136.511
2019-08-30,1084.006
2019-09-30,1096.21
2019-10-31,1147.329
2019-11-29,1126.861
2019-12-31,1211.87
2020-01-31,1180.707
2020-02-28,1074.833
2020-03-31,840.467
2020-04-30,969.383
2020-05-29,1017.815
2020-06-30,1088.808
2020-07-31,1199.636
2020-08-31,1218.685
2020-09-30,1176.424
2020-10-30,1147.232
2020-11-30,1267.731
2020-12-31,1380.845
2021-01-29,1357.926
2021-02-26,1355.654
2021-03-31,1366.368
2021-04-30,1432.042
2021-05-31,1482.466
2021-06-30,1539.631
2021-07-30,1457.149
2021-08-31,1500.234
2021-09-30,1420.888
2021-10-29,1418.735
2021-11-30,1391.842
2021-12-31,1406.732
2022-01-31,1330.791
2022-02-28,1321.157
2022-03-31,1321.787
2022-04-29,1219.674
2022-05-31,1233.557
2022-06-30,1123.535
2022-07-29,1136.913
2022-08-31,1148.164
2022-09-30,1011.505
2022-10-31,1040.451
2022-11-30,1138.713
2022-12-30,1123.955
2023-01-31,1179.911
2023-02-28,1131.493
2023-03-31,1154.506
2023-04-28,1167.508
2023-05-31,1145.703
2023-06-30,1190.411
2023-07-31,1258.621
2023-08-31,1201.437
2023-09-29,1165.608
2023-10-31,1108.622
2023-11-30,1213.468
2023-12-29,1258.544
2024-01-31,1203.588
2024-02-29,1266.38
2024-03-29,1265.235
2024-04-30,1257.93
2024-05-31,1249.105
2024-06-28,1278.723
2024-07-31,1294.28
2024-08-30,1312.903
2024-09-30,1392.644
2024-10-31,1317.642
2024-11-29,1283.127
2024-12-31,1272.588
2025-01-31,1296.987
2025-02-28,1296.378
2025-03-31,1315.118
2025-04-30,1373.796
2025-05-30,1433.687
2025-06-30,1550.175
